time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Bell vs. K. Love (P. McCaw gains possession),,,,Jump ball: J. Bell vs. K. Love (P. McCaw gains possession)
11:46.0,,,0-0,,Turnover by K. Durant (bad pass; steal by J. Crowder)
11:34.0,K. Love misses 2-pt shot from 7 ft (block by K. Durant),,0-0,,
11:29.0,Offensive rebound by K. Love,,0-0,,
11:28.0,K. Love misses 2-pt shot from 5 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by J. Bell
11:20.0,,,0-0,,K. Durant misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by K. Love,,0-0,,
11:04.0,J. Smith misses 3-pt shot from 22 ft,,0-0,,
11:01.0,Offensive rebound by J. Smith,,0-0,,
10:58.0,Turnover by K. Love (lost ball; steal by P. McCaw),,0-0,,
10:50.0,,,0-0,,Turnover by D. Green (bad pass; steal by J. Smith)
10:45.0,J. Crowder misses 2-pt shot from 3 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by D. Green
10:39.0,,,0-0,,Offensive charge foul by K. Durant (drawn by K. Love)
10:39.0,,,0-0,,Turnover by K. Durant (offensive foul)
10:20.0,L. James misses 2-pt shot from 3 ft,,0-0,,
10:17.0,Offensive rebound by J. Crowder,,0-0,,
10:15.0,J. Crowder makes 3-pt shot from 24 ft,3,3-0,,
9:58.0,,,3-0,,Turnover by P. McCaw (lost ball; steal by K. Love)
9:38.0,J. Calderon makes 3-pt shot from 25 ft,3,6-0,,
9:21.0,,,6-2,2,D. Green makes 2-pt shot from 10 ft
9:21.0,,,6-2,,Shooting foul by L. James (drawn by D. Green)
9:21.0,,,6-2,,D. Green misses free throw 1 of 1
9:17.0,Defensive rebound by J. Crowder,,6-2,,
9:01.0,J. Crowder makes 2-pt shot from 12 ft (assist by J. Calderon),2,8-2,,
8:48.0,,,8-5,3,K. Thompson makes 3-pt shot from 25 ft (assist by P. McCaw)
8:20.0,L. James makes 2-pt shot from 1 ft,2,10-5,,
8:06.0,,,10-5,,K. Durant misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by Team,,10-5,,
7:50.0,K. Love misses 3-pt shot from 26 ft,,10-5,,
7:46.0,,,10-5,,Defensive rebound by K. Durant
7:44.0,,,10-8,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
7:21.0,K. Love makes 2-pt shot from 8 ft,2,12-8,,
7:15.0,,,12-10,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
7:15.0,,,12-10,,Shooting foul by J. Crowder (drawn by K. Durant)
7:15.0,,,12-10,,K. Durant misses free throw 1 of 1
7:13.0,Defensive rebound by K. Love,,12-10,,
6:55.0,J. Smith misses 3-pt shot from 23 ft,,12-10,,
6:53.0,,,12-10,,Defensive rebound by K. Thompson
6:46.0,,,12-10,,K. Durant misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by K. Love,,12-10,,
6:32.0,,,12-10,,Golden State full timeout
6:32.0,,,12-10,,Technical foul by K. Durant
6:32.0,L. James misses technical free throw,,12-10,,
6:32.0,Offensive rebound by Team,,12-10,,
6:30.0,J. Smith misses 3-pt shot from 22 ft,,12-10,,
6:28.0,,,12-10,,Defensive rebound by J. Bell
6:18.0,,,12-10,,Turnover by P. McCaw (traveling)
6:05.0,L. James makes 3-pt shot from 25 ft,3,15-10,,
5:41.0,,,15-10,,Turnover by D. Green (bad pass; steal by K. Love)
5:25.0,Turnover by J. Smith (bad pass; steal by K. Durant),,15-10,,
5:25.0,Personal foul by J. Calderon (drawn by K. Durant),,15-10,,
5:25.0,,,15-10,,Technical foul by D. Green
5:25.0,,,15-10,,A. Iguodala enters the game for P. McCaw
5:25.0,K. Love makes technical free throw,1,16-10,,
5:14.0,,,16-12,2,K. Durant makes 2-pt shot from 16 ft (assist by D. Green)
5:04.0,,,16-12,,Personal foul by J. Bell (drawn by L. James)
5:04.0,D. Wade enters the game for J. Calderon,,16-12,,
4:55.0,L. James misses 3-pt shot from 26 ft,,16-12,,
4:53.0,,,16-12,,Defensive rebound by K. Thompson
4:46.0,,,16-12,,J. Bell misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by D. Wade,,16-12,,
4:38.0,K. Love makes 3-pt shot from 25 ft (assist by D. Wade),3,19-12,,
4:38.0,,,19-12,,Golden State full timeout
4:25.0,,,19-12,,K. Thompson misses 2-pt shot from 18 ft
4:20.0,,,19-12,,Offensive rebound by J. Bell
4:19.0,,,19-12,,J. Bell misses 2-pt shot at rim
4:18.0,Defensive rebound by K. Love,,19-12,,
4:13.0,J. Crowder misses 3-pt shot from 26 ft,,19-12,,
4:10.0,,,19-12,,Defensive rebound by D. Green
4:04.0,,,19-15,3,K. Durant makes 3-pt shot from 27 ft
3:40.0,Turnover by K. Love (bad pass; steal by D. Green),,19-15,,
3:35.0,,,19-18,3,K. Thompson makes 3-pt shot from 24 ft (assist by J. Bell)
3:13.0,L. James misses 2-pt shot from 16 ft,,19-18,,
3:10.0,,,19-18,,Defensive rebound by J. Bell
3:04.0,,,19-18,,Turnover by D. Green (bad pass; steal by D. Wade)
2:58.0,D. Wade makes 2-pt shot from 1 ft,2,21-18,,
2:50.0,,,21-18,,Golden State full timeout
2:50.0,,,21-18,,O. Casspi enters the game for D. Green
2:50.0,,,21-18,,K. Looney enters the game for J. Bell
2:50.0,,,21-18,,N. Young enters the game for K. Thompson
2:50.0,J. Green enters the game for J. Crowder,,21-18,,
2:50.0,K. Korver enters the game for J. Smith,,21-18,,
2:42.0,,,21-18,,A. Iguodala misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by D. Wade,,21-18,,
2:31.0,K. Love misses 2-pt shot from 4 ft,,21-18,,
2:25.0,,,21-18,,Defensive rebound by K. Durant
2:24.0,,,21-18,,K. Durant misses 3-pt shot from 27 ft
2:20.0,Defensive rebound by L. James,,21-18,,
2:11.0,K. Korver misses 2-pt shot from 12 ft,,21-18,,
2:02.0,Offensive rebound by L. James,,21-18,,
2:02.0,L. James makes 2-pt shot at rim,2,23-18,,
1:46.0,,,23-18,,O. Casspi misses 2-pt shot from 5 ft
1:40.0,,,23-18,,Offensive rebound by K. Looney
1:40.0,,,23-20,2,K. Looney makes 2-pt shot at rim
1:26.0,D. Wade misses 3-pt shot from 25 ft,,23-20,,
1:24.0,,,23-20,,Defensive rebound by Team
1:11.0,,,23-22,2,A. Iguodala makes 2-pt shot from 10 ft (assist by K. Looney)
0:48.0,L. James makes 2-pt shot from 1 ft,2,25-22,,
0:37.0,,,25-22,,K. Durant misses 2-pt shot from 3 ft
0:31.0,,,25-22,,Offensive rebound by K. Durant
0:30.0,,,25-24,2,K. Durant makes 2-pt shot from 2 ft
0:21.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,28-24,,
0:02.0,,,28-24,,N. Young misses 3-pt shot from 25 ft
0:00.0,,,28-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,T. Thompson misses 2-pt shot from 1 ft,,28-24,,
11:35.0,Offensive rebound by T. Thompson,,28-24,,
11:35.0,T. Thompson misses 2-pt shot from 1 ft,,28-24,,
11:34.0,Offensive rebound by T. Thompson,,28-24,,
11:33.0,T. Thompson misses 2-pt shot from 2 ft (block by A. Iguodala),,28-24,,
11:30.0,,,28-24,,Defensive rebound by K. Thompson
11:13.0,,,28-24,,K. Thompson misses 2-pt shot from 17 ft
11:10.0,Defensive rebound by D. Wade,,28-24,,
10:57.0,J. Green misses 2-pt shot from 11 ft,,28-24,,
10:52.0,,,28-24,,Defensive rebound by D. Green
10:44.0,,,28-26,2,D. Green makes 2-pt shot from 9 ft (assist by K. Thompson)
10:26.0,,,28-26,,Personal foul by A. Iguodala (drawn by T. Thompson)
10:18.0,J. Green makes 3-pt shot from 26 ft (assist by D. Wade),3,31-26,,
9:59.0,,,31-26,,D. Green misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by T. Thompson,,31-26,,
9:51.0,D. Wade misses 2-pt shot from 18 ft,,31-26,,
9:46.0,,,31-26,,Defensive rebound by A. Iguodala
9:44.0,,,31-26,,Shooting foul by J. Green (drawn by A. Iguodala)
9:44.0,,,31-27,1,A. Iguodala makes free throw 1 of 2
9:44.0,,,31-27,,A. Iguodala misses free throw 2 of 2
9:41.0,,,31-27,,Offensive rebound by A. Iguodala
9:36.0,,,31-29,2,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green)
9:12.0,C. Osman misses 2-pt shot from 20 ft,,31-29,,
9:09.0,,,31-29,,Defensive rebound by D. Green
9:05.0,,,31-31,2,S. Livingston makes 2-pt shot from 11 ft (assist by D. Green)
8:42.0,Shooting foul by D. West (drawn by D. Wade),,31-31,,
8:42.0,D. Wade misses free throw 1 of 3,,31-31,,
8:42.0,Offensive rebound by Team,,31-31,,
