time,Orlando,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. B. Biyombo (A. Gordon gains possession),,,,Jump ball: J. Henson vs. B. Biyombo (A. Gordon gains possession)
11:35.0,A. Gordon misses 2-pt shot from 17 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by E. Bledsoe
11:08.0,,,0-0,,E. Bledsoe misses 3-pt shot from 28 ft
11:08.0,Defensive rebound by B. Biyombo,,0-0,,
11:00.0,,,0-0,,Personal foul by G. Antetokounmpo (drawn by B. Biyombo)
10:48.0,A. Gordon makes 2-pt shot from 1 ft,2,2-0,,
10:35.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot from 19 ft
10:25.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,4-2,,
10:13.0,,,4-2,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:13.0,Defensive rebound by E. Fournier,,4-2,,
10:04.0,A. Gordon makes 2-pt shot from 1 ft (assist by B. Biyombo),2,6-2,,
9:57.0,Personal foul by J. Simmons (drawn by K. Middleton),,6-2,,
9:49.0,,,6-4,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
9:44.0,Shooting foul by K. Middleton (drawn by J. Simmons),,6-4,,
9:44.0,J. Simmons makes free throw 1 of 2,1,7-4,,
9:44.0,J. Simmons makes free throw 2 of 2,1,8-4,,
9:32.0,,,8-6,2,M. Brogdon makes 2-pt shot from 18 ft (assist by G. Antetokounmpo)
9:23.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,10-6,,
9:15.0,,,10-8,2,E. Bledsoe makes 2-pt shot from 11 ft
9:06.0,E. Fournier misses 2-pt shot from 3 ft,,10-8,,
9:04.0,,,10-8,,Defensive rebound by M. Brogdon
8:57.0,,,10-10,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
8:50.0,Turnover by E. Payton (out of bounds lost ball),,10-10,,
8:41.0,,,10-12,2,E. Bledsoe makes 2-pt shot from 1 ft
8:40.0,Orlando full timeout,,10-12,,
8:40.0,,,10-12,,T. Maker enters the game for J. Henson
8:23.0,,,10-12,,Personal foul by M. Brogdon (drawn by E. Fournier)
8:07.0,E. Fournier misses 3-pt shot from 25 ft,,10-12,,
