time,Phoenix,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. G. Monroe (T. Harris gains possession),,,,Jump ball: A. Drummond vs. G. Monroe (T. Harris gains possession)
11:42.0,,,0-0,,S. Johnson misses 2-pt shot from 4 ft
11:36.0,,,0-0,,Offensive rebound by A. Drummond
11:35.0,,,0-2,2,A. Drummond makes 2-pt shot from 1 ft
11:14.0,Turnover by D. Booker (turnover),,0-2,,
11:04.0,Personal foul by D. Booker (drawn by A. Bradley),,0-2,,
10:55.0,,,0-5,3,R. Jackson makes 3-pt shot from 25 ft (assist by A. Drummond)
10:41.0,T. Warren misses 2-pt shot from 4 ft,,0-5,,
10:38.0,Offensive rebound by G. Monroe,,0-5,,
10:37.0,G. Monroe makes 2-pt shot from 1 ft,2,2-5,,
10:13.0,,,2-7,2,A. Bradley makes 2-pt shot from 7 ft
10:00.0,Turnover by D. Booker (turnover),,2-7,,
9:50.0,,,2-7,,R. Jackson misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by G. Monroe,,2-7,,
9:40.0,T. Ulis makes 2-pt shot from 12 ft,2,4-7,,
9:24.0,,,4-9,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Drummond)
8:55.0,Turnover by Team (shot clock),,4-9,,
8:38.0,,,4-11,2,R. Jackson makes 2-pt shot from 17 ft (assist by A. Drummond)
8:26.0,,,4-11,,Violation by R. Jackson (kicked ball)
8:21.0,D. Booker makes 2-pt shot from 15 ft,2,6-11,,
8:02.0,,,6-11,,Shooting foul by M. Chriss (drawn by T. Harris)
8:02.0,,,6-12,1,T. Harris makes free throw 1 of 2
8:02.0,,,6-13,1,T. Harris makes free throw 2 of 2
7:49.0,,,6-13,,Personal foul by A. Drummond (drawn by T. Ulis)
7:44.0,Turnover by D. Booker (lost ball; steal by A. Bradley),,6-13,,
7:41.0,,,6-13,,A. Bradley misses 2-pt shot from 2 ft (block by M. Chriss)
7:38.0,Defensive rebound by D. Booker,,6-13,,
7:32.0,G. Monroe makes 2-pt shot from 2 ft (assist by T. Ulis),2,8-13,,
7:08.0,,,8-13,,R. Jackson misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by M. Chriss,,8-13,,
6:58.0,,,8-13,,Violation by R. Jackson (kicked ball)
6:58.0,,,8-13,,Detroit full timeout
6:52.0,T. Warren makes 2-pt shot from 12 ft (assist by G. Monroe),2,10-13,,
6:34.0,,,10-15,2,A. Bradley makes 2-pt shot at rim (assist by R. Jackson)
6:15.0,T. Ulis misses 2-pt shot from 18 ft,,10-15,,
6:12.0,,,10-15,,Defensive rebound by R. Jackson
6:05.0,,,10-15,,A. Drummond misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by T. Warren,,10-15,,
6:00.0,Turnover by T. Ulis (bad pass),,10-15,,
6:00.0,J. Jackson enters the game for T. Warren,,10-15,,
5:37.0,,,10-15,,A. Drummond misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by G. Monroe,,10-15,,
5:32.0,D. Booker makes 3-pt shot from 27 ft (assist by T. Ulis),3,13-15,,
5:16.0,,,13-17,2,T. Harris makes 2-pt shot from 13 ft
4:50.0,M. Chriss misses 2-pt shot from 8 ft,,13-17,,
4:48.0,Offensive rebound by Team,,13-17,,
4:48.0,Technical foul by M. Chriss,,13-17,,
4:48.0,,,13-18,1,R. Jackson makes technical free throw
4:48.0,,,13-18,,L. Kennard enters the game for S. Johnson
4:48.0,D. Bender enters the game for M. Chriss,,13-18,,
4:39.0,T. Ulis misses 2-pt shot from 5 ft,,13-18,,
4:39.0,G. Monroe misses 2-pt shot from 2 ft,,13-18,,
4:39.0,,,13-18,,Defensive rebound by A. Drummond
4:36.0,Defensive rebound by G. Monroe,,13-18,,
4:29.0,,,13-20,2,R. Jackson makes 2-pt shot from 1 ft (assist by A. Drummond)
4:23.0,Offensive foul by D. Booker (drawn by A. Bradley),,13-20,,
4:23.0,Turnover by D. Booker (offensive foul),,13-20,,
4:23.0,,,13-20,,I. Smith enters the game for R. Jackson
4:23.0,T. Daniels enters the game for D. Booker,,13-20,,
4:11.0,,,13-20,,T. Harris misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by G. Monroe,,13-20,,
3:57.0,Shooting foul by A. Bradley (drawn by J. Jackson),,13-20,,
3:57.0,J. Jackson makes free throw 1 of 2,1,14-20,,
3:57.0,,,14-20,,L. Galloway enters the game for A. Bradley
3:57.0,A. Len enters the game for G. Monroe,,14-20,,
3:57.0,J. Jackson makes free throw 2 of 2,1,15-20,,
3:41.0,,,15-23,3,T. Harris makes 3-pt shot from 26 ft (assist by L. Kennard)
3:18.0,T. Ulis misses 2-pt shot from 1 ft,,15-23,,
3:15.0,,,15-23,,Defensive rebound by A. Drummond
3:10.0,,,15-25,2,I. Smith makes 2-pt shot from 2 ft
3:10.0,Phoenix full timeout,,15-25,,
3:10.0,M. James enters the game for T. Ulis,,15-25,,
2:50.0,Turnover by T. Daniels (bad pass; steal by L. Kennard),,15-25,,
2:45.0,,,15-27,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
2:26.0,M. James misses 2-pt shot from 18 ft,,15-27,,
2:23.0,,,15-27,,Defensive rebound by T. Harris
2:19.0,,,15-27,,Turnover by I. Smith (bad pass; steal by J. Jackson)
2:14.0,J. Jackson misses 2-pt shot at rim,,15-27,,
2:12.0,Offensive rebound by J. Jackson,,15-27,,
2:11.0,J. Jackson makes 2-pt shot from 2 ft,2,17-27,,
1:58.0,,,17-30,3,T. Harris makes 3-pt shot from 23 ft (assist by I. Smith)
1:46.0,Turnover by J. Jackson (bad pass),,17-30,,
1:36.0,,,17-30,,L. Galloway misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by J. Jackson,,17-30,,
1:22.0,A. Len misses 2-pt shot from 3 ft,,17-30,,
1:19.0,,,17-30,,Defensive rebound by T. Harris
1:10.0,,,17-32,2,I. Smith makes 2-pt shot at rim
1:10.0,,,17-32,,Shooting foul by D. Bender (drawn by I. Smith)
1:10.0,,,17-32,,I. Smith misses free throw 1 of 1
1:07.0,Defensive rebound by D. Bender,,17-32,,
1:02.0,J. Jackson misses 2-pt shot from 7 ft,,17-32,,
0:59.0,,,17-32,,Defensive rebound by A. Drummond
0:45.0,,,17-32,,A. Drummond misses 2-pt shot from 6 ft (block by A. Len)
0:41.0,Defensive rebound by M. James,,17-32,,
0:38.0,T. Daniels misses 3-pt shot from 24 ft,,17-32,,
0:38.0,,,17-32,,Defensive rebound by L. Galloway
0:30.0,,,17-34,2,T. Harris makes 2-pt shot at rim
0:15.0,M. James makes 2-pt shot at rim,2,19-34,,
0:02.0,,,19-36,2,I. Smith makes 2-pt shot from 3 ft
0:00.0,,,19-36,,E. Moreland enters the game for A. Drummond
0:00.0,,,19-36,,A. Tolliver enters the game for T. Harris
0:00.0,J. Dudley enters the game for T. Daniels,,19-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Jackson misses 3-pt shot from 24 ft,,19-39,,
11:41.0,,,19-39,,Personal foul by E. Moreland (drawn by A. Len)
11:40.0,Defensive rebound by Team,,19-39,,
11:35.0,Turnover by M. James (bad pass; steal by L. Kennard),,19-39,,
11:35.0,,,19-39,,L. Kennard misses 2-pt shot from 3 ft (block by M. James)
11:35.0,Defensive rebound by M. James,,19-39,,
11:22.0,M. James misses 2-pt shot from 12 ft,,19-39,,
11:22.0,,,19-39,,Defensive rebound by L. Kennard
11:16.0,,,19-39,3,L. Galloway makes 3-pt shot from 22 ft (assist by L. Kennard)
10:58.0,J. Jackson misses 2-pt shot from 11 ft (block by E. Moreland),,19-39,,
10:58.0,,,19-39,,Defensive rebound by E. Moreland
10:55.0,Personal foul by J. Dudley (drawn by L. Galloway),,19-39,,
10:55.0,T. Daniels enters the game for D. Bender,,19-39,,
10:53.0,,,19-39,,I. Smith misses 2-pt shot from 9 ft
10:53.0,Defensive rebound by Team,,19-39,,
10:53.0,,,19-39,,Personal foul by E. Moreland (drawn by A. Len)
10:36.0,A. Len misses 2-pt shot from 2 ft,,19-39,,
10:36.0,,,19-39,,Defensive rebound by E. Moreland
10:20.0,,,19-39,,L. Galloway misses 2-pt shot from 7 ft
10:20.0,Defensive rebound by A. Len,,19-39,,
10:13.0,A. Len makes 2-pt shot from 1 ft (assist by M. James),2,21-39,,
10:12.0,,,21-39,,Detroit full timeout
9:58.0,,,21-41,2,L. Kennard makes 2-pt shot from 16 ft (assist by E. Moreland)
9:44.0,M. James makes 2-pt shot from 3 ft (assist by A. Len),2,23-41,,
9:22.0,,,23-41,,Turnover by L. Kennard (bad pass; steal by J. Jackson)
9:07.0,Turnover by M. James (bad pass; steal by A. Tolliver),,23-41,,
9:02.0,,,23-44,3,A. Tolliver makes 3-pt shot from 27 ft (assist by L. Kennard)
8:36.0,A. Len misses 2-pt shot from 3 ft (block by L. Galloway),,23-44,,
8:36.0,,,23-44,,Defensive rebound by A. Tolliver
8:28.0,,,23-44,,Turnover by A. Tolliver (lost ball; steal by M. James)
8:22.0,M. James misses 2-pt shot from 2 ft,,23-44,,
8:17.0,,,23-44,,Defensive rebound by L. Kennard
8:08.0,,,23-47,3,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith)
8:07.0,Phoenix full timeout,,23-47,,
8:07.0,,,23-47,,A. Bradley enters the game for L. Kennard
8:07.0,,,23-47,,S. Johnson enters the game for L. Galloway
8:07.0,T. Warren enters the game for J. Jackson,,23-47,,
8:07.0,D. Booker enters the game for A. Len,,23-47,,
8:07.0,T. Ulis enters the game for M. James,,23-47,,
8:07.0,G. Monroe enters the game for T. Daniels,,23-47,,
7:48.0,Turnover by D. Booker (bad pass),,23-47,,
7:34.0,,,23-47,,Turnover by E. Moreland (traveling)
7:20.0,T. Warren misses 2-pt shot from 8 ft,,23-47,,
7:14.0,,,23-47,,Defensive rebound by I. Smith
7:11.0,,,23-50,3,A. Tolliver makes 3-pt shot from 28 ft (assist by I. Smith)
6:58.0,D. Booker makes 2-pt shot from 20 ft,2,25-50,,
6:46.0,,,25-52,2,A. Bradley makes 2-pt shot from 7 ft (assist by E. Moreland)
6:31.0,G. Monroe misses 2-pt shot from 6 ft,,25-52,,
6:26.0,,,25-52,,Defensive rebound by A. Tolliver
6:22.0,,,25-52,,A. Tolliver misses 3-pt shot from 26 ft
6:18.0,,,25-52,,Offensive rebound by E. Moreland
6:18.0,,,25-52,,A. Tolliver misses 2-pt shot from 4 ft (block by T. Warren)
6:18.0,,,25-52,,Offensive rebound by Team
6:02.0,,,25-54,2,A. Bradley makes 2-pt shot from 12 ft (assist by I. Smith)
5:51.0,J. Dudley misses 3-pt shot from 25 ft,,25-54,,
5:48.0,,,25-54,,Defensive rebound by E. Moreland
5:44.0,,,25-56,2,I. Smith makes 2-pt shot from 1 ft
5:29.0,,,25-56,,Def 3 sec tech foul by A. Tolliver
5:29.0,D. Booker makes technical free throw,1,26-56,,
5:29.0,,,26-56,,A. Drummond enters the game for I. Smith
5:29.0,,,26-56,,T. Harris enters the game for E. Moreland
5:29.0,,,26-56,,R. Jackson enters the game for A. Tolliver
5:29.0,M. Chriss enters the game for J. Dudley,,26-56,,
5:21.0,G. Monroe makes 2-pt shot from 2 ft (assist by T. Ulis),2,28-56,,
5:01.0,,,28-58,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
4:45.0,Turnover by T. Ulis (bad pass),,28-58,,
4:31.0,,,28-60,2,A. Bradley makes 2-pt shot at rim (assist by A. Drummond)
4:20.0,T. Warren misses 3-pt shot from 24 ft,,28-60,,
4:15.0,,,28-60,,Turnover by S. Johnson (bad pass)
4:14.0,,,28-60,,Offensive rebound by T. Harris
4:08.0,M. Chriss misses 3-pt shot from 27 ft,,28-60,,
4:03.0,,,28-60,,Defensive rebound by S. Johnson
4:01.0,Personal foul by D. Booker (drawn by S. Johnson),,28-60,,
3:54.0,,,28-60,,S. Johnson misses 2-pt shot from 3 ft
3:52.0,Defensive rebound by D. Booker,,28-60,,
3:50.0,Turnover by D. Booker (bad pass; steal by R. Jackson),,28-60,,
3:50.0,,,28-60,,Turnover by R. Jackson (bad pass)
3:40.0,Shooting foul by R. Jackson (drawn by T. Ulis),,28-60,,
3:40.0,T. Ulis makes free throw 1 of 2,1,29-60,,
3:40.0,J. Jackson enters the game for D. Booker,,29-60,,
3:40.0,T. Ulis makes free throw 2 of 2,1,30-60,,
3:23.0,,,30-60,,T. Harris misses 3-pt shot from 22 ft
3:20.0,Defensive rebound by T. Ulis,,30-60,,
3:12.0,M. Chriss misses 3-pt shot from 26 ft,,30-60,,
3:06.0,,,30-60,,Defensive rebound by S. Johnson
3:04.0,,,30-60,,Turnover by S. Johnson (bad pass; steal by G. Monroe)
2:58.0,Turnover by T. Warren (bad pass; steal by S. Johnson),,30-60,,
2:51.0,,,30-62,2,T. Harris makes 2-pt shot from 6 ft (assist by A. Bradley)
2:48.0,Phoenix full timeout,,30-62,,
2:48.0,,,30-62,,L. Kennard enters the game for S. Johnson
2:32.0,J. Jackson makes 2-pt shot from 1 ft (assist by G. Monroe),2,32-62,,
2:04.0,,,32-64,2,R. Jackson makes 2-pt shot from 7 ft
