time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Chandler (T. Parker gains possession),,,,Jump ball: P. Gasol vs. T. Chandler (T. Parker gains possession)
11:45.0,,,0-2,2,P. Gasol makes 2-pt shot from 7 ft (assist by K. Leonard)
11:29.0,M. Chriss misses 3-pt shot from 22 ft,,0-2,,
11:26.0,Offensive rebound by T. Chandler,,0-2,,
11:24.0,D. Booker makes 3-pt shot from 27 ft (assist by T. Ulis),3,3-2,,
10:57.0,,,3-5,3,K. Anderson makes 3-pt shot from 23 ft (assist by T. Parker)
10:46.0,Offensive foul by D. Booker (drawn by B. Forbes),,3-5,,
10:46.0,Turnover by D. Booker (offensive foul),,3-5,,
10:28.0,,,3-8,3,B. Forbes makes 3-pt shot from 24 ft (assist by T. Parker)
10:19.0,Shooting foul by P. Gasol (drawn by T. Chandler),,3-8,,
10:19.0,T. Chandler misses free throw 1 of 2,,3-8,,
10:19.0,Offensive rebound by Team,,3-8,,
10:19.0,T. Chandler makes free throw 2 of 2,1,4-8,,
10:02.0,,,4-8,,B. Forbes misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by J. Jackson,,4-8,,
9:57.0,,,4-8,,Personal foul by B. Forbes (drawn by D. Booker)
9:49.0,M. Chriss misses 2-pt shot at rim,,4-8,,
9:46.0,,,4-8,,Defensive rebound by T. Parker
9:42.0,,,4-8,,K. Leonard misses 3-pt shot from 25 ft (block by M. Chriss)
9:39.0,Defensive rebound by T. Ulis,,4-8,,
9:37.0,D. Booker misses 2-pt shot from 1 ft (block by K. Leonard),,4-8,,
9:37.0,,,4-8,,Defensive rebound by K. Anderson
9:31.0,,,4-8,,K. Leonard misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by J. Jackson,,4-8,,
9:25.0,Turnover by J. Jackson (bad pass; steal by B. Forbes),,4-8,,
9:10.0,,,4-8,,K. Anderson misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by J. Jackson,,4-8,,
9:01.0,Turnover by T. Ulis (bad pass; steal by K. Leonard),,4-8,,
8:57.0,,,4-10,2,K. Leonard makes 2-pt shot from 1 ft
8:38.0,J. Jackson makes 2-pt shot from 7 ft (assist by T. Ulis),2,6-10,,
8:13.0,,,6-10,,K. Anderson misses 2-pt shot from 10 ft
8:11.0,Defensive rebound by T. Chandler,,6-10,,
8:07.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,9-10,,
