time,Atlanta,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Dedmon (K. Walker gains possession),,,,Jump ball: D. Howard vs. D. Dedmon (K. Walker gains possession)
11:46.0,,,0-2,2,J. Lamb makes 2-pt shot from 5 ft
11:29.0,D. Schroder makes 2-pt shot from 15 ft (assist by D. Dedmon),2,2-2,,
11:13.0,,,2-2,,Offensive charge foul by D. Howard (drawn by E. Ilyasova)
11:13.0,,,2-2,,Turnover by D. Howard (offensive foul)
10:59.0,T. Waller-Prince misses 2-pt shot from 2 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by M. Williams
10:45.0,,,2-2,,J. Lamb misses 2-pt shot from 3 ft
10:45.0,Defensive rebound by D. Dedmon,,2-2,,
10:43.0,,,2-2,,M. Williams misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by T. Waller-Prince,,2-2,,
10:32.0,D. Dedmon makes 2-pt shot from 21 ft (assist by D. Schroder),2,4-2,,
10:05.0,,,9-12,,J. Lamb misses 3-pt shot from 27 ft
10:01.0,Defensive rebound by E. Ilyasova,,9-12,,
9:53.0,D. Dedmon misses 2-pt shot from 1 ft,,9-12,,
9:50.0,,,9-12,,Defensive rebound by D. Bacon
9:42.0,,,4-4,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
9:17.0,D. Dedmon makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,7-4,,
9:11.0,Personal foul by D. Dedmon (drawn by D. Howard),,7-4,,
9:10.0,Personal foul by D. Dedmon (drawn by D. Howard),,7-4,,
9:03.0,,,7-4,,Turnover by K. Walker (lost ball; steal by D. Dedmon)
8:58.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,9-4,,
8:45.0,,,9-4,,D. Bacon misses 3-pt shot from 25 ft
8:42.0,,,9-4,,Offensive rebound by M. Williams
8:41.0,,,9-7,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
8:21.0,T. Waller-Prince misses 2-pt shot from 5 ft (block by J. Lamb),,9-7,,
8:21.0,Offensive rebound by Team,,9-7,,
8:19.0,D. Schroder misses 2-pt shot from 14 ft,,9-7,,
8:19.0,Offensive rebound by Team,,9-7,,
8:18.0,,,9-7,,Personal foul by D. Bacon (drawn by E. Ilyasova)
8:18.0,J. Collins enters the game for D. Dedmon,,9-7,,
8:07.0,T. Waller-Prince misses 3-pt shot from 25 ft,,9-7,,
8:07.0,,,9-7,,Defensive rebound by M. Williams
7:56.0,,,9-7,,M. Williams misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by T. Waller-Prince,,9-7,,
7:42.0,K. Bazemore misses 2-pt shot from 17 ft,,9-7,,
7:42.0,,,9-7,,Defensive rebound by D. Howard
7:33.0,,,9-10,3,K. Walker makes 3-pt shot from 26 ft
7:15.0,T. Waller-Prince misses 3-pt shot from 23 ft,,9-10,,
7:15.0,,,9-10,,Defensive rebound by D. Bacon
7:09.0,,,9-10,,Turnover by D. Bacon (traveling)
7:09.0,Atlanta full timeout,,9-10,,
7:09.0,M. Belinelli enters the game for K. Bazemore,,9-10,,
6:59.0,M. Belinelli misses 2-pt shot from 17 ft,,9-10,,
6:55.0,,,9-10,,Defensive rebound by D. Howard
6:43.0,,,9-12,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
6:43.0,,,9-12,,Shooting foul by D. Schroder (drawn by D. Howard)
6:43.0,,,9-12,,D. Howard misses free throw 1 of 1
6:41.0,Defensive rebound by J. Collins,,9-12,,
6:29.0,Shooting foul by K. Walker (drawn by M. Belinelli),,9-12,,
6:29.0,M. Belinelli makes free throw 1 of 2,1,10-12,,
6:29.0,M. Belinelli makes free throw 2 of 2,1,11-12,,
6:12.0,,,11-12,,J. Lamb misses 2-pt shot from 1 ft (block by J. Collins)
6:02.0,Defensive rebound by E. Ilyasova,,11-12,,
6:00.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,13-12,,
5:50.0,,,13-12,,Turnover by D. Bacon (bad pass)
5:41.0,D. Schroder makes 2-pt shot from 8 ft,2,15-12,,
5:28.0,,,15-12,,Turnover by J. Lamb (lost ball; steal by E. Ilyasova)
5:23.0,T. Waller-Prince makes 2-pt shot at rim (assist by E. Ilyasova),2,17-12,,
5:01.0,,,17-12,,Turnover by D. Howard (traveling)
5:01.0,M. Delaney enters the game for D. Schroder,,17-12,,
4:49.0,Turnover by M. Belinelli (lost ball; steal by D. Bacon),,17-12,,
4:45.0,,,17-12,,D. Bacon misses 2-pt shot from 1 ft (block by J. Collins)
4:45.0,,,17-12,,Offensive rebound by Team
4:45.0,,,17-12,,F. Kaminsky enters the game for M. Williams
4:45.0,,,17-12,,M. Monk enters the game for D. Bacon
4:45.0,M. Muscala enters the game for E. Ilyasova,,17-12,,
