time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Valanciunas (O. Anunoby gains possession),,,,Jump ball: J. Henson vs. J. Valanciunas (O. Anunoby gains possession)
11:39.0,S. Ibaka makes 2-pt shot from 13 ft,2,2-0,,
11:22.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
11:22.0,,,2-2,,Shooting foul by J. Valanciunas (drawn by G. Antetokounmpo)
11:22.0,,,2-3,1,G. Antetokounmpo makes free throw 1 of 1
11:09.0,S. Ibaka makes 3-pt shot from 23 ft (assist by D. DeRozan),3,5-3,,
10:56.0,,,5-5,2,K. Middleton makes 2-pt shot from 16 ft
10:34.0,K. Lowry misses 3-pt shot from 29 ft,,5-5,,
10:34.0,,,5-5,,Defensive rebound by Team
10:34.0,Loose ball foul by J. Valanciunas (drawn by J. Henson),,5-5,,
10:34.0,L. Nogueira enters the game for J. Valanciunas,,5-5,,
10:24.0,Personal foul by D. DeRozan (drawn by G. Antetokounmpo),,5-5,,
10:22.0,,,5-5,,Turnover by G. Antetokounmpo (bad pass; steal by D. DeRozan)
10:22.0,,,5-5,,Personal take foul by E. Bledsoe (drawn by D. DeRozan)
10:03.0,Turnover by S. Ibaka (lost ball; steal by K. Middleton),,5-5,,
9:58.0,,,5-7,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
9:37.0,S. Ibaka misses 3-pt shot from 27 ft,,5-7,,
9:31.0,,,5-7,,Defensive rebound by T. Snell
9:27.0,,,5-7,,T. Snell misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by K. Lowry,,5-7,,
9:11.0,K. Lowry misses 3-pt shot from 23 ft,,5-7,,
9:08.0,,,5-7,,Defensive rebound by G. Antetokounmpo
9:06.0,,,5-10,3,K. Middleton makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
8:37.0,D. DeRozan misses 3-pt shot from 28 ft,,5-10,,
8:34.0,,,5-10,,Defensive rebound by J. Henson
8:31.0,,,5-12,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
8:31.0,,,5-12,,Shooting foul by L. Nogueira (drawn by J. Henson)
8:31.0,,,5-12,,J. Henson misses free throw 1 of 1
8:29.0,Defensive rebound by L. Nogueira,,5-12,,
8:26.0,Toronto full timeout,,5-12,,
8:14.0,D. DeRozan makes 2-pt shot from 9 ft,2,7-12,,
7:58.0,,,7-12,,G. Antetokounmpo misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by K. Lowry,,7-12,,
7:47.0,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry),2,9-12,,
7:25.0,,,9-12,,K. Middleton misses 2-pt shot at rim
7:23.0,Defensive rebound by D. DeRozan,,9-12,,
7:18.0,D. DeRozan misses 2-pt shot from 16 ft,,9-12,,
7:15.0,Offensive rebound by S. Ibaka,,9-12,,
7:13.0,S. Ibaka makes 2-pt shot from 6 ft,2,11-12,,
6:57.0,,,11-12,,Turnover by J. Henson (out of bounds lost ball)
6:57.0,,,11-12,,M. Brogdon enters the game for G. Antetokounmpo
6:45.0,O. Anunoby misses 3-pt shot from 27 ft,,11-12,,
6:40.0,Offensive rebound by L. Nogueira,,11-12,,
6:29.0,K. Lowry misses 3-pt shot from 28 ft (block by E. Bledsoe),,11-12,,
6:24.0,Offensive rebound by K. Lowry,,11-12,,
6:21.0,K. Lowry makes 3-pt shot from 28 ft (assist by L. Nogueira),3,14-12,,
6:02.0,,,14-12,,Turnover by E. Bledsoe (lost ball; steal by O. Anunoby)
5:58.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,16-12,,
5:58.0,Shooting foul by T. Snell (drawn by L. Nogueira),,16-12,,
5:58.0,L. Nogueira makes free throw 1 of 1,1,17-12,,
5:45.0,,,17-12,,T. Snell misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by L. Nogueira,,17-12,,
5:29.0,S. Ibaka makes 2-pt shot from 19 ft (assist by D. DeRozan),2,19-12,,
5:27.0,,,19-12,,Milwaukee full timeout
5:27.0,,,19-12,,T. Maker enters the game for T. Snell
5:27.0,,,19-12,,D. Liggins enters the game for J. Henson
5:08.0,,,19-14,2,E. Bledsoe makes 2-pt shot at rim
4:54.0,S. Ibaka makes 2-pt shot from 1 ft (assist by L. Nogueira),2,21-14,,
4:43.0,,,21-14,,M. Brogdon misses 2-pt shot from 2 ft (block by L. Nogueira)
4:39.0,Defensive rebound by K. Lowry,,21-14,,
