time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. T. Chandler (Z. Randolph gains possession),,,,Jump ball: S. Labissiere vs. T. Chandler (Z. Randolph gains possession)
11:35.0,,,0-0,,S. Labissiere misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by T. Chandler,,0-0,,
11:20.0,J. Jackson makes 2-pt shot from 6 ft (assist by T. Warren),2,2-0,,
11:06.0,,,2-0,,Turnover by G. Hill (step out of bounds)
10:57.0,,,2-0,,Personal foul by G. Temple (drawn by T. Warren)
10:45.0,T. Warren misses 3-pt shot from 26 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by S. Labissiere
10:34.0,,,2-0,,Z. Randolph misses 2-pt shot from 21 ft
10:31.0,Defensive rebound by T. Chandler,,2-0,,
10:21.0,M. Chriss misses 3-pt shot from 22 ft,,2-0,,
10:16.0,Offensive rebound by T. Chandler,,2-0,,
10:11.0,Turnover by T. Chandler (bad pass; steal by G. Hill),,2-0,,
10:06.0,,,2-0,,G. Temple misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by J. Jackson,,2-0,,
9:58.0,Turnover by J. Jackson (lost ball; steal by G. Hill),,2-0,,
9:54.0,,,2-2,2,D. Fox makes 2-pt shot from 2 ft (assist by G. Hill)
9:46.0,T. Warren misses 2-pt shot from 14 ft,,2-2,,
9:46.0,,,2-2,,Defensive rebound by Z. Randolph
9:32.0,,,2-2,,Turnover by Z. Randolph (lost ball; steal by M. Chriss)
9:27.0,Turnover by T. Warren (lost ball; steal by D. Fox),,2-2,,
9:23.0,,,2-2,,G. Hill misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by T. Warren,,2-2,,
8:58.0,J. Jackson makes 2-pt shot from 5 ft,2,4-2,,
8:35.0,,,4-2,,Z. Randolph misses 2-pt shot from 7 ft
8:32.0,,,4-2,,Offensive rebound by S. Labissiere
8:30.0,,,4-4,2,S. Labissiere makes 2-pt shot at rim
8:12.0,T. Warren makes 2-pt shot from 6 ft (assist by M. Chriss),2,6-4,,
7:50.0,,,6-4,,S. Labissiere misses 2-pt shot from 14 ft
7:47.0,Defensive rebound by Team,,6-4,,
7:34.0,T. Warren misses 2-pt shot from 17 ft,,6-4,,
