time,LA Clippers,pts.away,score,pts.home,Indiana
0:00.0,,,28-27,1,V. Oladipo makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-27,,C. Joseph misses 3-pt shot from 24 ft
11:46.0,,,28-27,,Offensive rebound by G. Robinson
11:46.0,Personal foul by S. Dekker (drawn by G. Robinson),,28-27,,
11:41.0,,,28-27,,T. Booker misses 2-pt shot from 4 ft
11:38.0,Defensive rebound by M. Teodosic,,28-27,,
11:29.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,30-27,,
11:08.0,,,30-29,2,L. Stephenson makes 2-pt shot from 19 ft
11:03.0,Offensive foul by M. Harrell (drawn by L. Stephenson),,30-29,,
11:03.0,Turnover by M. Harrell (offensive foul),,30-29,,
10:40.0,,,30-29,,L. Stephenson misses 3-pt shot from 22 ft
10:37.0,Defensive rebound by S. Thornwell,,30-29,,
10:33.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,32-29,,
10:12.0,,,32-31,2,B. Bogdanovic makes 2-pt shot from 6 ft (assist by L. Stephenson)
9:54.0,S. Thornwell misses 2-pt shot from 14 ft,,32-31,,
9:52.0,,,32-31,,Defensive rebound by G. Robinson
9:44.0,,,32-31,,B. Bogdanovic misses 3-pt shot from 23 ft
9:39.0,,,32-31,,Offensive rebound by T. Booker
9:32.0,,,32-31,,Turnover by C. Joseph (bad pass; steal by L. Williams)
9:27.0,,,32-31,,Shooting block foul by C. Joseph (drawn by M. Harrell)
9:27.0,M. Harrell misses free throw 1 of 2,,32-31,,
9:27.0,Offensive rebound by Team,,32-31,,
9:27.0,M. Harrell makes free throw 2 of 2,1,33-31,,
9:15.0,,,33-31,,L. Stephenson misses 3-pt shot from 26 ft
9:12.0,Defensive rebound by L. Williams,,33-31,,
9:07.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,35-31,,
8:51.0,,,35-31,,G. Robinson misses 2-pt shot from 7 ft
8:49.0,Defensive rebound by S. Dekker,,35-31,,
8:42.0,S. Thornwell makes 2-pt shot from 1 ft (assist by M. Teodosic),2,37-31,,
8:33.0,,,37-31,,Indiana full timeout
8:29.0,Personal foul by S. Thornwell (drawn by L. Stephenson),,37-31,,
8:22.0,,,37-34,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph)
8:04.0,,,37-34,,Personal foul by B. Bogdanovic (drawn by S. Dekker)
8:04.0,W. Johnson enters the game for S. Thornwell,,37-34,,
