time,LA Clippers,pts.away,score,pts.home,Indiana
0:25.0,L. Williams enters the game for S. Thornwell,,102-107,,
0:25.0,M. Teodosic enters the game for W. Johnson,,102-107,,
0:25.0,,,102-107,,T. Young enters the game for B. Bogdanovic
0:25.0,,,102-108,1,V. Oladipo makes free throw 2 of 2
0:20.0,M. Teodosic misses 3-pt shot from 29 ft,,102-108,,
0:17.0,,,102-108,,Defensive rebound by M. Turner
0:17.0,Personal foul by A. Rivers (drawn by M. Turner),,102-108,,
0:17.0,,,102-108,,M. Turner misses free throw 1 of 2
0:17.0,,,102-108,,Offensive rebound by Team
0:17.0,,,102-109,1,M. Turner makes free throw 2 of 2
0:12.0,L. Williams makes 2-pt shot from 1 ft,2,104-109,,
