time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (M. James gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (M. James gains possession)
11:48.0,,,0-0,,D. Booker misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by D. Favors,,0-0,,
11:26.0,D. Favors misses 3-pt shot from 23 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by T. Chandler
11:05.0,,,0-0,,T. Chandler misses 2-pt shot from 2 ft
11:00.0,,,0-0,,Offensive rebound by T. Chandler
11:00.0,,,0-2,2,T. Chandler makes 2-pt shot at rim
10:50.0,J. Ingles makes 2-pt shot at rim,2,2-2,,
10:40.0,Personal foul by D. Favors (drawn by T. Chandler),,2-2,,
10:27.0,,,2-2,,M. Chriss misses 2-pt shot from 1 ft (block by R. Gobert)
10:22.0,,,2-2,,Offensive rebound by T. Chandler
10:21.0,,,2-4,2,T. Chandler makes 2-pt shot from 1 ft
10:10.0,Turnover by R. Rubio (bad pass; steal by D. Booker),,2-4,,
10:05.0,,,2-6,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
9:56.0,,,2-6,,Personal foul by M. James (drawn by R. Rubio)
9:52.0,Turnover by R. Hood (traveling),,2-6,,
9:44.0,,,2-6,,M. James misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by R. Rubio,,2-6,,
9:37.0,Turnover by R. Rubio (bad pass; steal by T. Chandler),,2-6,,
9:32.0,,,2-8,2,T. Warren makes 2-pt shot from 1 ft (assist by M. James)
9:11.0,R. Gobert misses 2-pt shot from 1 ft (block by T. Chandler),,2-8,,
9:07.0,,,2-8,,Defensive rebound by M. James
9:04.0,,,2-8,,D. Booker misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by R. Gobert,,2-8,,
8:56.0,J. Ingles misses 3-pt shot from 26 ft,,2-8,,
8:53.0,,,2-8,,Defensive rebound by T. Chandler
8:47.0,,,2-10,2,D. Booker makes 2-pt shot from 12 ft
8:46.0,Utah full timeout,,2-10,,
8:25.0,R. Rubio misses 3-pt shot from 23 ft,,2-10,,
8:23.0,,,2-10,,Defensive rebound by T. Chandler
8:13.0,,,2-10,,M. Chriss misses 3-pt shot from 24 ft
8:10.0,,,2-10,,Offensive rebound by D. Booker
8:05.0,,,2-10,,T. Warren misses 2-pt shot from 4 ft
8:02.0,Defensive rebound by R. Gobert,,2-10,,
7:40.0,Turnover by R. Rubio (bad pass; steal by M. James),,2-10,,
7:34.0,,,2-10,,Turnover by D. Booker (discontinued dribble)
7:17.0,R. Hood makes 2-pt shot from 17 ft,2,4-10,,
6:51.0,,,4-10,,M. James misses 2-pt shot from 11 ft (block by R. Rubio)
6:48.0,Defensive rebound by D. Favors,,4-10,,
6:45.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,6-10,,
6:27.0,,,6-10,,D. Booker misses 2-pt shot from 16 ft
6:25.0,Defensive rebound by R. Gobert,,6-10,,
6:22.0,J. Ingles misses 2-pt shot at rim (block by D. Booker),,6-10,,
6:21.0,,,6-10,,Defensive rebound by Team
