time,Orlando,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. N. Vucevic (J. Jackson gains possession),,,,Jump ball: K. Koufos vs. N. Vucevic (J. Jackson gains possession)
11:37.0,,,0-2,2,K. Koufos makes 2-pt shot from 2 ft (assist by S. Labissiere)
11:22.0,M. Hezonja misses 2-pt shot from 2 ft (block by S. Labissiere),,0-2,,
11:19.0,,,0-2,,Defensive rebound by S. Labissiere
11:17.0,,,0-2,,Turnover by S. Labissiere (out of bounds lost ball)
10:58.0,M. Hezonja misses 2-pt shot at rim,,0-2,,
10:56.0,,,0-2,,Defensive rebound by S. Labissiere
10:42.0,,,0-2,,G. Temple misses 2-pt shot from 6 ft
10:40.0,,,0-2,,Offensive rebound by B. Bogdanovic
10:38.0,,,0-5,3,G. Temple makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:20.0,,,0-5,,Personal foul by G. Temple (drawn by J. Simmons)
10:17.0,N. Vucevic makes 2-pt shot from 19 ft (assist by M. Hezonja),2,2-5,,
10:03.0,,,2-7,2,J. Jackson makes 2-pt shot from 8 ft (assist by B. Bogdanovic)
9:37.0,J. Simmons misses 2-pt shot from 3 ft,,2-7,,
9:37.0,,,2-7,,Defensive rebound by B. Bogdanovic
9:17.0,,,2-7,,B. Bogdanovic misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by M. Hezonja,,2-7,,
9:04.0,D. Augustin misses 2-pt shot from 8 ft,,2-7,,
9:01.0,,,2-7,,Defensive rebound by K. Koufos
8:55.0,,,2-9,2,S. Labissiere makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
8:41.0,Turnover by N. Vucevic (bad pass),,2-9,,
8:30.0,,,2-9,,B. Bogdanovic misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by D. Augustin,,2-9,,
8:08.0,M. Hezonja misses 2-pt shot from 7 ft (block by J. Jackson),,2-9,,
8:05.0,,,2-9,,Defensive rebound by S. Labissiere
8:02.0,,,2-9,,J. Jackson misses 2-pt shot from 7 ft
7:57.0,Defensive rebound by M. Hezonja,,2-9,,
7:53.0,Orlando full timeout,,2-9,,
7:53.0,,,2-9,,F. Mason enters the game for G. Temple
7:42.0,N. Vucevic misses 2-pt shot from 11 ft,,2-9,,
7:38.0,,,2-9,,Defensive rebound by F. Mason
7:24.0,,,2-9,,B. Bogdanovic misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by J. Simmons,,2-9,,
7:02.0,J. Isaac misses 3-pt shot from 25 ft,,2-9,,
6:59.0,,,2-9,,Defensive rebound by K. Koufos
6:53.0,,,2-11,2,S. Labissiere makes 2-pt shot from 1 ft (assist by F. Mason)
6:37.0,J. Simmons makes 2-pt shot from 7 ft,2,4-11,,
6:19.0,,,4-11,,S. Labissiere misses 2-pt shot from 9 ft
6:13.0,Defensive rebound by M. Hezonja,,4-11,,
6:07.0,,,4-11,,Personal foul by B. Bogdanovic (drawn by J. Simmons)
6:07.0,,,4-11,,V. Carter enters the game for K. Koufos
6:00.0,J. Isaac misses 3-pt shot from 22 ft,,4-11,,
5:59.0,,,4-11,,Defensive rebound by Team
5:45.0,,,4-11,,S. Labissiere misses 2-pt shot from 12 ft
5:40.0,Defensive rebound by J. Simmons,,4-11,,
5:36.0,Shooting foul by B. Bogdanovic (drawn by J. Simmons),,4-11,,
5:36.0,J. Simmons makes free throw 1 of 2,1,5-11,,
5:36.0,,,5-11,,B. Hield enters the game for B. Bogdanovic
5:36.0,W. Iwundu enters the game for J. Isaac,,5-11,,
5:36.0,S. Mack enters the game for D. Augustin,,5-11,,
5:36.0,J. Simmons makes free throw 2 of 2,1,6-11,,
5:14.0,,,6-11,,Turnover by J. Jackson (step out of bounds)
4:52.0,Turnover by S. Mack (bad pass; steal by V. Carter),,6-11,,
4:50.0,,,6-11,,Shooting foul by J. Simmons (drawn by S. Labissiere)
4:50.0,,,6-12,1,S. Labissiere makes free throw 1 of 2
4:50.0,,,6-13,1,S. Labissiere makes free throw 2 of 2
4:38.0,J. Simmons makes 2-pt shot from 19 ft (assist by N. Vucevic),2,8-13,,
4:31.0,,,8-13,,Sacramento full timeout
4:31.0,,,8-13,,K. Koufos enters the game for S. Labissiere
4:20.0,,,8-13,,V. Carter misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by J. Simmons,,8-13,,
4:06.0,Offensive foul by S. Mack (drawn by K. Koufos),,8-13,,
4:06.0,Turnover by S. Mack (offensive foul),,8-13,,
4:06.0,K. Birch enters the game for M. Hezonja,,8-13,,
3:48.0,,,8-13,,F. Mason misses 2-pt shot from 20 ft
3:45.0,,,8-13,,Offensive rebound by K. Koufos
3:43.0,,,8-13,,F. Mason misses 2-pt shot from 18 ft
3:43.0,Defensive rebound by N. Vucevic,,8-13,,
3:34.0,N. Vucevic misses 3-pt shot from 25 ft,,8-13,,
3:31.0,,,8-13,,Defensive rebound by J. Jackson
3:21.0,,,8-15,2,K. Koufos makes 2-pt shot from 8 ft (assist by J. Jackson)
3:13.0,,,8-15,,Personal foul by F. Mason (drawn by S. Mack)
3:13.0,,,8-15,,G. Temple enters the game for J. Jackson
3:02.0,N. Vucevic makes 2-pt shot from 13 ft,2,10-15,,
2:51.0,,,10-18,3,V. Carter makes 3-pt shot from 25 ft (assist by F. Mason)
2:32.0,J. Simmons makes 2-pt shot from 9 ft,2,12-18,,
2:12.0,,,12-18,,Offensive foul by B. Hield (drawn by J. Simmons)
2:12.0,,,12-18,,Turnover by B. Hield (offensive foul)
1:57.0,Turnover by S. Mack (traveling),,12-18,,
1:41.0,,,12-18,,B. Hield misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by S. Mack,,12-18,,
1:22.0,J. Simmons misses 3-pt shot from 25 ft,,12-18,,
1:18.0,,,12-18,,Defensive rebound by K. Koufos
1:09.0,,,12-18,,F. Mason misses 2-pt shot from 5 ft
1:07.0,Defensive rebound by J. Simmons,,12-18,,
1:01.0,W. Iwundu misses 2-pt shot from 1 ft (block by V. Carter),,12-18,,
0:58.0,,,12-18,,Defensive rebound by F. Mason
0:58.0,,,12-18,,Turnover by F. Mason (bad pass)
0:58.0,R. Purvis enters the game for J. Simmons,,12-18,,
0:42.0,S. Mack makes 2-pt shot from 21 ft,2,14-18,,
0:28.0,,,14-21,3,G. Temple makes 3-pt shot from 23 ft (assist by F. Mason)
0:28.0,,,14-21,,Shooting foul by R. Purvis (drawn by G. Temple)
0:28.0,,,14-21,,J. Cooley enters the game for K. Koufos
0:28.0,,,14-22,1,G. Temple makes free throw 1 of 1
0:09.0,S. Mack misses 2-pt shot from 18 ft,,14-22,,
0:04.0,,,14-22,,Defensive rebound by V. Carter
0:00.0,,,14-22,,B. Hield misses 2-pt shot from 12 ft (block by S. Mack)
0:00.0,Defensive rebound by R. Purvis,,14-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,S. Mack misses 3-pt shot from 27 ft,,14-22,,
11:36.0,,,14-22,,Defensive rebound by Team
11:19.0,,,14-22,,F. Mason misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by B. Biyombo,,14-22,,
11:08.0,R. Purvis misses 3-pt shot from 25 ft,,14-22,,
11:05.0,,,14-22,,Defensive rebound by V. Carter
10:55.0,,,14-24,2,J. Cooley makes 2-pt shot from 7 ft
10:42.0,W. Iwundu misses 2-pt shot from 18 ft,,14-24,,
10:39.0,,,14-24,,Defensive rebound by G. Temple
10:26.0,,,14-24,,B. Hield misses 2-pt shot from 19 ft
10:23.0,Defensive rebound by S. Mack,,14-24,,
10:01.0,R. Purvis makes 2-pt shot from 19 ft (assist by B. Biyombo),2,16-24,,
9:41.0,,,16-26,2,F. Mason makes 2-pt shot from 1 ft (assist by J. Cooley)
9:29.0,Turnover by B. Biyombo (bad pass; steal by B. Hield),,16-26,,
9:25.0,,,16-26,,B. Hield misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by K. Birch,,16-26,,
9:24.0,,,16-26,,Personal foul by J. Cooley (drawn by W. Iwundu)
9:24.0,,,16-26,,B. Bogdanovic enters the game for F. Mason
9:20.0,S. Mack misses 3-pt shot from 24 ft,,16-26,,
9:16.0,Offensive rebound by K. Birch,,16-26,,
9:14.0,K. Birch makes 2-pt shot from 2 ft,2,18-26,,
8:58.0,,,18-26,,Turnover by G. Temple (bad pass; steal by W. Iwundu)
8:55.0,W. Iwundu makes 2-pt shot from 3 ft,2,20-26,,
8:55.0,Shooting foul by B. Hield (drawn by W. Iwundu),,20-26,,
8:55.0,W. Iwundu makes free throw 1 of 1,1,21-26,,
8:36.0,,,21-26,,J. Cooley misses 2-pt shot from 12 ft (block by K. Birch)
8:34.0,,,21-26,,Offensive rebound by J. Cooley
8:33.0,,,21-26,,J. Cooley misses 2-pt shot from 8 ft
8:33.0,Defensive rebound by B. Biyombo,,21-26,,
8:13.0,S. Mack misses 2-pt shot from 3 ft,,21-26,,
8:13.0,,,21-26,,Defensive rebound by Team
8:12.0,,,21-26,,S. Labissiere enters the game for J. Cooley
8:12.0,M. Hezonja enters the game for K. Birch,,21-26,,
8:12.0,,,21-26,,K. Koufos enters the game for V. Carter
8:09.0,,,21-26,,Sacramento full timeout
7:56.0,,,21-28,2,K. Koufos makes 2-pt shot from 11 ft (assist by G. Temple)
7:30.0,W. Iwundu misses 2-pt shot from 8 ft,,21-28,,
7:27.0,,,21-28,,Defensive rebound by S. Labissiere
7:19.0,,,21-28,,Offensive charge foul by B. Bogdanovic (drawn by W. Iwundu)
7:19.0,,,21-28,,Turnover by B. Bogdanovic (offensive foul)
7:08.0,Offensive foul by B. Biyombo (drawn by B. Hield),,21-28,,
7:08.0,Turnover by B. Biyombo (offensive foul),,21-28,,
7:08.0,,,21-28,,J. Jackson enters the game for B. Bogdanovic
6:55.0,,,21-28,,Turnover by S. Labissiere (traveling)
