time,Chicago,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. R. Lopez (K. Dunn gains possession),,,,Jump ball: Z. Pachulia vs. R. Lopez (K. Dunn gains possession)
11:45.0,L. Markkanen misses 2-pt shot from 11 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by O. Casspi
11:28.0,,,0-2,2,J. Bell makes 2-pt shot from 1 ft (assist by S. Curry)
11:19.0,Turnover by K. Dunn (bad pass; steal by S. Curry),,0-2,,
11:13.0,,,0-2,,Turnover by K. Thompson (bad pass)
10:59.0,,,0-2,,Personal foul by J. Bell (drawn by L. Markkanen)
10:54.0,L. Markkanen misses 3-pt shot from 26 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by O. Casspi
10:35.0,,,0-4,2,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia)
10:15.0,K. Dunn makes 2-pt shot from 9 ft (assist by J. Holiday),2,2-4,,
10:01.0,,,2-6,2,K. Thompson makes 2-pt shot from 20 ft (assist by O. Casspi)
9:46.0,L. Markkanen makes 3-pt shot from 26 ft (assist by D. Valentine),3,5-6,,
9:24.0,,,5-6,,O. Casspi misses 2-pt shot from 2 ft
9:16.0,,,5-6,,Offensive rebound by Z. Pachulia
9:16.0,,,5-8,2,Z. Pachulia makes 2-pt shot at rim
9:11.0,Turnover by L. Markkanen (bad pass; steal by Z. Pachulia),,5-8,,
9:07.0,,,5-10,2,J. Bell makes 2-pt shot from 1 ft (assist by Z. Pachulia)
9:07.0,Chicago full timeout,,5-10,,
8:58.0,L. Markkanen misses 2-pt shot from 3 ft,,5-10,,
8:51.0,Offensive rebound by R. Lopez,,5-10,,
8:51.0,R. Lopez makes 2-pt shot at rim,2,7-10,,
8:43.0,,,7-12,2,Z. Pachulia makes 2-pt shot from 18 ft
8:27.0,D. Valentine makes 3-pt shot from 22 ft (assist by J. Holiday),3,10-12,,
8:14.0,,,10-12,,Turnover by S. Curry (bad pass; steal by L. Markkanen)
8:08.0,D. Valentine misses 3-pt shot from 26 ft,,10-12,,
8:02.0,,,10-12,,Defensive rebound by S. Curry
7:58.0,,,10-14,2,K. Thompson makes 2-pt shot from 19 ft (assist by J. Bell)
7:44.0,R. Lopez misses 2-pt shot from 11 ft,,10-14,,
7:41.0,,,10-14,,Defensive rebound by S. Curry
7:38.0,,,10-14,,S. Curry misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by Team,,10-14,,
7:26.0,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez),3,13-14,,
7:09.0,,,13-14,,Turnover by K. Thompson (bad pass; steal by J. Holiday)
7:01.0,D. Valentine makes 2-pt shot from 5 ft,2,15-14,,
6:46.0,,,15-14,,O. Casspi misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by R. Lopez,,15-14,,
6:41.0,K. Dunn misses 2-pt shot from 2 ft (block by J. Bell),,15-14,,
6:41.0,Offensive rebound by Team,,15-14,,
6:39.0,Shooting foul by S. Curry (drawn by J. Holiday),,15-14,,
6:39.0,J. Holiday misses free throw 1 of 2,,15-14,,
6:39.0,Offensive rebound by Team,,15-14,,
6:39.0,J. Holiday makes free throw 2 of 2,1,16-14,,
6:26.0,,,16-17,3,S. Curry makes 3-pt shot from 24 ft (assist by Z. Pachulia)
6:14.0,Shooting foul by S. Curry (drawn by K. Dunn),,16-17,,
6:14.0,K. Dunn makes free throw 2 of 2,1,17-17,,
6:14.0,K. Dunn makes free throw 1 of 2,1,18-17,,
6:14.0,,,18-17,,Q. Cook enters the game for S. Curry
5:55.0,,,18-19,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by O. Casspi)
5:55.0,,,18-19,,Shooting foul by L. Markkanen (drawn by Z. Pachulia)
5:55.0,,,18-20,1,Z. Pachulia makes free throw 1 of 1
5:33.0,Turnover by K. Dunn (bad pass; steal by J. Bell),,18-20,,
