time,San Antonio,pts.away,score,pts.home,Philadelphia
5:38.0,,,92-96,1,B. Simmons makes free throw 1 of 2
5:38.0,,,92-96,,J. Embiid enters the game for J. Bayless
5:38.0,,,92-96,,J. Redick enters the game for A. Johnson
5:38.0,P. Mills enters the game for D. White,,92-96,,
5:38.0,,,92-96,,B. Simmons misses free throw 2 of 2
5:36.0,Defensive rebound by L. Aldridge,,92-96,,
5:23.0,P. Mills makes 2-pt shot from 1 ft,2,94-96,,
5:14.0,,,94-96,,Shooting foul by L. Aldridge (drawn by B. Simmons)
5:14.0,,,94-96,,B. Simmons misses free throw 1 of 2
5:14.0,,,94-96,,Offensive rebound by Team
5:14.0,D. White enters the game for B. Forbes,,94-96,,
5:14.0,,,94-96,,B. Simmons misses free throw 2 of 2
5:12.0,Defensive rebound by K. Anderson,,94-96,,
4:54.0,L. Aldridge makes 2-pt shot from 7 ft,2,96-96,,
4:37.0,,,96-96,,J. Embiid misses 2-pt shot from 17 ft (block by D. Bertans)
4:37.0,,,96-96,,Offensive rebound by J. Embiid
4:36.0,,,96-98,2,J. Embiid makes 2-pt shot from 17 ft
4:13.0,L. Aldridge misses 2-pt shot from 15 ft,,96-98,,
4:09.0,,,96-98,,Defensive rebound by B. Simmons
4:03.0,,,96-98,,D. Saric misses 2-pt shot from 6 ft
4:01.0,Defensive rebound by L. Aldridge,,96-98,,
3:50.0,P. Mills misses 3-pt shot from 28 ft,,96-98,,
3:47.0,Offensive rebound by D. White,,96-98,,
3:35.0,,,96-98,,Personal foul by J. Embiid (drawn by L. Aldridge)
3:35.0,B. Forbes enters the game for D. White,,96-98,,
3:26.0,P. Mills misses 2-pt shot from 18 ft,,96-98,,
3:26.0,Offensive rebound by L. Aldridge,,96-98,,
3:26.0,L. Aldridge makes 2-pt shot at rim,2,98-98,,
3:26.0,,,98-98,,Philadelphia full timeout
3:12.0,,,98-98,,R. Covington misses 2-pt shot from 17 ft
3:08.0,,,98-98,,Offensive rebound by D. Saric
3:08.0,,,98-98,,Shooting foul by D. Bertans (drawn by D. Saric)
3:08.0,,,98-99,1,D. Saric makes free throw 1 of 2
3:08.0,,,98-100,1,D. Saric makes free throw 2 of 2
2:49.0,P. Mills makes 3-pt shot from 25 ft (assist by K. Anderson),3,101-100,,
2:39.0,Personal take foul by D. Bertans (drawn by B. Simmons),,101-100,,
2:39.0,,,101-101,1,B. Simmons makes free throw 1 of 2
2:39.0,,,101-101,,B. Simmons misses free throw 2 of 2
2:37.0,Defensive rebound by K. Anderson,,101-101,,
2:20.0,B. Forbes misses 2-pt shot from 1 ft,,101-101,,
2:16.0,Offensive rebound by L. Aldridge,,101-101,,
2:15.0,L. Aldridge makes 2-pt shot at rim,2,103-101,,
2:10.0,Personal take foul by B. Forbes (drawn by B. Simmons),,103-101,,
2:10.0,,,103-102,1,B. Simmons makes free throw 1 of 2
2:10.0,,,103-103,1,B. Simmons makes free throw 2 of 2
1:54.0,L. Aldridge misses 2-pt shot from 13 ft,,103-103,,
1:52.0,,,103-103,,Defensive rebound by D. Saric
1:41.0,,,103-105,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick)
1:41.0,Violation by L. Aldridge (def goaltending),,103-105,,
1:41.0,,,103-105,,Shooting foul by B. Forbes (drawn by B. Simmons)
1:41.0,,,103-106,1,B. Simmons makes free throw 1 of 1
1:32.0,P. Mills misses 3-pt shot from 26 ft,,103-106,,
1:29.0,,,103-106,,Defensive rebound by J. Redick
1:18.0,,,103-106,,B. Simmons misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by L. Aldridge,,103-106,,
1:02.0,D. Bertans misses 3-pt shot from 26 ft,,103-106,,
0:58.0,Offensive rebound by P. Mills,,103-106,,
0:55.0,D. Bertans misses 3-pt shot from 25 ft,,103-106,,
0:55.0,Offensive rebound by L. Aldridge,,103-106,,
0:55.0,Shooting foul by J. Embiid (drawn by L. Aldridge),,103-106,,
0:55.0,L. Aldridge makes free throw 1 of 2,1,104-106,,
0:55.0,L. Aldridge misses free throw 2 of 2,,104-106,,
0:53.0,,,104-106,,Defensive rebound by R. Covington
0:35.0,,,104-108,2,J. Redick makes 2-pt shot from 20 ft (assist by J. Embiid)
0:25.0,Turnover by K. Anderson (bad pass),,104-108,,
0:25.0,,,104-108,,Philadelphia full timeout
0:21.0,,,104-110,2,B. Simmons makes 2-pt shot from 3 ft (assist by R. Covington)
0:14.0,Shooting foul by R. Covington (drawn by P. Mills),,104-110,,
0:14.0,P. Mills makes free throw 1 of 2,1,105-110,,
0:14.0,P. Mills makes free throw 2 of 2,1,106-110,,
0:14.0,,,106-110,,Philadelphia full timeout
0:14.0,B. Paul enters the game for K. Anderson,,106-110,,
0:14.0,D. Murray enters the game for D. Bertans,,106-110,,
0:10.0,Personal take foul by D. Murray (drawn by D. Saric),,106-110,,
0:10.0,,,106-111,1,D. Saric makes free throw 1 of 2
0:10.0,K. Anderson enters the game for B. Paul,,106-111,,
0:10.0,,,106-112,1,D. Saric makes free throw 2 of 2
0:10.0,San Antonio full timeout,,106-112,,
0:10.0,,,106-112,,T. McConnell enters the game for J. Embiid
0:10.0,D. Bertans enters the game for D. Murray,,106-112,,
0:03.0,P. Mills misses 3-pt shot from 24 ft,,106-112,,
0:00.0,,,106-112,,Defensive rebound by R. Covington
