time,San Antonio,pts.away,score,pts.home,Philadelphia
1:32.0,,,20-20,,Defensive rebound by J. Embiid
1:29.0,,,20-22,2,T. McConnell makes 2-pt shot from 6 ft
1:09.0,J. Lauvergne misses 2-pt shot from 4 ft (block by J. Embiid),,20-22,,
1:05.0,,,20-22,,Defensive rebound by T. McConnell
0:59.0,,,20-22,,T. McConnell misses 2-pt shot from 4 ft
0:57.0,Defensive rebound by K. Anderson,,20-22,,
0:52.0,Shooting foul by J. Embiid (drawn by K. Anderson),,20-22,,
0:51.0,D. Hilliard enters the game for K. Anderson,,20-22,,
0:51.0,B. Paul enters the game for B. Forbes,,20-22,,
0:51.0,,,20-22,,Personal foul by T. Booker (drawn by D. Bertans)
0:51.0,D. Bertans makes free throw 1 of 2,1,21-22,,
0:51.0,D. Bertans makes free throw 2 of 2,1,22-22,,
0:37.0,,,22-22,,Shooting foul by J. Lauvergne (drawn by J. Embiid)
0:37.0,,,22-23,1,J. Embiid makes free throw 1 of 2
0:37.0,,,22-24,1,J. Embiid makes free throw 2 of 2
0:30.0,D. Bertans misses 3-pt shot from 25 ft,,22-24,,
0:27.0,,,22-24,,Defensive rebound by Team
0:08.0,,,22-27,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Embiid)
0:00.0,P. Mills misses 3-pt shot from 26 ft,,22-27,,
0:00.0,,,22-27,,Defensive rebound by J. Embiid
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,22-27,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by J. Lauvergne,,22-27,,
11:30.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by D. Bertans),2,24-27,,
11:06.0,,,24-27,,J. Redick misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by B. Paul,,24-27,,
10:49.0,Turnover by D. Bertans (traveling),,24-27,,
10:42.0,Personal foul by J. Lauvergne (drawn by J. Embiid),,24-27,,
10:42.0,,,24-29,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by J. Redick)
10:42.0,,,24-29,,Shooting foul by D. Hilliard (drawn by T. Luwawu-Cabarrot)
10:42.0,,,24-30,1,T. Luwawu-Cabarrot makes free throw 1 of 1
10:28.0,D. Bertans makes 3-pt shot from 26 ft (assist by P. Mills),3,27-30,,
10:08.0,,,27-32,2,J. Embiid makes 2-pt shot from 8 ft
9:53.0,B. Paul misses 2-pt shot from 11 ft,,27-32,,
9:50.0,,,27-32,,Defensive rebound by J. Embiid
9:45.0,,,27-32,,D. Saric misses 2-pt shot from 17 ft
9:42.0,,,27-32,,Offensive rebound by D. Saric
9:40.0,,,27-32,,D. Saric misses 2-pt shot from 11 ft
9:40.0,Defensive rebound by B. Paul,,27-32,,
9:28.0,J. Lauvergne misses 2-pt shot from 14 ft,,27-32,,
9:25.0,,,27-32,,Defensive rebound by D. Saric
9:20.0,,,27-35,3,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell)
9:18.0,San Antonio full timeout,,27-35,,
9:18.0,D. Murray enters the game for P. Mills,,27-35,,
9:18.0,L. Aldridge enters the game for D. Bertans,,27-35,,
9:18.0,P. Gasol enters the game for J. Lauvergne,,27-35,,
9:08.0,Turnover by D. Murray (bad pass; steal by T. McConnell),,27-35,,
9:02.0,,,27-38,3,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell)
8:50.0,D. Murray makes 2-pt shot from 2 ft (assist by P. Gasol),2,29-38,,
8:37.0,,,29-40,2,J. Redick makes 2-pt shot from 2 ft (assist by T. McConnell)
8:21.0,P. Gasol misses 2-pt shot from 14 ft,,29-40,,
8:18.0,,,29-40,,Defensive rebound by T. Luwawu-Cabarrot
8:16.0,,,29-40,,Shooting foul by D. Murray (drawn by J. Redick)
8:16.0,,,29-41,1,J. Redick makes free throw 1 of 3
8:16.0,,,29-42,1,J. Redick makes free throw 2 of 3
8:16.0,,,29-42,,J. Bayless enters the game for D. Saric
8:16.0,K. Anderson enters the game for B. Paul,,29-42,,
8:16.0,D. White enters the game for D. Hilliard,,29-42,,
8:16.0,B. Forbes enters the game for D. Murray,,29-42,,
8:16.0,,,29-42,,J. Redick misses free throw 3 of 3
8:16.0,,,29-42,,B. Simmons enters the game for T. McConnell
8:12.0,Defensive rebound by L. Aldridge,,29-42,,
7:57.0,D. White misses 3-pt shot from 26 ft,,29-42,,
7:55.0,Offensive rebound by P. Gasol,,29-42,,
7:44.0,B. Forbes makes 2-pt shot from 12 ft,2,31-42,,
7:35.0,,,31-42,,J. Embiid misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by L. Aldridge,,31-42,,
7:23.0,Turnover by K. Anderson (bad pass),,31-42,,
7:23.0,,,31-42,,A. Johnson enters the game for T. Luwawu-Cabarrot
7:23.0,,,31-42,,D. Saric enters the game for J. Redick
7:23.0,,,31-42,,R. Covington enters the game for J. Embiid
7:07.0,,,31-42,,J. Bayless misses 3-pt shot from 23 ft
7:03.0,Defensive rebound by L. Aldridge,,31-42,,
6:52.0,L. Aldridge misses 2-pt shot from 13 ft,,31-42,,
6:44.0,Offensive rebound by D. White,,31-42,,
6:44.0,D. White makes 2-pt shot at rim,2,33-42,,
6:44.0,Personal foul by K. Anderson (drawn by B. Simmons),,33-42,,
6:30.0,,,33-45,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
6:13.0,,,33-45,,Personal foul by J. Bayless (drawn by B. Forbes)
6:13.0,D. Bertans enters the game for P. Gasol,,33-45,,
5:59.0,L. Aldridge misses 2-pt shot from 17 ft,,33-45,,
5:56.0,,,33-45,,Defensive rebound by B. Simmons
