time,Oklahoma City,pts.away,score,pts.home,LA Lakers
2:41.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,22-21,,
2:26.0,,,22-21,,B. Ingram misses 2-pt shot from 2 ft (block by J. Huestis)
2:23.0,Defensive rebound by J. Huestis,,22-21,,
2:02.0,C. Anthony makes 2-pt shot from 14 ft (assist by R. Felton),2,24-21,,
1:47.0,,,24-21,,J. Clarkson misses 2-pt shot from 15 ft
1:40.0,,,24-21,,Offensive rebound by L. Nance
1:40.0,,,24-21,,L. Nance misses 2-pt shot at rim
1:39.0,Defensive rebound by J. Grant,,24-21,,
1:37.0,,,24-21,,Personal foul by K. Kuzma (drawn by C. Anthony)
1:37.0,,,24-21,,C. Brewer enters the game for K. Kuzma
1:37.0,,,24-21,,B. Lopez enters the game for B. Ingram
1:37.0,T. Ferguson enters the game for R. Westbrook,,24-21,,
1:37.0,P. Patterson enters the game for C. Anthony,,24-21,,
1:30.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton),2,26-21,,
1:12.0,,,26-23,2,B. Lopez makes 2-pt shot from 1 ft
0:59.0,R. Felton misses 2-pt shot from 18 ft,,26-23,,
0:56.0,,,26-23,,Defensive rebound by K. Caldwell-Pope
0:50.0,,,26-23,,K. Caldwell-Pope misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by R. Felton,,26-23,,
0:42.0,J. Grant misses 3-pt shot from 26 ft,,26-23,,
0:39.0,,,26-23,,Defensive rebound by B. Lopez
0:32.0,,,26-26,3,B. Lopez makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
0:08.0,P. Patterson misses 3-pt shot from 23 ft,,26-26,,
0:06.0,,,26-26,,Defensive rebound by J. Clarkson
0:03.0,,,26-26,,C. Brewer misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by J. Grant,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by P. Patterson (lost ball; steal by J. Clarkson),,26-26,,
11:40.0,,,26-26,,J. Clarkson misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by J. Huestis,,26-26,,
11:31.0,R. Felton misses 2-pt shot from 17 ft,,26-26,,
11:29.0,,,26-26,,Defensive rebound by L. Nance
11:07.0,,,26-26,,B. Lopez misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by R. Felton,,26-26,,
10:48.0,P. Patterson makes 3-pt shot from 23 ft (assist by J. Huestis),3,29-26,,
10:38.0,,,29-26,,J. Clarkson misses 2-pt shot from 3 ft (block by J. Huestis)
10:34.0,,,29-26,,Offensive rebound by B. Lopez
10:25.0,,,29-29,3,J. Clarkson makes 3-pt shot from 25 ft (assist by C. Brewer)
10:06.0,S. Adams makes 2-pt shot from 13 ft (assist by R. Felton),2,31-29,,
9:56.0,Personal foul by S. Adams (drawn by B. Lopez),,31-29,,
9:56.0,P. George enters the game for J. Huestis,,31-29,,
9:44.0,,,31-29,,J. Clarkson misses 3-pt shot from 28 ft
9:40.0,,,31-29,,Offensive rebound by C. Brewer
9:40.0,,,31-31,2,C. Brewer makes 2-pt shot at rim
9:25.0,Shooting foul by B. Lopez (drawn by P. George),,31-31,,
9:25.0,P. George misses free throw 1 of 2,,31-31,,
9:25.0,Offensive rebound by Team,,31-31,,
9:25.0,P. George makes free throw 2 of 2,1,32-31,,
9:09.0,,,32-31,,Turnover by J. Hart (bad pass)
8:52.0,P. George misses 2-pt shot from 15 ft,,32-31,,
8:49.0,,,32-31,,Defensive rebound by L. Nance
8:38.0,,,32-34,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Clarkson)
8:21.0,P. George makes 3-pt shot from 26 ft (assist by S. Adams),3,35-34,,
8:09.0,,,35-34,,Shooting foul by T. Ferguson (drawn by C. Brewer)
8:09.0,,,35-34,,C. Brewer misses free throw 1 of 2
8:09.0,,,35-34,,Offensive rebound by Team
8:09.0,R. Westbrook enters the game for R. Felton,,35-34,,
8:09.0,,,35-35,1,C. Brewer makes free throw 2 of 2
7:59.0,Shooting foul by C. Brewer (drawn by P. George),,35-35,,
7:59.0,P. George makes free throw 1 of 2,1,36-35,,
7:59.0,J. Huestis enters the game for T. Ferguson,,36-35,,
7:59.0,P. George makes free throw 2 of 2,1,37-35,,
7:46.0,,,37-35,,J. Clarkson misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by P. George,,37-35,,
7:38.0,P. George makes 2-pt shot from 2 ft,2,39-35,,
7:29.0,,,39-35,,B. Lopez misses 3-pt shot from 27 ft
7:25.0,,,39-35,,Offensive rebound by J. Hart
7:23.0,,,39-37,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Hart)
7:07.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,42-37,,
7:07.0,,,42-37,,LA Lakers full timeout
7:07.0,,,42-37,,K. Kuzma enters the game for C. Brewer
7:07.0,,,42-37,,B. Ingram enters the game for L. Nance
7:07.0,C. Anthony enters the game for P. Patterson,,42-37,,
6:51.0,,,42-37,,Turnover by B. Lopez (lost ball; steal by S. Adams)
6:43.0,C. Anthony makes 3-pt shot from 25 ft (assist by P. George),3,45-37,,
6:23.0,,,45-37,,Turnover by B. Ingram (bad pass; steal by P. George)
6:19.0,Turnover by P. George (bad pass; steal by B. Ingram),,45-37,,
6:12.0,,,45-37,,Turnover by K. Kuzma (lost ball; steal by P. George)
6:06.0,R. Westbrook makes 2-pt shot from 1 ft,2,47-37,,
6:06.0,,,47-37,,LA Lakers full timeout
6:06.0,,,47-37,,J. Randle enters the game for J. Hart
6:06.0,,,47-37,,T. Ennis enters the game for J. Clarkson
6:06.0,,,47-37,,K. Caldwell-Pope enters the game for B. Lopez
5:48.0,,,47-39,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
5:32.0,P. George misses 3-pt shot from 28 ft,,47-39,,
5:32.0,Offensive rebound by S. Adams,,47-39,,
5:29.0,S. Adams misses 2-pt shot from 1 ft,,47-39,,
5:29.0,Offensive rebound by S. Adams,,47-39,,
5:23.0,S. Adams misses 2-pt shot at rim,,47-39,,
5:22.0,,,47-39,,Defensive rebound by T. Ennis
