time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Allen (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Allen (B. Simmons gains possession)
11:54.0,,,0-0,,R. Covington misses 3-pt shot from 25 ft
11:52.0,Defensive rebound by Team,,0-0,,
11:52.0,,,0-0,,Loose ball foul by E. Ilyasova (drawn by D. Carroll)
11:29.0,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,3-0,,
11:10.0,,,3-0,,B. Simmons misses 2-pt shot from 15 ft
11:07.0,Defensive rebound by D. Carroll,,3-0,,
10:53.0,J. Harris misses 3-pt shot from 25 ft,,3-0,,
10:50.0,,,3-0,,Defensive rebound by E. Ilyasova
10:43.0,,,3-0,,E. Ilyasova misses 2-pt shot from 3 ft
10:41.0,Defensive rebound by J. Allen,,3-0,,
10:35.0,J. Harris misses 2-pt shot from 5 ft (block by R. Covington),,3-0,,
10:32.0,,,3-0,,Defensive rebound by A. Johnson
10:30.0,,,3-0,,R. Covington misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
10:30.0,Defensive rebound by Team,,3-0,,
10:24.0,,,3-0,,Personal foul by B. Simmons (drawn by R. Hollis-Jefferson)
10:06.0,J. Harris misses 3-pt shot from 26 ft,,3-0,,
10:02.0,,,3-0,,Defensive rebound by R. Covington
9:49.0,,,3-0,,E. Ilyasova misses 3-pt shot from 27 ft
9:46.0,Defensive rebound by R. Hollis-Jefferson,,3-0,,
9:45.0,Turnover by R. Hollis-Jefferson (bad pass; steal by B. Simmons),,3-0,,
9:38.0,,,3-2,2,B. Simmons makes 2-pt shot from 1 ft
9:30.0,D. Carroll misses 3-pt shot from 24 ft,,3-2,,
9:30.0,,,3-2,,Defensive rebound by B. Simmons
9:18.0,,,3-2,,Turnover by R. Covington (bad pass; steal by D. Russell)
9:03.0,J. Harris misses 3-pt shot from 25 ft,,3-2,,
9:00.0,,,3-2,,Defensive rebound by B. Simmons
8:53.0,,,3-4,2,B. Simmons makes 2-pt shot from 3 ft
8:39.0,,,3-4,,Personal foul by R. Covington (drawn by J. Allen)
8:31.0,J. Harris makes 3-pt shot from 25 ft (assist by D. Russell),3,6-4,,
8:13.0,,,6-4,,R. Covington misses 2-pt shot from 4 ft (block by J. Allen)
8:10.0,,,6-4,,Offensive rebound by E. Ilyasova
8:08.0,,,6-4,,E. Ilyasova misses 3-pt shot from 26 ft
8:04.0,,,6-4,,Offensive rebound by E. Ilyasova
8:01.0,,,6-7,3,J. Redick makes 3-pt shot from 26 ft (assist by E. Ilyasova)
7:38.0,D. Carroll misses 2-pt shot from 2 ft,,6-7,,
7:37.0,,,6-7,,Defensive rebound by R. Covington
