time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. L. Aldridge (P. Mills gains possession),,,,Jump ball: Z. Pachulia vs. L. Aldridge (P. Mills gains possession)
11:40.0,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Bertans),2,2-0,,
11:25.0,Personal foul by P. Mills (drawn by D. Green),,2-0,,
11:18.0,,,2-0,,Turnover by D. Green (traveling)
11:04.0,L. Aldridge makes 2-pt shot from 15 ft (assist by P. Mills),2,4-0,,
10:55.0,,,4-0,,K. Thompson misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by L. Aldridge,,4-0,,
10:32.0,P. Mills misses 2-pt shot from 2 ft,,4-0,,
10:24.0,,,4-0,,Defensive rebound by D. Green
10:22.0,,,4-0,,D. Green misses 2-pt shot at rim (block by L. Aldridge)
10:20.0,Defensive rebound by D. Bertans,,4-0,,
10:08.0,D. Green misses 2-pt shot from 13 ft,,4-0,,
10:02.0,Offensive rebound by D. Green,,4-0,,
10:01.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Green),2,6-0,,
9:53.0,,,6-0,,Turnover by S. Curry (palming)
9:35.0,Shooting foul by Z. Pachulia (drawn by L. Aldridge),,6-0,,
9:35.0,L. Aldridge makes free throw 1 of 2,1,7-0,,
9:35.0,L. Aldridge makes free throw 2 of 2,1,8-0,,
9:27.0,,,8-2,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
9:02.0,Turnover by K. Anderson (out of bounds lost ball),,8-2,,
8:50.0,Personal foul by P. Mills (drawn by K. Durant),,8-2,,
8:50.0,D. White enters the game for P. Mills,,8-2,,
8:43.0,,,8-2,,D. Green misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by K. Anderson,,8-2,,
8:27.0,L. Aldridge misses 2-pt shot from 9 ft,,8-2,,
8:22.0,Offensive rebound by D. Bertans,,8-2,,
8:20.0,D. White misses 3-pt shot from 26 ft,,8-2,,
8:19.0,,,8-2,,Defensive rebound by Team
8:10.0,,,8-4,2,D. Green makes 2-pt shot from 1 ft (assist by Z. Pachulia)
8:08.0,San Antonio full timeout,,8-4,,
7:53.0,D. Bertans makes 2-pt shot from 1 ft (assist by L. Aldridge),2,10-4,,
7:34.0,,,10-6,2,K. Durant makes 2-pt shot from 18 ft
7:14.0,D. Green makes 2-pt shot from 2 ft,2,12-6,,
6:55.0,,,12-6,,Shooting foul by L. Aldridge (drawn by Z. Pachulia)
6:55.0,,,12-7,1,Z. Pachulia makes free throw 1 of 2
6:55.0,,,12-8,1,Z. Pachulia makes free throw 2 of 2
6:41.0,K. Anderson makes 2-pt shot from 8 ft (assist by L. Aldridge),2,14-8,,
6:41.0,Shooting foul by D. Green (drawn by K. Anderson),,14-8,,
6:41.0,M. Ginobili enters the game for D. Green,,14-8,,
6:41.0,K. Anderson makes free throw 1 of 1,1,15-8,,
6:28.0,,,15-11,3,S. Curry makes 3-pt shot from 25 ft
6:13.0,D. White makes 2-pt shot from 4 ft (assist by M. Ginobili),2,17-11,,
5:56.0,,,17-11,,D. Green misses 2-pt shot from 1 ft (block by L. Aldridge)
5:51.0,Defensive rebound by D. Bertans,,17-11,,
5:49.0,D. Bertans makes 3-pt shot from 25 ft (assist by K. Anderson),3,20-11,,
5:49.0,Shooting foul by Z. Pachulia (drawn by D. Bertans),,20-11,,
5:49.0,,,20-11,,A. Iguodala enters the game for D. Green
5:49.0,,,20-11,,K. Looney enters the game for Z. Pachulia
5:49.0,D. Bertans makes free throw 1 of 1,1,21-11,,
5:38.0,,,21-13,2,A. Iguodala makes 2-pt shot from 11 ft (assist by S. Curry)
5:24.0,K. Anderson makes 2-pt shot from 1 ft (assist by D. Bertans),2,23-13,,
5:22.0,,,23-13,,Golden State full timeout
5:22.0,B. Forbes enters the game for D. Bertans,,23-13,,
5:09.0,Personal foul by M. Ginobili (drawn by K. Thompson),,23-13,,
5:03.0,,,23-16,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
4:45.0,D. White misses 2-pt shot from 11 ft,,23-16,,
4:37.0,Offensive rebound by K. Anderson,,23-16,,
4:35.0,M. Ginobili misses 2-pt shot from 1 ft (block by K. Durant),,23-16,,
4:31.0,,,23-16,,Defensive rebound by A. Iguodala
4:30.0,Personal foul by M. Ginobili (drawn by K. Durant),,23-16,,
4:30.0,,,23-17,1,K. Durant makes free throw 1 of 2
4:30.0,,,23-17,,P. McCaw enters the game for K. Thompson
4:30.0,,,23-18,1,K. Durant makes free throw 2 of 2
4:16.0,Turnover by M. Ginobili (bad pass; steal by K. Looney),,23-18,,
3:56.0,,,23-18,,P. McCaw misses 3-pt shot from 25 ft
3:51.0,,,23-18,,Offensive rebound by A. Iguodala
3:50.0,,,23-21,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
3:24.0,K. Anderson makes 2-pt shot from 11 ft,2,25-21,,
3:16.0,,,25-21,,S. Curry misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by L. Aldridge,,25-21,,
3:01.0,B. Forbes misses 3-pt shot from 25 ft,,25-21,,
2:56.0,Offensive rebound by D. White,,25-21,,
2:53.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Anderson),3,28-21,,
2:36.0,,,28-21,,Turnover by S. Curry (lost ball; steal by K. Anderson)
2:27.0,L. Aldridge makes 2-pt shot from 8 ft (assist by M. Ginobili),2,30-21,,
2:07.0,,,30-21,,A. Iguodala misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by D. White,,30-21,,
1:58.0,M. Ginobili makes 3-pt shot from 24 ft (assist by K. Anderson),3,33-21,,
1:58.0,,,33-21,,Golden State full timeout
1:58.0,,,33-21,,J. McGee enters the game for K. Looney
1:58.0,,,33-21,,D. Green enters the game for K. Durant
1:58.0,P. Gasol enters the game for K. Anderson,,33-21,,
1:58.0,D. Green enters the game for L. Aldridge,,33-21,,
1:44.0,,,33-23,2,S. Curry makes 2-pt shot from 1 ft
1:19.0,P. Gasol misses 2-pt shot from 11 ft,,33-23,,
1:13.0,,,33-23,,Defensive rebound by A. Iguodala
1:11.0,,,33-23,,Turnover by A. Iguodala (lost ball; steal by D. White)
1:06.0,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili),2,35-23,,
0:44.0,,,35-23,,A. Iguodala misses 3-pt shot from 22 ft
0:41.0,,,35-23,,Offensive rebound by J. McGee
