time,Cleveland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Bender vs. L. Nance (G. Hill gains possession),,,,Jump ball: D. Bender vs. L. Nance (G. Hill gains possession)
11:42.0,Turnover by L. Nance (bad pass; steal by D. Booker),,0-0,,
11:29.0,,,0-0,,D. Bender misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by L. James,,0-0,,
11:22.0,,,0-0,,Personal foul by T. Warren (drawn by L. James)
11:07.0,J. Green makes 3-pt shot from 22 ft (assist by L. James),3,3-0,,
10:50.0,,,3-0,,J. Jackson misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by K. Korver,,3-0,,
10:39.0,K. Korver makes 2-pt shot at rim (assist by L. James),2,5-0,,
10:14.0,,,5-0,,Shooting foul by J. Green (drawn by D. Booker)
10:14.0,,,5-1,1,D. Booker makes free throw 1 of 2
10:14.0,,,5-2,1,D. Booker makes free throw 2 of 2
9:55.0,G. Hill makes 3-pt shot from 24 ft,3,8-2,,
9:39.0,,,8-2,,D. Bender misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by L. Nance,,8-2,,
9:22.0,J. Green makes 2-pt shot from 5 ft,2,10-2,,
9:13.0,,,10-2,,E. Payton misses 2-pt shot from 4 ft
9:11.0,Defensive rebound by L. James,,10-2,,
9:08.0,Shooting foul by D. Booker (drawn by K. Korver),,10-2,,
9:08.0,K. Korver makes free throw 1 of 3,1,11-2,,
9:08.0,K. Korver makes free throw 2 of 3,1,12-2,,
9:08.0,K. Korver makes free throw 3 of 3,1,13-2,,
8:54.0,,,13-2,,E. Payton misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by K. Korver,,13-2,,
8:45.0,L. James misses 2-pt shot from 1 ft,,13-2,,
8:43.0,,,13-2,,Defensive rebound by D. Booker
8:40.0,,,13-4,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
8:34.0,J. Green misses 2-pt shot at rim,,13-4,,
8:32.0,,,13-4,,Defensive rebound by E. Payton
8:26.0,,,13-6,2,D. Bender makes 2-pt shot at rim (assist by E. Payton)
8:26.0,Cleveland full timeout,,13-6,,
8:13.0,,,13-6,,Def 3 sec tech foul by D. Bender
8:13.0,K. Korver makes technical free throw,1,14-6,,
8:11.0,Turnover by L. James (bad pass),,14-6,,
7:56.0,,,14-8,2,T. Warren makes 2-pt shot at rim (assist by D. Bender)
7:46.0,L. James misses 2-pt shot from 21 ft,,14-8,,
7:44.0,,,14-8,,Defensive rebound by E. Payton
7:32.0,,,14-8,,J. Jackson misses 2-pt shot at rim
7:30.0,Defensive rebound by L. Nance,,14-8,,
7:26.0,G. Hill misses 3-pt shot from 25 ft,,14-8,,
7:23.0,,,14-8,,Defensive rebound by J. Jackson
7:15.0,Personal foul by G. Hill (drawn by D. Booker),,14-8,,
7:10.0,,,14-8,,E. Payton misses 2-pt shot at rim (block by L. James)
7:10.0,,,14-8,,Offensive rebound by Team
7:10.0,,,14-8,,Offensive foul by J. Jackson (drawn by G. Hill)
7:10.0,,,14-8,,Turnover by J. Jackson (offensive foul)
6:59.0,Turnover by L. James (traveling),,14-8,,
6:52.0,,,14-8,,E. Payton misses 2-pt shot from 1 ft (block by L. James)
6:49.0,Defensive rebound by J. Green,,14-8,,
6:34.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,17-8,,
6:16.0,,,17-8,,E. Payton misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by L. James,,17-8,,
6:14.0,,,17-8,,Personal foul by E. Payton (drawn by G. Hill)
6:14.0,G. Hill makes clear path free throw 1 of 2,1,18-8,,
6:14.0,G. Hill makes clear path free throw 2 of 2,1,19-8,,
6:14.0,J. Holland enters the game for J. Green,,19-8,,
6:14.0,,,19-8,,T. Daniels enters the game for E. Payton
6:09.0,Shooting foul by T. Daniels (drawn by L. James),,19-8,,
6:09.0,L. James makes free throw 1 of 2,1,20-8,,
6:09.0,L. James makes free throw 2 of 2,1,21-8,,
5:49.0,,,21-8,,T. Warren misses 2-pt shot from 11 ft
5:46.0,Defensive rebound by K. Korver,,21-8,,
5:40.0,J. Holland misses 3-pt shot from 24 ft,,21-8,,
5:36.0,,,21-8,,Defensive rebound by T. Warren
5:25.0,,,21-8,,J. Jackson misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by J. Holland,,21-8,,
5:13.0,L. Nance misses 2-pt shot from 3 ft,,21-8,,
5:12.0,,,21-8,,Defensive rebound by T. Warren
5:06.0,,,21-8,,Turnover by J. Jackson (traveling)
4:51.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Holland),2,23-8,,
4:51.0,,,23-8,,Phoenix full timeout
4:51.0,,,23-8,,S. Harrison enters the game for J. Jackson
4:51.0,,,23-8,,M. Chriss enters the game for D. Bender
4:41.0,,,23-8,,S. Harrison misses 3-pt shot from 22 ft
4:37.0,,,23-8,,Offensive rebound by T. Warren
4:37.0,,,23-10,2,T. Warren makes 2-pt shot at rim
4:23.0,Turnover by G. Hill (lost ball; steal by S. Harrison),,23-10,,
4:20.0,,,23-10,,D. Booker misses 2-pt shot from 7 ft (block by L. Nance)
4:20.0,,,23-10,,Offensive rebound by Team
4:20.0,J. Smith enters the game for K. Korver,,23-10,,
4:15.0,,,23-10,,T. Daniels misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by G. Hill,,23-10,,
4:08.0,Turnover by J. Holland (traveling),,23-10,,
3:54.0,,,23-12,2,D. Booker makes 2-pt shot from 1 ft
3:37.0,J. Holland makes 2-pt shot from 3 ft (assist by G. Hill),2,25-12,,
3:25.0,,,25-12,,M. Chriss misses 2-pt shot from 1 ft
3:24.0,,,25-12,,Offensive rebound by T. Warren
3:24.0,,,25-12,,T. Warren misses 2-pt shot at rim
3:23.0,Defensive rebound by L. James,,25-12,,
3:21.0,Shooting foul by S. Harrison (drawn by L. James),,25-12,,
3:21.0,L. James makes free throw 1 of 2,1,26-12,,
3:21.0,A. Zizic enters the game for L. Nance,,26-12,,
3:21.0,L. James makes free throw 2 of 2,1,27-12,,
3:07.0,,,27-15,3,T. Daniels makes 3-pt shot from 26 ft (assist by D. Booker)
2:46.0,G. Hill misses 2-pt shot from 5 ft,,27-15,,
2:44.0,Offensive rebound by A. Zizic,,27-15,,
2:30.0,A. Zizic makes 2-pt shot from 1 ft,2,29-15,,
2:17.0,,,29-15,,Offensive charge foul by M. Chriss (drawn by L. James)
2:17.0,,,29-15,,Turnover by M. Chriss (offensive foul)
2:17.0,,,29-15,,A. Len enters the game for T. Warren
2:17.0,J. Clarkson enters the game for G. Hill,,29-15,,
2:04.0,L. James makes 2-pt shot from 1 ft,2,31-15,,
1:50.0,,,31-17,2,D. Booker makes 2-pt shot from 7 ft
1:50.0,Shooting block foul by J. Smith (drawn by D. Booker),,31-17,,
1:50.0,,,31-18,1,D. Booker makes free throw 1 of 1
1:36.0,Shooting foul by M. Chriss (drawn by L. James),,31-18,,
1:36.0,,,31-18,,Technical foul by M. Chriss
1:36.0,L. James makes technical free throw,1,32-18,,
1:36.0,,,32-18,,J. Jackson enters the game for M. Chriss
1:36.0,L. James misses free throw 1 of 2,,32-18,,
1:36.0,Offensive rebound by Team,,32-18,,
1:36.0,L. James misses free throw 2 of 2,,32-18,,
1:33.0,Offensive rebound by J. Holland,,32-18,,
1:28.0,J. Holland misses 2-pt shot from 4 ft,,32-18,,
1:26.0,,,32-18,,Defensive rebound by A. Len
1:22.0,,,32-18,,D. Booker misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by L. James,,32-18,,
1:06.0,L. James misses 2-pt shot from 14 ft,,32-18,,
1:05.0,Offensive rebound by Team,,32-18,,
1:05.0,,,32-18,,Loose ball foul by A. Len (drawn by A. Zizic)
1:05.0,A. Zizic makes free throw 1 of 2,1,33-18,,
1:05.0,J. Green enters the game for L. James,,33-18,,
1:05.0,A. Zizic misses free throw 2 of 2,,33-18,,
1:02.0,,,33-18,,Defensive rebound by D. Booker
0:55.0,,,33-18,,Turnover by D. Booker (bad pass; steal by J. Clarkson)
0:51.0,Turnover by J. Clarkson (lost ball; steal by J. Jackson),,33-18,,
0:45.0,,,33-18,,J. Jackson misses 2-pt shot from 8 ft
0:43.0,Defensive rebound by J. Green,,33-18,,
0:41.0,J. Smith makes 2-pt shot at rim (assist by J. Green),2,35-18,,
0:30.0,,,35-18,,S. Harrison misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Holland,,35-18,,
0:08.0,J. Clarkson makes 3-pt shot from 25 ft,3,38-18,,
0:01.0,,,38-18,,T. Daniels misses 3-pt shot from 26 ft
0:01.0,,,38-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,38-21,3,T. Daniels makes 3-pt shot from 24 ft (assist by E. Payton)
11:26.0,J. Smith makes 2-pt shot from 9 ft,2,40-21,,
11:14.0,,,40-21,,Shooting foul by J. Smith (drawn by J. Jackson)
11:14.0,,,40-22,1,J. Jackson makes free throw 1 of 2
11:14.0,,,40-23,1,J. Jackson makes free throw 2 of 2
11:02.0,J. Clarkson misses 3-pt shot from 25 ft,,40-23,,
10:59.0,,,40-23,,Defensive rebound by J. Dudley
10:57.0,Personal block foul by J. Calderon (drawn by E. Payton),,40-23,,
10:40.0,,,40-25,2,J. Jackson makes 2-pt shot from 5 ft
10:27.0,A. Zizic makes 2-pt shot at rim (assist by J. Clarkson),2,42-25,,
10:11.0,,,42-25,,Turnover by E. Payton (bad pass; steal by J. Green)
10:06.0,J. Smith misses 3-pt shot from 25 ft,,42-25,,
10:02.0,,,42-25,,Defensive rebound by A. Len
9:54.0,,,42-25,,T. Daniels misses 3-pt shot from 27 ft
9:50.0,Defensive rebound by J. Smith,,42-25,,
9:42.0,J. Calderon misses 3-pt shot from 24 ft,,42-25,,
9:40.0,,,42-25,,Defensive rebound by J. Dudley
9:32.0,,,42-27,2,A. Len makes 2-pt shot at rim (assist by E. Payton)
9:32.0,Cleveland full timeout,,42-27,,
9:32.0,,,42-27,,D. Bender enters the game for A. Len
9:21.0,J. Green misses 2-pt shot from 18 ft,,42-27,,
9:17.0,,,42-27,,Defensive rebound by D. Bender
9:10.0,,,42-27,,D. Bender misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by J. Calderon,,42-27,,
9:05.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Calderon),3,45-27,,
8:43.0,,,45-27,,J. Dudley misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by J. Calderon,,45-27,,
8:28.0,A. Zizic makes 2-pt shot from 8 ft,2,47-27,,
8:20.0,,,47-29,2,E. Payton makes 2-pt shot at rim
8:20.0,,,47-29,,Shooting foul by A. Zizic (drawn by E. Payton)
8:20.0,,,47-29,,D. Booker enters the game for T. Daniels
8:20.0,L. James enters the game for A. Zizic,,47-29,,
8:20.0,,,47-30,1,E. Payton makes free throw 1 of 1
8:07.0,J. Smith misses 3-pt shot from 24 ft,,47-30,,
8:04.0,,,47-30,,Defensive rebound by Team
7:54.0,Personal foul by J. Green (drawn by D. Bender),,47-30,,
7:46.0,,,47-30,,D. Booker misses 2-pt shot from 17 ft
7:44.0,,,47-30,,Offensive rebound by D. Bender
7:42.0,,,47-30,,Turnover by D. Bender (lost ball; steal by J. Clarkson)
7:27.0,J. Green misses 3-pt shot from 25 ft,,47-30,,
7:26.0,Offensive rebound by J. Smith,,47-30,,
7:26.0,J. Smith misses 2-pt shot at rim,,47-30,,
7:25.0,,,47-30,,Defensive rebound by D. Bender
7:16.0,,,47-33,3,J. Dudley makes 3-pt shot from 23 ft (assist by E. Payton)
7:02.0,J. Clarkson misses 2-pt shot at rim,,47-33,,
6:59.0,,,47-33,,Defensive rebound by D. Bender
6:55.0,,,47-35,2,D. Booker makes 2-pt shot at rim
6:55.0,Cleveland full timeout,,47-35,,
6:55.0,K. Korver enters the game for J. Calderon,,47-35,,
6:45.0,L. James makes 2-pt shot from 1 ft,2,49-35,,
6:34.0,,,49-37,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
6:14.0,Shooting foul by J. Jackson (drawn by L. James),,49-37,,
6:14.0,L. James makes free throw 1 of 2,1,50-37,,
6:14.0,G. Hill enters the game for J. Clarkson,,50-37,,
6:14.0,,,50-37,,T. Warren enters the game for J. Jackson
6:14.0,L. James makes free throw 2 of 2,1,51-37,,
6:01.0,,,51-37,,Turnover by E. Payton (bad pass; steal by J. Smith)
5:57.0,Shooting foul by D. Bender (drawn by J. Green),,51-37,,
5:57.0,J. Green makes free throw 1 of 2,1,52-37,,
5:57.0,J. Green makes free throw 2 of 2,1,53-37,,
5:46.0,,,53-37,,D. Bender misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by L. James,,53-37,,
5:39.0,Shooting foul by J. Dudley (drawn by L. James),,53-37,,
5:39.0,L. James makes free throw 1 of 2,1,54-37,,
5:39.0,,,54-37,,T. Ulis enters the game for E. Payton
5:39.0,L. James makes free throw 2 of 2,1,55-37,,
5:25.0,,,55-37,,D. Booker misses 2-pt shot from 12 ft
5:24.0,Defensive rebound by L. James,,55-37,,
5:17.0,Turnover by L. James (bad pass; steal by J. Dudley),,55-37,,
5:13.0,,,55-37,,Turnover by J. Dudley (bad pass; steal by L. James)
5:09.0,L. James misses 3-pt shot from 25 ft,,55-37,,
5:07.0,,,55-37,,Defensive rebound by J. Dudley
5:00.0,,,55-37,,D. Bender misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by J. Smith,,55-37,,
4:45.0,J. Green misses 2-pt shot from 8 ft,,55-37,,
4:43.0,,,55-37,,Defensive rebound by D. Bender
4:36.0,,,55-37,,J. Dudley misses 3-pt shot from 22 ft
4:31.0,Defensive rebound by G. Hill,,55-37,,
4:31.0,,,55-37,,Personal take foul by T. Ulis (drawn by G. Hill)
4:31.0,,,55-37,,M. Chriss enters the game for D. Bender
4:31.0,L. Nance enters the game for J. Green,,55-37,,
