time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Davis (E. Okafor gains possession),,,,Jump ball: D. Jordan vs. A. Davis (E. Okafor gains possession)
11:46.0,Turnover by E. Moore (bad pass),,0-0,,
11:36.0,,,0-0,,T. Harris misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by E. Moore,,0-0,,
11:27.0,A. Davis makes 2-pt shot from 7 ft (assist by E. Moore),2,2-0,,
11:20.0,,,2-0,,Turnover by M. Teodosic (bad pass; steal by R. Rondo)
11:15.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,4-0,,
10:56.0,,,4-0,,Turnover by D. Jordan (lost ball; steal by R. Rondo)
10:48.0,E. Moore makes 2-pt shot from 22 ft (assist by R. Rondo),2,6-0,,
10:34.0,,,6-2,2,T. Harris makes 2-pt shot from 15 ft (assist by W. Johnson)
10:18.0,R. Rondo makes 3-pt shot from 24 ft,3,9-2,,
10:08.0,,,9-2,,A. Rivers misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by A. Davis,,9-2,,
10:04.0,J. Holiday makes 2-pt shot at rim (assist by R. Rondo),2,11-2,,
10:04.0,Shooting foul by T. Harris (drawn by J. Holiday),,11-2,,
10:04.0,,,11-2,,LA Clippers full timeout
10:04.0,J. Holiday makes free throw 1 of 1,1,12-2,,
9:39.0,,,12-5,3,T. Harris makes 3-pt shot from 24 ft (assist by M. Teodosic)
9:20.0,A. Davis misses 2-pt shot from 7 ft,,12-5,,
9:18.0,,,12-5,,Defensive rebound by T. Harris
9:10.0,,,12-5,,T. Harris misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by E. Okafor,,12-5,,
8:57.0,R. Rondo misses 3-pt shot from 23 ft,,12-5,,
8:54.0,,,12-5,,Defensive rebound by D. Jordan
8:44.0,,,12-5,,A. Rivers misses 2-pt shot from 8 ft
8:38.0,,,12-5,,Offensive rebound by D. Jordan
8:38.0,,,12-5,,D. Jordan misses 2-pt shot at rim
8:37.0,Defensive rebound by E. Okafor,,12-5,,
8:35.0,J. Holiday misses 2-pt shot from 2 ft,,12-5,,
8:33.0,,,12-5,,Defensive rebound by D. Jordan
8:31.0,,,12-5,,M. Teodosic misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by Team,,12-5,,
8:26.0,,,12-5,,Loose ball foul by A. Rivers (drawn by A. Davis)
8:09.0,Turnover by A. Davis (bad pass; steal by T. Harris),,12-5,,
8:03.0,,,12-5,,D. Jordan misses 2-pt shot from 8 ft
8:01.0,Defensive rebound by E. Moore,,12-5,,
7:59.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,14-5,,
7:41.0,,,14-5,,D. Jordan misses 2-pt shot from 4 ft
7:39.0,Defensive rebound by J. Holiday,,14-5,,
7:29.0,R. Rondo makes 3-pt shot from 26 ft (assist by J. Holiday),3,17-5,,
7:15.0,,,17-5,,T. Harris misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by E. Okafor,,17-5,,
7:11.0,,,17-5,,Personal foul by T. Harris (drawn by A. Davis)
7:11.0,,,17-5,,L. Williams enters the game for M. Teodosic
7:11.0,,,17-5,,M. Harrell enters the game for T. Harris
7:07.0,A. Davis misses 2-pt shot from 2 ft,,17-5,,
7:05.0,,,17-5,,Defensive rebound by D. Jordan
6:57.0,,,17-5,,A. Rivers misses 2-pt shot from 1 ft (block by E. Okafor)
6:57.0,,,17-5,,Offensive rebound by Team
6:56.0,,,17-5,,L. Williams misses 2-pt shot from 16 ft
6:53.0,Defensive rebound by E. Okafor,,17-5,,
6:44.0,E. Okafor makes 2-pt shot from 1 ft (assist by J. Holiday),2,19-5,,
6:35.0,,,19-7,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
6:20.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,21-7,,
6:00.0,,,21-7,,A. Rivers misses 2-pt shot from 2 ft
5:55.0,,,21-7,,Offensive rebound by D. Jordan
5:55.0,,,21-9,2,D. Jordan makes 2-pt shot at rim
5:51.0,R. Rondo misses 2-pt shot from 1 ft,,21-9,,
5:51.0,,,21-9,,Defensive rebound by D. Jordan
5:46.0,,,21-11,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
5:32.0,E. Moore makes 2-pt shot from 15 ft (assist by J. Holiday),2,23-11,,
5:21.0,,,23-11,,Shooting foul by A. Davis (drawn by L. Williams)
5:21.0,,,23-12,1,L. Williams makes free throw 1 of 2
5:21.0,,,23-12,,M. Teodosic enters the game for W. Johnson
5:21.0,I. Clark enters the game for R. Rondo,,23-12,,
5:21.0,N. Mirotic enters the game for E. Okafor,,23-12,,
5:21.0,D. Miller enters the game for E. Moore,,23-12,,
5:21.0,,,23-12,,L. Williams misses free throw 2 of 2
5:18.0,Defensive rebound by N. Mirotic,,23-12,,
5:14.0,Turnover by A. Davis (lost ball; steal by M. Teodosic),,23-12,,
5:06.0,,,23-14,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
4:56.0,A. Davis misses 2-pt shot from 18 ft,,23-14,,
4:56.0,,,23-14,,Defensive rebound by M. Teodosic
4:47.0,,,23-14,,Turnover by L. Williams (bad pass; steal by N. Mirotic)
4:41.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Miller),3,26-14,,
4:22.0,,,26-16,2,M. Teodosic makes 2-pt shot from 1 ft
4:12.0,N. Mirotic misses 3-pt shot from 24 ft,,26-16,,
4:09.0,,,26-16,,Defensive rebound by Team
3:51.0,,,26-18,2,M. Harrell makes 2-pt shot from 11 ft (assist by L. Williams)
3:37.0,I. Clark makes 2-pt shot from 5 ft (assist by A. Davis),2,28-18,,
3:25.0,,,28-20,2,M. Teodosic makes 2-pt shot from 1 ft
3:08.0,J. Holiday misses 2-pt shot from 7 ft,,28-20,,
3:06.0,Offensive rebound by N. Mirotic,,28-20,,
3:04.0,A. Davis misses 3-pt shot from 24 ft,,28-20,,
3:01.0,,,28-20,,Defensive rebound by D. Jordan
2:54.0,,,28-20,,Turnover by L. Williams (bad pass; steal by A. Davis)
2:49.0,J. Holiday misses 2-pt shot from 1 ft,,28-20,,
2:46.0,Offensive rebound by N. Mirotic,,28-20,,
2:44.0,N. Mirotic makes 2-pt shot from 20 ft,2,30-20,,
2:25.0,,,30-22,2,A. Rivers makes 2-pt shot from 10 ft
2:15.0,,,30-22,,Personal foul by M. Teodosic (drawn by J. Holiday)
2:15.0,New Orleans full timeout,,30-22,,
2:15.0,,,30-22,,S. Thornwell enters the game for A. Rivers
2:15.0,E. Moore enters the game for J. Holiday,,30-22,,
2:05.0,A. Davis misses 2-pt shot from 1 ft (block by D. Jordan),,30-22,,
2:02.0,Offensive rebound by A. Davis,,30-22,,
1:58.0,E. Moore misses 2-pt shot from 9 ft,,30-22,,
1:53.0,,,30-22,,Defensive rebound by D. Jordan
1:47.0,,,30-24,2,L. Williams makes 2-pt shot from 7 ft
1:35.0,I. Clark misses 2-pt shot from 8 ft,,30-24,,
1:34.0,,,30-24,,Defensive rebound by D. Jordan
1:28.0,,,30-26,2,M. Harrell makes 2-pt shot from 1 ft (assist by D. Jordan)
1:11.0,N. Mirotic misses 2-pt shot from 12 ft,,30-26,,
1:09.0,,,30-26,,Defensive rebound by M. Teodosic
1:04.0,,,30-26,,M. Harrell misses 2-pt shot from 4 ft
1:02.0,Defensive rebound by I. Clark,,30-26,,
0:55.0,D. Miller makes 3-pt shot from 25 ft (assist by A. Davis),3,33-26,,
0:41.0,Personal foul by N. Mirotic (drawn by M. Harrell),,33-26,,
0:41.0,,,33-26,,S. Dekker enters the game for D. Jordan
0:35.0,Personal foul by E. Moore (drawn by L. Williams),,33-26,,
0:35.0,,,33-26,,L. Williams misses free throw 1 of 2
0:35.0,,,33-26,,Offensive rebound by Team
0:35.0,,,33-26,,S. Kilpatrick enters the game for M. Teodosic
0:35.0,C. Diallo enters the game for A. Davis,,33-26,,
0:35.0,,,33-27,1,L. Williams makes free throw 2 of 2
0:21.0,D. Miller makes 2-pt shot from 10 ft (assist by E. Moore),2,35-27,,
0:05.0,,,35-27,,L. Williams misses 2-pt shot from 20 ft
0:02.0,,,35-27,,Offensive rebound by M. Harrell
0:02.0,,,35-27,,Turnover by M. Harrell (lost ball; steal by C. Diallo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,35-27,,Shooting foul by D. Miller (drawn by S. Thornwell)
11:38.0,,,35-28,1,S. Thornwell makes free throw 1 of 2
11:38.0,,,35-29,1,S. Thornwell makes free throw 2 of 2
11:24.0,N. Mirotic misses 3-pt shot from 25 ft,,35-29,,
11:21.0,,,35-29,,Defensive rebound by S. Thornwell
11:13.0,,,35-29,,S. Kilpatrick misses 2-pt shot from 22 ft
11:10.0,Defensive rebound by C. Diallo,,35-29,,
11:02.0,I. Clark misses 2-pt shot from 9 ft,,35-29,,
10:57.0,,,35-29,,Defensive rebound by S. Thornwell
10:51.0,,,35-31,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by L. Williams)
10:44.0,C. Diallo misses 2-pt shot from 20 ft,,35-31,,
10:42.0,Offensive rebound by E. Moore,,35-31,,
10:42.0,Shooting foul by S. Thornwell (drawn by E. Moore),,35-31,,
10:42.0,E. Moore makes free throw 1 of 2,1,36-31,,
10:42.0,E. Moore misses free throw 2 of 2,,36-31,,
10:39.0,,,36-31,,Defensive rebound by M. Harrell
10:32.0,,,36-33,2,L. Williams makes 2-pt shot from 2 ft
10:23.0,D. Miller misses 3-pt shot from 25 ft,,36-33,,
10:21.0,Offensive rebound by Team,,36-33,,
10:20.0,,,36-33,,Personal foul by M. Harrell (drawn by N. Mirotic)
10:13.0,E. Moore makes 2-pt shot from 6 ft (assist by N. Mirotic),2,38-33,,
10:01.0,,,38-35,2,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams)
9:50.0,N. Mirotic makes 3-pt shot from 25 ft (assist by I. Clark),3,41-35,,
9:41.0,Violation by N. Mirotic (kicked ball),,41-35,,
9:41.0,,,41-35,,T. Harris enters the game for S. Dekker
9:27.0,,,41-35,,T. Harris misses 2-pt shot from 3 ft
9:23.0,,,41-35,,Offensive rebound by S. Thornwell
9:09.0,,,41-35,,M. Harrell misses 2-pt shot from 1 ft (block by D. Miller)
9:07.0,Defensive rebound by D. Miller,,41-35,,
9:03.0,C. Diallo makes 2-pt shot from 1 ft (assist by I. Clark),2,43-35,,
8:52.0,Personal block foul by I. Clark (drawn by L. Williams),,43-35,,
8:52.0,,,43-35,,A. Rivers enters the game for S. Kilpatrick
8:52.0,R. Rondo enters the game for E. Moore,,43-35,,
8:43.0,,,43-37,2,T. Harris makes 2-pt shot from 16 ft
8:31.0,,,43-37,,Personal foul by L. Williams (drawn by I. Clark)
8:17.0,N. Mirotic misses 2-pt shot from 12 ft,,43-37,,
8:14.0,,,43-37,,Defensive rebound by A. Rivers
8:08.0,,,43-39,2,A. Rivers makes 2-pt shot from 1 ft
8:07.0,,,43-39,,Technical foul by A. Rivers
8:07.0,I. Clark makes technical free throw,1,44-39,,
7:59.0,N. Mirotic misses 3-pt shot from 25 ft,,44-39,,
7:54.0,,,44-39,,Defensive rebound by T. Harris
7:35.0,,,44-41,2,M. Harrell makes 2-pt shot from 4 ft
7:23.0,R. Rondo misses 3-pt shot from 25 ft,,44-41,,
7:19.0,,,44-41,,Defensive rebound by A. Rivers
7:12.0,,,44-43,2,M. Harrell makes 2-pt shot from 4 ft
7:12.0,,,44-43,,Shooting foul by C. Diallo (drawn by M. Harrell)
7:12.0,,,44-43,,M. Harrell misses free throw 1 of 1
7:09.0,Defensive rebound by C. Diallo,,44-43,,
7:06.0,New Orleans full timeout,,44-43,,
7:06.0,,,44-43,,D. Jordan enters the game for M. Harrell
7:06.0,E. Okafor enters the game for I. Clark,,44-43,,
7:06.0,J. Holiday enters the game for N. Mirotic,,44-43,,
7:06.0,A. Davis enters the game for C. Diallo,,44-43,,
7:06.0,E. Moore enters the game for D. Miller,,44-43,,
6:57.0,E. Okafor makes 2-pt shot from 17 ft (assist by R. Rondo),2,46-43,,
6:38.0,,,46-45,2,D. Jordan makes 2-pt shot from 4 ft (assist by A. Rivers)
6:24.0,J. Holiday misses 2-pt shot from 7 ft,,46-45,,
6:20.0,Offensive rebound by E. Okafor,,46-45,,
6:20.0,E. Okafor misses 2-pt shot at rim,,46-45,,
6:18.0,Offensive rebound by A. Davis,,46-45,,
6:18.0,A. Davis makes 2-pt shot at rim,2,48-45,,
6:03.0,,,48-47,2,A. Rivers makes 2-pt shot from 10 ft
5:44.0,A. Davis misses 2-pt shot from 20 ft,,48-47,,
5:41.0,,,48-47,,Defensive rebound by T. Harris
5:34.0,,,48-49,2,T. Harris makes 2-pt shot from 1 ft (assist by L. Williams)
5:24.0,J. Holiday misses 2-pt shot from 6 ft,,48-49,,
5:22.0,,,48-49,,Defensive rebound by D. Jordan
5:11.0,,,48-49,,Turnover by A. Rivers (bad pass; steal by E. Moore)
5:06.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,50-49,,
4:46.0,Personal foul by E. Moore (drawn by L. Williams),,50-49,,
4:46.0,,,50-49,,M. Teodosic enters the game for L. Williams
4:40.0,,,50-49,,M. Teodosic misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by A. Davis,,50-49,,
4:28.0,R. Rondo makes 2-pt shot from 19 ft,2,52-49,,
4:13.0,,,52-49,,A. Rivers misses 2-pt shot from 3 ft (block by J. Holiday)
4:10.0,Defensive rebound by R. Rondo,,52-49,,
4:06.0,R. Rondo misses 2-pt shot from 8 ft,,52-49,,
4:03.0,,,52-49,,Defensive rebound by D. Jordan
3:57.0,,,52-49,,S. Thornwell misses 2-pt shot from 2 ft (block by E. Okafor)
3:57.0,Defensive rebound by E. Okafor,,52-49,,
3:50.0,R. Rondo makes 2-pt shot from 1 ft (assist by E. Moore),2,54-49,,
3:49.0,,,54-49,,LA Clippers full timeout
3:30.0,,,54-49,,A. Rivers misses 3-pt shot from 24 ft
3:29.0,,,54-49,,Offensive rebound by Team
3:29.0,Loose ball foul by E. Okafor (drawn by D. Jordan),,54-49,,
3:29.0,,,54-50,1,D. Jordan makes free throw 1 of 2
3:29.0,,,54-51,1,D. Jordan makes free throw 2 of 2
3:18.0,J. Holiday misses 2-pt shot from 14 ft,,54-51,,
