time,New York,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: B. Lopez vs. K. Porzingis (E. Kanter gains possession)
11:45.0,,,0-0,,Personal foul by J. Hart (drawn by T. Hardaway)
11:39.0,C. Lee misses 2-pt shot from 16 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Randle
11:31.0,Personal foul by K. Porzingis (drawn by B. Lopez),,0-0,,
11:23.0,,,0-2,2,J. Randle makes 2-pt shot from 3 ft
11:18.0,Turnover by J. Jack (bad pass; steal by J. Randle),,0-2,,
11:15.0,,,0-4,2,J. Randle makes 2-pt shot from 3 ft
11:01.0,K. Porzingis misses 2-pt shot from 1 ft,,0-4,,
11:01.0,,,0-4,,Defensive rebound by B. Lopez
10:54.0,,,0-4,,Turnover by J. Randle (bad pass)
10:41.0,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Jack),3,3-4,,
10:23.0,,,3-4,,B. Ingram misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by E. Kanter,,3-4,,
10:14.0,J. Jack makes 2-pt shot from 15 ft,2,5-4,,
10:00.0,,,5-7,3,B. Lopez makes 3-pt shot from 23 ft (assist by B. Ingram)
9:41.0,K. Porzingis makes 2-pt shot from 20 ft (assist by J. Jack),2,7-7,,
9:26.0,,,7-7,,B. Ingram misses 2-pt shot from 4 ft (block by K. Porzingis)
9:26.0,Defensive rebound by K. Porzingis,,7-7,,
9:16.0,,,7-7,,Personal foul by B. Ingram (drawn by E. Kanter)
9:09.0,C. Lee misses 3-pt shot from 25 ft,,7-7,,
9:06.0,,,7-7,,Defensive rebound by B. Lopez
8:55.0,,,7-7,,T. Ennis misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by E. Kanter,,7-7,,
8:45.0,K. Porzingis makes 2-pt shot from 17 ft (assist by C. Lee),2,9-7,,
8:30.0,,,9-7,,J. Randle misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by E. Kanter,,9-7,,
8:18.0,K. Porzingis misses 2-pt shot from 15 ft,,9-7,,
8:14.0,,,9-7,,Defensive rebound by B. Ingram
8:05.0,,,9-7,,Turnover by B. Ingram (lost ball; steal by J. Jack)
8:00.0,C. Lee makes 2-pt shot from 3 ft (assist by J. Jack),2,11-7,,
8:00.0,,,11-7,,LA Lakers full timeout
7:43.0,,,11-7,,Shooting foul by E. Kanter (drawn by J. Randle)
7:43.0,,,11-8,1,J. Randle makes free throw 1 of 2
7:43.0,,,11-9,1,J. Randle makes free throw 2 of 2
7:26.0,J. Jack misses 2-pt shot from 18 ft,,11-9,,
7:23.0,,,11-9,,Defensive rebound by B. Lopez
7:15.0,,,11-9,,B. Ingram misses 2-pt shot from 4 ft
7:13.0,,,11-9,,Offensive rebound by J. Randle
7:07.0,,,11-9,,J. Randle misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by E. Kanter,,11-9,,
7:01.0,T. Hardaway misses 2-pt shot from 2 ft,,11-9,,
7:00.0,Offensive rebound by E. Kanter,,11-9,,
7:00.0,E. Kanter misses 2-pt shot at rim,,11-9,,
6:59.0,Offensive rebound by E. Kanter,,11-9,,
6:56.0,E. Kanter makes 2-pt shot at rim,2,13-9,,
6:43.0,,,13-12,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Ingram)
6:27.0,C. Lee makes 2-pt shot from 19 ft,2,15-12,,
6:10.0,,,15-14,2,B. Lopez makes 2-pt shot from 19 ft
6:01.0,,,15-14,,Personal foul by J. Randle (drawn by K. Porzingis)
6:01.0,L. Thomas enters the game for T. Hardaway,,15-14,,
5:57.0,K. Porzingis misses 2-pt shot from 17 ft,,15-14,,
5:54.0,,,15-14,,Defensive rebound by Team
5:43.0,,,15-14,,B. Lopez misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by L. Thomas,,15-14,,
5:31.0,C. Lee misses 3-pt shot from 24 ft,,15-14,,
5:30.0,Offensive rebound by Team,,15-14,,
5:30.0,,,15-14,,C. Brewer enters the game for B. Ingram
5:23.0,J. Jack misses 3-pt shot from 25 ft,,15-14,,
5:18.0,,,15-14,,Defensive rebound by C. Brewer
5:11.0,,,15-17,3,B. Lopez makes 3-pt shot from 26 ft (assist by T. Ennis)
4:52.0,Turnover by E. Kanter (lost ball; steal by C. Brewer),,15-17,,
4:47.0,,,15-19,2,J. Randle makes 2-pt shot from 3 ft (assist by T. Ennis)
4:42.0,New York full timeout,,15-19,,
4:42.0,,,15-19,,J. Clarkson enters the game for J. Hart
4:42.0,F. Ntilikina enters the game for J. Jack,,15-19,,
4:34.0,Offensive foul by C. Lee (drawn by J. Randle),,15-19,,
4:34.0,Turnover by C. Lee (offensive foul),,15-19,,
4:08.0,,,15-19,,J. Randle misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by C. Lee,,15-19,,
4:00.0,K. Porzingis makes 2-pt shot from 13 ft (assist by E. Kanter),2,17-19,,
3:41.0,,,17-19,,B. Lopez misses 3-pt shot from 22 ft
3:39.0,Defensive rebound by K. Porzingis,,17-19,,
3:27.0,E. Kanter makes 2-pt shot from 1 ft (assist by L. Thomas),2,19-19,,
