time,Chicago,pts.away,score,pts.home,Boston
1:30.0,,,28-30,3,J. Bird makes 3-pt shot from 23 ft (assist by G. Monroe)
1:15.0,O. Asik misses 2-pt shot from 2 ft,,28-30,,
1:13.0,,,28-30,,Defensive rebound by G. Monroe
1:07.0,,,28-30,,J. Bird misses 2-pt shot from 14 ft
1:04.0,Defensive rebound by B. Portis,,28-30,,
0:58.0,,,28-30,,Personal foul by T. Rozier (drawn by R. Arcidiacono)
0:58.0,,,28-30,,S. Larkin enters the game for T. Rozier
0:58.0,,,28-30,,A. Nader enters the game for M. Morris
0:48.0,S. Kilpatrick makes 2-pt shot from 17 ft,2,30-30,,
0:36.0,,,30-30,,G. Monroe misses 2-pt shot from 17 ft
0:36.0,Defensive rebound by S. Kilpatrick,,30-30,,
0:27.0,Turnover by S. Kilpatrick (lost ball; steal by G. Monroe),,30-30,,
0:25.0,,,30-30,,Shooting foul by J. Grant (drawn by J. Bird)
0:25.0,,,30-30,,J. Bird misses free throw 1 of 2
0:25.0,,,30-30,,Offensive rebound by Team
0:25.0,,,30-30,,J. Bird misses free throw 2 of 2
0:25.0,Defensive rebound by R. Arcidiacono,,30-30,,
0:01.0,O. Asik misses 2-pt shot from 4 ft,,30-30,,
0:01.0,,,30-30,,Defensive rebound by J. Bird
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,S. Kilpatrick misses 2-pt shot from 21 ft,,30-30,,
11:46.0,,,30-30,,Defensive rebound by S. Larkin
11:25.0,,,30-30,,G. Monroe misses 2-pt shot from 14 ft
11:23.0,Defensive rebound by B. Portis,,30-30,,
11:06.0,B. Portis makes 2-pt shot from 5 ft,2,32-30,,
10:50.0,,,32-32,2,G. Monroe makes 2-pt shot at rim (assist by S. Larkin)
10:35.0,Offensive charge foul by B. Portis (drawn by S. Ojeleye),,32-32,,
10:35.0,Turnover by B. Portis (offensive foul),,32-32,,
10:24.0,,,32-34,2,J. Bird makes 2-pt shot at rim (assist by G. Monroe)
10:07.0,J. Grant makes 3-pt shot from 27 ft (assist by R. Arcidiacono),3,35-34,,
9:47.0,,,35-36,2,J. Bird makes 2-pt shot at rim (assist by G. Monroe)
9:21.0,S. Kilpatrick makes 3-pt shot from 26 ft,3,38-36,,
9:10.0,Personal foul by R. Arcidiacono (drawn by S. Larkin),,38-36,,
9:10.0,L. Markkanen enters the game for O. Asik,,38-36,,
9:02.0,,,38-36,,Turnover by A. Nader (bad pass; steal by S. Kilpatrick)
9:01.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by S. Larkin),,38-36,,
9:00.0,Offensive rebound by B. Portis,,38-36,,
8:58.0,B. Portis misses 2-pt shot from 2 ft,,38-36,,
8:57.0,Offensive rebound by S. Kilpatrick,,38-36,,
8:56.0,Shooting foul by G. Monroe (drawn by S. Kilpatrick),,38-36,,
8:56.0,S. Kilpatrick misses free throw 1 of 2,,38-36,,
8:56.0,Offensive rebound by Team,,38-36,,
8:56.0,S. Kilpatrick makes free throw 2 of 2,1,39-36,,
8:40.0,,,39-38,2,J. Bird makes 2-pt shot at rim (assist by G. Monroe)
