time,Oklahoma City,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. S. Adams (A. Gordon gains possession),,,,Jump ball: N. Vucevic vs. S. Adams (A. Gordon gains possession)
11:45.0,,,0-0,,Turnover by E. Payton (bad pass; steal by R. Westbrook)
11:27.0,S. Adams makes 2-pt shot from 12 ft (assist by P. George),2,2-0,,
11:09.0,,,2-0,,E. Fournier misses 2-pt shot from 4 ft
11:06.0,Defensive rebound by C. Anthony,,2-0,,
10:58.0,S. Adams misses 2-pt shot from 11 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by N. Vucevic
10:50.0,,,2-0,,N. Vucevic misses 3-pt shot from 26 ft
10:48.0,Defensive rebound by Team,,2-0,,
10:36.0,Turnover by R. Westbrook (bad pass),,2-0,,
10:13.0,,,2-0,,A. Gordon misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by S. Adams,,2-0,,
10:05.0,Turnover by P. George (bad pass; steal by A. Gordon),,2-0,,
9:56.0,,,2-0,,A. Gordon misses 2-pt shot from 19 ft
9:53.0,Defensive rebound by R. Westbrook,,2-0,,
9:48.0,Turnover by C. Anthony (lost ball; steal by A. Gordon),,2-0,,
9:43.0,,,2-0,,A. Gordon misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by R. Westbrook,,2-0,,
9:34.0,Shooting foul by J. Simmons (drawn by P. George),,2-0,,
9:34.0,P. George makes free throw 1 of 2,1,3-0,,
9:34.0,P. George makes free throw 2 of 2,1,4-0,,
9:21.0,,,4-2,2,E. Payton makes 2-pt shot from 15 ft
9:12.0,Turnover by R. Westbrook (lost ball; steal by E. Payton),,4-2,,
9:05.0,,,4-2,,A. Gordon misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by A. Roberson,,4-2,,
8:59.0,R. Westbrook misses 2-pt shot from 9 ft,,4-2,,
8:59.0,,,4-2,,Defensive rebound by A. Gordon
8:50.0,,,4-4,2,N. Vucevic makes 2-pt shot from 13 ft (assist by A. Gordon)
8:31.0,C. Anthony misses 3-pt shot from 23 ft,,4-4,,
8:31.0,,,4-4,,Defensive rebound by E. Payton
8:23.0,,,4-6,2,E. Payton makes 2-pt shot from 3 ft
8:23.0,Violation by A. Roberson (def goaltending),,4-6,,
8:09.0,Turnover by R. Westbrook (bad pass; steal by E. Payton),,4-6,,
8:00.0,,,4-8,2,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic)
7:39.0,R. Westbrook makes 2-pt shot from 2 ft,2,6-8,,
7:31.0,,,6-8,,Shooting foul by S. Adams (drawn by A. Gordon)
7:31.0,,,6-8,,A. Gordon misses free throw 1 of 2
7:31.0,,,6-8,,Offensive rebound by Team
7:31.0,,,6-9,1,A. Gordon makes free throw 2 of 2
7:18.0,S. Adams makes 2-pt shot from 2 ft (assist by P. George),2,8-9,,
7:08.0,,,8-11,2,E. Payton makes 2-pt shot from 2 ft
6:46.0,A. Roberson makes 2-pt shot from 2 ft (assist by C. Anthony),2,10-11,,
6:30.0,,,10-14,3,A. Gordon makes 3-pt shot from 26 ft (assist by J. Simmons)
6:18.0,,,10-14,,Personal foul by J. Simmons (drawn by P. George)
6:18.0,,,10-14,,Orlando full timeout
6:18.0,,,10-14,,T. Ross enters the game for J. Simmons
6:07.0,S. Adams misses 2-pt shot from 2 ft,,10-14,,
