time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. M. Gortat (M. Morris gains possession),,,,Jump ball: J. Green vs. M. Gortat (M. Morris gains possession)
11:41.0,M. Gortat misses 2-pt shot from 10 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by L. James
11:38.0,,,0-0,,Shooting foul by M. Morris (drawn by R. Hood)
11:38.0,,,0-0,,R. Hood misses free throw 1 of 2
11:38.0,,,0-0,,Offensive rebound by Team
11:38.0,,,0-1,1,R. Hood makes free throw 2 of 2
11:21.0,Turnover by M. Gortat (lost ball; steal by R. Hood),,0-1,,
11:15.0,,,0-3,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
11:15.0,,,0-3,,Shooting foul by O. Porter (drawn by J. Green)
11:15.0,,,0-4,1,J. Green makes free throw 1 of 1
11:01.0,J. Wall misses 2-pt shot from 3 ft,,0-4,,
10:58.0,,,0-4,,Defensive rebound by K. Love
10:54.0,,,0-4,,L. James misses 2-pt shot from 1 ft
10:50.0,Defensive rebound by O. Porter,,0-4,,
10:49.0,M. Morris misses 2-pt shot from 2 ft,,0-4,,
10:44.0,,,0-4,,Defensive rebound by K. Love
10:43.0,,,0-4,,Turnover by L. James (lost ball; steal by J. Wall)
10:30.0,M. Morris makes 2-pt shot from 12 ft (assist by J. Wall),2,2-4,,
10:07.0,,,2-4,,C. Osman misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by J. Wall,,2-4,,
9:57.0,J. Wall makes 2-pt shot from 1 ft,2,4-4,,
9:40.0,,,4-4,,R. Hood misses 2-pt shot from 19 ft
9:38.0,Defensive rebound by O. Porter,,4-4,,
9:30.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,6-4,,
9:17.0,,,6-6,2,J. Green makes 2-pt shot from 1 ft (assist by L. James)
9:00.0,B. Beal misses 2-pt shot from 1 ft,,6-6,,
8:56.0,,,6-6,,Defensive rebound by C. Osman
8:55.0,,,6-6,,Turnover by L. James (lost ball; steal by J. Wall)
8:55.0,,,6-6,,Personal foul by C. Osman (drawn by J. Wall)
8:42.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,8-6,,
8:31.0,,,8-6,,Shooting foul by M. Morris (drawn by K. Love)
8:31.0,,,8-7,1,K. Love makes free throw 1 of 2
8:31.0,K. Oubre enters the game for M. Morris,,8-7,,
8:31.0,,,8-8,1,K. Love makes free throw 2 of 2
8:20.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,10-8,,
7:59.0,,,10-11,3,L. James makes 3-pt shot from 25 ft (assist by C. Osman)
7:46.0,B. Beal misses 2-pt shot from 11 ft,,10-11,,
7:45.0,,,10-11,,Defensive rebound by Team
7:37.0,,,10-14,3,K. Love makes 3-pt shot from 28 ft (assist by C. Osman)
7:18.0,Turnover by J. Wall (lost ball; steal by K. Love),,10-14,,
7:16.0,,,10-16,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:16.0,Washington full timeout,,10-16,,
7:16.0,,,10-16,,J. Clarkson enters the game for C. Osman
7:03.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,12-16,,
6:50.0,,,12-16,,Turnover by L. James (out of bounds lost ball)
6:35.0,Shooting foul by R. Hood (drawn by O. Porter),,12-16,,
6:35.0,O. Porter makes free throw 1 of 2,1,13-16,,
6:35.0,O. Porter makes free throw 2 of 2,1,14-16,,
6:22.0,,,14-19,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:06.0,O. Porter misses 2-pt shot from 20 ft,,14-19,,
6:05.0,Offensive rebound by M. Gortat,,14-19,,
6:00.0,K. Oubre misses 3-pt shot from 26 ft,,14-19,,
5:57.0,,,14-19,,Defensive rebound by L. James
5:48.0,,,14-21,2,J. Clarkson makes 2-pt shot at rim (assist by L. James)
5:40.0,J. Wall misses 2-pt shot from 17 ft,,14-21,,
5:37.0,,,14-21,,Defensive rebound by L. James
5:18.0,,,14-21,,L. James misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by B. Beal,,14-21,,
5:07.0,B. Beal misses 3-pt shot from 24 ft,,14-21,,
5:04.0,,,14-21,,Defensive rebound by J. Green
5:01.0,,,14-24,3,K. Love makes 3-pt shot from 32 ft (assist by J. Green)
4:32.0,M. Gortat misses 2-pt shot from 12 ft,,14-24,,
4:31.0,Offensive rebound by K. Oubre,,14-24,,
4:31.0,Shooting foul by R. Hood (drawn by K. Oubre),,14-24,,
4:31.0,K. Oubre misses free throw 1 of 2,,14-24,,
4:31.0,Offensive rebound by Team,,14-24,,
4:31.0,,,14-24,,L. Nance enters the game for R. Hood
4:31.0,,,14-24,,J. Smith enters the game for J. Green
4:31.0,M. Scott enters the game for M. Gortat,,14-24,,
4:31.0,K. Oubre misses free throw 2 of 2,,14-24,,
4:28.0,,,14-24,,Defensive rebound by L. Nance
4:17.0,,,14-24,,Turnover by L. James (bad pass)
4:09.0,M. Scott makes 2-pt shot from 17 ft (assist by J. Wall),2,16-24,,
3:48.0,,,16-24,,K. Love misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by B. Beal,,16-24,,
3:35.0,M. Scott misses 2-pt shot from 15 ft,,16-24,,
3:31.0,,,16-24,,Defensive rebound by L. James
3:23.0,,,16-24,,J. Clarkson misses 3-pt shot from 27 ft
3:19.0,Defensive rebound by M. Scott,,16-24,,
3:14.0,J. Wall makes 2-pt shot from 1 ft (assist by M. Scott),2,18-24,,
3:14.0,,,18-24,,Cleveland full timeout
3:14.0,,,18-24,,K. Korver enters the game for K. Love
3:14.0,T. Satoransky enters the game for O. Porter,,18-24,,
3:04.0,,,18-27,3,K. Korver makes 3-pt shot from 23 ft (assist by L. James)
2:39.0,K. Oubre misses 3-pt shot from 24 ft,,18-27,,
2:36.0,,,18-27,,Defensive rebound by L. Nance
2:31.0,,,18-27,,J. Clarkson misses 2-pt shot from 13 ft
2:27.0,,,18-27,,Offensive rebound by L. James
2:27.0,,,18-27,,L. James misses 2-pt shot at rim (block by K. Oubre)
2:27.0,Defensive rebound by B. Beal,,18-27,,
2:27.0,Shooting foul by K. Korver (drawn by J. Wall),,18-27,,
2:27.0,J. Wall makes free throw 1 of 2,1,19-27,,
2:27.0,J. Meeks enters the game for B. Beal,,19-27,,
