time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol,,,,Jump ball: S. Adams vs. M. Gasol
11:46.0,J. Green makes 2-pt shot from 1 ft (assist by D. Brooks),2,2-0,,
11:30.0,,,2-0,,S. Adams misses 2-pt shot from 1 ft (block by A. Harrison)
11:29.0,,,2-0,,Offensive rebound by S. Adams
11:29.0,,,2-0,,S. Adams misses 2-pt shot from 1 ft (block by J. Green)
11:27.0,Defensive rebound by A. Harrison,,2-0,,
11:02.0,J. Green misses 3-pt shot from 28 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by R. Felton
10:55.0,,,2-0,,Turnover by P. George (bad pass; steal by J. Green)
10:46.0,D. Brooks makes 2-pt shot from 1 ft,2,4-0,,
10:21.0,,,4-0,,A. Abrines misses 2-pt shot from 21 ft
10:20.0,,,4-0,,Offensive rebound by Team
10:14.0,Personal foul by A. Harrison (drawn by R. Felton),,4-0,,
10:12.0,Personal foul by D. Brooks (drawn by P. George),,4-0,,
10:04.0,,,4-0,,P. George misses 2-pt shot from 5 ft
10:00.0,Defensive rebound by M. Gasol,,4-0,,
9:54.0,A. Harrison makes 2-pt shot from 17 ft,2,6-0,,
9:41.0,,,6-0,,R. Felton misses 2-pt shot from 11 ft
9:38.0,Defensive rebound by D. Brooks,,6-0,,
9:31.0,D. Brooks misses 2-pt shot from 1 ft,,6-0,,
9:29.0,,,6-0,,Defensive rebound by S. Adams
9:18.0,,,6-2,2,P. George makes 2-pt shot from 13 ft
8:59.0,D. Brooks misses 2-pt shot from 15 ft,,6-2,,
8:57.0,Offensive rebound by Team,,6-2,,
8:52.0,Turnover by D. Brooks (bad pass),,6-2,,
8:31.0,,,6-2,,P. George misses 2-pt shot from 7 ft
8:27.0,Defensive rebound by T. Evans,,6-2,,
8:23.0,J. Green makes 2-pt shot from 1 ft (assist by T. Evans),2,8-2,,
8:12.0,,,8-4,2,P. George makes 2-pt shot at rim (assist by R. Felton)
7:57.0,A. Harrison misses 3-pt shot from 23 ft,,8-4,,
7:54.0,,,8-4,,Defensive rebound by P. Patterson
7:44.0,,,8-7,3,P. George makes 3-pt shot from 25 ft
7:28.0,Turnover by T. Evans (bad pass; steal by S. Adams),,8-7,,
7:23.0,,,8-7,,Offensive charge foul by P. George (drawn by M. Gasol)
7:23.0,,,8-7,,Turnover by P. George (offensive foul)
7:23.0,M. Chalmers enters the game for A. Harrison,,8-7,,
7:07.0,J. Green makes 2-pt shot from 2 ft (assist by M. Chalmers),2,10-7,,
6:53.0,,,10-10,3,A. Abrines makes 3-pt shot from 24 ft (assist by R. Felton)
6:48.0,Turnover by T. Evans (bad pass),,10-10,,
6:48.0,,,10-10,,Oklahoma City full timeout
6:48.0,,,10-10,,J. Grant enters the game for P. Patterson
6:48.0,B. McLemore enters the game for J. Green,,10-10,,
6:48.0,J. Martin enters the game for T. Evans,,10-10,,
6:35.0,,,10-10,,S. Adams misses 2-pt shot at rim
6:32.0,Defensive rebound by J. Martin,,10-10,,
6:16.0,Shooting foul by J. Grant (drawn by J. Martin),,10-10,,
6:16.0,J. Martin makes free throw 1 of 2,1,11-10,,
6:16.0,J. Martin makes free throw 2 of 2,1,12-10,,
6:05.0,,,12-13,3,R. Felton makes 3-pt shot from 24 ft
5:55.0,Turnover by D. Brooks (bad pass; steal by P. George),,12-13,,
5:51.0,Personal foul by M. Chalmers (drawn by A. Abrines),,12-13,,
5:51.0,M. Henry enters the game for D. Brooks,,12-13,,
5:31.0,,,12-16,3,P. George makes 3-pt shot from 24 ft
5:11.0,M. Gasol misses 2-pt shot from 9 ft,,12-16,,
5:08.0,,,12-16,,Defensive rebound by S. Adams
5:02.0,,,12-19,3,J. Grant makes 3-pt shot from 24 ft (assist by R. Felton)
4:40.0,M. Chalmers makes 2-pt shot from 16 ft (assist by M. Gasol),2,14-19,,
4:23.0,,,14-21,2,S. Adams makes 2-pt shot at rim (assist by P. George)
4:11.0,Turnover by M. Chalmers (step out of bounds),,14-21,,
4:11.0,,,14-21,,J. Huestis enters the game for R. Felton
3:57.0,,,14-23,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
3:38.0,J. Martin misses 2-pt shot from 16 ft,,14-23,,
3:36.0,,,14-23,,Defensive rebound by S. Adams
