time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. A. Zizic (P. Zipser gains possession),,,,Jump ball: C. Felicio vs. A. Zizic (P. Zipser gains possession)
11:40.0,,,0-0,,Shooting foul by A. Zizic (drawn by C. Felicio)
11:40.0,,,0-1,1,C. Felicio makes free throw 1 of 2
11:40.0,,,0-2,1,C. Felicio makes free throw 2 of 2
11:21.0,J. Green makes 2-pt shot from 1 ft,2,2-2,,
11:01.0,,,2-2,,P. Zipser misses 2-pt shot from 21 ft
10:58.0,Defensive rebound by L. James,,2-2,,
10:51.0,L. James makes 2-pt shot from 1 ft,2,4-2,,
10:45.0,,,4-2,,C. Felicio misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by J. Calderon,,4-2,,
10:38.0,L. James misses 2-pt shot from 1 ft,,4-2,,
10:35.0,,,4-2,,Defensive rebound by C. Felicio
10:32.0,,,4-5,3,C. Payne makes 3-pt shot from 26 ft (assist by C. Felicio)
10:15.0,J. Calderon makes 3-pt shot from 23 ft (assist by G. Hill),3,7-5,,
10:01.0,,,7-5,,C. Felicio misses 2-pt shot from 4 ft (block by A. Zizic)
9:57.0,Defensive rebound by J. Green,,7-5,,
9:51.0,,,7-5,,Def 3 sec tech foul by C. Felicio
9:51.0,J. Green makes technical free throw,1,8-5,,
9:40.0,A. Zizic makes 2-pt shot from 1 ft (assist by L. James),2,10-5,,
9:18.0,,,10-7,2,C. Felicio makes 2-pt shot from 19 ft (assist by C. Payne)
9:06.0,L. James makes 2-pt shot from 1 ft,2,12-7,,
9:06.0,Shooting foul by J. Holiday (drawn by L. James),,12-7,,
9:06.0,L. James misses free throw 1 of 1,,12-7,,
9:03.0,,,12-7,,Defensive rebound by P. Zipser
8:50.0,,,12-7,,D. Valentine misses 2-pt shot from 10 ft
8:48.0,Defensive rebound by J. Calderon,,12-7,,
8:41.0,G. Hill misses 3-pt shot from 22 ft,,12-7,,
8:36.0,,,12-7,,Defensive rebound by C. Felicio
8:30.0,,,12-9,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Valentine)
8:30.0,,,12-9,,Shooting foul by G. Hill (drawn by J. Holiday)
8:30.0,,,12-10,1,J. Holiday makes free throw 1 of 1
8:16.0,L. James makes 2-pt shot at rim (assist by J. Calderon),2,14-10,,
8:08.0,,,14-13,3,P. Zipser makes 3-pt shot from 24 ft (assist by C. Payne)
7:48.0,J. Green makes 3-pt shot from 23 ft (assist by J. Calderon),3,17-13,,
7:32.0,,,17-15,2,D. Valentine makes 2-pt shot from 3 ft (assist by J. Holiday)
7:16.0,A. Zizic makes 2-pt shot from 1 ft (assist by L. James),2,19-15,,
7:07.0,,,19-15,,J. Holiday misses 2-pt shot from 1 ft
7:05.0,,,19-15,,Offensive rebound by J. Holiday
7:05.0,,,19-17,2,J. Holiday makes 2-pt shot at rim
7:05.0,Cleveland full timeout,,19-17,,
6:47.0,L. James makes 3-pt shot from 23 ft (assist by J. Calderon),3,22-17,,
6:30.0,,,22-17,,C. Felicio misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by J. Green,,22-17,,
6:20.0,L. James misses 3-pt shot from 26 ft,,22-17,,
6:17.0,Offensive rebound by G. Hill,,22-17,,
6:09.0,J. Green misses 3-pt shot from 23 ft,,22-17,,
6:02.0,Offensive rebound by A. Zizic,,22-17,,
6:02.0,A. Zizic makes 2-pt shot at rim,2,24-17,,
5:41.0,,,24-20,3,C. Payne makes 3-pt shot from 24 ft (assist by C. Felicio)
5:27.0,Turnover by L. James (bad pass),,24-20,,
5:27.0,,,24-20,,B. Portis enters the game for P. Zipser
5:13.0,,,24-23,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday)
4:57.0,Turnover by L. James (bad pass; steal by C. Felicio),,24-23,,
4:53.0,,,24-23,,B. Portis misses 2-pt shot from 1 ft (block by L. James)
4:53.0,,,24-23,,Offensive rebound by Team
4:53.0,L. Perrantes enters the game for A. Zizic,,24-23,,
4:53.0,J. Smith enters the game for J. Calderon,,24-23,,
4:50.0,,,24-23,,D. Valentine misses 2-pt shot from 18 ft
4:48.0,Defensive rebound by L. James,,24-23,,
4:45.0,J. Green makes 2-pt shot at rim (assist by L. James),2,26-23,,
4:26.0,,,26-23,,J. Holiday misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by L. James,,26-23,,
4:14.0,Turnover by J. Smith (bad pass; steal by J. Holiday),,26-23,,
4:14.0,Personal foul by J. Smith (drawn by D. Valentine),,26-23,,
4:14.0,,,26-23,,J. Grant enters the game for C. Payne
3:59.0,,,26-23,,J. Holiday misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by J. Smith,,26-23,,
3:46.0,,,26-23,,Personal foul by C. Felicio (drawn by J. Green)
