time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. A. Davis (J. Holiday gains possession),,,,Jump ball: L. Aldridge vs. A. Davis (J. Holiday gains possession)
11:48.0,E. Moore makes 2-pt shot from 5 ft (assist by J. Holiday),2,2-0,,
11:29.0,,,2-0,,L. Aldridge misses 2-pt shot from 14 ft (block by A. Davis)
11:26.0,Defensive rebound by R. Rondo,,2-0,,
11:12.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,4-0,,
10:49.0,,,4-0,,D. Murray misses 2-pt shot from 1 ft
10:47.0,,,4-0,,Offensive rebound by L. Aldridge
10:46.0,,,4-2,2,L. Aldridge makes 2-pt shot from 1 ft
10:35.0,J. Holiday misses 2-pt shot from 3 ft (block by D. Green),,4-2,,
10:35.0,Offensive rebound by J. Holiday,,4-2,,
10:26.0,J. Holiday misses 2-pt shot at rim (block by D. Green),,4-2,,
10:26.0,,,4-2,,Defensive rebound by P. Mills
10:16.0,,,4-2,,L. Aldridge misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by A. Davis,,4-2,,
10:01.0,R. Rondo makes 2-pt shot from 1 ft,2,6-2,,
9:49.0,Personal foul by J. Holiday (drawn by P. Mills),,6-2,,
9:41.0,,,6-4,2,D. Murray makes 2-pt shot from 9 ft
9:32.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,8-4,,
9:07.0,,,8-6,2,L. Aldridge makes 2-pt shot from 13 ft
8:50.0,J. Holiday misses 3-pt shot from 25 ft,,8-6,,
8:47.0,,,8-6,,Defensive rebound by K. Anderson
8:43.0,,,8-9,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Green)
8:21.0,J. Holiday misses 2-pt shot from 4 ft (block by D. Green),,8-9,,
8:18.0,,,8-9,,Defensive rebound by D. Murray
8:16.0,,,8-11,2,D. Murray makes 2-pt shot from 1 ft (assist by K. Anderson)
8:06.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,10-11,,
7:52.0,,,10-11,,P. Mills misses 3-pt shot from 25 ft
7:52.0,,,10-11,,Offensive rebound by D. Green
7:36.0,,,10-13,2,L. Aldridge makes 2-pt shot from 15 ft
7:15.0,A. Davis misses 2-pt shot from 19 ft,,10-13,,
7:13.0,,,10-13,,Defensive rebound by D. Murray
7:05.0,,,10-15,2,D. Murray makes 2-pt shot from 9 ft
6:54.0,R. Rondo misses 2-pt shot from 2 ft (block by D. Green),,10-15,,
6:51.0,,,10-15,,Defensive rebound by D. Murray
6:46.0,,,10-15,,D. Green misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by Team,,10-15,,
6:45.0,,,10-15,,San Antonio full timeout
6:45.0,I. Clark enters the game for R. Rondo,,10-15,,
6:45.0,D. Miller enters the game for N. Mirotic,,10-15,,
