time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (G. Hill gains possession),,,,Jump ball: A. Horford vs. T. Thompson (G. Hill gains possession)
11:41.0,Turnover by L. James (bad pass),,0-0,,
11:28.0,,,0-3,3,J. Brown makes 3-pt shot from 26 ft (assist by J. Tatum)
11:12.0,J. Smith misses 2-pt shot from 2 ft,,0-3,,
11:11.0,Offensive rebound by T. Thompson,,0-3,,
11:11.0,T. Thompson makes 2-pt shot at rim,2,2-3,,
10:58.0,,,2-3,,Turnover by J. Brown (bad pass)
10:38.0,L. James makes 2-pt shot from 1 ft,2,4-3,,
10:29.0,,,4-3,,M. Morris misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by G. Hill,,4-3,,
10:14.0,G. Hill makes 2-pt shot from 1 ft,2,6-3,,
9:58.0,,,6-3,,J. Brown misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by K. Love,,6-3,,
9:49.0,Turnover by L. James (out of bounds lost ball),,6-3,,
9:31.0,,,6-5,2,J. Brown makes 2-pt shot from 1 ft
9:07.0,G. Hill misses 2-pt shot from 1 ft (block by A. Horford),,6-5,,
9:05.0,,,6-5,,Defensive rebound by A. Horford
8:59.0,,,6-5,,M. Morris misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by L. James,,6-5,,
8:51.0,Shooting foul by J. Brown (drawn by L. James),,6-5,,
8:51.0,L. James misses free throw 1 of 2,,6-5,,
8:51.0,Offensive rebound by Team,,6-5,,
8:51.0,L. James misses free throw 2 of 2,,6-5,,
8:51.0,,,6-5,,Defensive rebound by A. Horford
8:38.0,,,6-5,,J. Tatum misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by J. Smith,,6-5,,
8:29.0,L. James makes 3-pt shot from 27 ft,3,9-5,,
8:12.0,,,9-7,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Rozier)
8:01.0,L. James makes 3-pt shot from 26 ft,3,12-7,,
7:46.0,,,12-7,,Offensive charge foul by J. Tatum (drawn by J. Smith)
7:46.0,,,12-7,,Turnover by J. Tatum (offensive foul)
7:22.0,J. Smith misses 2-pt shot from 21 ft,,12-7,,
7:17.0,Offensive rebound by T. Thompson,,12-7,,
7:14.0,K. Love misses 3-pt shot from 25 ft,,12-7,,
7:12.0,,,12-7,,Defensive rebound by A. Horford
7:08.0,,,12-7,,J. Tatum misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by T. Thompson,,12-7,,
6:59.0,L. James misses 3-pt shot from 28 ft,,12-7,,
6:55.0,,,12-7,,Defensive rebound by J. Tatum
6:47.0,,,12-10,3,A. Horford makes 3-pt shot from 22 ft (assist by M. Morris)
6:46.0,Cleveland full timeout,,12-10,,
6:46.0,,,12-10,,A. Baynes enters the game for J. Tatum
6:24.0,L. James makes 3-pt shot from 28 ft (assist by K. Love),3,15-10,,
6:05.0,,,15-13,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Baynes)
5:49.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,17-13,,
5:35.0,,,17-13,,T. Rozier misses 2-pt shot from 19 ft
5:33.0,Defensive rebound by K. Love,,17-13,,
5:19.0,L. James makes 2-pt shot from 4 ft,2,19-13,,
5:03.0,,,19-13,,A. Horford misses 2-pt shot from 6 ft
5:00.0,Defensive rebound by K. Love,,19-13,,
4:52.0,Shooting foul by M. Morris (drawn by L. James),,19-13,,
4:52.0,L. James misses free throw 1 of 2,,19-13,,
4:52.0,Offensive rebound by Team,,19-13,,
4:52.0,,,19-13,,M. Smart enters the game for T. Rozier
4:52.0,L. James makes free throw 2 of 2,1,20-13,,
4:38.0,,,20-13,,M. Morris misses 2-pt shot from 18 ft
4:35.0,Defensive rebound by J. Smith,,20-13,,
4:31.0,J. Smith misses 3-pt shot from 26 ft,,20-13,,
4:29.0,Offensive rebound by Team,,20-13,,
4:25.0,L. James makes 2-pt shot from 12 ft (assist by J. Smith),2,22-13,,
4:07.0,,,22-15,2,A. Baynes makes 2-pt shot from 2 ft (assist by M. Smart)
3:37.0,L. James makes 3-pt shot from 24 ft (assist by G. Hill),2,25-15,,
3:27.0,Personal foul by G. Hill (drawn by M. Smart),,25-15,,
3:22.0,,,25-15,,M. Smart misses 2-pt shot from 19 ft
3:18.0,Defensive rebound by L. James,,25-15,,
3:13.0,L. James misses 3-pt shot from 25 ft,,25-15,,
3:10.0,,,25-15,,Defensive rebound by A. Baynes
3:05.0,,,25-17,2,J. Brown makes 2-pt shot from 1 ft
2:42.0,K. Love misses 2-pt shot from 4 ft,,25-17,,
2:41.0,Offensive rebound by T. Thompson,,25-17,,
2:41.0,T. Thompson misses 2-pt shot at rim,,25-17,,
2:39.0,,,25-17,,Defensive rebound by A. Baynes
2:27.0,,,25-20,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford)
2:05.0,,,25-20,,Personal foul by M. Smart (drawn by G. Hill)
2:05.0,,,25-20,,Boston full timeout
2:05.0,,,25-20,,J. Tatum enters the game for M. Morris
2:05.0,,,25-20,,S. Ojeleye enters the game for A. Horford
2:05.0,L. Nance enters the game for K. Love,,25-20,,
2:05.0,J. Green enters the game for J. Smith,,25-20,,
2:05.0,K. Korver enters the game for T. Thompson,,25-20,,
1:51.0,L. James misses 2-pt shot at rim,,25-20,,
1:50.0,Offensive rebound by L. James,,25-20,,
1:50.0,L. James makes 2-pt shot at rim,2,27-20,,
1:34.0,,,27-20,,J. Brown misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by K. Korver,,27-20,,
1:14.0,L. James misses 2-pt shot from 12 ft,,27-20,,
1:12.0,,,27-20,,Defensive rebound by S. Ojeleye
0:56.0,,,27-20,,M. Smart misses 2-pt shot at rim (block by G. Hill)
0:55.0,,,27-20,,Offensive rebound by M. Smart
0:54.0,,,27-22,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart)
0:37.0,L. James misses 3-pt shot from 27 ft,,27-22,,
0:34.0,,,27-22,,Defensive rebound by J. Brown
0:29.0,,,27-22,,Shooting foul by J. Green (drawn by J. Brown)
0:29.0,,,27-22,,J. Brown misses free throw 1 of 2
0:29.0,,,27-22,,Offensive rebound by Team
0:29.0,,,27-22,,T. Rozier enters the game for S. Ojeleye
0:29.0,R. Hood enters the game for L. James,,27-22,,
0:29.0,,,27-23,1,J. Brown makes free throw 2 of 2
0:11.0,J. Green misses 3-pt shot from 25 ft,,27-23,,
0:09.0,,,27-23,,Defensive rebound by J. Tatum
0:00.0,,,27-23,,Turnover by J. Tatum (lost ball; steal by L. Nance)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,27-23,,A. Baynes misses 2-pt shot from 2 ft (block by J. Green)
11:39.0,,,27-23,,Offensive rebound by A. Baynes
11:39.0,,,27-23,,A. Baynes misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by Team,,27-23,,
11:35.0,Jump ball: A. Baynes vs. L. Nance (J. Green gains possession),,,,Jump ball: A. Baynes vs. L. Nance (J. Green gains possession)
11:25.0,K. Korver makes 2-pt shot from 21 ft,2,29-23,,
11:25.0,Shooting foul by J. Tatum (drawn by K. Korver),,29-23,,
11:25.0,K. Korver makes free throw 1 of 1,1,30-23,,
11:10.0,,,30-25,2,T. Rozier makes 2-pt shot from 16 ft (assist by J. Tatum)
10:58.0,Shooting foul by T. Rozier (drawn by G. Hill),,30-25,,
10:58.0,G. Hill makes free throw 1 of 2,1,31-25,,
10:58.0,G. Hill misses free throw 2 of 2,,31-25,,
10:58.0,,,31-25,,Defensive rebound by A. Baynes
10:42.0,,,31-25,,J. Tatum misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by L. Nance,,31-25,,
10:27.0,K. Korver makes 3-pt shot from 26 ft (assist by R. Hood),3,34-25,,
10:12.0,Personal foul by R. Hood (drawn by M. Smart),,34-25,,
10:12.0,,,34-25,,A. Horford enters the game for A. Baynes
9:59.0,,,34-27,2,A. Horford makes 2-pt shot from 4 ft
9:43.0,K. Korver misses 2-pt shot from 21 ft,,34-27,,
9:40.0,,,34-27,,Defensive rebound by S. Ojeleye
9:26.0,,,34-29,2,J. Tatum makes 2-pt shot from 10 ft
9:07.0,J. Green misses 2-pt shot from 2 ft,,34-29,,
9:06.0,,,34-29,,Defensive rebound by S. Ojeleye
9:01.0,,,34-29,,M. Smart misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by R. Hood,,34-29,,
8:45.0,Turnover by J. Green (bad pass; steal by J. Tatum),,34-29,,
8:40.0,,,34-29,,J. Tatum misses 2-pt shot from 2 ft
8:36.0,,,34-29,,Offensive rebound by A. Horford
8:36.0,,,34-29,,A. Horford misses 2-pt shot at rim
8:35.0,Defensive rebound by L. Nance,,34-29,,
8:31.0,L. Nance misses 2-pt shot from 2 ft,,34-29,,
8:29.0,,,34-29,,Defensive rebound by T. Rozier
8:21.0,,,34-29,,Turnover by T. Rozier (bad pass; steal by L. Nance)
8:14.0,,,34-29,,Personal foul by S. Ojeleye (drawn by R. Hood)
8:14.0,,,34-29,,M. Morris enters the game for S. Ojeleye
8:14.0,L. James enters the game for G. Hill,,34-29,,
8:08.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Green),3,37-29,,
7:45.0,,,37-31,2,J. Tatum makes 2-pt shot from 1 ft
7:20.0,L. James misses 2-pt shot from 15 ft,,37-31,,
7:19.0,,,37-31,,Defensive rebound by T. Rozier
7:19.0,Personal take foul by L. Nance (drawn by T. Rozier),,37-31,,
7:19.0,T. Thompson enters the game for L. Nance,,37-31,,
7:05.0,,,37-34,3,J. Tatum makes 3-pt shot from 23 ft
6:50.0,K. Korver makes 2-pt shot from 19 ft (assist by L. James),2,39-34,,
6:25.0,,,39-36,2,J. Tatum makes 2-pt shot from 19 ft
6:02.0,L. James makes 2-pt shot from 19 ft,2,41-36,,
5:55.0,,,41-36,,Boston full timeout
5:55.0,J. Smith enters the game for R. Hood,,41-36,,
5:55.0,K. Love enters the game for J. Green,,41-36,,
5:47.0,,,41-36,,T. Rozier misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by Team,,41-36,,
5:36.0,K. Love makes 2-pt shot from 16 ft (assist by L. James),2,43-36,,
5:11.0,,,43-36,,A. Horford misses 2-pt shot from 8 ft
5:08.0,Defensive rebound by K. Love,,43-36,,
5:04.0,Turnover by L. James (bad pass; steal by M. Smart),,43-36,,
4:55.0,,,43-36,,T. Rozier misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by T. Thompson,,43-36,,
4:46.0,Offensive foul by T. Thompson (drawn by M. Smart),,43-36,,
4:46.0,Turnover by T. Thompson (offensive foul),,43-36,,
4:46.0,,,43-36,,J. Brown enters the game for M. Smart
4:46.0,G. Hill enters the game for K. Korver,,43-36,,
4:33.0,,,43-36,,M. Morris misses 2-pt shot from 18 ft
4:30.0,Defensive rebound by L. James,,43-36,,
4:28.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,45-36,,
4:28.0,Shooting foul by M. Morris (drawn by K. Love),,45-36,,
4:28.0,K. Love makes free throw 1 of 1,1,46-36,,
4:07.0,Jump ball: T. Rozier vs. G. Hill (J. Brown gains possession),,,,Jump ball: T. Rozier vs. G. Hill (J. Brown gains possession)
4:02.0,,,46-36,,J. Brown misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by J. Smith,,46-36,,
3:50.0,,,46-36,,Personal foul by J. Tatum (drawn by L. James)
3:50.0,L. James makes free throw 1 of 2,1,47-36,,
3:50.0,,,47-36,,M. Smart enters the game for J. Tatum
3:50.0,,,47-36,,G. Yabusele enters the game for T. Rozier
3:50.0,L. James misses free throw 2 of 2,,47-36,,
3:48.0,,,47-36,,Defensive rebound by M. Morris
3:48.0,Personal take foul by J. Smith (drawn by M. Morris),,47-36,,
3:48.0,J. Green enters the game for L. James,,47-36,,
3:34.0,,,47-36,,Shooting foul by G. Hill (drawn by M. Smart)
3:34.0,,,47-37,1,M. Smart makes free throw 1 of 2
3:34.0,,,47-37,,G. Monroe enters the game for G. Yabusele
3:34.0,,,47-38,1,M. Smart makes free throw 2 of 2
3:18.0,K. Love misses 3-pt shot from 26 ft,,47-38,,
3:14.0,Offensive rebound by G. Hill,,47-38,,
2:59.0,K. Love misses 2-pt shot from 14 ft,,47-38,,
2:56.0,,,47-38,,Defensive rebound by M. Morris
2:50.0,,,47-38,,G. Monroe misses 2-pt shot from 2 ft (block by J. Green)
2:49.0,,,47-38,,Offensive rebound by Team
2:49.0,Cleveland full timeout,,47-38,,
2:43.0,,,47-38,,J. Brown misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by K. Love,,47-38,,
2:20.0,J. Smith misses 2-pt shot from 19 ft,,47-38,,
2:19.0,Offensive rebound by K. Love,,47-38,,
2:18.0,K. Love makes 2-pt shot from 2 ft,2,49-38,,
1:57.0,,,49-38,,Shooting foul by K. Love (drawn by G. Monroe)
1:57.0,,,49-39,1,G. Monroe makes free throw 1 of 2
1:57.0,L. James enters the game for G. Hill,,49-39,,
1:57.0,,,49-40,1,G. Monroe makes free throw 2 of 2
1:40.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,51-40,,
1:28.0,,,51-42,2,J. Brown makes 2-pt shot from 2 ft
1:08.0,Shooting foul by J. Brown (drawn by L. James),,51-42,,
1:08.0,L. James misses free throw 1 of 2,,51-42,,
1:08.0,Offensive rebound by Team,,51-42,,
1:08.0,L. James makes free throw 2 of 2,1,52-42,,
0:55.0,,,52-44,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Smart)
0:42.0,J. Green makes 3-pt shot from 24 ft (assist by L. James),3,55-44,,
0:23.0,,,55-46,2,M. Morris makes 2-pt shot from 4 ft (assist by M. Smart)
0:19.0,Turnover by L. James (lost ball; steal by M. Smart),,55-46,,
0:17.0,,,55-48,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Smart)
0:01.0,,,55-48,,A. Baynes enters the game for G. Monroe
0:01.0,K. Korver enters the game for T. Thompson,,55-48,,
0:00.0,Turnover by J. Green (bad pass),,55-48,,
0:00.0,,,55-48,,M. Morris misses 3-pt shot from 62 ft
0:00.0,,,55-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,55-50,2,J. Tatum makes 2-pt shot from 17 ft (assist by M. Morris)
11:27.0,L. James makes 2-pt shot from 3 ft,2,57-50,,
11:12.0,,,57-50,,A. Horford misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by K. Love,,57-50,,
11:01.0,Turnover by K. Love (bad pass),,57-50,,
10:50.0,,,57-52,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Horford)
10:30.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Love),2,59-52,,
10:19.0,,,59-52,,M. Morris misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by T. Thompson,,59-52,,
10:09.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,61-52,,
9:57.0,,,61-52,,A. Horford misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by L. James,,61-52,,
9:36.0,,,61-52,,A. Baynes enters the game for J. Tatum
9:31.0,K. Love misses 3-pt shot from 26 ft,,61-52,,
9:30.0,,,61-52,,Defensive rebound by Team
9:15.0,,,61-54,2,T. Rozier makes 2-pt shot from 1 ft
8:52.0,T. Thompson misses 2-pt shot from 9 ft,,61-54,,
8:50.0,,,61-54,,Defensive rebound by A. Baynes
8:46.0,,,61-56,2,J. Brown makes 2-pt shot from 1 ft
8:45.0,Cleveland full timeout,,61-56,,
8:29.0,L. James misses 2-pt shot from 12 ft,,61-56,,
8:26.0,,,61-56,,Defensive rebound by J. Brown
8:22.0,,,61-56,,J. Brown misses 2-pt shot from 6 ft (block by G. Hill)
8:21.0,,,61-56,,Offensive rebound by J. Brown
8:19.0,,,61-59,3,M. Morris makes 3-pt shot from 27 ft (assist by J. Brown)
8:00.0,L. James makes 3-pt shot from 26 ft,3,64-59,,
7:43.0,,,64-59,,J. Brown misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by K. Love,,64-59,,
7:35.0,,,64-59,,Personal foul by M. Morris (drawn by T. Thompson)
7:28.0,L. James misses 2-pt shot from 18 ft,,64-59,,
