time,Charlotte,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (K. Walker gains possession),,,,Jump ball: R. Gobert vs. D. Howard (K. Walker gains possession)
11:49.0,Turnover by K. Walker (lost ball; steal by R. Rubio),,0-0,,
11:45.0,,,0-2,2,J. Ingles makes 2-pt shot from 1 ft (assist by R. Rubio)
11:30.0,N. Batum makes 2-pt shot from 17 ft (assist by K. Walker),2,2-2,,
11:08.0,,,2-2,,D. Mitchell misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by D. Howard,,2-2,,
10:55.0,K. Walker makes 2-pt shot from 2 ft,2,4-2,,
10:38.0,,,4-2,,J. Ingles misses 3-pt shot from 25 ft
10:30.0,,,4-2,,D. Favors misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by K. Walker,,4-2,,
10:30.0,,,4-2,,Defensive rebound by D. Favors
10:27.0,M. Williams misses 3-pt shot from 22 ft,,4-2,,
10:24.0,,,4-2,,Defensive rebound by R. Gobert
10:16.0,,,4-4,2,R. Rubio makes 2-pt shot from 18 ft
9:57.0,D. Howard misses 2-pt shot from 3 ft,,4-4,,
9:55.0,,,4-4,,Defensive rebound by R. Rubio
9:41.0,,,4-4,,Turnover by R. Rubio (bad pass; steal by M. Williams)
9:33.0,K. Walker misses 2-pt shot from 2 ft (block by D. Favors),,4-4,,
9:30.0,,,4-4,,Defensive rebound by R. Rubio
9:28.0,,,4-6,2,J. Ingles makes 2-pt shot from 1 ft (assist by R. Rubio)
9:07.0,Shooting foul by J. Ingles (drawn by D. Howard),,4-6,,
9:07.0,D. Howard makes free throw 1 of 2,1,5-6,,
9:07.0,D. Howard misses free throw 2 of 2,,5-6,,
9:05.0,,,5-6,,Defensive rebound by D. Favors
8:49.0,,,5-6,,D. Mitchell misses 2-pt shot from 18 ft
8:46.0,,,5-6,,Offensive rebound by D. Favors
8:45.0,,,5-8,2,D. Favors makes 2-pt shot from 1 ft
8:29.0,N. Batum makes 2-pt shot from 12 ft,2,7-8,,
8:14.0,,,7-10,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors)
8:01.0,D. Howard misses 2-pt shot from 5 ft,,7-10,,
7:58.0,Offensive rebound by D. Howard,,7-10,,
7:56.0,K. Walker misses 3-pt shot from 25 ft,,7-10,,
7:55.0,,,7-10,,Defensive rebound by Team
7:41.0,,,7-12,2,D. Mitchell makes 2-pt shot from 3 ft
7:29.0,Shooting foul by D. Mitchell (drawn by M. Kidd-Gilchrist),,7-12,,
7:29.0,M. Kidd-Gilchrist misses free throw 1 of 2,,7-12,,
7:29.0,Offensive rebound by Team,,7-12,,
7:29.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,8-12,,
7:16.0,,,8-12,,J. Ingles misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by M. Williams,,8-12,,
6:58.0,M. Williams misses 2-pt shot from 22 ft,,8-12,,
6:57.0,,,8-12,,Defensive rebound by D. Mitchell
6:48.0,,,8-12,,D. Favors misses 2-pt shot from 10 ft
6:46.0,,,8-12,,Offensive rebound by R. Gobert
6:36.0,,,8-14,2,J. Ingles makes 2-pt shot from 11 ft
6:20.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,8-14,,
6:17.0,,,8-14,,Defensive rebound by J. Ingles
6:04.0,,,8-14,,R. Rubio misses 2-pt shot from 16 ft
6:03.0,Defensive rebound by Team,,8-14,,
6:03.0,,,8-14,,Utah full timeout
6:03.0,,,8-14,,J. Jerebko enters the game for D. Favors
6:03.0,T. Graham enters the game for M. Kidd-Gilchrist,,8-14,,
5:50.0,N. Batum misses 2-pt shot from 15 ft,,8-14,,
5:47.0,,,8-14,,Defensive rebound by J. Jerebko
5:33.0,,,8-16,2,J. Ingles makes 2-pt shot from 3 ft (assist by R. Gobert)
5:18.0,M. Williams misses 3-pt shot from 26 ft,,8-16,,
5:15.0,Offensive rebound by D. Howard,,8-16,,
5:08.0,,,8-16,,Personal foul by J. Ingles (drawn by N. Batum)
