time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Henson (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. J. Henson (G. Dragic gains possession)
11:42.0,,,0-0,,G. Dragic misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by M. Brogdon,,0-0,,
11:39.0,Shooting foul by T. Johnson (drawn by E. Bledsoe),,0-0,,
11:39.0,E. Bledsoe makes free throw 1 of 2,1,1-0,,
11:39.0,E. Bledsoe misses free throw 2 of 2,,1-0,,
11:36.0,,,1-0,,Defensive rebound by H. Whiteside
11:22.0,,,1-0,,J. Johnson misses 2-pt shot at rim
11:15.0,Defensive rebound by J. Henson,,1-0,,
11:08.0,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe),2,3-0,,
10:56.0,,,3-0,,Turnover by G. Dragic (bad pass; steal by M. Brogdon)
10:47.0,G. Antetokounmpo misses 2-pt shot at rim,,3-0,,
10:45.0,,,3-0,,Defensive rebound by J. Richardson
10:38.0,,,3-0,,T. Johnson misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by J. Henson,,3-0,,
10:26.0,K. Middleton misses 2-pt shot from 3 ft,,3-0,,
10:25.0,,,3-0,,Defensive rebound by T. Johnson
10:18.0,,,3-0,,T. Johnson misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by J. Henson,,3-0,,
10:05.0,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,6-0,,
9:51.0,Violation by E. Bledsoe (kicked ball),,6-0,,
9:43.0,Personal foul by K. Middleton (drawn by J. Richardson),,6-0,,
9:37.0,,,6-3,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
9:10.0,J. Henson misses 2-pt shot from 4 ft (block by H. Whiteside),,6-3,,
9:07.0,Offensive rebound by J. Henson,,6-3,,
9:07.0,Shooting foul by J. Richardson (drawn by K. Middleton),,6-3,,
9:07.0,K. Middleton makes free throw 1 of 3,1,7-3,,
9:07.0,K. Middleton makes free throw 2 of 3,1,8-3,,
9:07.0,K. Middleton makes free throw 3 of 3,1,9-3,,
8:51.0,,,9-5,2,J. Johnson makes 2-pt shot at rim (assist by T. Johnson)
8:37.0,M. Brogdon makes 2-pt shot at rim,2,11-5,,
8:24.0,,,11-5,,T. Johnson misses 2-pt shot from 22 ft
8:21.0,Defensive rebound by K. Middleton,,11-5,,
8:13.0,Shooting foul by J. Johnson (drawn by G. Antetokounmpo),,11-5,,
8:13.0,G. Antetokounmpo makes free throw 1 of 2,1,12-5,,
8:13.0,G. Antetokounmpo makes free throw 2 of 2,1,13-5,,
8:00.0,,,13-5,,Turnover by H. Whiteside (lost ball; steal by K. Middleton)
7:54.0,K. Middleton misses 2-pt shot at rim (block by H. Whiteside),,13-5,,
7:50.0,,,13-5,,Defensive rebound by J. Richardson
7:48.0,,,13-7,2,J. Richardson makes 2-pt shot from 1 ft
7:35.0,Turnover by K. Middleton (bad pass; steal by J. Johnson),,13-7,,
7:34.0,,,13-7,,Offensive foul by H. Whiteside (drawn by E. Bledsoe)
7:34.0,,,13-7,,Turnover by H. Whiteside (bad pass)
7:15.0,E. Bledsoe misses 2-pt shot from 9 ft,,13-7,,
7:12.0,,,13-7,,Defensive rebound by T. Johnson
6:55.0,,,13-9,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
6:42.0,G. Antetokounmpo makes 2-pt shot from 17 ft,2,15-9,,
6:29.0,,,15-9,,G. Dragic misses 2-pt shot from 3 ft
6:29.0,,,15-9,,Offensive rebound by Team
6:29.0,Loose ball foul by J. Henson (drawn by H. Whiteside),,15-9,,
6:29.0,,,15-9,,Miami full timeout
6:29.0,T. Snell enters the game for K. Middleton,,15-9,,
6:17.0,,,15-9,,Turnover by J. Richardson (traveling)
6:06.0,E. Bledsoe misses 2-pt shot from 4 ft (block by H. Whiteside),,15-9,,
6:06.0,,,15-9,,Defensive rebound by H. Whiteside
6:06.0,Personal foul by E. Bledsoe (drawn by H. Whiteside),,15-9,,
5:47.0,,,15-9,,J. Johnson misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by G. Antetokounmpo,,15-9,,
5:36.0,T. Snell misses 3-pt shot from 25 ft,,15-9,,
5:33.0,,,15-9,,Defensive rebound by H. Whiteside
5:23.0,Personal foul by G. Antetokounmpo (drawn by H. Whiteside),,15-9,,
5:23.0,,,15-9,,W. Ellington enters the game for J. Richardson
5:11.0,,,15-9,,G. Dragic misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by G. Antetokounmpo,,15-9,,
4:57.0,G. Antetokounmpo misses 2-pt shot from 7 ft (block by J. Johnson),,15-9,,
4:56.0,,,15-9,,Defensive rebound by G. Dragic
4:44.0,,,15-9,,H. Whiteside misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by J. Henson,,15-9,,
4:40.0,Turnover by J. Henson (offensive goaltending),,15-9,,
4:24.0,,,15-12,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson)
4:01.0,M. Brogdon makes 2-pt shot at rim,2,17-12,,
3:50.0,,,17-15,3,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson)
3:28.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by H. Whiteside),,17-15,,
3:24.0,Offensive rebound by J. Henson,,17-15,,
3:23.0,J. Henson makes 2-pt shot from 1 ft,2,19-15,,
3:15.0,,,19-15,,Shooting foul by T. Snell (drawn by W. Ellington)
3:15.0,,,19-15,,W. Ellington misses free throw 1 of 3
3:15.0,,,19-15,,Offensive rebound by Team
3:15.0,,,19-16,1,W. Ellington makes free throw 2 of 3
3:15.0,,,19-16,,J. Richardson enters the game for G. Dragic
3:15.0,,,19-16,,K. Olynyk enters the game for J. Johnson
3:15.0,,,19-16,,B. Adebayo enters the game for H. Whiteside
3:15.0,K. Middleton enters the game for E. Bledsoe,,19-16,,
3:15.0,M. Dellavedova enters the game for G. Antetokounmpo,,19-16,,
3:15.0,,,19-17,1,W. Ellington makes free throw 3 of 3
2:56.0,M. Brogdon makes 2-pt shot from 2 ft,2,21-17,,
2:40.0,,,21-17,,Turnover by K. Olynyk (traveling)
2:40.0,Milwaukee full timeout,,21-17,,
2:29.0,T. Snell misses 3-pt shot from 23 ft,,21-17,,
2:26.0,,,21-17,,Defensive rebound by B. Adebayo
2:09.0,,,21-19,2,J. Richardson makes 2-pt shot from 20 ft (assist by B. Adebayo)
1:52.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,23-19,,
1:32.0,,,23-19,,W. Ellington misses 3-pt shot from 22 ft
1:27.0,Defensive rebound by J. Henson,,23-19,,
1:12.0,M. Brogdon misses 2-pt shot from 1 ft,,23-19,,
1:10.0,,,23-19,,Defensive rebound by K. Olynyk
1:05.0,,,23-19,,K. Olynyk misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by K. Middleton,,23-19,,
0:44.0,M. Dellavedova misses 2-pt shot from 7 ft,,23-19,,
0:41.0,,,23-19,,Defensive rebound by B. Adebayo
0:29.0,,,23-21,2,T. Johnson makes 2-pt shot from 16 ft
0:08.0,Turnover by J. Henson (lost ball; steal by K. Olynyk),,23-21,,
0:01.0,,,23-21,,K. Olynyk misses 2-pt shot from 11 ft (block by J. Henson)
0:01.0,,,23-21,,Offensive rebound by Team
0:01.0,T. Maker enters the game for M. Brogdon,,23-21,,
0:01.0,S. Brown enters the game for J. Henson,,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Middleton misses 3-pt shot from 24 ft,,23-21,,
11:40.0,,,23-21,,Defensive rebound by W. Ellington
11:23.0,,,23-24,3,J. Richardson makes 3-pt shot from 24 ft (assist by W. Ellington)
11:01.0,Shooting foul by B. Adebayo (drawn by K. Middleton),,23-24,,
11:01.0,K. Middleton makes free throw 1 of 2,1,24-24,,
11:01.0,K. Middleton misses free throw 2 of 2,,24-24,,
10:59.0,,,24-24,,Defensive rebound by K. Olynyk
10:38.0,,,24-24,,J. Winslow misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by Team,,24-24,,
10:26.0,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton),3,27-24,,
10:13.0,,,27-24,,W. Ellington misses 3-pt shot from 28 ft
10:11.0,Defensive rebound by S. Brown,,27-24,,
9:59.0,S. Brown misses 2-pt shot from 1 ft,,27-24,,
9:56.0,,,27-24,,Defensive rebound by J. Winslow
9:56.0,Personal foul by T. Snell (drawn by J. Winslow),,27-24,,
9:56.0,S. Kilpatrick enters the game for T. Snell,,27-24,,
9:51.0,,,27-24,,J. Richardson misses 2-pt shot from 2 ft
9:48.0,Defensive rebound by M. Dellavedova,,27-24,,
9:43.0,Turnover by M. Dellavedova (bad pass; steal by J. Richardson),,27-24,,
9:39.0,,,27-26,2,K. Olynyk makes 2-pt shot at rim (assist by J. Winslow)
9:16.0,Turnover by T. Maker (traveling),,27-26,,
9:16.0,E. Bledsoe enters the game for M. Dellavedova,,27-26,,
9:00.0,,,27-29,3,W. Ellington makes 3-pt shot from 24 ft (assist by B. Adebayo)
8:40.0,E. Bledsoe makes 2-pt shot at rim,2,29-29,,
8:25.0,,,29-29,,Turnover by W. Ellington (out of bounds lost ball)
8:07.0,E. Bledsoe makes 2-pt shot from 6 ft,2,31-29,,
7:54.0,Personal foul by E. Bledsoe (drawn by B. Adebayo),,31-29,,
7:47.0,,,31-29,,W. Ellington misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by S. Brown,,31-29,,
7:38.0,S. Kilpatrick misses 3-pt shot from 23 ft,,31-29,,
7:35.0,Offensive rebound by T. Maker,,31-29,,
7:34.0,Milwaukee full timeout,,31-29,,
7:22.0,E. Bledsoe misses 2-pt shot from 12 ft,,31-29,,
7:22.0,Offensive rebound by Team,,31-29,,
7:22.0,,,31-29,,Loose ball foul by J. Richardson (drawn by T. Maker)
7:22.0,,,31-29,,G. Dragic enters the game for J. Richardson
7:15.0,K. Middleton misses 2-pt shot from 2 ft,,31-29,,
7:12.0,,,31-29,,Defensive rebound by J. Winslow
7:02.0,,,31-29,,B. Adebayo misses 2-pt shot from 13 ft
6:59.0,,,31-29,,Offensive rebound by K. Olynyk
6:58.0,,,31-31,2,K. Olynyk makes 2-pt shot from 1 ft
6:47.0,E. Bledsoe makes 2-pt shot at rim,2,33-31,,
6:47.0,Shooting foul by J. Winslow (drawn by E. Bledsoe),,33-31,,
6:47.0,E. Bledsoe makes free throw 1 of 1,1,34-31,,
6:31.0,,,34-31,,B. Adebayo misses 2-pt shot from 5 ft
6:30.0,Defensive rebound by T. Maker,,34-31,,
6:21.0,K. Middleton misses 3-pt shot from 23 ft,,34-31,,
6:19.0,,,34-31,,Defensive rebound by J. Winslow
5:59.0,,,34-31,,K. Olynyk misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by E. Bledsoe,,34-31,,
5:48.0,Shooting foul by W. Ellington (drawn by S. Kilpatrick),,34-31,,
5:48.0,S. Kilpatrick makes free throw 1 of 2,1,35-31,,
5:48.0,G. Antetokounmpo enters the game for K. Middleton,,35-31,,
