time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. D. Dedmon (M. Delaney gains possession),,,,Jump ball: R. Lopez vs. D. Dedmon (M. Delaney gains possession)
11:41.0,D. Dedmon makes 2-pt shot from 15 ft (assist by M. Delaney),2,2-0,,
11:18.0,,,2-3,3,L. Markkanen makes 3-pt shot from 26 ft (assist by D. Valentine)
10:52.0,M. Delaney misses 2-pt shot from 16 ft,,2-3,,
10:50.0,,,2-3,,Defensive rebound by L. Markkanen
10:37.0,,,2-3,,L. Markkanen misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by K. Bazemore,,2-3,,
10:22.0,D. Dedmon misses 2-pt shot from 17 ft,,2-3,,
10:20.0,,,2-3,,Defensive rebound by J. Holiday
10:02.0,,,2-3,,R. Lopez misses 2-pt shot from 10 ft
9:59.0,Defensive rebound by K. Bazemore,,2-3,,
9:50.0,,,2-3,,Personal foul by L. Markkanen (drawn by M. Delaney)
9:38.0,M. Muscala misses 3-pt shot from 25 ft,,2-3,,
9:38.0,,,2-3,,Defensive rebound by L. Markkanen
9:24.0,,,2-3,,L. Markkanen misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by M. Muscala,,2-3,,
9:14.0,D. Dedmon misses 3-pt shot from 22 ft,,2-3,,
9:11.0,Offensive rebound by M. Muscala,,2-3,,
9:09.0,M. Muscala misses 2-pt shot from 1 ft,,2-3,,
9:09.0,,,2-3,,Defensive rebound by D. Valentine
8:57.0,,,2-3,,R. Lopez misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by M. Muscala,,2-3,,
8:42.0,K. Bazemore makes 2-pt shot from 1 ft,2,4-3,,
8:22.0,,,4-5,2,R. Lopez makes 2-pt shot from 4 ft
8:06.0,T. Waller-Prince misses 2-pt shot from 11 ft,,4-5,,
8:06.0,,,4-5,,Defensive rebound by L. Markkanen
7:56.0,,,4-5,,Turnover by D. Valentine (bad pass)
7:35.0,T. Waller-Prince misses 3-pt shot from 24 ft,,4-5,,
7:33.0,Offensive rebound by M. Muscala,,4-5,,
7:32.0,M. Muscala makes 2-pt shot from 20 ft,2,6-5,,
7:11.0,,,6-7,2,R. Lopez makes 2-pt shot from 2 ft
6:51.0,,,6-7,,Personal foul by J. Holiday (drawn by K. Bazemore)
6:51.0,,,6-7,,Chicago full timeout
6:51.0,M. Belinelli enters the game for D. Dedmon,,6-7,,
6:51.0,J. Collins enters the game for K. Bazemore,,6-7,,
6:37.0,T. Waller-Prince misses 2-pt shot from 9 ft,,6-7,,
6:34.0,,,6-7,,Defensive rebound by R. Lopez
6:30.0,,,6-7,,Turnover by J. Holiday (bad pass; steal by M. Muscala)
6:25.0,M. Belinelli makes 3-pt shot from 24 ft (assist by M. Muscala),3,9-7,,
6:04.0,,,9-7,,L. Markkanen misses 3-pt shot from 25 ft
6:04.0,,,9-7,,Offensive rebound by D. Valentine
5:51.0,,,9-7,,L. Markkanen misses 2-pt shot from 3 ft (block by J. Collins)
5:51.0,Defensive rebound by M. Muscala,,9-7,,
5:42.0,M. Delaney misses 2-pt shot from 20 ft,,9-7,,
5:42.0,,,9-7,,Defensive rebound by D. Valentine
5:33.0,,,9-7,,Turnover by L. Markkanen (bad pass; steal by T. Waller-Prince)
5:27.0,M. Delaney misses 2-pt shot from 2 ft,,9-7,,
5:23.0,,,9-7,,Defensive rebound by D. Valentine
5:21.0,,,9-7,,J. Holiday misses 3-pt shot from 26 ft
5:21.0,,,9-7,,Offensive rebound by R. Lopez
5:14.0,,,9-7,,R. Lopez misses 2-pt shot from 2 ft
5:14.0,Defensive rebound by M. Muscala,,9-7,,
4:54.0,J. Collins makes 2-pt shot from 16 ft (assist by T. Waller-Prince),2,11-7,,
4:32.0,,,11-9,2,R. Lopez makes 2-pt shot from 1 ft
4:19.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by M. Belinelli),3,14-9,,
4:00.0,,,14-9,,Turnover by R. Lopez (bad pass; steal by T. Waller-Prince)
3:45.0,T. Waller-Prince misses 2-pt shot from 13 ft,,14-9,,
3:42.0,,,14-9,,Defensive rebound by D. Valentine
3:27.0,,,14-11,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine)
3:27.0,Atlanta full timeout,,14-11,,
3:27.0,,,14-11,,Q. Pondexter enters the game for L. Markkanen
3:27.0,,,14-11,,D. Nwaba enters the game for D. Valentine
3:27.0,I. Taylor enters the game for M. Delaney,,14-11,,
3:27.0,L. Babbitt enters the game for M. Muscala,,14-11,,
3:08.0,M. Belinelli makes 3-pt shot from 24 ft (assist by I. Taylor),3,17-11,,
2:45.0,,,17-11,,Turnover by Q. Pondexter (bad pass; steal by M. Belinelli)
2:45.0,Offensive charge foul by T. Waller-Prince (drawn by R. Lopez),,17-11,,
2:45.0,Turnover by T. Waller-Prince (bad pass),,17-11,,
2:45.0,K. Bazemore enters the game for T. Waller-Prince,,17-11,,
2:21.0,,,17-11,,R. Lopez misses 2-pt shot from 3 ft
2:21.0,,,17-11,,Offensive rebound by Team
2:21.0,,,17-11,,Turnover by Team (shot clock)
2:21.0,,,17-11,,K. Felder enters the game for J. Grant
2:04.0,,,17-11,,Personal foul by K. Felder (drawn by I. Taylor)
1:53.0,L. Babbitt misses 3-pt shot from 25 ft,,17-11,,
1:50.0,,,17-11,,Defensive rebound by D. Nwaba
1:47.0,,,17-13,2,D. Nwaba makes 2-pt shot at rim
1:33.0,I. Taylor makes 3-pt shot from 24 ft (assist by K. Bazemore),3,20-13,,
1:17.0,,,20-13,,Shooting foul by L. Babbitt (drawn by Q. Pondexter)
1:17.0,,,20-14,1,Q. Pondexter makes free throw 1 of 3
1:17.0,,,20-15,1,Q. Pondexter makes free throw 2 of 3
1:17.0,,,20-16,1,Q. Pondexter makes free throw 3 of 3
1:06.0,K. Bazemore misses 2-pt shot from 19 ft,,20-16,,
1:01.0,,,20-16,,Defensive rebound by J. Holiday
0:58.0,,,20-18,2,R. Lopez makes 2-pt shot from 7 ft (assist by K. Felder)
0:48.0,,,20-18,,Personal foul by K. Felder (drawn by L. Babbitt)
0:33.0,Turnover by K. Bazemore (bad pass; steal by K. Felder),,20-18,,
0:25.0,,,20-18,,R. Lopez misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by Team,,20-18,,
0:04.0,M. Belinelli misses 2-pt shot from 15 ft,,20-18,,
0:00.0,,,20-18,,Defensive rebound by D. Nwaba
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-18,,D. Valentine misses 3-pt shot from 27 ft
11:43.0,Defensive rebound by K. Bazemore,,20-18,,
11:36.0,K. Bazemore makes 3-pt shot from 25 ft (assist by M. Belinelli),3,23-18,,
11:21.0,,,23-18,,Turnover by D. Valentine (bad pass; steal by K. Bazemore)
11:17.0,K. Bazemore makes 2-pt shot from 2 ft,2,25-18,,
11:04.0,J. Magette enters the game for M. Belinelli,,25-18,,
10:57.0,,,25-20,2,K. Felder makes 2-pt shot from 15 ft
10:31.0,K. Bazemore misses 2-pt shot from 18 ft,,25-20,,
10:31.0,,,25-20,,Defensive rebound by D. Nwaba
10:22.0,,,25-20,,K. Felder misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Dedmon,,25-20,,
10:10.0,Shooting foul by C. Felicio (drawn by I. Taylor),,25-20,,
10:10.0,I. Taylor makes free throw 1 of 2,1,26-20,,
10:10.0,M. Delaney enters the game for K. Bazemore,,26-20,,
10:10.0,I. Taylor makes free throw 2 of 2,1,27-20,,
10:00.0,Def 3 sec tech foul by I. Taylor,,27-20,,
10:00.0,,,27-21,1,D. Valentine makes technical free throw
9:54.0,,,27-21,,K. Felder misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by D. Dedmon,,27-21,,
9:51.0,,,27-21,,Personal foul by K. Felder (drawn by I. Taylor)
9:51.0,,,27-21,,J. Grant enters the game for K. Felder
9:27.0,L. Babbitt misses 3-pt shot from 24 ft,,27-21,,
9:24.0,,,27-21,,Defensive rebound by D. Nwaba
9:22.0,,,27-23,2,D. Nwaba makes 2-pt shot from 1 ft
9:22.0,,,27-23,,Shooting foul by M. Delaney (drawn by D. Nwaba)
9:22.0,,,27-24,1,D. Nwaba makes free throw 1 of 1
9:08.0,,,27-24,,Personal foul by Q. Pondexter (drawn by I. Taylor)
8:56.0,I. Taylor misses 2-pt shot from 1 ft (block by Q. Pondexter),,27-24,,
8:52.0,,,27-24,,Defensive rebound by J. Grant
8:44.0,,,27-24,,Q. Pondexter misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by D. Dedmon,,27-24,,
8:34.0,Shooting foul by D. Nwaba (drawn by J. Magette),,27-24,,
8:34.0,J. Magette makes free throw 1 of 2,1,28-24,,
8:34.0,T. Waller-Prince enters the game for I. Taylor,,28-24,,
8:34.0,J. Magette makes free throw 2 of 2,1,29-24,,
8:17.0,,,29-24,,Q. Pondexter misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by D. Dedmon,,29-24,,
8:06.0,T. Waller-Prince misses 2-pt shot from 8 ft,,29-24,,
8:04.0,,,29-24,,Defensive rebound by C. Felicio
8:00.0,,,29-24,,D. Nwaba misses 2-pt shot from 11 ft
7:58.0,,,29-24,,Offensive rebound by C. Felicio
7:56.0,,,29-24,,D. Valentine misses 3-pt shot from 26 ft
7:54.0,,,29-24,,Offensive rebound by D. Nwaba
7:53.0,,,29-26,2,D. Nwaba makes 2-pt shot from 1 ft
7:33.0,L. Babbitt misses 2-pt shot from 2 ft,,29-26,,
7:31.0,,,29-26,,Defensive rebound by D. Valentine
7:12.0,,,29-28,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by J. Grant)
7:07.0,Atlanta full timeout,,29-28,,
7:07.0,,,29-28,,J. Holiday enters the game for Q. Pondexter
7:07.0,,,29-28,,L. Markkanen enters the game for D. Valentine
7:07.0,M. Belinelli enters the game for L. Babbitt,,29-28,,
7:07.0,M. Muscala enters the game for J. Magette,,29-28,,
