time,Milwaukee,pts.away,score,pts.home,Oklahoma City
2:36.0,,,91-86,,R. Felton misses free throw 2 of 3
2:36.0,,,91-86,,Offensive rebound by Team
2:36.0,,,91-86,,R. Felton misses free throw 3 of 3
2:32.0,Defensive rebound by T. Snell,,91-86,,
2:13.0,E. Bledsoe misses 2-pt shot from 16 ft,,91-86,,
2:13.0,Offensive rebound by G. Antetokounmpo,,91-86,,
2:11.0,G. Antetokounmpo makes 2-pt shot at rim,2,93-86,,
1:48.0,,,93-89,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Felton)
1:25.0,E. Bledsoe misses 2-pt shot from 6 ft,,93-89,,
1:20.0,,,93-89,,Defensive rebound by A. Roberson
1:07.0,,,93-89,,Shooting foul by T. Snell (drawn by R. Westbrook)
1:07.0,,,93-89,,R. Westbrook misses free throw 1 of 2
1:07.0,,,93-89,,Offensive rebound by Team
1:07.0,,,93-89,,C. Anthony misses 2-pt shot from 4 ft
1:07.0,,,93-89,,Offensive rebound by S. Adams
1:07.0,,,93-89,,R. Westbrook misses free throw 2 of 2
1:06.0,,,93-89,,Offensive rebound by C. Anthony
1:06.0,Personal foul by J. Henson (drawn by S. Adams),,93-89,,
1:06.0,,,93-90,1,S. Adams makes free throw 1 of 2
1:06.0,,,93-90,,S. Adams misses free throw 2 of 2
1:06.0,,,93-90,,Turnover by C. Anthony (turnover)
0:58.0,T. Snell misses 3-pt shot from 24 ft,,93-90,,
0:56.0,,,93-90,,Defensive rebound by R. Westbrook
0:42.0,,,93-90,,R. Westbrook misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by G. Antetokounmpo,,93-90,,
0:19.0,E. Bledsoe makes 2-pt shot from 20 ft,2,95-90,,
0:18.0,,,95-90,,Oklahoma City full timeout
0:18.0,,,95-90,,J. Huestis enters the game for A. Roberson
0:18.0,M. Brogdon enters the game for J. Henson,,95-90,,
0:15.0,,,95-92,2,R. Westbrook makes 2-pt shot at rim
0:12.0,,,95-92,,Personal take foul by S. Adams (drawn by E. Bledsoe)
0:10.0,,,95-92,,Personal take foul by S. Adams (drawn by E. Bledsoe)
0:10.0,E. Bledsoe misses free throw 1 of 2,,95-92,,
0:10.0,Offensive rebound by Team,,95-92,,
0:10.0,E. Bledsoe misses free throw 2 of 2,,95-92,,
0:10.0,,,95-92,,Defensive rebound by R. Westbrook
0:10.0,,,95-92,,Oklahoma City full timeout
0:05.0,,,95-95,3,R. Westbrook makes 3-pt shot from 26 ft (assist by R. Felton)
0:04.0,Milwaukee full timeout,,95-95,,
0:04.0,,,95-95,,J. Grant enters the game for S. Adams
0:00.0,G. Antetokounmpo makes 2-pt shot at rim,2,97-95,,
0:00.0,,,97-95,,R. Westbrook misses 3-pt shot from 68 ft
0:00.0,,,97-95,,Offensive rebound by Team
