time,Milwaukee,pts.away,score,pts.home,Oklahoma City
5:58.0,M. Dellavedova enters the game for E. Bledsoe,,16-2,,
5:58.0,M. Brogdon enters the game for G. Antetokounmpo,,16-2,,
5:58.0,,,16-3,1,R. Westbrook makes free throw 2 of 2
5:54.0,,,16-3,,Personal foul by R. Felton (drawn by M. Dellavedova)
5:35.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,18-3,,
5:25.0,,,18-5,2,R. Westbrook makes 2-pt shot from 14 ft
5:06.0,K. Middleton makes 2-pt shot from 12 ft,2,20-5,,
4:56.0,Personal foul by M. Dellavedova (drawn by R. Westbrook),,20-5,,
4:46.0,,,20-7,2,C. Anthony makes 2-pt shot from 1 ft
4:19.0,J. Henson misses 2-pt shot from 5 ft,,20-7,,
4:16.0,,,20-7,,Defensive rebound by R. Westbrook
4:12.0,,,20-9,2,R. Westbrook makes 2-pt shot at rim
3:46.0,M. Brogdon misses 3-pt shot from 22 ft,,20-9,,
3:44.0,,,20-9,,Defensive rebound by R. Westbrook
3:40.0,Personal foul by M. Brogdon (drawn by R. Westbrook),,20-9,,
3:40.0,,,20-10,1,R. Westbrook makes free throw 1 of 2
3:40.0,,,20-10,,A. Abrines enters the game for A. Roberson
3:40.0,T. Maker enters the game for J. Henson,,20-10,,
3:40.0,,,20-11,1,R. Westbrook makes free throw 2 of 2
3:19.0,K. Middleton makes 2-pt shot from 6 ft,2,22-11,,
3:19.0,Shooting foul by S. Adams (drawn by K. Middleton),,22-11,,
3:19.0,,,22-11,,A. Roberson enters the game for R. Felton
3:19.0,K. Middleton makes free throw 1 of 1,1,23-11,,
3:09.0,,,23-11,,Turnover by R. Westbrook (traveling)
3:09.0,G. Antetokounmpo enters the game for K. Middleton,,23-11,,
3:00.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,25-11,,
3:00.0,Shooting foul by A. Abrines (drawn by M. Brogdon),,25-11,,
3:00.0,M. Brogdon makes free throw 1 of 1,1,26-11,,
2:41.0,,,26-11,,R. Westbrook misses 2-pt shot from 1 ft
2:39.0,Defensive rebound by G. Antetokounmpo,,26-11,,
2:35.0,Shooting foul by R. Westbrook (drawn by G. Antetokounmpo),,26-11,,
2:35.0,Milwaukee full timeout,,26-11,,
2:35.0,G. Antetokounmpo makes free throw 1 of 2,1,27-11,,
2:35.0,G. Antetokounmpo misses free throw 2 of 2,,27-11,,
2:33.0,,,27-11,,Defensive rebound by C. Anthony
2:21.0,,,27-11,,S. Adams misses 2-pt shot from 8 ft
2:16.0,Defensive rebound by T. Maker,,27-11,,
2:04.0,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,30-11,,
1:47.0,,,30-11,,C. Anthony misses 2-pt shot from 18 ft
1:43.0,,,30-11,,Offensive rebound by R. Westbrook
1:43.0,,,30-11,,R. Westbrook misses 2-pt shot at rim
1:42.0,,,30-11,,Offensive rebound by R. Westbrook
1:41.0,,,30-11,,R. Westbrook misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by T. Maker,,30-11,,
1:35.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Brogdon),3,33-11,,
1:34.0,,,33-11,,Oklahoma City full timeout
1:34.0,,,33-11,,P. Patterson enters the game for R. Westbrook
1:34.0,,,33-11,,R. Felton enters the game for C. Anthony
1:34.0,,,33-11,,J. Grant enters the game for S. Adams
1:17.0,,,33-13,2,J. Grant makes 2-pt shot at rim
1:17.0,,,33-13,,Shooting foul by T. Maker (drawn by J. Grant)
1:17.0,,,33-13,,J. Grant misses free throw 1 of 1
1:14.0,,,33-13,,Offensive rebound by A. Roberson
1:02.0,,,33-15,2,R. Felton makes 2-pt shot from 1 ft
0:40.0,M. Dellavedova misses 3-pt shot from 25 ft,,33-15,,
0:37.0,Offensive rebound by G. Antetokounmpo,,33-15,,
0:32.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,36-15,,
0:10.0,,,36-18,3,P. Patterson makes 3-pt shot from 22 ft (assist by R. Felton)
0:02.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,36-18,,
0:02.0,G. Antetokounmpo makes free throw 1 of 2,1,37-18,,
0:02.0,G. Antetokounmpo makes free throw 2 of 2,1,38-18,,
0:00.0,,,38-18,,R. Felton misses 3-pt shot from 51 ft
0:00.0,,,38-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,38-18,,Shooting foul by J. Terry (drawn by J. Grant)
11:49.0,,,38-19,1,J. Grant makes free throw 1 of 2
11:49.0,,,38-19,,J. Grant misses free throw 2 of 2
11:47.0,Defensive rebound by M. Brogdon,,38-19,,
11:37.0,T. Maker makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,41-19,,
11:11.0,,,41-21,2,J. Huestis makes 2-pt shot at rim
10:50.0,T. Maker misses 3-pt shot from 24 ft,,41-21,,
10:48.0,,,41-21,,Defensive rebound by P. Patterson
10:39.0,,,41-21,,A. Roberson misses 2-pt shot at rim
10:36.0,,,41-21,,Offensive rebound by A. Roberson
10:36.0,,,41-21,,A. Roberson misses 2-pt shot at rim
10:36.0,,,41-21,,Offensive rebound by Team
10:36.0,Personal foul by M. Dellavedova (drawn by A. Roberson),,41-21,,
10:27.0,,,41-23,2,R. Felton makes 2-pt shot at rim
10:01.0,T. Maker misses 2-pt shot from 2 ft (block by J. Grant),,41-23,,
10:01.0,,,41-23,,Defensive rebound by Team
9:53.0,,,41-23,,Turnover by R. Felton (bad pass; steal by M. Brogdon)
9:49.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,43-23,,
9:26.0,,,43-25,2,R. Felton makes 2-pt shot from 2 ft
9:03.0,M. Brogdon misses 3-pt shot from 22 ft,,43-25,,
9:02.0,,,43-25,,Defensive rebound by P. Patterson
8:49.0,,,43-25,,Turnover by J. Grant (lost ball; steal by M. Brogdon)
8:41.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,43-25,,
8:38.0,,,43-25,,Defensive rebound by R. Felton
8:24.0,,,43-25,,A. Roberson misses 3-pt shot from 22 ft
8:21.0,Defensive rebound by M. Dellavedova,,43-25,,
8:21.0,Milwaukee full timeout,,43-25,,
8:21.0,,,43-25,,R. Westbrook enters the game for A. Roberson
8:21.0,E. Bledsoe enters the game for T. Maker,,43-25,,
8:21.0,K. Middleton enters the game for M. Dellavedova,,43-25,,
8:03.0,E. Bledsoe misses 2-pt shot from 1 ft (block by J. Grant),,43-25,,
8:02.0,,,43-25,,Defensive rebound by R. Westbrook
7:57.0,,,43-25,,P. Patterson misses 3-pt shot from 22 ft
7:53.0,Defensive rebound by E. Bledsoe,,43-25,,
7:36.0,,,43-25,,Personal foul by J. Huestis (drawn by M. Brogdon)
7:24.0,Offensive charge foul by E. Bledsoe (drawn by R. Westbrook),,43-25,,
7:24.0,Turnover by E. Bledsoe (offensive foul),,43-25,,
7:10.0,,,43-25,,Turnover by R. Westbrook (bad pass; steal by M. Brogdon)
7:06.0,M. Brogdon makes 2-pt shot from 1 ft,2,45-25,,
6:49.0,,,45-27,2,J. Grant makes 2-pt shot from 1 ft
6:49.0,,,45-27,,Shooting foul by K. Middleton (drawn by J. Grant)
6:49.0,,,45-27,,C. Anthony enters the game for P. Patterson
6:49.0,T. Snell enters the game for J. Terry,,45-27,,
6:49.0,,,45-28,1,J. Grant makes free throw 1 of 1
6:41.0,Turnover by G. Antetokounmpo (lost ball; steal by R. Westbrook),,45-28,,
6:38.0,,,45-30,2,R. Westbrook makes 2-pt shot at rim
6:25.0,Offensive foul by E. Bledsoe (drawn by J. Grant),,45-30,,
6:25.0,Turnover by E. Bledsoe (offensive foul),,45-30,,
6:25.0,,,45-30,,S. Adams enters the game for J. Grant
6:25.0,M. Dellavedova enters the game for E. Bledsoe,,45-30,,
6:25.0,J. Henson enters the game for M. Brogdon,,45-30,,
6:17.0,,,45-30,,R. Westbrook misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by K. Middleton,,45-30,,
6:04.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,45-30,,
6:03.0,,,45-30,,Defensive rebound by C. Anthony
5:57.0,Personal foul by J. Henson (drawn by C. Anthony),,45-30,,
5:52.0,,,45-32,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
5:28.0,K. Middleton misses 3-pt shot from 26 ft,,45-32,,
5:27.0,,,45-32,,Defensive rebound by S. Adams
5:22.0,,,45-34,2,R. Westbrook makes 2-pt shot from 16 ft
5:20.0,Milwaukee full timeout,,45-34,,
5:00.0,Shooting foul by J. Huestis (drawn by J. Henson),,45-34,,
5:00.0,J. Henson makes free throw 1 of 2,1,46-34,,
5:00.0,J. Henson misses free throw 2 of 2,,46-34,,
4:58.0,,,46-34,,Defensive rebound by R. Westbrook
4:49.0,,,46-36,2,R. Westbrook makes 2-pt shot from 16 ft (assist by R. Felton)
4:36.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,48-36,,
4:36.0,Shooting foul by J. Huestis (drawn by J. Henson),,48-36,,
4:36.0,,,48-36,,J. Grant enters the game for J. Huestis
4:36.0,J. Henson makes free throw 1 of 1,1,49-36,,
4:24.0,,,49-38,2,J. Grant makes 2-pt shot at rim (assist by R. Westbrook)
4:00.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,51-38,,
3:46.0,,,51-41,3,R. Felton makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:20.0,J. Henson misses 2-pt shot from 7 ft,,51-41,,
3:16.0,Offensive rebound by G. Antetokounmpo,,51-41,,
3:15.0,T. Snell misses 3-pt shot from 25 ft,,51-41,,
3:13.0,,,51-41,,Defensive rebound by Team
3:13.0,,,51-41,,A. Roberson enters the game for R. Felton
3:05.0,,,51-41,,S. Adams misses 2-pt shot from 2 ft (block by K. Middleton)
3:03.0,Defensive rebound by K. Middleton,,51-41,,
2:58.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,54-41,,
2:42.0,,,54-43,2,R. Westbrook makes 2-pt shot at rim
2:25.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,56-43,,
2:13.0,,,56-43,,C. Anthony misses 3-pt shot from 24 ft
2:11.0,,,56-43,,Offensive rebound by S. Adams
2:11.0,,,56-43,,Shooting foul by K. Middleton (drawn by S. Adams)
2:11.0,,,56-43,,S. Adams misses free throw 1 of 2
2:11.0,,,56-43,,Offensive rebound by Team
2:11.0,,,56-44,1,S. Adams makes free throw 2 of 2
1:54.0,T. Snell misses 3-pt shot from 24 ft,,56-44,,
1:50.0,Offensive rebound by T. Snell,,56-44,,
1:30.0,K. Middleton misses 2-pt shot from 1 ft,,56-44,,
1:26.0,Offensive rebound by J. Henson,,56-44,,
1:26.0,J. Henson makes 2-pt shot at rim,2,58-44,,
1:10.0,,,58-44,,R. Westbrook misses 2-pt shot from 9 ft
1:09.0,Defensive rebound by G. Antetokounmpo,,58-44,,
0:55.0,M. Dellavedova misses 2-pt shot from 1 ft,,58-44,,
0:54.0,,,58-44,,Defensive rebound by S. Adams
0:46.0,,,58-44,,R. Westbrook misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by G. Antetokounmpo,,58-44,,
0:27.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Roberson),,58-44,,
0:07.0,,,58-44,,R. Westbrook misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:04.0,,,58-44,,Offensive rebound by A. Roberson
0:04.0,,,58-44,,A. Roberson misses 3-pt shot from 34 ft
0:03.0,,,58-44,,Offensive rebound by Team
0:03.0,,,58-44,,Turnover by Team (shot clock)
0:03.0,M. Brogdon enters the game for T. Snell,,58-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by T. Snell (drawn by C. Anthony),,58-44,,
11:43.0,Personal foul by T. Snell (drawn by R. Westbrook),,58-44,,
11:33.0,Def 3 sec tech foul by J. Henson,,58-44,,
11:33.0,,,58-45,1,C. Anthony makes technical free throw
11:20.0,,,58-47,2,C. Anthony makes 2-pt shot from 1 ft
11:13.0,,,58-47,,Personal foul by R. Westbrook (drawn by E. Bledsoe)
10:56.0,K. Middleton misses 2-pt shot from 17 ft,,58-47,,
10:54.0,Offensive rebound by G. Antetokounmpo,,58-47,,
10:47.0,E. Bledsoe misses 3-pt shot from 25 ft,,58-47,,
10:45.0,,,58-47,,Defensive rebound by C. Anthony
10:35.0,,,58-47,,Turnover by S. Adams (bad pass; steal by T. Snell)
10:33.0,T. Snell makes 2-pt shot at rim,2,60-47,,
10:33.0,Shooting foul by C. Anthony (drawn by T. Snell),,60-47,,
10:33.0,T. Snell makes free throw 1 of 1,1,61-47,,
10:14.0,,,61-49,2,R. Westbrook makes 2-pt shot at rim
10:02.0,,,61-49,,Personal foul by R. Westbrook (drawn by G. Antetokounmpo)
9:56.0,G. Antetokounmpo misses 2-pt shot at rim (block by S. Adams),,61-49,,
9:54.0,,,61-49,,Defensive rebound by S. Adams
9:51.0,,,61-51,2,R. Westbrook makes 2-pt shot from 2 ft
