time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. G. Monroe (K. Kuzma gains possession),,,,Jump ball: B. Lopez vs. G. Monroe (K. Kuzma gains possession)
11:44.0,,,0-0,,B. Ingram misses 2-pt shot from 14 ft
11:39.0,,,0-0,,Offensive rebound by B. Lopez
11:38.0,,,0-2,2,B. Lopez makes 2-pt shot from 2 ft
11:16.0,T. Ulis misses 3-pt shot from 26 ft,,0-2,,
11:11.0,Offensive rebound by T. Warren,,0-2,,
11:01.0,G. Monroe misses 2-pt shot from 5 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by B. Ingram
10:53.0,,,0-4,2,B. Ingram makes 2-pt shot at rim
10:33.0,D. Booker misses 2-pt shot from 17 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by B. Ingram
10:15.0,,,0-4,,Turnover by B. Ingram (lost ball; steal by T. Warren)
10:11.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,2-4,,
9:55.0,,,2-6,2,B. Lopez makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
9:37.0,M. Chriss makes 2-pt shot from 4 ft,2,4-6,,
9:26.0,,,4-6,,K. Kuzma misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by T. Ulis,,4-6,,
9:25.0,,,4-6,,Personal foul by L. Ball (drawn by T. Ulis)
9:13.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,7-6,,
8:56.0,,,7-6,,Shooting foul by T. Warren (drawn by B. Lopez)
8:56.0,,,7-6,,B. Lopez misses free throw 1 of 2
8:56.0,,,7-6,,Offensive rebound by Team
8:56.0,,,7-7,1,B. Lopez makes free throw 2 of 2
8:42.0,Turnover by D. Booker (bad pass; steal by L. Ball),,7-7,,
8:34.0,,,7-9,2,B. Ingram makes 2-pt shot from 1 ft
8:22.0,D. Booker makes 3-pt shot from 23 ft (assist by T. Ulis),3,10-9,,
8:11.0,,,10-9,,K. Kuzma misses 2-pt shot from 10 ft
8:08.0,Defensive rebound by D. Booker,,10-9,,
8:06.0,Turnover by D. Booker (lost ball; steal by L. Ball),,10-9,,
8:03.0,,,10-9,,Turnover by K. Caldwell-Pope (bad pass)
7:51.0,D. Booker makes 2-pt shot from 2 ft (assist by G. Monroe),2,12-9,,
7:39.0,,,12-11,2,B. Ingram makes 2-pt shot from 2 ft (assist by B. Lopez)
7:20.0,T. Ulis makes 3-pt shot from 23 ft (assist by D. Booker),3,15-11,,
7:03.0,,,15-11,,B. Ingram misses 2-pt shot from 1 ft
6:59.0,,,15-11,,Offensive rebound by B. Ingram
6:59.0,,,15-11,,B. Ingram misses 2-pt shot at rim
6:59.0,Defensive rebound by M. Chriss,,15-11,,
6:49.0,Turnover by T. Warren (out of bounds lost ball),,15-11,,
6:49.0,,,15-11,,LA Lakers full timeout
6:39.0,,,15-13,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by B. Lopez)
6:14.0,Turnover by Team (shot clock),,15-13,,
6:01.0,A. Len enters the game for T. Warren,,15-13,,
6:01.0,J. Jackson enters the game for G. Monroe,,15-13,,
5:55.0,,,15-16,3,B. Lopez makes 3-pt shot from 27 ft (assist by B. Ingram)
5:39.0,J. Jackson makes 2-pt shot from 18 ft (assist by A. Len),2,17-16,,
5:26.0,,,17-16,,Turnover by K. Kuzma (bad pass; steal by M. Chriss)
5:22.0,A. Len makes 2-pt shot from 2 ft (assist by T. Ulis),2,19-16,,
5:07.0,,,19-16,,K. Caldwell-Pope misses 2-pt shot from 13 ft
5:05.0,Defensive rebound by J. Jackson,,19-16,,
4:59.0,A. Len makes 2-pt shot from 1 ft (assist by D. Booker),2,21-16,,
4:50.0,,,21-16,,K. Kuzma misses 3-pt shot from 25 ft
4:47.0,,,21-16,,Offensive rebound by Team
4:44.0,Personal foul by M. Chriss (drawn by B. Ingram),,21-16,,
4:40.0,,,21-18,2,B. Lopez makes 2-pt shot from 10 ft (assist by B. Ingram)
4:29.0,T. Ulis misses 2-pt shot from 14 ft,,21-18,,
4:27.0,,,21-18,,Defensive rebound by B. Lopez
4:22.0,,,21-18,,Turnover by B. Ingram (bad pass; steal by J. Jackson)
4:19.0,D. Booker misses 3-pt shot from 26 ft (block by K. Caldwell-Pope),,21-18,,
4:18.0,,,21-18,,Defensive rebound by K. Caldwell-Pope
4:18.0,Personal foul by A. Len (drawn by K. Caldwell-Pope),,21-18,,
4:05.0,,,21-18,,L. Ball misses 2-pt shot from 17 ft
4:03.0,Defensive rebound by A. Len,,21-18,,
3:52.0,J. Jackson misses 2-pt shot from 13 ft,,21-18,,
3:50.0,,,21-18,,Defensive rebound by K. Kuzma
3:47.0,,,21-20,2,B. Ingram makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
3:47.0,,,21-20,,Shooting foul by J. Jackson (drawn by B. Ingram)
3:47.0,M. James enters the game for T. Ulis,,21-20,,
3:47.0,,,21-21,1,B. Ingram makes free throw 1 of 1
3:35.0,D. Booker makes 3-pt shot from 27 ft (assist by M. James),3,24-21,,
3:21.0,,,24-23,2,B. Ingram makes 2-pt shot from 3 ft
3:01.0,Turnover by M. Chriss (out of bounds lost ball),,24-23,,
