time,Houston,pts.away,score,pts.home,New Orleans
8:00.0,T. Ariza misses 2-pt shot from 10 ft,,7-10,,
7:58.0,,,7-10,,Defensive rebound by A. Davis
7:53.0,,,7-10,,E. Moore misses 2-pt shot at rim
7:53.0,,,7-10,,Offensive rebound by E. Moore
7:51.0,,,7-10,,E. Moore misses 2-pt shot from 1 ft (block by C. Capela)
7:46.0,,,7-10,,Offensive rebound by E. Moore
7:39.0,,,7-10,,A. Davis misses 2-pt shot from 20 ft
7:37.0,Defensive rebound by C. Capela,,7-10,,
7:25.0,T. Ariza misses 3-pt shot from 24 ft,,7-10,,
7:22.0,,,7-10,,Defensive rebound by R. Rondo
7:17.0,,,7-10,,Turnover by J. Holiday (bad pass; steal by T. Ariza)
7:12.0,R. Anderson misses 3-pt shot from 28 ft,,7-10,,
7:07.0,,,7-10,,Defensive rebound by J. Holiday
6:58.0,,,7-12,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
6:37.0,C. Paul makes 2-pt shot from 10 ft,2,9-12,,
6:25.0,,,9-14,2,J. Holiday makes 2-pt shot from 13 ft (assist by A. Davis)
6:23.0,Houston full timeout,,9-14,,
6:23.0,E. Gordon enters the game for C. Paul,,9-14,,
6:23.0,P. Tucker enters the game for R. Anderson,,9-14,,
6:00.0,J. Harden makes 2-pt shot from 13 ft,2,11-14,,
5:43.0,,,11-16,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
5:34.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,13-16,,
5:15.0,,,13-18,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
5:05.0,L. Mbah a Moute enters the game for C. Capela,,13-18,,
4:58.0,J. Harden misses 3-pt shot from 22 ft,,13-18,,
4:58.0,,,13-18,,Defensive rebound by D. Cunningham
4:42.0,,,13-18,,A. Davis misses 2-pt shot from 9 ft
4:38.0,Defensive rebound by T. Ariza,,13-18,,
4:33.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden),2,15-18,,
4:25.0,,,15-18,,R. Rondo misses 3-pt shot from 28 ft
4:21.0,Defensive rebound by J. Harden,,15-18,,
4:17.0,Shooting foul by D. Cunningham (drawn by J. Harden),,15-18,,
4:17.0,J. Harden makes free throw 1 of 2,1,16-18,,
4:17.0,,,16-18,,D. Miller enters the game for R. Rondo
4:17.0,,,16-18,,I. Clark enters the game for E. Moore
4:17.0,J. Harden makes free throw 2 of 2,1,17-18,,
4:04.0,,,17-18,,A. Davis misses 2-pt shot from 2 ft
3:59.0,,,17-18,,Offensive rebound by D. Cunningham
3:59.0,,,17-18,,D. Cunningham misses 2-pt shot at rim
3:58.0,Defensive rebound by T. Ariza,,17-18,,
3:54.0,Turnover by J. Harden (bad pass; steal by D. Cunningham),,17-18,,
3:52.0,Personal foul by P. Tucker (drawn by J. Holiday),,17-18,,
3:35.0,,,17-20,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:22.0,E. Gordon makes 2-pt shot from 6 ft (assist by J. Harden),2,19-20,,
3:11.0,,,19-22,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
2:51.0,Turnover by T. Ariza (bad pass; steal by J. Holiday),,19-22,,
2:37.0,,,19-22,,A. Davis misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by E. Gordon,,19-22,,
2:32.0,Shooting foul by I. Clark (drawn by E. Gordon),,19-22,,
2:32.0,,,19-22,,New Orleans full timeout
2:32.0,C. Capela enters the game for T. Ariza,,19-22,,
2:32.0,C. Paul enters the game for J. Harden,,19-22,,
2:32.0,E. Gordon makes free throw 1 of 2,1,20-22,,
2:32.0,E. Gordon makes free throw 2 of 2,1,21-22,,
2:15.0,,,21-25,3,D. Cunningham makes 3-pt shot from 23 ft (assist by A. Davis)
1:58.0,E. Gordon makes 3-pt shot from 27 ft (assist by C. Paul),3,24-25,,
1:43.0,,,24-27,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis)
1:35.0,C. Paul makes 2-pt shot from 16 ft,2,26-27,,
1:25.0,,,26-27,,A. Davis misses 2-pt shot from 8 ft
1:22.0,Defensive rebound by C. Capela,,26-27,,
1:09.0,C. Paul makes 2-pt shot from 15 ft,2,28-27,,
0:49.0,,,28-29,2,A. Davis makes 2-pt shot from 9 ft
0:40.0,,,28-29,,Personal foul by J. Holiday (drawn by C. Paul)
0:40.0,C. Paul makes free throw 1 of 2,1,29-29,,
0:40.0,,,29-29,,J. Nelson enters the game for J. Holiday
0:40.0,C. Paul makes free throw 2 of 2,1,30-29,,
0:23.0,,,30-29,,I. Clark misses 3-pt shot from 26 ft
0:21.0,,,30-29,,Offensive rebound by A. Davis
0:21.0,Loose ball foul by C. Capela (drawn by A. Davis),,30-29,,
0:00.0,,,30-29,,Turnover by D. Miller (traveling)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-29,,D. Miller misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by L. Mbah a Moute,,30-29,,
11:30.0,C. Paul misses 2-pt shot from 13 ft,,30-29,,
11:28.0,Offensive rebound by Team,,30-29,,
11:23.0,E. Gordon misses 3-pt shot from 26 ft,,30-29,,
11:20.0,,,30-29,,Defensive rebound by D. Miller
11:15.0,Violation by N. Hilario (kicked ball),,30-29,,
11:08.0,,,30-31,2,J. Nelson makes 2-pt shot from 4 ft (assist by D. Cousins)
10:52.0,Shooting foul by I. Clark (drawn by N. Hilario),,30-31,,
10:52.0,N. Hilario makes free throw 1 of 2,1,31-31,,
10:52.0,N. Hilario misses free throw 2 of 2,,31-31,,
10:50.0,,,31-31,,Defensive rebound by D. Cousins
10:41.0,,,31-31,,Turnover by D. Cousins (bad pass; steal by P. Tucker)
10:28.0,P. Tucker misses 3-pt shot from 25 ft,,31-31,,
10:25.0,,,31-31,,Defensive rebound by D. Miller
10:15.0,,,31-31,,J. Nelson misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by C. Paul,,31-31,,
10:08.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Paul),2,33-31,,
9:48.0,,,33-34,3,D. Miller makes 3-pt shot from 25 ft (assist by D. Cousins)
9:29.0,E. Gordon makes 2-pt shot from 9 ft (assist by C. Paul),2,35-34,,
9:09.0,,,35-36,2,D. Cousins makes 2-pt shot from 10 ft
8:56.0,N. Hilario misses 2-pt shot from 6 ft,,35-36,,
8:53.0,,,35-36,,Defensive rebound by D. Cousins
8:40.0,,,35-38,2,I. Clark makes 2-pt shot from 1 ft (assist by D. Cousins)
8:30.0,L. Mbah a Moute misses 2-pt shot from 18 ft,,35-38,,
8:27.0,,,35-38,,Defensive rebound by D. Cousins
8:23.0,,,35-38,,Offensive foul by J. Nelson (drawn by P. Tucker)
8:23.0,,,35-38,,Turnover by J. Nelson (offensive foul)
8:23.0,,,35-38,,D. Liggins enters the game for I. Clark
8:23.0,R. Anderson enters the game for P. Tucker,,35-38,,
8:14.0,C. Paul makes 2-pt shot from 14 ft,2,37-38,,
7:55.0,,,37-40,2,D. Liggins makes 2-pt shot from 2 ft (assist by J. Nelson)
7:43.0,Turnover by R. Anderson (lost ball; steal by D. Cousins),,37-40,,
7:27.0,,,37-40,,D. Cunningham misses 3-pt shot from 25 ft
7:27.0,,,37-40,,Offensive rebound by Team
7:27.0,Loose ball foul by N. Hilario (drawn by D. Cousins),,37-40,,
7:27.0,T. Ariza enters the game for C. Paul,,37-40,,
7:27.0,J. Harden enters the game for E. Gordon,,37-40,,
7:17.0,,,37-40,,D. Miller misses 2-pt shot from 1 ft
7:17.0,,,37-40,,Offensive rebound by Team
7:15.0,,,37-42,2,J. Nelson makes 2-pt shot at rim (assist by D. Liggins)
6:59.0,Turnover by J. Harden (lost ball; steal by D. Cousins),,37-42,,
6:53.0,,,37-44,2,D. Cousins makes 2-pt shot at rim (assist by J. Nelson)
6:53.0,Houston full timeout,,37-44,,
6:36.0,J. Harden misses 2-pt shot from 2 ft,,37-44,,
6:36.0,Offensive rebound by Team,,37-44,,
6:30.0,Turnover by J. Harden (bad pass),,37-44,,
6:16.0,,,37-44,,Turnover by J. Nelson (bad pass; steal by N. Hilario)
6:11.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden),2,39-44,,
6:04.0,Shooting block foul by N. Hilario (drawn by D. Cousins),,39-44,,
6:04.0,,,39-45,1,D. Cousins makes free throw 1 of 2
6:04.0,E. Gordon enters the game for L. Mbah a Moute,,39-45,,
6:04.0,,,39-46,1,D. Cousins makes free throw 2 of 2
5:55.0,Shooting foul by D. Cunningham (drawn by J. Harden),,39-46,,
5:55.0,J. Harden misses free throw 1 of 2,,39-46,,
5:55.0,Offensive rebound by Team,,39-46,,
5:55.0,,,39-46,,J. Holiday enters the game for J. Nelson
5:55.0,,,39-46,,E. Moore enters the game for D. Cunningham
5:55.0,J. Harden makes free throw 2 of 2,1,40-46,,
5:42.0,,,40-48,2,E. Moore makes 2-pt shot from 3 ft (assist by D. Miller)
5:25.0,T. Ariza misses 3-pt shot from 23 ft,,40-48,,
5:21.0,,,40-48,,Defensive rebound by D. Cousins
5:16.0,,,40-51,3,D. Miller makes 3-pt shot from 24 ft (assist by D. Cousins)
5:02.0,,,40-51,,A. Davis enters the game for D. Cousins
5:02.0,P. Tucker enters the game for T. Ariza,,40-51,,
5:02.0,C. Paul enters the game for R. Anderson,,40-51,,
4:55.0,Shooting foul by D. Liggins (drawn by J. Harden),,40-51,,
4:55.0,J. Harden makes free throw 1 of 2,1,41-51,,
4:55.0,C. Capela enters the game for N. Hilario,,41-51,,
4:55.0,J. Harden makes free throw 2 of 2,1,42-51,,
4:43.0,,,42-51,,J. Holiday misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by J. Harden,,42-51,,
4:32.0,P. Tucker misses 3-pt shot from 23 ft,,42-51,,
4:24.0,,,42-51,,Defensive rebound by D. Liggins
4:21.0,Away from play foul by C. Capela (drawn by A. Davis),,42-51,,
4:10.0,,,42-53,2,E. Moore makes 2-pt shot from 23 ft (assist by A. Davis)
3:54.0,E. Gordon makes 2-pt shot from 2 ft (assist by C. Paul),2,44-53,,
3:39.0,,,44-53,,D. Cousins enters the game for D. Miller
3:30.0,,,44-55,2,D. Cousins makes 2-pt shot from 1 ft (assist by D. Liggins)
3:08.0,J. Harden makes 3-pt shot from 27 ft,3,47-55,,
2:59.0,,,47-55,,Turnover by J. Holiday (bad pass; steal by J. Harden)
2:52.0,E. Gordon misses 3-pt shot from 25 ft,,47-55,,
2:47.0,,,47-55,,Defensive rebound by A. Davis
2:42.0,,,47-58,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday)
2:31.0,,,47-58,,Personal foul by D. Liggins (drawn by P. Tucker)
2:31.0,,,47-58,,New Orleans full timeout
2:31.0,,,47-58,,D. Miller enters the game for D. Liggins
2:28.0,J. Harden misses 3-pt shot from 26 ft,,47-58,,
2:24.0,Offensive rebound by C. Capela,,47-58,,
2:20.0,E. Gordon misses 2-pt shot from 7 ft (block by A. Davis),,47-58,,
2:17.0,,,47-58,,Defensive rebound by J. Holiday
2:17.0,Personal foul by P. Tucker (drawn by D. Cousins),,47-58,,
2:08.0,,,47-60,2,J. Holiday makes 2-pt shot from 8 ft
1:48.0,,,47-60,,Personal foul by E. Moore (drawn by C. Paul)
1:48.0,C. Paul makes free throw 1 of 2,1,48-60,,
1:48.0,C. Paul makes free throw 2 of 2,1,49-60,,
1:37.0,,,49-62,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:14.0,J. Harden misses 3-pt shot from 25 ft,,49-62,,
1:11.0,,,49-62,,Defensive rebound by D. Cousins
1:06.0,,,49-62,,Shooting foul by C. Paul (drawn by A. Davis)
1:06.0,,,49-63,1,A. Davis makes free throw 1 of 2
1:06.0,,,49-63,,D. Liggins enters the game for D. Cousins
1:06.0,,,49-64,1,A. Davis makes free throw 2 of 2
0:56.0,,,49-64,,Personal foul by D. Liggins (drawn by C. Paul)
0:56.0,C. Paul makes free throw 1 of 2,1,50-64,,
0:56.0,C. Paul makes free throw 2 of 2,1,51-64,,
0:45.0,Personal foul by C. Paul (drawn by J. Holiday),,51-64,,
0:45.0,,,51-65,1,J. Holiday makes free throw 1 of 2
0:45.0,,,51-66,1,J. Holiday makes free throw 2 of 2
0:31.0,J. Harden misses 3-pt shot from 25 ft,,51-66,,
0:26.0,,,51-66,,Defensive rebound by A. Davis
0:12.0,,,51-66,,J. Holiday misses 2-pt shot from 11 ft
0:09.0,Defensive rebound by J. Harden,,51-66,,
0:01.0,J. Harden makes 2-pt shot from 14 ft,2,53-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,53-68,2,J. Holiday makes 2-pt shot from 19 ft (assist by E. Moore)
11:34.0,Turnover by C. Capela (bad pass; steal by R. Rondo),,53-68,,
11:29.0,,,53-68,,J. Holiday misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by R. Anderson,,53-68,,
11:23.0,C. Paul misses 2-pt shot from 1 ft,,53-68,,
11:23.0,,,53-68,,Defensive rebound by D. Cousins
11:17.0,Violation by T. Ariza (kicked ball),,53-68,,
10:59.0,,,53-68,,A. Davis misses 2-pt shot from 14 ft
10:57.0,Defensive rebound by C. Capela,,53-68,,
10:44.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,55-68,,
10:26.0,Personal foul by C. Paul (drawn by R. Rondo),,55-68,,
10:20.0,Personal foul by R. Anderson (drawn by J. Holiday),,55-68,,
10:14.0,,,55-68,,E. Moore misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by R. Anderson,,55-68,,
9:51.0,T. Ariza misses 3-pt shot from 22 ft,,55-68,,
9:48.0,,,55-68,,Defensive rebound by A. Davis
9:43.0,,,55-68,,Turnover by R. Rondo (bad pass; steal by J. Harden)
9:33.0,T. Ariza misses 3-pt shot from 24 ft,,55-68,,
9:29.0,,,55-68,,Defensive rebound by D. Cousins
9:23.0,,,55-68,,Offensive charge foul by D. Cousins (drawn by C. Capela)
9:23.0,,,55-68,,Turnover by D. Cousins (offensive foul)
9:03.0,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden),2,57-68,,
8:53.0,,,57-70,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
8:37.0,R. Anderson misses 3-pt shot from 30 ft,,57-70,,
8:34.0,,,57-70,,Defensive rebound by E. Moore
8:17.0,,,57-72,2,J. Holiday makes 2-pt shot from 6 ft (assist by D. Cousins)
8:06.0,C. Paul misses 2-pt shot from 12 ft,,57-72,,
8:03.0,,,57-72,,Defensive rebound by A. Davis
7:58.0,Personal foul by T. Ariza (drawn by A. Davis),,57-72,,
7:51.0,,,57-72,,D. Cousins misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by R. Anderson,,57-72,,
7:49.0,Offensive foul by C. Capela (drawn by D. Cousins),,57-72,,
7:49.0,Turnover by C. Capela (offensive foul),,57-72,,
7:42.0,,,57-74,2,A. Davis makes 2-pt shot from 8 ft (assist by R. Rondo)
7:29.0,Offensive foul by C. Capela (drawn by A. Davis),,57-74,,
7:29.0,Turnover by C. Capela (offensive foul),,57-74,,
7:29.0,P. Tucker enters the game for C. Capela,,57-74,,
7:11.0,,,57-77,3,J. Holiday makes 3-pt shot from 23 ft (assist by R. Rondo)
7:09.0,Houston full timeout,,57-77,,
7:09.0,E. Gordon enters the game for R. Anderson,,57-77,,
6:53.0,C. Paul misses 3-pt shot from 28 ft,,57-77,,
6:50.0,,,57-77,,Defensive rebound by A. Davis
6:46.0,,,57-77,,Shooting foul by J. Harden (drawn by D. Cousins)
6:46.0,,,57-78,1,D. Cousins makes free throw 1 of 2
6:46.0,L. Mbah a Moute enters the game for C. Paul,,57-78,,
6:46.0,,,57-78,,D. Cousins misses free throw 2 of 2
6:43.0,Defensive rebound by P. Tucker,,57-78,,
6:35.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,60-78,,
6:23.0,,,60-78,,Offensive foul by D. Cousins (drawn by P. Tucker)
6:23.0,,,60-78,,Turnover by D. Cousins (offensive foul)
6:23.0,,,60-78,,D. Miller enters the game for D. Cousins
6:02.0,J. Harden misses 2-pt shot from 2 ft (block by A. Davis),,60-78,,
5:59.0,,,60-78,,Defensive rebound by D. Miller
5:54.0,,,60-81,3,D. Miller makes 3-pt shot from 24 ft (assist by R. Rondo)
5:44.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by T. Ariza),2,62-81,,
5:44.0,Shooting foul by D. Miller (drawn by L. Mbah a Moute),,62-81,,
5:44.0,L. Mbah a Moute makes free throw 1 of 1,1,63-81,,
5:22.0,,,63-81,,Turnover by D. Miller (bad pass; steal by P. Tucker)
5:10.0,J. Harden misses 3-pt shot from 24 ft,,63-81,,
5:07.0,,,63-81,,Defensive rebound by Team
5:06.0,,,63-81,,New Orleans full timeout
4:51.0,,,63-81,,D. Miller misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by L. Mbah a Moute,,63-81,,
4:35.0,Shooting foul by D. Miller (drawn by J. Harden),,63-81,,
4:35.0,J. Harden makes free throw 1 of 3,1,64-81,,
4:35.0,J. Harden makes free throw 2 of 3,1,65-81,,
4:35.0,J. Harden makes free throw 3 of 3,1,66-81,,
4:20.0,,,66-81,,A. Davis misses 2-pt shot from 2 ft (block by J. Harden)
4:18.0,Defensive rebound by P. Tucker,,66-81,,
4:18.0,,,66-81,,Personal foul by J. Holiday (drawn by P. Tucker)
4:11.0,T. Ariza misses 3-pt shot from 25 ft,,66-81,,
4:10.0,,,66-81,,Defensive rebound by Team
3:56.0,,,66-81,,Turnover by A. Davis (out of bounds lost ball)
3:36.0,J. Harden makes 2-pt shot from 2 ft,2,68-81,,
3:29.0,Personal foul by T. Ariza (drawn by J. Holiday),,68-81,,
3:29.0,,,68-82,1,J. Holiday makes free throw 1 of 2
3:29.0,,,68-83,1,J. Holiday makes free throw 2 of 2
3:16.0,E. Gordon misses 2-pt shot from 2 ft (block by A. Davis),,68-83,,
3:13.0,,,68-83,,Defensive rebound by J. Holiday
3:06.0,,,68-85,2,E. Moore makes 2-pt shot from 1 ft
2:41.0,Turnover by J. Harden (lost ball; steal by D. Miller),,68-85,,
2:36.0,,,68-85,,D. Miller misses 3-pt shot from 26 ft
2:32.0,Defensive rebound by L. Mbah a Moute,,68-85,,
2:28.0,,,68-85,,Personal foul by R. Rondo (drawn by J. Harden)
2:28.0,,,68-85,,I. Clark enters the game for R. Rondo
2:28.0,,,68-85,,D. Liggins enters the game for E. Moore
2:28.0,C. Capela enters the game for T. Ariza,,68-85,,
2:28.0,C. Paul enters the game for J. Harden,,68-85,,
2:14.0,C. Paul makes 3-pt shot from 22 ft (assist by E. Gordon),3,71-85,,
1:50.0,,,71-85,,J. Holiday misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by P. Tucker,,71-85,,
1:43.0,,,71-85,,Personal foul by J. Holiday (drawn by C. Paul)
1:43.0,C. Paul makes free throw 1 of 2,1,72-85,,
1:43.0,C. Paul makes free throw 2 of 2,1,73-85,,
1:34.0,,,73-85,,A. Davis misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by C. Paul,,73-85,,
1:26.0,C. Paul misses 2-pt shot from 16 ft,,73-85,,
1:26.0,Offensive rebound by C. Capela,,73-85,,
1:20.0,C. Capela makes 2-pt shot from 1 ft,2,75-85,,
0:58.0,,,75-85,,A. Davis misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by P. Tucker,,75-85,,
0:52.0,C. Paul makes 2-pt shot from 1 ft,2,77-85,,
0:39.0,,,77-87,2,J. Holiday makes 2-pt shot from 16 ft
0:32.0,C. Paul makes 3-pt shot from 26 ft,3,80-87,,
0:16.0,,,80-90,3,D. Liggins makes 3-pt shot from 25 ft (assist by J. Holiday)
0:00.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,80-90,,
0:00.0,Offensive rebound by Team,,80-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,80-90,,
11:41.0,,,80-90,,Defensive rebound by D. Cousins
11:24.0,,,80-90,,Turnover by D. Miller (bad pass; steal by P. Tucker)
11:20.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul),3,83-90,,
10:51.0,,,83-90,,D. Cousins misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by C. Paul,,83-90,,
10:43.0,,,83-90,,Personal foul by J. Nelson (drawn by C. Capela)
10:43.0,N. Hilario enters the game for C. Capela,,83-90,,
10:27.0,C. Paul misses 2-pt shot from 20 ft,,83-90,,
10:22.0,,,83-90,,Defensive rebound by J. Nelson
10:06.0,,,83-90,,Turnover by D. Cousins (bad pass; steal by P. Tucker)
9:59.0,Turnover by N. Hilario (bad pass; steal by D. Liggins),,83-90,,
9:41.0,,,83-93,3,D. Miller makes 3-pt shot from 23 ft (assist by D. Cousins)
9:26.0,C. Paul misses 2-pt shot from 12 ft,,83-93,,
9:21.0,,,83-93,,Defensive rebound by D. Cousins
9:01.0,,,83-93,,Turnover by Team (shot clock)
8:50.0,E. Gordon makes 3-pt shot from 31 ft (assist by C. Paul),3,86-93,,
8:34.0,,,86-96,3,D. Miller makes 3-pt shot from 23 ft (assist by D. Cousins)
8:20.0,E. Gordon makes 3-pt shot from 28 ft (assist by C. Paul),3,89-96,,
8:04.0,Personal foul by P. Tucker (drawn by D. Cousins),,89-96,,
8:04.0,,,89-96,,E. Moore enters the game for I. Clark
8:02.0,,,89-96,,Turnover by E. Moore (bad pass; steal by C. Paul)
8:00.0,C. Paul makes 2-pt shot from 1 ft,2,91-96,,
8:00.0,Shooting foul by J. Nelson (drawn by C. Paul),,91-96,,
8:00.0,,,91-96,,A. Davis enters the game for D. Cousins
8:00.0,C. Paul makes free throw 1 of 1,1,92-96,,
7:48.0,,,92-96,,Shooting foul by C. Paul (drawn by A. Davis)
7:48.0,,,92-97,1,A. Davis makes free throw 1 of 2
7:48.0,,,92-97,,J. Holiday enters the game for J. Nelson
7:48.0,,,92-97,,A. Davis misses free throw 2 of 2
7:45.0,Defensive rebound by N. Hilario,,92-97,,
7:33.0,C. Paul misses 2-pt shot from 1 ft,,92-97,,
7:31.0,,,92-97,,Defensive rebound by A. Davis
7:29.0,Personal foul by C. Paul (drawn by A. Davis),,92-97,,
7:29.0,T. Ariza enters the game for C. Paul,,92-97,,
7:29.0,C. Capela enters the game for L. Mbah a Moute,,92-97,,
7:29.0,J. Harden enters the game for N. Hilario,,92-97,,
7:15.0,,,92-97,,D. Miller misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by E. Gordon,,92-97,,
7:07.0,,,92-97,,Personal foul by D. Liggins (drawn by C. Capela)
7:07.0,,,92-97,,D. Cousins enters the game for D. Miller
6:58.0,J. Harden misses 3-pt shot from 26 ft,,92-97,,
6:54.0,,,92-97,,Defensive rebound by D. Cousins
6:43.0,,,92-100,3,D. Liggins makes 3-pt shot from 24 ft (assist by D. Cousins)
6:27.0,Shooting foul by A. Davis (drawn by J. Harden),,92-100,,
6:27.0,,,92-100,,New Orleans full timeout
6:27.0,J. Harden makes free throw 1 of 3,1,93-100,,
6:27.0,J. Harden makes free throw 2 of 3,1,94-100,,
6:27.0,J. Harden makes free throw 3 of 3,1,95-100,,
6:05.0,,,95-100,,D. Cousins misses 2-pt shot from 13 ft
6:01.0,Defensive rebound by E. Gordon,,95-100,,
5:46.0,E. Gordon misses 3-pt shot from 24 ft,,95-100,,
5:39.0,,,95-100,,Defensive rebound by E. Moore
5:32.0,,,95-100,,D. Cousins misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by E. Gordon,,95-100,,
5:21.0,Shooting foul by J. Holiday (drawn by E. Gordon),,95-100,,
5:21.0,E. Gordon makes free throw 1 of 2,1,96-100,,
5:21.0,E. Gordon misses free throw 2 of 2,,96-100,,
5:18.0,,,96-100,,Defensive rebound by D. Cousins
5:09.0,,,96-100,,D. Cousins misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by C. Capela,,96-100,,
4:52.0,P. Tucker misses 3-pt shot from 23 ft,,96-100,,
4:47.0,,,96-100,,Defensive rebound by J. Holiday
4:39.0,,,96-102,2,D. Cousins makes 2-pt shot from 2 ft (assist by A. Davis)
4:19.0,J. Harden misses 3-pt shot from 25 ft,,96-102,,
4:14.0,,,96-102,,Defensive rebound by A. Davis
4:01.0,,,96-104,2,E. Moore makes 2-pt shot from 3 ft
4:00.0,Houston full timeout,,96-104,,
4:00.0,,,96-104,,New Orleans full timeout
4:00.0,C. Paul enters the game for P. Tucker,,96-104,,
4:00.0,L. Mbah a Moute enters the game for E. Gordon,,96-104,,
3:45.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,99-104,,
3:15.0,,,99-104,,E. Moore misses 2-pt shot from 18 ft
3:13.0,Defensive rebound by C. Capela,,99-104,,
3:04.0,C. Paul makes 3-pt shot from 23 ft (assist by J. Harden),3,102-104,,
2:41.0,,,102-104,,D. Cousins misses 2-pt shot from 3 ft
