time,Memphis,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. D. Davis (D. Carroll gains possession),,,,Jump ball: J. Allen vs. D. Davis (D. Carroll gains possession)
11:44.0,,,0-0,,D. Russell misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by D. Davis,,0-0,,
11:28.0,J. Martin misses 2-pt shot from 14 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by J. Allen
11:17.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
11:12.0,Defensive rebound by D. Davis,,0-0,,
11:06.0,D. Brooks misses 2-pt shot from 13 ft,,0-0,,
11:02.0,Offensive rebound by J. Green,,0-0,,
11:02.0,J. Green makes 2-pt shot at rim,2,2-0,,
10:49.0,,,2-2,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
10:49.0,,,2-2,,Shooting foul by J. Green (drawn by R. Hollis-Jefferson)
10:49.0,,,2-3,1,R. Hollis-Jefferson makes free throw 1 of 1
10:36.0,J. Martin makes 2-pt shot from 14 ft,2,4-3,,
10:11.0,,,4-3,,Offensive charge foul by D. Carroll (drawn by A. Harrison)
10:11.0,,,4-3,,Turnover by D. Carroll (offensive foul)
10:01.0,Turnover by J. Green (bad pass; steal by D. Carroll),,4-3,,
9:57.0,Personal block foul by J. Green (drawn by D. Carroll),,4-3,,
9:57.0,C. Parsons enters the game for J. Green,,4-3,,
9:49.0,,,4-6,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Carroll)
9:31.0,D. Davis makes 2-pt shot from 18 ft (assist by A. Harrison),2,6-6,,
9:11.0,,,6-6,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson)
9:11.0,,,6-7,1,R. Hollis-Jefferson makes free throw 1 of 2
9:11.0,,,6-8,1,R. Hollis-Jefferson makes free throw 2 of 2
8:56.0,C. Parsons makes 3-pt shot from 22 ft,3,9-8,,
8:39.0,,,9-8,,Turnover by J. Allen (lost ball; steal by J. Martin)
8:34.0,J. Martin misses 2-pt shot from 1 ft,,9-8,,
8:32.0,Offensive rebound by C. Parsons,,9-8,,
8:32.0,C. Parsons makes 2-pt shot at rim,2,11-8,,
8:18.0,,,11-8,,Turnover by D. Russell (bad pass)
8:18.0,,,11-8,,Q. Acy enters the game for J. Allen
8:08.0,D. Brooks misses 2-pt shot from 7 ft,,11-8,,
8:08.0,,,11-8,,Defensive rebound by Q. Acy
8:06.0,Technical foul by J. Green,,11-8,,
8:06.0,,,11-9,1,A. Crabbe makes technical free throw
7:56.0,,,11-9,,Turnover by D. Russell (bad pass)
7:42.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Davis),3,14-9,,
7:23.0,B. Weber enters the game for A. Harrison,,14-9,,
7:17.0,,,14-11,2,D. Russell makes 2-pt shot from 8 ft
7:05.0,,,14-11,,Shooting block foul by Q. Acy (drawn by D. Brooks)
7:05.0,D. Brooks makes free throw 1 of 2,1,15-11,,
7:05.0,,,15-11,,J. Allen enters the game for Q. Acy
7:05.0,D. Brooks makes free throw 2 of 2,1,16-11,,
6:56.0,,,16-11,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson)
6:56.0,,,16-11,,Brooklyn full timeout
6:56.0,W. Selden enters the game for J. Martin,,16-11,,
6:56.0,,,16-12,1,R. Hollis-Jefferson makes free throw 1 of 2
6:56.0,,,16-12,,R. Hollis-Jefferson misses free throw 2 of 2
6:54.0,Defensive rebound by C. Parsons,,16-12,,
6:37.0,D. Davis misses 2-pt shot from 14 ft,,16-12,,
6:34.0,,,16-12,,Defensive rebound by R. Hollis-Jefferson
6:30.0,,,16-15,3,D. Carroll makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
6:18.0,Shooting foul by R. Hollis-Jefferson (drawn by C. Parsons),,16-15,,
6:18.0,C. Parsons makes free throw 1 of 2,1,17-15,,
6:18.0,C. Parsons makes free throw 2 of 2,1,18-15,,
6:14.0,Personal foul by C. Parsons (drawn by D. Carroll),,18-15,,
6:14.0,,,18-15,,D. Carroll misses free throw 1 of 2
6:14.0,,,18-15,,Offensive rebound by Team
6:14.0,,,18-16,1,D. Carroll makes free throw 2 of 2
5:56.0,C. Parsons misses 2-pt shot from 16 ft,,18-16,,
5:53.0,,,18-16,,Defensive rebound by D. Carroll
5:48.0,,,18-16,,Turnover by D. Russell (bad pass; steal by C. Parsons)
5:40.0,D. Brooks misses 3-pt shot from 24 ft,,18-16,,
5:37.0,,,18-16,,Defensive rebound by R. Hollis-Jefferson
5:24.0,Personal foul by B. Weber (drawn by D. Russell),,18-16,,
5:24.0,,,18-17,1,D. Russell makes free throw 1 of 2
5:24.0,,,18-17,,S. Dinwiddie enters the game for D. Carroll
5:24.0,B. McLemore enters the game for D. Brooks,,18-17,,
5:24.0,,,18-18,1,D. Russell makes free throw 2 of 2
5:13.0,W. Selden makes 2-pt shot from 7 ft,2,20-18,,
5:00.0,,,20-18,,D. Russell misses 2-pt shot from 13 ft
4:57.0,,,20-18,,Offensive rebound by D. Russell
4:57.0,,,20-20,2,J. Allen makes 2-pt shot from 1 ft (assist by D. Russell)
4:57.0,,,20-20,,Shooting foul by D. Davis (drawn by J. Allen)
4:57.0,,,20-20,,C. LeVert enters the game for D. Russell
4:57.0,,,20-20,,J. Harris enters the game for A. Crabbe
4:57.0,,,20-20,,J. Allen misses free throw 1 of 1
4:57.0,Defensive rebound by D. Davis,,20-20,,
4:46.0,W. Selden misses 3-pt shot from 24 ft,,20-20,,
4:44.0,,,20-20,,Defensive rebound by J. Allen
4:36.0,,,20-20,,Turnover by C. LeVert (bad pass; steal by C. Parsons)
4:21.0,W. Selden makes 2-pt shot from 8 ft,2,22-20,,
4:21.0,Shooting foul by J. Allen (drawn by W. Selden),,22-20,,
4:21.0,,,22-20,,Brooklyn full timeout
4:21.0,,,22-20,,Q. Acy enters the game for J. Allen
4:21.0,I. Rabb enters the game for D. Davis,,22-20,,
4:21.0,W. Selden misses free throw 1 of 1,,22-20,,
4:21.0,,,22-20,,Defensive rebound by S. Dinwiddie
4:10.0,,,22-20,,Offensive foul by J. Harris (drawn by B. McLemore)
4:10.0,,,22-20,,Turnover by J. Harris (offensive foul)
3:58.0,Offensive charge foul by W. Selden (drawn by Q. Acy),,22-20,,
3:58.0,Turnover by W. Selden (offensive foul),,22-20,,
3:40.0,,,22-20,,S. Dinwiddie misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by B. McLemore,,22-20,,
3:25.0,,,22-20,,Personal foul by R. Hollis-Jefferson (drawn by W. Selden)
3:20.0,Turnover by B. McLemore (traveling),,22-20,,
3:20.0,,,22-20,,D. Carroll enters the game for R. Hollis-Jefferson
3:01.0,,,22-23,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
2:48.0,I. Rabb misses 2-pt shot from 19 ft,,22-23,,
2:45.0,,,22-23,,Defensive rebound by S. Dinwiddie
2:33.0,,,22-25,2,J. Harris makes 2-pt shot from 7 ft
2:13.0,W. Selden makes 2-pt shot from 15 ft (assist by I. Rabb),2,24-25,,
1:49.0,,,24-27,2,C. LeVert makes 2-pt shot from 2 ft
1:38.0,Shooting foul by C. LeVert (drawn by B. Weber),,24-27,,
1:38.0,B. Weber misses free throw 1 of 2,,24-27,,
1:38.0,Offensive rebound by Team,,24-27,,
1:38.0,D. Brooks enters the game for C. Parsons,,24-27,,
1:38.0,B. Weber makes free throw 2 of 2,1,25-27,,
1:28.0,,,25-27,,D. Carroll misses 3-pt shot from 22 ft
1:25.0,Defensive rebound by W. Selden,,25-27,,
1:18.0,I. Rabb makes 2-pt shot from 3 ft (assist by D. Brooks),2,27-27,,
