time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. K. Towns (T. Gibson gains possession),,,,Jump ball: J. Nurkic vs. K. Towns (T. Gibson gains possession)
11:41.0,T. Gibson misses 2-pt shot from 11 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by A. Aminu
11:31.0,,,0-2,2,E. Turner makes 2-pt shot from 15 ft
11:14.0,A. Wiggins makes 2-pt shot from 1 ft,2,2-2,,
10:49.0,,,2-2,,A. Aminu misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by N. Bjelica,,2-2,,
10:39.0,T. Gibson misses 2-pt shot from 2 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by A. Aminu
10:30.0,,,2-2,,Turnover by A. Aminu (bad pass; steal by J. Teague)
10:16.0,T. Gibson makes 2-pt shot from 17 ft,2,4-2,,
9:58.0,,,4-2,,C. McCollum misses 2-pt shot from 16 ft
9:55.0,Defensive rebound by J. Teague,,4-2,,
9:48.0,K. Towns makes 2-pt shot at rim,2,6-2,,
9:39.0,,,6-4,2,C. McCollum makes 2-pt shot from 1 ft
9:24.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,8-4,,
9:13.0,,,8-7,3,D. Lillard makes 3-pt shot from 28 ft (assist by E. Turner)
8:59.0,J. Teague makes 2-pt shot from 3 ft,2,10-7,,
8:45.0,,,10-7,,J. Nurkic misses 2-pt shot from 21 ft
8:43.0,Defensive rebound by A. Wiggins,,10-7,,
8:32.0,T. Gibson makes 2-pt shot from 13 ft (assist by A. Wiggins),2,12-7,,
8:05.0,,,12-7,,J. Nurkic misses 2-pt shot at rim
8:02.0,Defensive rebound by T. Gibson,,12-7,,
7:53.0,A. Wiggins makes 2-pt shot from 7 ft,2,14-7,,
7:33.0,,,14-9,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
7:18.0,J. Teague misses 2-pt shot from 13 ft,,14-9,,
7:15.0,,,14-9,,Defensive rebound by A. Aminu
7:11.0,,,14-11,2,A. Aminu makes 2-pt shot at rim
6:52.0,A. Wiggins makes 2-pt shot from 12 ft,2,16-11,,
6:52.0,,,16-11,,Portland full timeout
6:30.0,,,16-11,,J. Nurkic misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by A. Wiggins,,16-11,,
6:13.0,N. Bjelica makes 2-pt shot from 1 ft (assist by T. Gibson),2,18-11,,
6:03.0,,,18-13,2,A. Aminu makes 2-pt shot from 1 ft (assist by E. Turner)
5:49.0,T. Gibson makes 2-pt shot at rim,2,20-13,,
5:38.0,,,20-13,,E. Turner misses 2-pt shot from 6 ft
5:35.0,Defensive rebound by T. Gibson,,20-13,,
5:27.0,Turnover by J. Teague (bad pass; steal by E. Turner),,20-13,,
5:22.0,,,20-13,,D. Lillard misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by K. Towns,,20-13,,
5:14.0,J. Teague misses 2-pt shot from 7 ft,,20-13,,
5:11.0,,,20-13,,Defensive rebound by D. Lillard
5:04.0,,,20-15,2,D. Lillard makes 2-pt shot from 20 ft
4:40.0,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson),3,23-15,,
4:20.0,,,23-18,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
4:12.0,J. Teague makes 2-pt shot from 9 ft,2,25-18,,
3:56.0,,,25-18,,C. McCollum misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by N. Bjelica,,25-18,,
3:50.0,K. Towns misses 3-pt shot from 24 ft,,25-18,,
3:47.0,,,25-18,,Defensive rebound by C. McCollum
3:40.0,,,25-18,,Turnover by A. Aminu (bad pass; steal by N. Bjelica)
3:33.0,N. Bjelica misses 2-pt shot from 22 ft,,25-18,,
3:30.0,,,25-18,,Defensive rebound by C. McCollum
3:26.0,,,25-20,2,C. McCollum makes 2-pt shot from 2 ft
3:18.0,Turnover by A. Wiggins (lost ball; steal by E. Turner),,25-20,,
3:12.0,,,25-20,,D. Lillard misses 3-pt shot from 24 ft
3:09.0,Defensive rebound by K. Towns,,25-20,,
2:50.0,J. Teague misses 2-pt shot from 5 ft,,25-20,,
2:46.0,Offensive rebound by K. Towns,,25-20,,
2:46.0,K. Towns makes 2-pt shot at rim,2,27-20,,
2:27.0,,,27-22,2,C. McCollum makes 2-pt shot from 13 ft
2:16.0,J. Teague misses 2-pt shot from 4 ft,,27-22,,
2:15.0,,,27-22,,Defensive rebound by A. Aminu
2:08.0,,,27-22,,E. Turner misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by K. Towns,,27-22,,
1:53.0,N. Bjelica misses 3-pt shot from 22 ft,,27-22,,
1:50.0,,,27-22,,Defensive rebound by J. Nurkic
1:31.0,,,27-22,,J. Nurkic misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by K. Towns,,27-22,,
1:30.0,,,27-22,,Personal foul by J. Nurkic (drawn by K. Towns)
1:30.0,Minnesota full timeout,,27-22,,
1:30.0,,,27-22,,S. Napier enters the game for E. Turner
1:30.0,,,27-22,,P. Connaughton enters the game for A. Aminu
1:30.0,,,27-22,,E. Davis enters the game for J. Nurkic
1:30.0,,,27-22,,Z. Collins enters the game for C. McCollum
1:30.0,G. Dieng enters the game for N. Bjelica,,27-22,,
1:30.0,J. Crawford enters the game for K. Towns,,27-22,,
1:18.0,J. Teague misses 2-pt shot from 16 ft,,27-22,,
1:16.0,,,27-22,,Defensive rebound by P. Connaughton
1:03.0,,,27-22,,Turnover by S. Napier (bad pass; steal by T. Gibson)
0:45.0,A. Wiggins misses 2-pt shot from 12 ft,,27-22,,
0:42.0,,,27-22,,Defensive rebound by Z. Collins
0:33.0,,,27-25,3,D. Lillard makes 3-pt shot from 25 ft
0:21.0,T. Jones enters the game for J. Teague,,27-25,,
0:18.0,A. Wiggins makes 2-pt shot from 4 ft (assist by T. Jones),2,29-25,,
0:01.0,,,29-25,,S. Napier misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by G. Dieng,,29-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,29-25,,P. Connaughton misses 2-pt shot from 2 ft
11:39.0,,,29-25,,Offensive rebound by P. Connaughton
11:38.0,,,29-25,,P. Connaughton misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by G. Dieng,,29-25,,
11:30.0,J. Crawford makes 2-pt shot from 17 ft,2,31-25,,
11:14.0,,,31-27,2,S. Napier makes 2-pt shot from 19 ft
11:14.0,,,31-27,,Shooting foul by T. Jones (drawn by S. Napier)
11:14.0,,,31-28,1,S. Napier makes free throw 1 of 1
10:55.0,N. Bjelica makes 3-pt shot from 24 ft (assist by J. Crawford),3,34-28,,
10:39.0,,,34-31,3,P. Connaughton makes 3-pt shot from 23 ft (assist by E. Davis)
10:25.0,T. Jones misses 2-pt shot from 17 ft,,34-31,,
10:23.0,,,34-31,,Defensive rebound by E. Davis
10:02.0,,,34-31,,S. Napier misses 2-pt shot from 1 ft
9:59.0,,,34-31,,Offensive rebound by E. Davis
9:59.0,,,34-33,2,E. Davis makes 2-pt shot at rim
9:47.0,J. Crawford makes 2-pt shot from 21 ft,2,36-33,,
9:24.0,,,36-33,,C. McCollum misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by G. Dieng,,36-33,,
9:03.0,J. Crawford misses 3-pt shot from 27 ft,,36-33,,
9:01.0,,,36-33,,Defensive rebound by Z. Collins
8:57.0,,,36-33,,Shooting foul by G. Dieng (drawn by C. McCollum)
8:57.0,,,36-33,,C. McCollum misses free throw 1 of 2
8:57.0,,,36-33,,Offensive rebound by Team
8:57.0,,,36-33,,C. McCollum misses free throw 2 of 2
8:52.0,Defensive rebound by N. Bjelica,,36-33,,
8:44.0,J. Crawford makes 2-pt shot from 16 ft (assist by G. Dieng),2,38-33,,
8:23.0,,,38-33,,C. McCollum misses 2-pt shot from 4 ft (block by G. Dieng)
8:21.0,Defensive rebound by N. Bjelica,,38-33,,
8:17.0,T. Jones misses 2-pt shot from 1 ft (block by P. Connaughton),,38-33,,
8:14.0,,,38-33,,Defensive rebound by Z. Collins
8:12.0,Personal foul by N. Bjelica (drawn by S. Napier),,38-33,,
8:12.0,K. Towns enters the game for G. Dieng,,38-33,,
7:59.0,,,38-36,3,Z. Collins makes 3-pt shot from 23 ft (assist by P. Connaughton)
7:35.0,Turnover by Team (shot clock),,38-36,,
7:20.0,,,38-36,,C. McCollum misses 2-pt shot from 7 ft
7:16.0,Defensive rebound by N. Bjelica,,38-36,,
7:12.0,M. Georges-Hunt misses 3-pt shot from 25 ft,,38-36,,
7:08.0,,,38-36,,Defensive rebound by E. Davis
7:01.0,,,38-36,,S. Napier misses 2-pt shot from 13 ft
