time,Philadelphia,pts.away,score,pts.home,Cleveland
2:49.0,,,30-22,,Turnover by L. James (out of bounds lost ball)
2:49.0,,,30-22,,Cleveland full timeout
2:31.0,Turnover by J. Embiid (turnover),,30-22,,
2:19.0,,,30-24,2,L. Nance makes 2-pt shot from 16 ft (assist by L. James)
1:58.0,Turnover by J. Embiid (step out of bounds),,30-24,,
1:43.0,,,30-26,2,L. James makes 2-pt shot from 1 ft (assist by K. Korver)
1:43.0,Violation by J. Embiid (def goaltending),,30-26,,
1:27.0,T. McConnell misses 3-pt shot from 24 ft,,30-26,,
1:24.0,,,30-26,,Defensive rebound by L. James
1:17.0,,,30-26,,J. Clarkson misses 3-pt shot from 23 ft
1:13.0,Defensive rebound by R. Covington,,30-26,,
1:07.0,T. McConnell misses 3-pt shot from 25 ft,,30-26,,
1:04.0,Offensive rebound by J. Embiid,,30-26,,
1:03.0,J. Embiid makes 2-pt shot at rim,2,32-26,,
0:49.0,,,32-26,,R. Hood enters the game for L. James
0:49.0,M. Belinelli enters the game for R. Covington,,32-26,,
0:41.0,,,32-28,2,J. Clarkson makes 2-pt shot from 7 ft (assist by R. Hood)
0:41.0,,,32-28,,Shooting foul by J. Redick (drawn by J. Clarkson)
0:41.0,,,32-29,1,J. Clarkson makes free throw 1 of 1
0:25.0,J. Embiid misses 3-pt shot from 25 ft,,32-29,,
0:22.0,,,32-29,,Defensive rebound by J. Clarkson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-29,,J. Green misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by R. Covington,,32-29,,
11:26.0,R. Covington misses 3-pt shot from 27 ft,,32-29,,
11:20.0,Offensive rebound by J. Embiid,,32-29,,
11:20.0,J. Embiid makes 2-pt shot at rim,2,34-29,,
11:03.0,,,34-32,3,K. Korver makes 3-pt shot from 26 ft (assist by R. Hood)
10:52.0,M. Belinelli misses 3-pt shot from 25 ft,,34-32,,
10:49.0,,,34-32,,Defensive rebound by J. Clarkson
10:34.0,,,34-34,2,J. Clarkson makes 2-pt shot from 21 ft
10:14.0,M. Belinelli misses 2-pt shot from 2 ft,,34-34,,
10:12.0,Offensive rebound by J. Embiid,,34-34,,
10:06.0,J. Embiid misses 2-pt shot from 13 ft,,34-34,,
10:05.0,Offensive rebound by Team,,34-34,,
10:05.0,Jump ball: K. Korver vs. R. Covington (M. Belinelli gains possession),,,,Jump ball: K. Korver vs. R. Covington (M. Belinelli gains possession)
9:44.0,J. Embiid misses 2-pt shot from 11 ft,,34-34,,
9:42.0,,,34-34,,Defensive rebound by J. Green
9:37.0,,,34-34,,Turnover by J. Green (lost ball; steal by T. McConnell)
9:32.0,M. Belinelli makes 2-pt shot from 1 ft (assist by T. McConnell),2,36-34,,
9:32.0,,,36-34,,Violation by L. Nance (def goaltending)
9:32.0,B. Simmons enters the game for T. McConnell,,36-34,,
9:18.0,,,36-34,,K. Korver misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by J. Embiid,,36-34,,
