time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Baynes (A. Horford gains possession),,,,Jump ball: J. Embiid vs. A. Baynes (A. Horford gains possession)
11:40.0,A. Horford misses 3-pt shot from 24 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by J. Embiid
11:31.0,,,0-0,,B. Simmons misses 2-pt shot from 11 ft
11:28.0,Defensive rebound by A. Horford,,0-0,,
11:18.0,J. Tatum misses 3-pt shot from 25 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by J. Embiid
11:01.0,,,0-0,,D. Saric misses 2-pt shot from 8 ft
10:58.0,,,0-0,,Offensive rebound by D. Saric
10:45.0,,,0-2,2,J. Embiid makes 2-pt shot from 6 ft
10:18.0,J. Tatum misses 2-pt shot from 18 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by D. Saric
10:05.0,Personal foul by J. Tatum (drawn by J. Redick),,0-2,,
9:59.0,,,0-2,,B. Simmons misses 2-pt shot from 6 ft
9:57.0,,,0-2,,Offensive rebound by D. Saric
9:56.0,,,0-2,,D. Saric misses 2-pt shot from 5 ft (block by A. Baynes)
9:56.0,Defensive rebound by Team,,0-2,,
9:42.0,A. Baynes misses 3-pt shot from 25 ft,,0-2,,
9:39.0,,,0-2,,Defensive rebound by B. Simmons
9:34.0,,,0-2,,J. Embiid misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by A. Horford,,0-2,,
9:19.0,A. Baynes makes 3-pt shot from 23 ft (assist by M. Smart),3,3-2,,
9:00.0,,,3-2,,D. Saric misses 2-pt shot from 5 ft
8:58.0,Defensive rebound by J. Tatum,,3-2,,
8:46.0,T. Rozier misses 2-pt shot from 17 ft,,3-2,,
8:44.0,,,3-2,,Defensive rebound by J. Embiid
8:28.0,,,3-4,2,J. Redick makes 2-pt shot from 19 ft
8:08.0,A. Baynes misses 3-pt shot from 25 ft,,3-4,,
8:06.0,,,3-4,,Defensive rebound by B. Simmons
7:58.0,,,3-4,,J. Redick misses 2-pt shot from 6 ft (block by M. Smart)
7:55.0,Defensive rebound by M. Smart,,3-4,,
7:54.0,Shooting foul by D. Saric (drawn by J. Tatum),,3-4,,
7:54.0,J. Tatum makes free throw 1 of 2,1,4-4,,
7:54.0,J. Tatum makes free throw 2 of 2,1,5-4,,
7:43.0,,,5-4,,Shooting foul by J. Tatum (drawn by D. Saric)
7:43.0,,,5-5,1,D. Saric makes free throw 1 of 2
7:43.0,,,5-6,1,D. Saric makes free throw 2 of 2
7:29.0,M. Smart misses 2-pt shot from 14 ft,,5-6,,
7:25.0,Offensive rebound by A. Horford,,5-6,,
7:20.0,Turnover by A. Horford (lost ball; steal by D. Saric),,5-6,,
7:14.0,,,5-8,2,B. Simmons makes 2-pt shot at rim (assist by T. McConnell)
6:55.0,A. Horford makes 2-pt shot at rim (assist by M. Smart),2,7-8,,
6:35.0,,,7-11,3,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons)
6:09.0,J. Tatum misses 3-pt shot from 26 ft,,7-11,,
6:07.0,Offensive rebound by Team,,7-11,,
6:07.0,,,7-11,,Philadelphia full timeout
6:07.0,,,7-11,,R. Covington enters the game for T. McConnell
6:07.0,,,7-11,,E. Ilyasova enters the game for J. Embiid
6:07.0,,,7-11,,M. Belinelli enters the game for J. Redick
6:07.0,J. Brown enters the game for M. Smart,,7-11,,
6:07.0,M. Morris enters the game for A. Baynes,,7-11,,
6:05.0,T. Rozier misses 3-pt shot from 25 ft,,7-11,,
6:01.0,,,7-11,,Defensive rebound by B. Simmons
5:46.0,,,7-11,,B. Simmons misses 2-pt shot from 5 ft
5:43.0,,,7-11,,Offensive rebound by D. Saric
5:40.0,,,7-14,3,M. Belinelli makes 3-pt shot from 23 ft (assist by D. Saric)
5:22.0,J. Tatum makes 3-pt shot from 23 ft (assist by J. Brown),3,10-14,,
5:05.0,,,10-14,,M. Belinelli misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by A. Horford,,10-14,,
5:00.0,J. Brown makes 3-pt shot from 26 ft,3,13-14,,
4:59.0,,,13-14,,Philadelphia full timeout
4:59.0,S. Ojeleye enters the game for J. Tatum,,13-14,,
4:52.0,Personal foul by J. Brown (drawn by M. Belinelli),,13-14,,
4:47.0,,,13-14,,Offensive foul by B. Simmons (drawn by J. Brown)
4:47.0,,,13-14,,Turnover by B. Simmons (offensive foul)
4:23.0,M. Morris misses 2-pt shot from 15 ft,,13-14,,
4:20.0,,,13-14,,Defensive rebound by B. Simmons
4:14.0,,,13-14,,Turnover by E. Ilyasova (lost ball; steal by S. Ojeleye)
3:56.0,A. Horford misses 2-pt shot from 7 ft,,13-14,,
3:51.0,,,13-14,,Defensive rebound by B. Simmons
3:44.0,,,13-14,,D. Saric misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by M. Morris,,13-14,,
3:36.0,J. Brown misses 3-pt shot from 24 ft,,13-14,,
3:32.0,,,13-14,,Defensive rebound by B. Simmons
3:25.0,,,13-14,,E. Ilyasova misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by T. Rozier,,13-14,,
3:05.0,M. Morris makes 2-pt shot from 1 ft (assist by A. Horford),2,15-14,,
3:05.0,Shooting foul by E. Ilyasova (drawn by M. Morris),,15-14,,
3:05.0,,,15-14,,J. Redick enters the game for D. Saric
3:05.0,,,15-14,,T. McConnell enters the game for E. Ilyasova
3:05.0,,,15-14,,J. Embiid enters the game for B. Simmons
3:05.0,M. Smart enters the game for T. Rozier,,15-14,,
3:05.0,S. Larkin enters the game for S. Ojeleye,,15-14,,
3:05.0,M. Morris makes free throw 1 of 1,1,16-14,,
2:58.0,,,16-16,2,T. McConnell makes 2-pt shot from 11 ft (assist by R. Covington)
2:58.0,,,16-16,,Shooting foul by M. Smart (drawn by T. McConnell)
2:58.0,,,16-16,,T. McConnell misses free throw 1 of 1
2:56.0,Defensive rebound by M. Morris,,16-16,,
2:42.0,M. Smart misses 2-pt shot from 5 ft,,16-16,,
2:40.0,,,16-16,,Defensive rebound by J. Embiid
2:31.0,,,16-16,,R. Covington misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by M. Smart,,16-16,,
2:29.0,,,16-16,,Personal block foul by R. Covington (drawn by M. Smart)
