time,New York,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: M. Kleber vs. K. Porzingis (E. Kanter gains possession)
11:42.0,Shooting foul by D. Smith (drawn by E. Kanter),,0-0,,
11:42.0,E. Kanter misses free throw 1 of 2,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,E. Kanter makes free throw 2 of 2,1,1-0,,
11:31.0,Personal foul by K. Porzingis (drawn by D. Smith),,1-0,,
11:17.0,,,1-0,,D. Smith misses 2-pt shot from 2 ft
11:14.0,,,1-0,,Offensive rebound by M. Kleber
11:10.0,,,1-0,,W. Matthews misses 3-pt shot from 27 ft
11:06.0,Defensive rebound by K. Porzingis,,1-0,,
10:58.0,J. Jack makes 2-pt shot from 11 ft,2,3-0,,
10:58.0,Shooting foul by M. Kleber (drawn by J. Jack),,3-0,,
10:58.0,J. Jack makes free throw 1 of 1,1,4-0,,
10:36.0,,,4-0,,D. Nowitzki misses 2-pt shot from 19 ft
10:33.0,,,4-0,,Offensive rebound by M. Kleber
10:21.0,,,4-0,,H. Barnes misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by Team,,4-0,,
10:05.0,K. Porzingis misses 2-pt shot from 2 ft,,4-0,,
10:03.0,Offensive rebound by E. Kanter,,4-0,,
10:02.0,E. Kanter makes 2-pt shot at rim,2,6-0,,
9:45.0,,,6-0,,H. Barnes misses 3-pt shot from 22 ft
9:45.0,Defensive rebound by E. Kanter,,6-0,,
9:30.0,Turnover by C. Lee (turnover),,6-0,,
9:07.0,,,6-0,,D. Nowitzki misses 2-pt shot from 22 ft
9:04.0,Defensive rebound by K. Porzingis,,6-0,,
8:56.0,,,6-0,,Personal foul by D. Smith (drawn by E. Kanter)
8:46.0,E. Kanter makes 2-pt shot from 5 ft,2,8-0,,
8:25.0,,,8-3,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith)
8:09.0,Turnover by E. Kanter (bad pass; steal by M. Kleber),,8-3,,
8:03.0,,,8-3,,D. Smith misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by L. Thomas,,8-3,,
7:56.0,J. Jack makes 2-pt shot from 16 ft,2,10-3,,
7:55.0,,,10-3,,Dallas full timeout
7:55.0,,,10-3,,S. Mejri enters the game for D. Nowitzki
7:44.0,,,10-5,2,W. Matthews makes 2-pt shot from 18 ft
7:44.0,,,10-5,,Shooting foul by E. Kanter (drawn by W. Matthews)
7:44.0,,,10-6,1,W. Matthews makes free throw 1 of 1
7:25.0,K. Porzingis makes 2-pt shot from 7 ft (assist by J. Jack),2,12-6,,
7:07.0,,,12-6,,M. Kleber misses 3-pt shot from 26 ft
