time,Memphis,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. J. Green (B. McLemore gains possession),,,,Jump ball: N. Vucevic vs. J. Green (B. McLemore gains possession)
11:34.0,J. Green misses 3-pt shot from 27 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by A. Gordon
11:18.0,,,0-2,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
11:05.0,M. Chalmers makes 2-pt shot from 2 ft,2,2-2,,
10:55.0,,,2-4,2,N. Vucevic makes 2-pt shot from 3 ft (assist by D. Augustin)
10:38.0,Shooting foul by J. Simmons (drawn by J. Green),,2-4,,
10:38.0,J. Green makes free throw 1 of 2,1,3-4,,
10:38.0,J. Green makes free throw 2 of 2,1,4-4,,
10:29.0,,,4-4,,Offensive foul by D. Augustin (drawn by B. McLemore)
10:29.0,,,4-4,,Turnover by D. Augustin (offensive foul)
10:13.0,J. Green misses 2-pt shot from 3 ft,,4-4,,
10:10.0,,,4-4,,Defensive rebound by N. Vucevic
9:51.0,,,4-6,2,E. Fournier makes 2-pt shot from 18 ft
9:38.0,D. Brooks makes 2-pt shot from 5 ft,2,6-6,,
9:22.0,,,6-9,3,D. Augustin makes 3-pt shot from 26 ft (assist by E. Fournier)
9:12.0,B. McLemore misses 2-pt shot from 2 ft,,6-9,,
9:10.0,,,6-9,,Defensive rebound by N. Vucevic
9:01.0,,,6-9,,N. Vucevic misses 2-pt shot from 6 ft
8:58.0,Defensive rebound by J. Martin,,6-9,,
8:44.0,M. Chalmers makes 2-pt shot from 20 ft,2,8-9,,
8:19.0,,,8-11,2,N. Vucevic makes 2-pt shot from 3 ft (assist by D. Augustin)
8:02.0,J. Green misses 2-pt shot from 13 ft,,8-11,,
7:59.0,,,8-11,,Defensive rebound by A. Gordon
7:56.0,,,8-11,,A. Gordon misses 2-pt shot at rim
7:55.0,,,8-11,,Offensive rebound by A. Gordon
7:55.0,,,8-11,,A. Gordon misses 2-pt shot at rim
7:53.0,Defensive rebound by D. Brooks,,8-11,,
7:46.0,J. Martin makes 2-pt shot from 20 ft (assist by J. Green),2,10-11,,
7:25.0,,,10-13,2,J. Simmons makes 2-pt shot from 6 ft
7:20.0,Turnover by J. Martin (lost ball; steal by A. Gordon),,10-13,,
7:11.0,Personal foul by M. Chalmers (drawn by D. Augustin),,10-13,,
7:11.0,I. Rabb enters the game for J. Green,,10-13,,
