time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. M. Kleber (B. Bogdanovic gains possession),,,,Jump ball: S. Labissiere vs. M. Kleber (B. Bogdanovic gains possession)
11:40.0,,,0-0,,Turnover by B. Bogdanovic (bad pass; steal by A. Harrison)
11:35.0,D. Smith misses 2-pt shot from 5 ft (block by J. Jackson),,0-0,,
11:31.0,Offensive rebound by D. Smith,,0-0,,
11:30.0,H. Barnes misses 3-pt shot from 24 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by W. Cauley-Stein
11:22.0,,,0-2,2,D. Fox makes 2-pt shot from 17 ft
11:01.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,0-2,,
10:57.0,,,0-4,2,J. Jackson makes 2-pt shot at rim (assist by D. Fox)
10:28.0,A. Harrison makes 3-pt shot from 26 ft (assist by H. Barnes),3,3-4,,
10:09.0,,,3-4,,D. Fox misses 2-pt shot from 8 ft
10:06.0,Defensive rebound by D. Nowitzki,,3-4,,
9:45.0,Turnover by D. Smith (bad pass; steal by W. Cauley-Stein),,3-4,,
9:32.0,,,3-4,,S. Labissiere misses 2-pt shot from 11 ft
9:29.0,Defensive rebound by D. Nowitzki,,3-4,,
9:23.0,D. Smith makes 3-pt shot from 26 ft (assist by H. Barnes),3,6-4,,
9:03.0,,,6-4,,S. Labissiere misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by M. Kleber,,6-4,,
8:54.0,D. Smith makes 3-pt shot from 25 ft,3,9-4,,
8:42.0,Personal foul by M. Kleber (drawn by S. Labissiere),,9-4,,
8:32.0,,,9-4,,Turnover by W. Cauley-Stein (lost ball; steal by D. Nowitzki)
8:32.0,,,9-4,,Personal foul by W. Cauley-Stein (drawn by M. Kleber)
8:16.0,H. Barnes makes 2-pt shot from 7 ft (assist by D. Nowitzki),2,11-4,,
8:07.0,,,11-4,,J. Jackson misses 2-pt shot from 11 ft
8:05.0,Defensive rebound by D. Nowitzki,,11-4,,
7:56.0,,,11-4,,Personal foul by B. Bogdanovic (drawn by D. Smith)
7:44.0,Turnover by H. Barnes (bad pass),,11-4,,
7:32.0,Personal foul by D. Nowitzki (drawn by W. Cauley-Stein),,11-4,,
7:23.0,,,11-4,,D. Fox misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by M. Kleber,,11-4,,
7:09.0,D. Nowitzki misses 2-pt shot from 15 ft,,11-4,,
7:05.0,,,11-4,,Defensive rebound by S. Labissiere
6:54.0,,,11-4,,B. Bogdanovic misses 2-pt shot from 12 ft
6:51.0,Defensive rebound by M. Kleber,,11-4,,
6:46.0,D. Smith misses 3-pt shot from 25 ft,,11-4,,
6:43.0,,,11-4,,Defensive rebound by W. Cauley-Stein
6:40.0,Personal foul by A. Harrison (drawn by B. Bogdanovic),,11-4,,
6:40.0,,,11-4,,Sacramento full timeout
6:40.0,D. McDermott enters the game for D. Nowitzki,,11-4,,
6:31.0,,,11-7,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by D. Fox)
6:14.0,A. Harrison misses 3-pt shot from 25 ft,,11-7,,
6:12.0,,,11-7,,Defensive rebound by J. Jackson
6:06.0,,,11-9,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by J. Jackson)
5:42.0,H. Barnes makes 2-pt shot from 9 ft (assist by D. Smith),2,13-9,,
5:29.0,,,13-9,,S. Labissiere misses 2-pt shot from 7 ft (block by H. Barnes)
5:28.0,Defensive rebound by D. McDermott,,13-9,,
5:28.0,,,13-9,,Personal foul by D. Fox (drawn by D. Smith)
5:28.0,,,13-9,,J. Sampson enters the game for W. Cauley-Stein
5:28.0,,,13-9,,K. Koufos enters the game for S. Labissiere
5:18.0,D. Smith makes 2-pt shot from 1 ft (assist by H. Barnes),2,15-9,,
4:51.0,,,15-9,,K. Koufos misses 2-pt shot from 10 ft
4:47.0,Defensive rebound by A. Harrison,,15-9,,
4:41.0,M. Kleber makes 2-pt shot from 20 ft (assist by H. Barnes),2,17-9,,
4:30.0,,,17-9,,D. Fox misses 2-pt shot from 2 ft
