time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Looney vs. M. Chriss (D. Green gains possession),,,,Jump ball: K. Looney vs. M. Chriss (D. Green gains possession)
11:48.0,,,0-0,,Turnover by D. Green (bad pass; steal by T. Daniels)
11:42.0,T. Daniels makes 2-pt shot from 3 ft,2,2-0,,
11:34.0,,,2-0,,Turnover by K. Durant (bad pass)
11:20.0,M. Chriss misses 2-pt shot from 8 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by K. Thompson
11:11.0,,,2-0,,D. Green misses 3-pt shot from 27 ft
11:08.0,Defensive rebound by M. Chriss,,2-0,,
11:05.0,Turnover by M. Chriss (traveling),,2-0,,
10:46.0,,,2-0,,Turnover by Q. Cook (bad pass; steal by J. Jackson)
10:41.0,J. Jackson makes 2-pt shot from 2 ft,2,4-0,,
10:31.0,,,4-0,,K. Thompson misses 2-pt shot from 19 ft
10:27.0,Defensive rebound by J. Jackson,,4-0,,
10:22.0,M. Chriss misses 2-pt shot from 8 ft,,4-0,,
10:16.0,,,4-0,,Defensive rebound by K. Looney
10:13.0,,,4-2,2,D. Green makes 2-pt shot from 1 ft
9:50.0,T. Ulis makes 3-pt shot from 27 ft (assist by J. Jackson),3,7-2,,
9:39.0,,,7-2,,K. Thompson misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by D. Bender,,7-2,,
9:33.0,D. Bender misses 3-pt shot from 27 ft,,7-2,,
9:31.0,,,7-2,,Defensive rebound by K. Durant
9:22.0,,,7-4,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
9:07.0,T. Daniels misses 3-pt shot from 26 ft,,7-4,,
9:03.0,,,7-4,,Defensive rebound by K. Durant
8:56.0,,,7-6,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
8:56.0,,,7-6,,Shooting foul by J. Jackson (drawn by D. Green)
8:56.0,A. Williams enters the game for M. Chriss,,7-6,,
8:56.0,,,7-7,1,K. Durant makes free throw 1 of 1
8:41.0,A. Williams makes 2-pt shot from 5 ft (assist by T. Daniels),2,9-7,,
8:31.0,,,9-9,2,K. Durant makes 2-pt shot from 10 ft (assist by D. Green)
8:21.0,T. Ulis misses 2-pt shot from 4 ft (block by K. Looney),,9-9,,
8:19.0,,,9-9,,Defensive rebound by D. Green
8:14.0,,,9-9,,Turnover by K. Thompson (bad pass)
7:54.0,D. Bender makes 2-pt shot from 1 ft (assist by J. Jackson),2,11-9,,
7:36.0,,,11-11,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
7:10.0,J. Jackson misses 3-pt shot from 26 ft,,11-11,,
7:09.0,,,11-11,,Defensive rebound by Team
7:03.0,Violation by T. Daniels (kicked ball),,11-11,,
6:50.0,,,11-11,,Q. Cook misses 3-pt shot from 24 ft
6:46.0,,,11-11,,Offensive rebound by K. Looney
6:40.0,,,11-11,,K. Looney misses 2-pt shot from 16 ft
6:37.0,Defensive rebound by A. Williams,,11-11,,
6:25.0,D. Bender makes 3-pt shot from 26 ft (assist by A. Williams),3,14-11,,
6:12.0,,,14-11,,K. Thompson misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by D. Bender,,14-11,,
5:53.0,Turnover by T. Ulis (bad pass; steal by K. Thompson),,14-11,,
5:47.0,,,14-11,,Turnover by D. Green (bad pass; steal by A. Williams)
5:43.0,Turnover by T. Daniels (bad pass),,14-11,,
5:43.0,,,14-11,,Golden State full timeout
5:31.0,,,14-13,2,K. Looney makes 2-pt shot at rim (assist by D. Green)
5:11.0,T. Daniels misses 3-pt shot from 26 ft,,14-13,,
5:09.0,,,14-13,,Defensive rebound by K. Durant
4:59.0,,,14-13,,K. Looney misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by A. Williams,,14-13,,
4:36.0,T. Ulis misses 2-pt shot from 19 ft,,14-13,,
4:32.0,,,14-13,,Defensive rebound by K. Durant
4:30.0,,,14-13,,K. Durant misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by A. Williams,,14-13,,
4:13.0,J. Jackson misses 2-pt shot from 3 ft (block by K. Looney),,14-13,,
4:11.0,,,14-13,,Defensive rebound by D. Green
4:11.0,Personal foul by J. Jackson (drawn by D. Green),,14-13,,
4:11.0,,,14-13,,J. McGee enters the game for K. Looney
4:11.0,,,14-13,,N. Young enters the game for K. Thompson
4:11.0,D. House enters the game for J. Jackson,,14-13,,
3:58.0,,,14-15,2,K. Durant makes 2-pt shot from 10 ft
3:35.0,Shooting foul by K. Durant (drawn by A. Williams),,14-15,,
3:35.0,A. Williams makes free throw 1 of 2,1,15-15,,
3:35.0,,,15-15,,J. Bell enters the game for Q. Cook
3:35.0,,,15-15,,S. Livingston enters the game for D. Green
3:35.0,S. Harrison enters the game for T. Ulis,,15-15,,
3:35.0,A. Williams makes free throw 2 of 2,1,16-15,,
3:20.0,,,16-15,,N. Young misses 2-pt shot from 15 ft
3:14.0,Defensive rebound by S. Harrison,,16-15,,
2:59.0,D. Bender makes 3-pt shot from 25 ft (assist by A. Williams),3,19-15,,
2:58.0,,,19-15,,Golden State full timeout
2:42.0,,,19-15,,K. Durant misses 3-pt shot from 25 ft
2:40.0,,,19-15,,Offensive rebound by J. McGee
2:40.0,,,19-15,,J. McGee misses 2-pt shot at rim
2:38.0,Defensive rebound by A. Williams,,19-15,,
2:27.0,D. Bender makes 3-pt shot from 26 ft (assist by S. Harrison),3,22-15,,
1:58.0,,,22-17,2,S. Livingston makes 2-pt shot from 14 ft
1:29.0,D. House misses 3-pt shot from 24 ft,,22-17,,
1:26.0,,,22-17,,Defensive rebound by J. McGee
1:17.0,,,22-19,2,K. Durant makes 2-pt shot from 8 ft (assist by J. Bell)
1:17.0,,,22-19,,Shooting foul by S. Harrison (drawn by K. Durant)
1:17.0,,,22-20,1,K. Durant makes free throw 1 of 1
0:57.0,D. House makes 2-pt shot from 3 ft,2,24-20,,
0:46.0,,,24-20,,J. McGee misses 2-pt shot from 2 ft
0:43.0,,,24-20,,Offensive rebound by J. McGee
0:43.0,,,24-22,2,J. McGee makes 2-pt shot at rim
0:29.0,T. Daniels misses 3-pt shot from 27 ft,,24-22,,
0:25.0,Offensive rebound by S. Harrison,,24-22,,
0:06.0,D. House misses 3-pt shot from 25 ft,,24-22,,
0:04.0,,,24-22,,Defensive rebound by J. Bell
0:00.0,,,24-22,,N. Young misses 3-pt shot from 36 ft
0:00.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Chriss misses 2-pt shot from 16 ft,,24-22,,
11:40.0,,,24-22,,Defensive rebound by D. Green
11:30.0,,,24-24,2,K. Thompson makes 2-pt shot from 21 ft (assist by N. Young)
11:09.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. House),3,27-24,,
11:05.0,,,27-24,,D. West misses 2-pt shot from 3 ft (block by D. House)
11:03.0,Defensive rebound by S. Harrison,,27-24,,
10:56.0,T. Ulis misses 3-pt shot from 28 ft,,27-24,,
10:49.0,,,27-24,,Defensive rebound by K. Thompson
10:30.0,,,27-24,,Turnover by Team (shot clock)
10:09.0,D. House makes 2-pt shot from 2 ft,2,29-24,,
10:09.0,Shooting foul by D. West (drawn by D. House),,29-24,,
10:09.0,D. House makes free throw 1 of 1,1,30-24,,
9:57.0,,,30-24,,S. Livingston misses 2-pt shot from 1 ft (block by M. Chriss)
9:55.0,,,30-24,,Offensive rebound by D. West
9:55.0,,,30-24,,Shooting foul by M. Chriss (drawn by D. West)
9:55.0,,,30-25,1,D. West makes free throw 1 of 2
9:55.0,,,30-26,1,D. West makes free throw 2 of 2
9:37.0,A. Peters makes 3-pt shot from 26 ft (assist by S. Harrison),3,33-26,,
9:25.0,,,33-26,,K. Thompson misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by D. House,,33-26,,
9:15.0,M. Chriss makes 2-pt shot from 2 ft (assist by T. Ulis),2,35-26,,
8:58.0,Personal foul by S. Harrison (drawn by K. Thompson),,35-26,,
8:55.0,,,35-26,,D. West misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by D. House,,35-26,,
8:34.0,S. Harrison makes 3-pt shot from 25 ft (assist by T. Ulis),3,38-26,,
8:15.0,,,38-28,2,D. West makes 2-pt shot from 6 ft (assist by K. Thompson)
8:06.0,T. Ulis misses 3-pt shot from 27 ft,,38-28,,
8:02.0,,,38-28,,Defensive rebound by D. West
7:59.0,,,38-31,3,N. Young makes 3-pt shot from 25 ft (assist by D. Green)
