time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Jordan (A. Wiggins gains possession),,,,Jump ball: K. Towns vs. D. Jordan (A. Wiggins gains possession)
11:42.0,,,0-0,,K. Towns misses 2-pt shot from 16 ft
11:40.0,Defensive rebound by T. Harris,,0-0,,
11:24.0,S. Thornwell makes 2-pt shot from 4 ft,2,2-0,,
11:08.0,,,2-0,,A. Wiggins misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by T. Harris,,2-0,,
11:02.0,S. Thornwell misses 2-pt shot from 1 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by T. Gibson
10:56.0,,,2-0,,Turnover by T. Gibson (bad pass; steal by S. Thornwell)
10:52.0,T. Harris makes 2-pt shot at rim,2,4-0,,
10:41.0,,,4-0,,Shooting foul by T. Harris (drawn by J. Teague)
10:41.0,,,4-1,1,J. Teague makes free throw 1 of 2
10:41.0,,,4-2,1,J. Teague makes free throw 2 of 2
10:25.0,T. Harris misses 3-pt shot from 25 ft,,4-2,,
10:22.0,,,4-2,,Defensive rebound by N. Bjelica
10:12.0,,,4-4,2,T. Gibson makes 2-pt shot from 2 ft
10:01.0,M. Teodosic makes 3-pt shot from 24 ft (assist by A. Rivers),3,7-4,,
9:46.0,,,7-6,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
9:28.0,A. Rivers misses 2-pt shot from 1 ft,,7-6,,
9:25.0,,,7-6,,Defensive rebound by T. Gibson
9:19.0,,,7-9,3,A. Wiggins makes 3-pt shot from 23 ft (assist by J. Teague)
9:04.0,A. Rivers makes 3-pt shot from 25 ft (assist by D. Jordan),3,10-9,,
8:52.0,,,10-11,2,A. Wiggins makes 2-pt shot from 5 ft (assist by J. Teague)
8:35.0,Shooting foul by J. Teague (drawn by M. Teodosic),,10-11,,
8:35.0,M. Teodosic makes free throw 1 of 2,1,11-11,,
8:35.0,M. Teodosic makes free throw 2 of 2,1,12-11,,
8:23.0,,,12-11,,A. Wiggins misses 3-pt shot from 22 ft
8:20.0,,,12-11,,Offensive rebound by K. Towns
8:20.0,,,12-13,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
8:05.0,T. Harris makes 2-pt shot from 7 ft (assist by D. Jordan),2,14-13,,
7:46.0,,,14-16,3,K. Towns makes 3-pt shot from 25 ft (assist by N. Bjelica)
7:28.0,M. Teodosic misses 3-pt shot from 25 ft,,14-16,,
7:27.0,,,14-16,,Defensive rebound by N. Bjelica
7:26.0,,,14-16,,Turnover by N. Bjelica (out of bounds lost ball)
7:18.0,T. Harris misses 2-pt shot at rim,,14-16,,
7:15.0,,,14-16,,Defensive rebound by T. Gibson
7:12.0,,,14-16,,J. Teague misses 2-pt shot from 3 ft
7:10.0,Defensive rebound by D. Jordan,,14-16,,
7:04.0,D. Jordan makes 2-pt shot at rim (assist by T. Harris),2,16-16,,
6:52.0,,,16-16,,Turnover by J. Teague (lost ball; steal by A. Rivers)
6:49.0,A. Rivers misses 2-pt shot at rim,,16-16,,
6:46.0,,,16-16,,Defensive rebound by J. Teague
6:40.0,,,16-18,2,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica)
6:40.0,LA Clippers full timeout,,16-18,,
6:28.0,T. Harris misses 2-pt shot from 18 ft,,16-18,,
6:27.0,,,16-18,,Defensive rebound by J. Teague
6:21.0,,,16-18,,J. Teague misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by D. Jordan,,16-18,,
6:11.0,D. Jordan misses 2-pt shot from 2 ft,,16-18,,
6:10.0,Offensive rebound by D. Jordan,,16-18,,
6:09.0,D. Jordan makes 2-pt shot at rim,2,18-18,,
5:53.0,,,18-18,,N. Bjelica misses 2-pt shot from 4 ft
5:51.0,Defensive rebound by T. Harris,,18-18,,
5:37.0,,,18-18,,Personal foul by N. Bjelica (drawn by D. Jordan)
5:37.0,,,18-18,,J. Crawford enters the game for N. Bjelica
5:37.0,L. Williams enters the game for M. Teodosic,,18-18,,
5:28.0,A. Rivers misses 2-pt shot from 8 ft (block by A. Wiggins),,18-18,,
5:25.0,Offensive rebound by S. Thornwell,,18-18,,
5:22.0,Turnover by S. Thornwell (bad pass; steal by J. Crawford),,18-18,,
5:14.0,,,18-18,,K. Towns misses 2-pt shot from 2 ft
5:11.0,,,18-18,,Offensive rebound by K. Towns
5:10.0,,,18-18,,K. Towns misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by S. Thornwell,,18-18,,
5:05.0,A. Rivers misses 3-pt shot from 26 ft,,18-18,,
5:02.0,,,18-18,,Defensive rebound by J. Crawford
4:54.0,,,18-18,,K. Towns misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by S. Thornwell,,18-18,,
4:47.0,,,18-18,,Personal foul by K. Towns (drawn by D. Jordan)
4:47.0,S. Kilpatrick enters the game for A. Rivers,,18-18,,
4:37.0,T. Harris misses 2-pt shot from 4 ft (block by T. Gibson),,18-18,,
4:37.0,Offensive rebound by Team,,18-18,,
4:32.0,T. Harris makes 2-pt shot from 8 ft,2,20-18,,
4:18.0,,,20-18,,Turnover by J. Crawford (bad pass)
4:13.0,L. Williams misses 2-pt shot from 17 ft,,20-18,,
4:10.0,,,20-18,,Defensive rebound by K. Towns
4:00.0,,,20-18,,T. Gibson misses 2-pt shot from 2 ft (block by D. Jordan)
3:58.0,Defensive rebound by S. Kilpatrick,,20-18,,
3:55.0,S. Thornwell misses 2-pt shot at rim (block by A. Wiggins),,20-18,,
3:55.0,Offensive rebound by Team,,20-18,,
3:55.0,,,20-18,,T. Jones enters the game for J. Teague
3:55.0,,,20-18,,G. Dieng enters the game for K. Towns
3:51.0,L. Williams misses 2-pt shot from 5 ft,,20-18,,
3:48.0,,,20-18,,Defensive rebound by T. Gibson
3:40.0,,,20-20,2,J. Crawford makes 2-pt shot from 2 ft
3:13.0,S. Kilpatrick misses 2-pt shot from 21 ft,,20-20,,
3:12.0,Offensive rebound by Team,,20-20,,
3:12.0,Turnover by Team (shot clock),,20-20,,
2:58.0,,,20-20,,G. Dieng misses 2-pt shot from 2 ft
2:56.0,Defensive rebound by T. Harris,,20-20,,
2:48.0,,,20-20,,Shooting block foul by G. Dieng (drawn by S. Thornwell)
2:48.0,,,20-20,,Minnesota full timeout
2:48.0,M. Harrell enters the game for T. Harris,,20-20,,
2:48.0,S. Thornwell makes free throw 1 of 2,1,21-20,,
2:48.0,S. Thornwell makes free throw 2 of 2,1,22-20,,
2:36.0,,,22-22,2,A. Wiggins makes 2-pt shot from 2 ft (assist by G. Dieng)
2:36.0,,,22-22,,Shooting foul by D. Jordan (drawn by A. Wiggins)
2:36.0,,,22-23,1,A. Wiggins makes free throw 1 of 1
2:14.0,S. Kilpatrick misses 2-pt shot from 1 ft,,22-23,,
2:13.0,,,22-23,,Defensive rebound by Team
1:50.0,,,22-26,3,J. Crawford makes 3-pt shot from 25 ft
1:32.0,S. Kilpatrick makes 3-pt shot from 22 ft (assist by M. Harrell),3,25-26,,
1:17.0,,,25-26,,T. Jones misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by S. Thornwell,,25-26,,
1:07.0,M. Harrell misses 2-pt shot from 7 ft,,25-26,,
1:04.0,Offensive rebound by M. Harrell,,25-26,,
1:03.0,D. Jordan makes 2-pt shot from 1 ft (assist by M. Harrell),2,27-26,,
0:43.0,,,27-26,,A. Wiggins misses 2-pt shot from 11 ft
0:41.0,Defensive rebound by M. Harrell,,27-26,,
0:34.0,L. Williams misses 2-pt shot from 9 ft (block by G. Dieng),,27-26,,
0:29.0,Offensive rebound by L. Williams,,27-26,,
0:28.0,L. Williams makes 2-pt shot at rim,2,29-26,,
0:10.0,Personal take foul by S. Kilpatrick (drawn by J. Crawford),,29-26,,
0:10.0,,,29-26,,K. Towns enters the game for T. Gibson
0:10.0,B. Marjanovic enters the game for D. Jordan,,29-26,,
0:10.0,W. Johnson enters the game for L. Williams,,29-26,,
0:04.0,,,29-28,2,J. Crawford makes 2-pt shot from 16 ft
0:00.0,S. Kilpatrick makes 3-pt shot from 27 ft,3,32-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Harrell misses 2-pt shot from 2 ft,,32-28,,
11:41.0,Offensive rebound by M. Harrell,,32-28,,
11:41.0,M. Harrell makes 2-pt shot at rim,2,34-28,,
