time,Golden State,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Booker vs. Z. Pachulia (A. Crabbe gains possession),,,,Jump ball: T. Booker vs. Z. Pachulia (A. Crabbe gains possession)
11:44.0,,,0-0,,Turnover by R. Hollis-Jefferson (lost ball; steal by K. Thompson)
11:38.0,O. Casspi makes 2-pt shot at rim,2,2-0,,
11:17.0,,,2-0,,S. Dinwiddie misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by Z. Pachulia,,2-0,,
11:03.0,Turnover by Z. Pachulia (bad pass; steal by D. Carroll),,2-0,,
10:57.0,,,2-0,,A. Crabbe misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by S. Curry,,2-0,,
10:49.0,Z. Pachulia misses 2-pt shot from 2 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by T. Booker
10:44.0,,,2-3,3,D. Carroll makes 3-pt shot from 24 ft (assist by T. Booker)
10:25.0,K. Thompson misses 2-pt shot from 19 ft,,2-3,,
10:23.0,,,2-3,,Defensive rebound by D. Carroll
10:18.0,,,2-3,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
10:05.0,K. Thompson misses 2-pt shot from 15 ft,,2-3,,
10:01.0,,,2-3,,Defensive rebound by R. Hollis-Jefferson
9:47.0,,,2-5,2,S. Dinwiddie makes 2-pt shot from 1 ft
9:35.0,S. Curry makes 2-pt shot from 16 ft,2,4-5,,
9:30.0,,,4-5,,Turnover by T. Booker (bad pass; steal by Z. Pachulia)
9:26.0,O. Casspi makes 2-pt shot from 8 ft (assist by Z. Pachulia),2,6-5,,
9:14.0,,,6-5,,Turnover by R. Hollis-Jefferson (bad pass; steal by S. Curry)
9:05.0,D. Green misses 3-pt shot from 24 ft,,6-5,,
9:03.0,,,6-5,,Defensive rebound by R. Hollis-Jefferson
8:46.0,,,6-5,,S. Dinwiddie misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by Team,,6-5,,
8:29.0,K. Thompson misses 2-pt shot from 1 ft,,6-5,,
8:27.0,,,6-5,,Defensive rebound by S. Dinwiddie
8:22.0,,,6-8,3,D. Carroll makes 3-pt shot from 22 ft (assist by A. Crabbe)
8:08.0,O. Casspi misses 2-pt shot from 2 ft,,6-8,,
