time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. A. Davis (B. Bogdanovic gains possession),,,,Jump ball: K. Koufos vs. A. Davis (B. Bogdanovic gains possession)
11:44.0,,,0-2,2,D. Fox makes 2-pt shot from 10 ft
11:23.0,E. Moore makes 2-pt shot from 9 ft,2,2-2,,
11:02.0,,,2-2,,D. Fox misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by E. Moore,,2-2,,
10:52.0,A. Davis misses 2-pt shot from 9 ft,,2-2,,
10:49.0,Offensive rebound by E. Okafor,,2-2,,
10:48.0,J. Holiday misses 3-pt shot from 25 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by K. Koufos
10:38.0,,,2-2,,Turnover by B. Bogdanovic (bad pass)
10:21.0,A. Davis misses 2-pt shot from 6 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by Z. Randolph
10:13.0,,,2-4,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Fox)
9:59.0,E. Moore misses 2-pt shot from 18 ft,,2-4,,
9:58.0,,,2-4,,Defensive rebound by Team
9:42.0,,,2-4,,Z. Randolph misses 2-pt shot from 18 ft
9:39.0,Defensive rebound by R. Rondo,,2-4,,
9:34.0,R. Rondo makes 2-pt shot from 2 ft,2,4-4,,
9:22.0,,,4-4,,K. Koufos misses 2-pt shot from 7 ft (block by A. Davis)
9:18.0,Defensive rebound by A. Davis,,4-4,,
9:02.0,A. Davis makes 2-pt shot from 17 ft,2,6-4,,
8:39.0,,,6-7,3,J. Jackson makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
8:29.0,R. Rondo makes 2-pt shot from 2 ft,2,8-7,,
8:15.0,,,8-7,,Z. Randolph misses 2-pt shot from 6 ft
8:15.0,,,8-7,,Offensive rebound by Team
8:15.0,Loose ball foul by E. Okafor (drawn by Z. Randolph),,8-7,,
8:06.0,,,8-7,,D. Fox misses 2-pt shot from 10 ft
8:03.0,,,8-7,,Offensive rebound by K. Koufos
8:01.0,,,8-9,2,J. Jackson makes 2-pt shot from 2 ft (assist by K. Koufos)
7:51.0,E. Moore makes 3-pt shot from 22 ft (assist by A. Davis),3,11-9,,
7:34.0,,,11-9,,J. Jackson misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by E. Okafor,,11-9,,
7:27.0,E. Moore misses 2-pt shot from 11 ft,,11-9,,
7:25.0,,,11-9,,Defensive rebound by Team
7:09.0,,,11-9,,B. Bogdanovic misses 2-pt shot from 20 ft (block by A. Davis)
7:06.0,,,11-9,,Offensive rebound by B. Bogdanovic
7:05.0,,,11-12,3,Z. Randolph makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
6:56.0,Turnover by A. Davis (out of bounds lost ball),,11-12,,
6:56.0,,,11-12,,Sacramento full timeout
6:56.0,,,11-12,,F. Mason enters the game for D. Fox
6:41.0,,,11-12,,B. Bogdanovic misses 2-pt shot from 21 ft
6:38.0,Defensive rebound by R. Rondo,,11-12,,
6:25.0,E. Moore makes 2-pt shot from 8 ft (assist by J. Holiday),2,13-12,,
6:07.0,,,13-12,,K. Koufos misses 2-pt shot from 8 ft
6:05.0,Defensive rebound by A. Davis,,13-12,,
5:53.0,R. Rondo misses 3-pt shot from 23 ft,,13-12,,
5:49.0,,,13-12,,Defensive rebound by B. Bogdanovic
5:46.0,,,13-12,,B. Bogdanovic misses 2-pt shot from 1 ft
5:44.0,,,13-12,,Offensive rebound by K. Koufos
5:43.0,,,13-12,,Sacramento full timeout
5:43.0,N. Mirotic enters the game for R. Rondo,,13-12,,
5:43.0,D. Miller enters the game for E. Okafor,,13-12,,
5:25.0,,,13-12,,Z. Randolph misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by N. Mirotic,,13-12,,
5:06.0,J. Holiday misses 2-pt shot from 4 ft (block by K. Koufos),,13-12,,
5:03.0,,,13-12,,Defensive rebound by J. Jackson
4:48.0,,,13-12,,Z. Randolph misses 2-pt shot from 5 ft (block by A. Davis)
4:43.0,Defensive rebound by D. Miller,,13-12,,
4:39.0,N. Mirotic makes 2-pt shot from 2 ft,2,15-12,,
4:31.0,,,15-12,,B. Bogdanovic misses 3-pt shot from 27 ft
4:27.0,Defensive rebound by N. Mirotic,,15-12,,
4:19.0,Turnover by N. Mirotic (bad pass),,15-12,,
4:19.0,,,15-12,,S. Labissiere enters the game for K. Koufos
4:19.0,I. Clark enters the game for E. Moore,,15-12,,
4:02.0,,,15-14,2,F. Mason makes 2-pt shot from 9 ft (assist by Z. Randolph)
3:51.0,I. Clark misses 2-pt shot from 1 ft,,15-14,,
3:47.0,,,15-14,,Defensive rebound by S. Labissiere
3:44.0,,,15-14,,J. Jackson misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by N. Mirotic,,15-14,,
3:33.0,D. Miller makes 3-pt shot from 24 ft (assist by I. Clark),3,18-14,,
3:15.0,,,18-16,2,Z. Randolph makes 2-pt shot from 4 ft (assist by J. Jackson)
3:07.0,J. Holiday makes 2-pt shot from 2 ft,2,20-16,,
2:54.0,,,20-16,,F. Mason misses 2-pt shot from 12 ft
2:52.0,,,20-16,,Offensive rebound by F. Mason
2:52.0,,,20-16,,Shooting foul by J. Holiday (drawn by F. Mason)
2:52.0,,,20-16,,F. Mason misses free throw 1 of 2
2:52.0,,,20-16,,Offensive rebound by Team
2:52.0,,,20-16,,G. Temple enters the game for B. Bogdanovic
2:52.0,,,20-16,,B. Hield enters the game for J. Jackson
2:52.0,,,20-17,1,F. Mason makes free throw 2 of 2
2:41.0,D. Miller misses 3-pt shot from 25 ft,,20-17,,
2:39.0,Offensive rebound by A. Davis,,20-17,,
2:29.0,A. Davis makes 2-pt shot from 16 ft,2,22-17,,
2:11.0,,,22-17,,Turnover by Z. Randolph (bad pass; steal by A. Davis)
2:06.0,,,22-17,,Personal foul by S. Labissiere (drawn by A. Davis)
2:06.0,E. Okafor enters the game for A. Davis,,22-17,,
1:56.0,E. Okafor makes 2-pt shot from 1 ft (assist by J. Holiday),2,24-17,,
