time,Memphis,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Gasol (J. Green gains possession),,,,Jump ball: M. Gortat vs. M. Gasol (J. Green gains possession)
11:33.0,D. Brooks misses 3-pt shot from 26 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by B. Beal
11:17.0,,,0-2,2,O. Porter makes 2-pt shot from 15 ft (assist by M. Gortat)
10:59.0,J. Green misses 2-pt shot from 14 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by O. Porter
10:43.0,,,0-4,2,M. Scott makes 2-pt shot from 8 ft
10:30.0,D. Brooks makes 2-pt shot from 3 ft,2,2-4,,
10:21.0,,,2-4,,B. Beal misses 3-pt shot from 23 ft
10:17.0,Defensive rebound by J. Green,,2-4,,
10:07.0,J. Green misses 3-pt shot from 25 ft,,2-4,,
10:04.0,,,2-4,,Defensive rebound by M. Gortat
9:57.0,,,2-4,,M. Scott misses 2-pt shot from 6 ft
9:54.0,Defensive rebound by M. Gasol,,2-4,,
9:43.0,J. Green makes 2-pt shot from 1 ft (assist by A. Harrison),2,4-4,,
9:29.0,,,4-4,,O. Porter misses 2-pt shot from 23 ft
9:24.0,Defensive rebound by D. Brooks,,4-4,,
9:17.0,J. Green misses 2-pt shot from 3 ft (block by O. Porter),,4-4,,
9:15.0,Offensive rebound by J. Green,,4-4,,
9:15.0,Turnover by J. Green (traveling),,4-4,,
8:57.0,,,4-4,,J. Wall misses 2-pt shot from 16 ft
8:54.0,Defensive rebound by A. Harrison,,4-4,,
8:46.0,M. Gasol misses 2-pt shot from 15 ft,,4-4,,
8:43.0,Offensive rebound by C. Parsons,,4-4,,
8:38.0,Turnover by M. Gasol (bad pass),,4-4,,
8:21.0,,,4-4,,B. Beal misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by M. Gasol,,4-4,,
8:14.0,D. Brooks misses 2-pt shot from 1 ft (block by M. Gortat),,4-4,,
8:12.0,,,4-4,,Defensive rebound by B. Beal
7:57.0,,,4-4,,M. Scott misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by M. Gasol,,4-4,,
7:55.0,,,4-4,,Personal foul by J. Wall (drawn by M. Gasol)
7:35.0,D. Brooks misses 3-pt shot from 27 ft,,4-4,,
7:32.0,,,4-4,,Defensive rebound by M. Gortat
7:18.0,,,4-6,2,B. Beal makes 2-pt shot at rim
6:57.0,A. Harrison misses 2-pt shot from 1 ft,,4-6,,
6:53.0,,,4-6,,Defensive rebound by M. Scott
6:46.0,,,4-6,,Turnover by J. Wall (bad pass; steal by M. Gasol)
6:31.0,C. Parsons misses 3-pt shot from 27 ft,,4-6,,
6:27.0,,,4-6,,Defensive rebound by M. Scott
6:23.0,Personal foul by A. Harrison (drawn by J. Wall),,4-6,,
6:23.0,,,4-6,,Washington full timeout
6:23.0,J. Ennis enters the game for D. Brooks,,4-6,,
6:14.0,,,4-9,3,M. Scott makes 3-pt shot from 23 ft (assist by B. Beal)
5:49.0,C. Parsons makes 3-pt shot from 27 ft (assist by J. Ennis),3,7-9,,
5:32.0,,,7-11,2,J. Wall makes 2-pt shot from 13 ft
5:19.0,C. Parsons misses 2-pt shot from 15 ft,,7-11,,
5:17.0,,,7-11,,Defensive rebound by M. Gortat
5:10.0,,,7-13,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:10.0,,,7-13,,Shooting foul by J. Green (drawn by M. Gortat)
5:10.0,,,7-13,,T. Satoransky enters the game for J. Wall
5:10.0,B. McLemore enters the game for A. Harrison,,7-13,,
5:10.0,M. Chalmers enters the game for C. Parsons,,7-13,,
5:10.0,,,7-13,,M. Gortat misses free throw 1 of 1
5:04.0,Defensive rebound by J. Green,,7-13,,
4:59.0,M. Gasol misses 3-pt shot from 24 ft,,7-13,,
4:55.0,,,7-13,,Defensive rebound by O. Porter
4:44.0,,,7-13,,Offensive foul by M. Scott (drawn by M. Chalmers)
4:44.0,,,7-13,,Turnover by M. Scott (offensive foul)
4:20.0,Turnover by J. Green (out of bounds lost ball),,7-13,,
4:07.0,,,7-13,,O. Porter misses 2-pt shot from 4 ft
4:05.0,Defensive rebound by J. Green,,7-13,,
3:58.0,Turnover by M. Chalmers (bad pass),,7-13,,
3:58.0,J. Martin enters the game for J. Green,,7-13,,
3:46.0,,,7-15,2,B. Beal makes 2-pt shot from 20 ft (assist by M. Gortat)
3:26.0,M. Gasol misses 2-pt shot from 11 ft,,7-15,,
3:23.0,,,7-15,,Defensive rebound by O. Porter
3:16.0,,,7-15,,J. Smith enters the game for M. Gortat
3:01.0,,,7-17,2,O. Porter makes 2-pt shot from 20 ft
2:49.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Chalmers),2,9-17,,
2:49.0,Shooting foul by M. Scott (drawn by M. Gasol),,9-17,,
2:49.0,Memphis full timeout,,9-17,,
2:49.0,,,9-17,,K. Oubre enters the game for M. Scott
2:49.0,M. Gasol makes free throw 1 of 1,1,10-17,,
2:31.0,,,10-17,,O. Porter misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by M. Gasol,,10-17,,
2:20.0,,,10-17,,Personal foul by K. Oubre (drawn by J. Ennis)
2:20.0,D. Davis enters the game for M. Gasol,,10-17,,
2:08.0,Turnover by M. Chalmers (bad pass; steal by O. Porter),,10-17,,
2:03.0,,,10-17,,Turnover by O. Porter (bad pass; steal by B. McLemore)
1:59.0,B. McLemore makes 2-pt shot from 20 ft (assist by D. Davis),2,12-17,,
1:48.0,,,12-17,,Offensive foul by O. Porter (drawn by M. Chalmers)
1:48.0,,,12-17,,Turnover by O. Porter (offensive foul)
1:48.0,,,12-17,,J. Meeks enters the game for B. Beal
1:40.0,B. McLemore misses 2-pt shot from 12 ft,,12-17,,
1:34.0,Offensive rebound by J. Martin,,12-17,,
1:34.0,J. Martin misses 2-pt shot at rim,,12-17,,
1:32.0,,,12-17,,Defensive rebound by J. Meeks
1:26.0,,,12-20,3,J. Meeks makes 3-pt shot from 22 ft (assist by T. Satoransky)
1:06.0,,,12-20,,Personal foul by T. Satoransky (drawn by M. Chalmers)
0:52.0,Turnover by Team (shot clock),,12-20,,
0:39.0,,,12-20,,J. Meeks misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by M. Chalmers,,12-20,,
0:33.0,M. Chalmers misses 2-pt shot from 5 ft (block by J. Smith),,12-20,,
0:30.0,,,12-20,,Defensive rebound by T. Satoransky
0:28.0,,,12-22,2,T. Satoransky makes 2-pt shot from 1 ft
