time,Minnesota,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (E. Ilyasova gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (E. Ilyasova gains possession)
11:44.0,,,0-0,,E. Ilyasova misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by K. Towns,,0-0,,
11:28.0,A. Wiggins makes 2-pt shot at rim (assist by T. Gibson),2,2-0,,
11:14.0,,,2-2,2,M. Plumlee makes 2-pt shot at rim (assist by D. Schroder)
10:58.0,T. Gibson makes 2-pt shot from 20 ft (assist by J. Butler),2,4-2,,
10:38.0,,,4-2,,Turnover by T. Waller-Prince (bad pass; steal by K. Towns)
10:28.0,T. Gibson makes 2-pt shot from 16 ft (assist by J. Teague),2,6-2,,
10:11.0,,,6-4,2,E. Ilyasova makes 2-pt shot from 19 ft (assist by D. Schroder)
9:48.0,Offensive charge foul by K. Towns (drawn by E. Ilyasova),,6-4,,
9:48.0,Turnover by K. Towns (offensive foul),,6-4,,
9:35.0,,,6-4,,D. Schroder misses 2-pt shot from 17 ft
9:28.0,,,6-4,,Offensive rebound by M. Plumlee
9:28.0,,,6-6,2,M. Plumlee makes 2-pt shot at rim
9:17.0,J. Butler misses 2-pt shot from 14 ft,,6-6,,
9:14.0,,,6-6,,Defensive rebound by T. Waller-Prince
9:03.0,,,6-6,,Turnover by K. Bazemore (lost ball; steal by T. Gibson)
8:59.0,T. Gibson makes 2-pt shot at rim (assist by J. Teague),2,8-6,,
8:36.0,,,8-6,,Turnover by D. Schroder (bad pass; steal by K. Towns)
8:32.0,J. Teague misses 2-pt shot at rim (block by K. Bazemore),,8-6,,
8:31.0,Offensive rebound by J. Butler,,8-6,,
8:31.0,Shooting foul by E. Ilyasova (drawn by J. Butler),,8-6,,
8:31.0,J. Butler makes free throw 1 of 2,1,9-6,,
8:31.0,J. Butler makes free throw 2 of 2,1,10-6,,
8:20.0,,,10-6,,D. Schroder misses 2-pt shot from 3 ft
8:14.0,,,10-6,,Offensive rebound by M. Plumlee
8:14.0,,,10-8,2,M. Plumlee makes 2-pt shot at rim
7:54.0,J. Butler makes 2-pt shot from 15 ft,2,12-8,,
7:37.0,,,12-8,,T. Waller-Prince misses 2-pt shot from 11 ft
7:34.0,Defensive rebound by K. Towns,,12-8,,
7:30.0,J. Teague misses 3-pt shot from 25 ft,,12-8,,
7:26.0,,,12-8,,Defensive rebound by M. Plumlee
7:17.0,,,12-11,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
7:00.0,Shooting foul by M. Plumlee (drawn by K. Towns),,12-11,,
7:00.0,,,12-11,,Atlanta full timeout
7:00.0,,,12-11,,M. Belinelli enters the game for T. Waller-Prince
7:00.0,K. Towns makes free throw 1 of 2,1,13-11,,
7:00.0,K. Towns makes free throw 2 of 2,1,14-11,,
6:44.0,,,14-14,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Bazemore)
6:25.0,A. Wiggins misses 2-pt shot from 14 ft,,14-14,,
6:23.0,,,14-14,,Defensive rebound by K. Bazemore
6:17.0,,,14-16,2,D. Schroder makes 2-pt shot from 1 ft
5:57.0,T. Gibson misses 2-pt shot from 17 ft,,14-16,,
5:53.0,,,14-16,,Defensive rebound by K. Bazemore
5:45.0,,,14-16,,E. Ilyasova misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by J. Butler,,14-16,,
5:27.0,K. Towns makes 2-pt shot from 8 ft,2,16-16,,
5:07.0,,,16-16,,Shooting foul by A. Wiggins (drawn by M. Belinelli)
5:07.0,,,16-17,1,M. Belinelli makes free throw 1 of 2
5:07.0,,,16-17,,D. Dedmon enters the game for M. Plumlee
5:07.0,,,16-17,,T. Waller-Prince enters the game for K. Bazemore
5:07.0,G. Dieng enters the game for K. Towns,,16-17,,
5:07.0,,,16-17,,J. Collins enters the game for E. Ilyasova
5:07.0,,,16-18,1,M. Belinelli makes free throw 2 of 2
5:01.0,J. Teague misses 3-pt shot from 24 ft,,16-18,,
4:59.0,,,16-18,,Defensive rebound by D. Dedmon
4:47.0,,,16-18,,Turnover by D. Schroder (bad pass; steal by A. Wiggins)
4:43.0,A. Wiggins misses 2-pt shot at rim (block by D. Schroder),,16-18,,
4:43.0,Offensive rebound by Team,,16-18,,
4:29.0,A. Wiggins makes 2-pt shot from 13 ft,2,18-18,,
4:18.0,,,18-18,,D. Schroder misses 2-pt shot from 14 ft
4:16.0,,,18-18,,Offensive rebound by J. Collins
4:15.0,,,18-18,,Turnover by J. Collins (bad pass; steal by J. Butler)
4:09.0,G. Dieng makes 2-pt shot from 1 ft (assist by A. Wiggins),2,20-18,,
3:54.0,,,20-21,3,D. Dedmon makes 3-pt shot from 22 ft (assist by D. Schroder)
3:30.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,22-21,,
3:30.0,Shooting foul by M. Belinelli (drawn by T. Gibson),,22-21,,
3:30.0,,,22-21,,M. Delaney enters the game for D. Schroder
3:30.0,T. Gibson makes free throw 1 of 1,1,23-21,,
3:30.0,J. Crawford enters the game for J. Butler,,23-21,,
3:13.0,,,23-23,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney)
2:59.0,A. Wiggins makes 2-pt shot from 17 ft,2,25-23,,
2:36.0,,,25-25,2,D. Dedmon makes 2-pt shot from 14 ft (assist by T. Waller-Prince)
2:17.0,,,25-25,,Def 3 sec tech foul by D. Dedmon
2:17.0,Minnesota full timeout,,25-25,,
2:17.0,N. Bjelica enters the game for T. Gibson,,25-25,,
2:17.0,J. Teague misses technical free throw,,25-25,,
2:17.0,Offensive rebound by Team,,25-25,,
2:12.0,J. Teague misses 2-pt shot from 1 ft,,25-25,,
2:10.0,,,25-25,,Defensive rebound by D. Dedmon
2:07.0,,,25-25,,M. Belinelli misses 3-pt shot from 23 ft
2:04.0,,,25-25,,Offensive rebound by J. Collins
1:58.0,,,25-25,,T. Waller-Prince misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by A. Wiggins,,25-25,,
1:50.0,G. Dieng makes 2-pt shot from 1 ft (assist by J. Teague),2,27-25,,
1:50.0,Shooting foul by T. Waller-Prince (drawn by G. Dieng),,27-25,,
1:50.0,T. Jones enters the game for J. Teague,,27-25,,
1:50.0,G. Dieng makes free throw 1 of 1,1,28-25,,
1:35.0,,,28-25,,Turnover by M. Delaney (bad pass)
1:23.0,G. Dieng makes 2-pt shot from 17 ft (assist by J. Crawford),2,30-25,,
1:08.0,Violation by A. Wiggins (kicked ball),,30-25,,
1:06.0,,,30-27,2,M. Delaney makes 2-pt shot from 17 ft (assist by M. Belinelli)
0:54.0,J. Crawford makes 2-pt shot from 19 ft,2,32-27,,
0:40.0,Personal foul by J. Crawford (drawn by T. Waller-Prince),,32-27,,
0:30.0,,,32-27,,M. Delaney misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by Team,,32-27,,
0:09.0,N. Bjelica misses 3-pt shot from 24 ft,,32-27,,
0:06.0,,,32-27,,Defensive rebound by J. Collins
0:00.0,,,32-27,,M. Belinelli misses 3-pt shot from 24 ft
0:00.0,,,32-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Crawford misses 3-pt shot from 25 ft,,32-27,,
11:41.0,,,32-27,,Defensive rebound by T. Dorsey
11:31.0,,,32-30,3,D. Dedmon makes 3-pt shot from 23 ft (assist by M. Delaney)
11:16.0,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones),3,35-30,,
11:00.0,,,35-30,,T. Dorsey misses 2-pt shot from 22 ft
10:57.0,Defensive rebound by G. Dieng,,35-30,,
10:46.0,Turnover by G. Dieng (bad pass; steal by K. Bazemore),,35-30,,
10:37.0,,,35-32,2,M. Delaney makes 2-pt shot from 1 ft
10:24.0,J. Crawford makes 3-pt shot from 24 ft,3,38-32,,
10:14.0,,,38-34,2,K. Bazemore makes 2-pt shot from 1 ft (assist by M. Delaney)
10:14.0,Violation by G. Dieng (def goaltending),,38-34,,
10:01.0,G. Dieng makes 2-pt shot from 13 ft,2,40-34,,
9:34.0,,,40-37,3,M. Delaney makes 3-pt shot from 24 ft (assist by D. Dedmon)
9:20.0,Offensive foul by J. Crawford (drawn by K. Bazemore),,40-37,,
9:20.0,Turnover by J. Crawford (offensive foul),,40-37,,
9:20.0,,,40-37,,E. Ilyasova enters the game for J. Collins
9:20.0,,,40-37,,M. Muscala enters the game for D. Dedmon
9:05.0,,,40-37,,K. Bazemore misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by J. Crawford,,40-37,,
9:01.0,M. Georges-Hunt misses 2-pt shot at rim,,40-37,,
8:59.0,,,40-37,,Defensive rebound by M. Muscala
8:52.0,,,40-37,,Turnover by M. Delaney (bad pass; steal by N. Bjelica)
8:48.0,M. Georges-Hunt misses 2-pt shot at rim (block by M. Muscala),,40-37,,
8:45.0,,,40-37,,Defensive rebound by M. Delaney
8:34.0,,,40-37,,K. Bazemore misses 3-pt shot from 22 ft
8:30.0,,,40-37,,Offensive rebound by T. Dorsey
8:24.0,,,40-37,,T. Dorsey misses 2-pt shot from 6 ft
8:22.0,Defensive rebound by G. Dieng,,40-37,,
8:04.0,G. Dieng misses 2-pt shot from 9 ft (block by E. Ilyasova),,40-37,,
8:00.0,,,40-37,,Defensive rebound by E. Ilyasova
7:57.0,,,40-39,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Bazemore)
7:50.0,Minnesota full timeout,,40-39,,
7:50.0,,,40-39,,D. Schroder enters the game for T. Dorsey
7:50.0,K. Towns enters the game for G. Dieng,,40-39,,
7:50.0,J. Butler enters the game for M. Georges-Hunt,,40-39,,
7:33.0,J. Butler misses 2-pt shot from 14 ft,,40-39,,
7:29.0,,,40-39,,Defensive rebound by E. Ilyasova
