time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Jordan (B. Griffin gains possession)
11:45.0,L. Williams makes 3-pt shot from 24 ft (assist by M. Teodosic),3,3-0,,
11:24.0,,,3-0,,Turnover by W. Cauley-Stein (step out of bounds)
11:15.0,D. Jordan makes 2-pt shot from 1 ft (assist by M. Teodosic),2,5-0,,
11:01.0,,,5-0,,Z. Randolph misses 2-pt shot from 13 ft
10:59.0,Defensive rebound by T. Wallace,,5-0,,
10:54.0,L. Williams makes 3-pt shot from 24 ft (assist by B. Griffin),3,8-0,,
10:48.0,,,8-0,,Sacramento full timeout
10:41.0,,,8-0,,Turnover by Z. Randolph (bad pass; steal by L. Williams)
10:35.0,M. Teodosic misses 3-pt shot from 25 ft,,8-0,,
10:33.0,,,8-0,,Defensive rebound by W. Cauley-Stein
10:26.0,,,8-0,,Shooting foul by T. Wallace (drawn by G. Hill)
10:26.0,,,8-1,1,G. Hill makes free throw 1 of 2
10:26.0,,,8-2,1,G. Hill makes free throw 2 of 2
10:12.0,L. Williams misses 2-pt shot from 11 ft,,8-2,,
10:08.0,,,8-2,,Defensive rebound by G. Temple
9:58.0,,,8-2,,Z. Randolph misses 2-pt shot from 15 ft
9:55.0,Defensive rebound by B. Griffin,,8-2,,
9:47.0,B. Griffin makes 3-pt shot from 23 ft (assist by L. Williams),3,11-2,,
9:37.0,,,11-4,2,D. Fox makes 2-pt shot from 11 ft
9:19.0,B. Griffin misses 3-pt shot from 23 ft,,11-4,,
9:17.0,,,11-4,,Defensive rebound by Z. Randolph
9:09.0,,,11-4,,D. Fox misses 2-pt shot at rim (block by T. Wallace)
9:05.0,Defensive rebound by D. Jordan,,11-4,,
8:52.0,L. Williams misses 3-pt shot from 23 ft,,11-4,,
8:48.0,,,11-4,,Defensive rebound by Z. Randolph
8:46.0,,,11-4,,G. Hill misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by D. Jordan,,11-4,,
8:21.0,B. Griffin misses 3-pt shot from 25 ft,,11-4,,
8:21.0,,,11-4,,Defensive rebound by Team
8:10.0,,,11-6,2,D. Fox makes 2-pt shot from 8 ft
7:49.0,M. Teodosic misses 2-pt shot from 16 ft,,11-6,,
7:46.0,,,11-6,,Defensive rebound by W. Cauley-Stein
7:31.0,,,11-8,2,Z. Randolph makes 2-pt shot from 5 ft
7:16.0,L. Williams misses 3-pt shot from 25 ft,,11-8,,
7:13.0,,,11-8,,Defensive rebound by G. Hill
7:05.0,,,11-10,2,Z. Randolph makes 2-pt shot from 5 ft
6:58.0,,,11-10,,Personal foul by D. Fox (drawn by M. Teodosic)
6:58.0,W. Johnson enters the game for T. Wallace,,11-10,,
6:58.0,J. Evans enters the game for M. Teodosic,,11-10,,
6:50.0,B. Griffin misses 3-pt shot from 23 ft,,11-10,,
6:47.0,Offensive rebound by D. Jordan,,11-10,,
6:46.0,B. Griffin makes 2-pt shot at rim (assist by D. Jordan),2,13-10,,
6:27.0,,,13-10,,G. Hill misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by W. Johnson,,13-10,,
6:21.0,D. Jordan makes 2-pt shot from 2 ft (assist by B. Griffin),2,15-10,,
5:54.0,,,15-10,,D. Fox misses 3-pt shot from 28 ft
5:50.0,Defensive rebound by D. Jordan,,15-10,,
5:39.0,,,15-10,,Personal foul by W. Cauley-Stein (drawn by D. Jordan)
5:39.0,LA Clippers full timeout,,15-10,,
5:39.0,,,15-10,,S. Labissiere enters the game for W. Cauley-Stein
5:39.0,,,15-10,,K. Koufos enters the game for Z. Randolph
5:30.0,,,15-10,,Personal foul by S. Labissiere (drawn by D. Jordan)
5:23.0,,,15-10,,Personal foul by G. Hill (drawn by W. Johnson)
5:15.0,B. Griffin makes 2-pt shot at rim,2,17-10,,
4:49.0,,,17-10,,Turnover by Team (shot clock)
4:49.0,T. Wallace enters the game for L. Williams,,17-10,,
4:40.0,Shooting foul by S. Labissiere (drawn by B. Griffin),,17-10,,
4:40.0,B. Griffin makes free throw 1 of 2,1,18-10,,
4:40.0,B. Griffin makes free throw 2 of 2,1,19-10,,
4:15.0,,,19-10,,Turnover by S. Labissiere (bad pass; steal by J. Evans)
4:11.0,,,19-10,,B. Bogdanovic enters the game for G. Hill
4:11.0,,,19-10,,B. Hield enters the game for G. Temple
4:04.0,W. Johnson misses 2-pt shot from 22 ft,,19-10,,
4:00.0,,,19-10,,Defensive rebound by K. Koufos
3:54.0,,,19-10,,D. Fox misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by B. Griffin,,19-10,,
3:46.0,Turnover by B. Griffin (bad pass),,19-10,,
3:30.0,,,19-12,2,B. Bogdanovic makes 2-pt shot from 2 ft
3:20.0,W. Johnson makes 2-pt shot from 21 ft (assist by D. Jordan),2,21-12,,
3:05.0,,,21-12,,Turnover by S. Labissiere (traveling)
3:05.0,S. Dekker enters the game for B. Griffin,,21-12,,
2:55.0,,,21-12,,Personal foul by D. Fox (drawn by J. Evans)
