time,Detroit,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Drummond (T. Harris gains possession),,,,Jump ball: A. Davis vs. A. Drummond (T. Harris gains possession)
11:41.0,A. Bradley misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Rondo
11:36.0,,,0-2,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
11:36.0,,,0-2,,Shooting foul by I. Smith (drawn by J. Holiday)
11:36.0,,,0-3,1,J. Holiday makes free throw 1 of 1
11:22.0,Shooting foul by R. Rondo (drawn by A. Drummond),,0-3,,
11:22.0,A. Drummond misses free throw 1 of 2,,0-3,,
11:22.0,Offensive rebound by Team,,0-3,,
11:22.0,A. Drummond misses free throw 2 of 2,,0-3,,
11:19.0,,,0-3,,Defensive rebound by D. Cousins
11:15.0,,,0-3,,R. Rondo misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by A. Drummond,,0-3,,
11:10.0,Turnover by A. Drummond (bad pass; steal by D. Cousins),,0-3,,
11:05.0,,,0-3,,J. Holiday misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by I. Smith,,0-3,,
10:59.0,A. Bradley misses 3-pt shot from 25 ft,,0-3,,
10:59.0,,,0-3,,Defensive rebound by A. Davis
10:51.0,,,0-3,,D. Cousins misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by A. Bradley,,0-3,,
10:42.0,Turnover by I. Smith (bad pass; steal by D. Cousins),,0-3,,
10:37.0,,,0-5,2,E. Moore makes 2-pt shot at rim (assist by A. Davis)
10:23.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley),3,3-5,,
10:11.0,,,3-7,2,A. Davis makes 2-pt shot from 5 ft (assist by R. Rondo)
9:53.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Bradley),2,5-7,,
9:43.0,,,5-7,,A. Davis misses 2-pt shot from 9 ft
9:39.0,Defensive rebound by A. Drummond,,5-7,,
9:19.0,I. Smith makes 2-pt shot from 15 ft (assist by A. Drummond),2,7-7,,
