time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. B. Biyombo (M. Hezonja gains possession),,,,Jump ball: H. Whiteside vs. B. Biyombo (M. Hezonja gains possession)
11:40.0,E. Fournier misses 2-pt shot from 1 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by H. Whiteside
11:31.0,,,0-0,,J. Winslow misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by M. Hezonja,,0-0,,
11:15.0,B. Biyombo misses 2-pt shot from 10 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by J. Richardson
11:01.0,,,0-0,,Shooting foul by M. Hezonja (drawn by H. Whiteside)
11:01.0,,,0-1,1,H. Whiteside makes free throw 1 of 2
11:01.0,,,0-2,1,H. Whiteside makes free throw 2 of 2
10:46.0,Turnover by J. Simmons (lost ball; steal by J. Richardson),,0-2,,
10:35.0,,,0-4,2,H. Whiteside makes 2-pt shot from 4 ft (assist by G. Dragic)
10:21.0,M. Hezonja makes 2-pt shot from 22 ft (assist by E. Payton),2,2-4,,
10:06.0,,,2-4,,Turnover by J. Richardson (bad pass; steal by M. Hezonja)
9:58.0,E. Payton makes 2-pt shot from 15 ft,2,4-4,,
9:42.0,,,4-4,,G. Dragic misses 2-pt shot from 17 ft
9:41.0,,,4-4,,Offensive rebound by H. Whiteside
9:41.0,,,4-6,2,H. Whiteside makes 2-pt shot from 2 ft
9:41.0,,,4-6,,Shooting foul by J. Simmons (drawn by H. Whiteside)
9:41.0,,,4-7,1,H. Whiteside makes free throw 1 of 1
9:27.0,E. Fournier misses 2-pt shot from 8 ft,,4-7,,
9:25.0,,,4-7,,Defensive rebound by H. Whiteside
9:19.0,,,4-7,,J. Richardson misses 3-pt shot from 25 ft
9:17.0,,,4-7,,Offensive rebound by H. Whiteside
9:15.0,,,4-9,2,H. Whiteside makes 2-pt shot at rim
9:07.0,M. Hezonja misses 3-pt shot from 24 ft,,4-9,,
9:05.0,,,4-9,,Defensive rebound by G. Dragic
8:47.0,,,4-9,,J. Richardson misses 2-pt shot from 20 ft
8:45.0,,,4-9,,Offensive rebound by G. Dragic
8:42.0,,,4-9,,G. Dragic misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by Team,,4-9,,
8:27.0,J. Simmons misses 2-pt shot from 5 ft,,4-9,,
8:25.0,Offensive rebound by E. Payton,,4-9,,
8:22.0,E. Payton makes 2-pt shot from 7 ft,2,6-9,,
8:08.0,,,6-11,2,J. Winslow makes 2-pt shot from 1 ft
7:55.0,E. Fournier misses 3-pt shot from 23 ft,,6-11,,
7:52.0,,,6-11,,Defensive rebound by G. Dragic
7:49.0,,,6-13,2,G. Dragic makes 2-pt shot from 1 ft
7:48.0,Orlando full timeout,,6-13,,
7:28.0,B. Biyombo misses 2-pt shot from 1 ft (block by J. Winslow),,6-13,,
7:25.0,,,6-13,,Defensive rebound by H. Whiteside
7:22.0,,,6-13,,Shooting foul by E. Fournier (drawn by J. Richardson)
7:22.0,,,6-13,,J. Richardson misses free throw 1 of 2
7:22.0,,,6-13,,Offensive rebound by Team
7:22.0,,,6-14,1,J. Richardson makes free throw 2 of 2
7:13.0,Turnover by E. Payton (bad pass; steal by J. Winslow),,6-14,,
7:11.0,Shooting block foul by E. Fournier (drawn by J. Winslow),,6-14,,
7:11.0,,,6-15,1,J. Winslow makes free throw 1 of 2
7:11.0,S. Mack enters the game for E. Fournier,,6-15,,
7:11.0,,,6-16,1,J. Winslow makes free throw 2 of 2
6:50.0,M. Hezonja makes 2-pt shot from 22 ft (assist by B. Biyombo),2,8-16,,
6:31.0,,,8-18,2,G. Dragic makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:23.0,,,8-18,,Personal foul by G. Dragic (drawn by E. Payton)
6:10.0,E. Payton makes 2-pt shot from 11 ft,2,10-18,,
5:52.0,,,10-20,2,J. Richardson makes 2-pt shot from 1 ft (assist by H. Whiteside)
5:41.0,Offensive foul by B. Biyombo (drawn by K. Olynyk),,10-20,,
5:41.0,Turnover by B. Biyombo (offensive foul),,10-20,,
5:41.0,,,10-20,,T. Johnson enters the game for J. Richardson
5:29.0,,,10-20,,H. Whiteside misses 2-pt shot from 6 ft
5:26.0,Defensive rebound by M. Hezonja,,10-20,,
5:23.0,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja),2,12-20,,
5:23.0,Shooting foul by J. Winslow (drawn by B. Biyombo),,12-20,,
5:23.0,B. Biyombo makes free throw 1 of 1,1,13-20,,
5:19.0,Personal foul by E. Payton (drawn by G. Dragic),,13-20,,
5:19.0,,,13-20,,G. Dragic misses free throw 1 of 2
5:19.0,,,13-20,,Offensive rebound by Team
