time,Orlando,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. N. Vucevic,,,,Jump ball: M. Plumlee vs. N. Vucevic
11:41.0,,,0-2,2,K. Bazemore makes 2-pt shot from 9 ft
11:24.0,J. Simmons misses 2-pt shot from 12 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by K. Bazemore
11:04.0,,,0-2,,D. Schroder misses 2-pt shot from 12 ft
11:01.0,Defensive rebound by M. Hezonja,,0-2,,
10:51.0,J. Simmons misses 2-pt shot from 20 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by K. Bazemore
10:41.0,,,0-5,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Bazemore)
10:28.0,Offensive foul by M. Hezonja (drawn by T. Waller-Prince),,0-5,,
10:28.0,Turnover by M. Hezonja (offensive foul),,0-5,,
10:17.0,,,0-5,,D. Schroder misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by N. Vucevic,,0-5,,
10:07.0,E. Payton makes 2-pt shot from 16 ft,2,2-5,,
9:44.0,,,2-5,,K. Bazemore misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by M. Hezonja,,2-5,,
9:31.0,N. Vucevic misses 2-pt shot from 10 ft,,2-5,,
9:28.0,,,2-5,,Defensive rebound by T. Waller-Prince
9:19.0,,,2-5,,D. Schroder misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by E. Payton,,2-5,,
9:06.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton),3,5-5,,
8:50.0,,,5-7,2,T. Waller-Prince makes 2-pt shot from 20 ft (assist by M. Plumlee)
8:39.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,7-7,,
8:14.0,,,7-7,,M. Plumlee misses 2-pt shot from 2 ft (block by M. Hezonja)
8:14.0,,,7-7,,Offensive rebound by Team
8:12.0,,,7-9,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by K. Bazemore)
7:58.0,A. Afflalo makes 2-pt shot from 1 ft (assist by E. Payton),2,9-9,,
7:41.0,,,9-11,2,E. Ilyasova makes 2-pt shot at rim (assist by T. Waller-Prince)
7:32.0,E. Payton misses 2-pt shot from 17 ft,,9-11,,
7:28.0,Offensive rebound by N. Vucevic,,9-11,,
7:23.0,J. Simmons makes 2-pt shot from 1 ft (assist by N. Vucevic),2,11-11,,
7:22.0,,,11-11,,Atlanta full timeout
7:22.0,,,11-11,,T. Cavanaugh enters the game for M. Plumlee
7:11.0,,,11-14,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by K. Bazemore)
6:48.0,M. Hezonja makes 2-pt shot from 3 ft (assist by N. Vucevic),2,13-14,,
6:27.0,,,13-14,,Shooting foul by M. Hezonja (drawn by D. Schroder)
6:27.0,,,13-15,1,D. Schroder makes free throw 1 of 2
6:27.0,W. Iwundu enters the game for M. Hezonja,,13-15,,
6:27.0,,,13-16,1,D. Schroder makes free throw 2 of 2
6:14.0,W. Iwundu misses 3-pt shot from 25 ft,,13-16,,
6:09.0,,,13-16,,Defensive rebound by D. Schroder
5:57.0,,,13-16,,T. Waller-Prince misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by N. Vucevic,,13-16,,
5:44.0,E. Payton makes 3-pt shot from 24 ft (assist by W. Iwundu),3,16-16,,
5:21.0,,,16-19,3,T. Cavanaugh makes 3-pt shot from 24 ft (assist by D. Schroder)
5:06.0,E. Payton misses 3-pt shot from 25 ft,,16-19,,
5:02.0,,,16-19,,Defensive rebound by E. Ilyasova
4:56.0,,,16-21,2,D. Schroder makes 2-pt shot from 1 ft
4:48.0,A. Afflalo misses 3-pt shot from 25 ft,,16-21,,
4:45.0,,,16-21,,Defensive rebound by T. Cavanaugh
4:36.0,,,16-21,,D. Schroder misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by J. Simmons,,16-21,,
4:25.0,J. Simmons misses 2-pt shot from 10 ft (block by K. Bazemore),,16-21,,
4:22.0,,,16-21,,Defensive rebound by K. Bazemore
4:19.0,,,16-24,3,E. Ilyasova makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
4:18.0,Orlando full timeout,,16-24,,
4:18.0,,,16-24,,M. Belinelli enters the game for E. Ilyasova
4:18.0,,,16-24,,L. Babbitt enters the game for T. Waller-Prince
4:18.0,,,16-24,,D. Bembry enters the game for K. Bazemore
4:18.0,D. Augustin enters the game for E. Payton,,16-24,,
4:18.0,B. Biyombo enters the game for N. Vucevic,,16-24,,
4:02.0,J. Simmons misses 2-pt shot from 16 ft,,16-24,,
3:58.0,,,16-24,,Defensive rebound by M. Belinelli
3:50.0,,,16-24,,T. Cavanaugh misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by Team,,16-24,,
3:31.0,J. Simmons misses 2-pt shot from 9 ft,,16-24,,
