time,Minnesota,pts.away,score,pts.home,Charlotte
3:17.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Towns),,94-107,,
3:17.0,K. Towns makes free throw 1 of 2,1,95-107,,
3:17.0,K. Towns misses free throw 2 of 2,,95-107,,
3:15.0,,,95-107,,Defensive rebound by D. Howard
3:15.0,Personal foul by T. Gibson (drawn by D. Howard),,95-107,,
3:15.0,,,95-108,1,D. Howard makes free throw 1 of 2
3:15.0,,,95-108,,D. Howard misses free throw 2 of 2
3:12.0,Defensive rebound by K. Towns,,95-108,,
3:03.0,J. Butler makes 3-pt shot from 26 ft (assist by K. Towns),3,98-108,,
3:01.0,Personal take foul by K. Towns (drawn by D. Howard),,98-108,,
3:01.0,,,98-108,,D. Howard misses free throw 1 of 2
3:01.0,,,98-108,,Offensive rebound by Team
3:01.0,,,98-109,1,D. Howard makes free throw 2 of 2
2:50.0,J. Butler misses 2-pt shot from 18 ft,,98-109,,
2:50.0,,,98-109,,Defensive rebound by D. Howard
2:50.0,Personal take foul by T. Gibson (drawn by D. Howard),,98-109,,
2:50.0,,,98-109,,Charlotte full timeout
2:50.0,,,98-110,1,D. Howard makes free throw 1 of 2
2:50.0,,,98-110,,D. Howard misses free throw 2 of 2
2:48.0,Defensive rebound by T. Gibson,,98-110,,
2:34.0,K. Towns misses 3-pt shot from 27 ft,,98-110,,
2:29.0,Offensive rebound by T. Gibson,,98-110,,
2:26.0,J. Butler misses 2-pt shot from 7 ft (block by D. Howard),,98-110,,
2:26.0,,,98-110,,Defensive rebound by D. Howard
2:23.0,Personal take foul by K. Towns (drawn by D. Howard),,98-110,,
2:23.0,,,98-111,1,D. Howard makes free throw 1 of 2
2:23.0,,,98-112,1,D. Howard makes free throw 2 of 2
2:07.0,A. Wiggins misses 3-pt shot from 28 ft,,98-112,,
2:06.0,,,98-112,,Defensive rebound by K. Walker
2:06.0,Personal take foul by K. Towns (drawn by D. Howard),,98-112,,
2:06.0,,,98-113,1,D. Howard makes free throw 1 of 2
2:06.0,,,98-113,,J. Lamb enters the game for M. Williams
2:06.0,,,98-113,,D. Howard misses free throw 2 of 2
1:58.0,Defensive rebound by K. Towns,,98-113,,
1:49.0,J. Crawford enters the game for T. Gibson,,98-113,,
1:41.0,J. Teague misses 2-pt shot from 3 ft,,98-113,,
1:39.0,,,98-113,,Defensive rebound by J. Lamb
1:23.0,,,98-113,,K. Walker misses 2-pt shot from 4 ft (block by J. Teague)
1:23.0,Defensive rebound by Team,,98-113,,
1:21.0,,,98-113,,K. Walker misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by J. Crawford,,98-113,,
1:11.0,J. Crawford misses 3-pt shot from 28 ft,,98-113,,
1:09.0,,,98-113,,Defensive rebound by N. Batum
1:07.0,,,98-115,2,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum)
1:07.0,Minnesota full timeout,,98-115,,
1:07.0,,,98-115,,F. Kaminsky enters the game for J. Lamb
1:07.0,,,98-115,,D. Bacon enters the game for N. Batum
1:07.0,,,98-115,,M. Carter-Williams enters the game for D. Howard
1:07.0,,,98-115,,C. Zeller enters the game for M. Kidd-Gilchrist
1:07.0,,,98-115,,M. Monk enters the game for K. Walker
1:07.0,S. Muhammad enters the game for J. Teague,,98-115,,
1:07.0,C. Aldrich enters the game for A. Wiggins,,98-115,,
1:07.0,A. Brooks enters the game for J. Butler,,98-115,,
1:07.0,M. Georges-Hunt enters the game for K. Towns,,98-115,,
1:01.0,,,98-115,,Personal foul by C. Zeller (drawn by J. Crawford)
1:01.0,J. Crawford makes free throw 1 of 2,1,99-115,,
1:01.0,J. Crawford makes free throw 2 of 2,1,100-115,,
0:41.0,,,100-115,,F. Kaminsky misses 2-pt shot from 8 ft
0:39.0,Defensive rebound by S. Muhammad,,100-115,,
0:31.0,S. Muhammad makes 2-pt shot from 7 ft,2,102-115,,
0:16.0,,,102-118,3,C. Zeller makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
0:10.0,A. Brooks misses 3-pt shot from 27 ft,,102-118,,
0:08.0,Offensive rebound by J. Crawford,,102-118,,
0:05.0,S. Muhammad misses 2-pt shot from 4 ft,,102-118,,
0:05.0,,,102-118,,Defensive rebound by D. Bacon
