time,Minnesota,pts.away,score,pts.home,Charlotte
3:59.0,J. Teague makes 2-pt shot from 1 ft,2,17-14,,
3:59.0,,,17-14,,Charlotte full timeout
3:59.0,,,17-14,,C. Zeller enters the game for D. Howard
3:47.0,,,17-14,,K. Walker misses 2-pt shot from 12 ft
3:43.0,Defensive rebound by J. Teague,,17-14,,
3:21.0,K. Towns misses 2-pt shot from 17 ft,,17-14,,
3:18.0,Offensive rebound by J. Butler,,17-14,,
3:16.0,J. Teague misses 3-pt shot from 24 ft,,17-14,,
3:16.0,,,17-14,,Defensive rebound by Team
3:04.0,,,17-16,2,J. Lamb makes 2-pt shot from 2 ft
3:04.0,,,17-16,,Shooting foul by A. Wiggins (drawn by J. Lamb)
3:04.0,J. Crawford enters the game for J. Butler,,17-16,,
3:04.0,G. Dieng enters the game for K. Towns,,17-16,,
3:04.0,,,17-17,1,J. Lamb makes free throw 1 of 1
2:45.0,G. Dieng misses 3-pt shot from 23 ft,,17-17,,
2:42.0,,,17-17,,Defensive rebound by M. Williams
2:40.0,,,17-17,,Shooting foul by J. Crawford (drawn by K. Walker)
2:40.0,,,17-18,1,K. Walker makes free throw 1 of 2
2:40.0,,,17-18,,F. Kaminsky enters the game for M. Williams
2:40.0,,,17-18,,D. Bacon enters the game for M. Kidd-Gilchrist
2:40.0,N. Bjelica enters the game for T. Gibson,,17-18,,
2:40.0,,,17-19,1,K. Walker makes free throw 2 of 2
2:33.0,Turnover by A. Wiggins (lost ball; steal by K. Walker),,17-19,,
2:20.0,,,17-19,,K. Walker misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by N. Bjelica,,17-19,,
2:02.0,N. Bjelica misses 2-pt shot from 17 ft,,17-19,,
1:59.0,,,17-19,,Defensive rebound by J. Lamb
1:52.0,,,17-21,2,C. Zeller makes 2-pt shot at rim (assist by J. Lamb)
1:32.0,J. Teague makes 2-pt shot from 1 ft,2,19-21,,
1:10.0,,,19-23,2,F. Kaminsky makes 2-pt shot from 7 ft
0:59.0,J. Crawford makes 2-pt shot from 19 ft,2,21-23,,
0:46.0,,,21-23,,D. Bacon misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by N. Bjelica,,21-23,,
0:34.0,J. Crawford misses 3-pt shot from 28 ft,,21-23,,
0:31.0,,,21-23,,Defensive rebound by F. Kaminsky
0:21.0,,,21-26,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by C. Zeller)
0:02.0,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Crawford),3,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Crawford (lost ball; steal by M. Carter-Williams),,24-26,,
11:42.0,,,24-26,,F. Kaminsky misses 3-pt shot from 26 ft
11:37.0,,,24-26,,Offensive rebound by C. Zeller
11:35.0,,,24-26,,Turnover by C. Zeller (bad pass)
11:14.0,Turnover by Team (shot clock),,24-26,,
11:00.0,,,24-28,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
10:54.0,Shooting foul by M. Carter-Williams (drawn by J. Crawford),,24-28,,
10:54.0,J. Crawford makes free throw 1 of 3,1,25-28,,
10:54.0,J. Crawford makes free throw 2 of 3,1,26-28,,
10:54.0,J. Crawford makes free throw 3 of 3,1,27-28,,
10:52.0,Technical foul by Team,,27-28,,
10:52.0,J. Crawford makes technical free throw,1,28-28,,
10:34.0,,,28-28,,D. Bacon misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by S. Muhammad,,28-28,,
10:23.0,J. Crawford makes 2-pt shot from 9 ft,2,30-28,,
10:14.0,,,30-30,2,J. Lamb makes 2-pt shot from 16 ft
10:02.0,T. Jones misses 3-pt shot from 25 ft,,30-30,,
9:58.0,,,30-30,,Defensive rebound by C. Zeller
9:48.0,,,30-30,,Turnover by J. Lamb (lost ball; steal by S. Muhammad)
9:46.0,,,30-30,,Personal foul by M. Carter-Williams (drawn by N. Bjelica)
9:33.0,N. Bjelica makes 2-pt shot from 7 ft (assist by J. Crawford),2,32-30,,
9:20.0,,,32-33,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
9:06.0,J. Crawford makes 2-pt shot from 18 ft,2,34-33,,
8:43.0,,,34-35,2,F. Kaminsky makes 2-pt shot from 4 ft
8:23.0,G. Dieng makes 2-pt shot from 7 ft (assist by T. Jones),2,36-35,,
8:12.0,,,36-37,2,M. Carter-Williams makes 2-pt shot from 6 ft
8:00.0,J. Crawford makes 2-pt shot from 18 ft,2,38-37,,
7:46.0,,,38-37,,Turnover by M. Carter-Williams (bad pass; steal by T. Jones)
7:41.0,T. Jones makes 2-pt shot from 1 ft,2,40-37,,
7:26.0,,,40-37,,J. Lamb misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by N. Bjelica,,40-37,,
7:18.0,Shooting foul by D. Bacon (drawn by G. Dieng),,40-37,,
7:18.0,G. Dieng makes free throw 1 of 2,1,41-37,,
7:18.0,G. Dieng makes free throw 2 of 2,1,42-37,,
7:01.0,,,42-37,,Shooting foul by G. Dieng (drawn by C. Zeller)
7:01.0,,,42-38,1,C. Zeller makes free throw 1 of 2
7:01.0,,,42-38,,N. Batum enters the game for D. Bacon
7:01.0,,,42-38,,C. Zeller misses free throw 2 of 2
6:58.0,,,42-38,,Offensive rebound by J. Lamb
6:51.0,,,42-38,,F. Kaminsky misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by G. Dieng,,42-38,,
6:46.0,J. Crawford misses 3-pt shot from 26 ft,,42-38,,
6:42.0,,,42-38,,Defensive rebound by C. Zeller
6:31.0,,,42-38,,Shooting foul by N. Bjelica (drawn by F. Kaminsky)
6:31.0,,,42-38,,Charlotte full timeout
6:31.0,,,42-38,,D. Howard enters the game for C. Zeller
6:31.0,K. Towns enters the game for G. Dieng,,42-38,,
6:31.0,J. Butler enters the game for N. Bjelica,,42-38,,
6:31.0,,,42-39,1,F. Kaminsky makes free throw 1 of 2
6:31.0,,,42-40,1,F. Kaminsky makes free throw 2 of 2
6:12.0,S. Muhammad misses 3-pt shot from 25 ft,,42-40,,
6:10.0,,,42-40,,Defensive rebound by J. Lamb
5:58.0,,,42-42,2,D. Howard makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:37.0,K. Towns makes 2-pt shot from 19 ft (assist by T. Jones),2,44-42,,
5:19.0,,,44-44,2,N. Batum makes 2-pt shot from 18 ft
5:09.0,Turnover by J. Butler (bad pass),,44-44,,
5:09.0,,,44-44,,K. Walker enters the game for J. Lamb
5:09.0,,,44-44,,M. Kidd-Gilchrist enters the game for M. Carter-Williams
5:09.0,J. Teague enters the game for T. Jones,,44-44,,
5:09.0,A. Wiggins enters the game for J. Crawford,,44-44,,
5:09.0,T. Gibson enters the game for S. Muhammad,,44-44,,
4:56.0,,,44-44,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by K. Towns,,44-44,,
4:48.0,J. Teague misses 3-pt shot from 25 ft,,44-44,,
4:45.0,,,44-44,,Defensive rebound by F. Kaminsky
4:38.0,,,44-44,,Turnover by N. Batum (bad pass; steal by A. Wiggins)
4:30.0,A. Wiggins misses 3-pt shot from 26 ft,,44-44,,
4:30.0,,,44-44,,Defensive rebound by D. Howard
4:14.0,,,44-46,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
3:59.0,K. Towns misses 3-pt shot from 28 ft,,44-46,,
3:55.0,,,44-46,,Defensive rebound by F. Kaminsky
3:51.0,,,44-46,,F. Kaminsky misses 2-pt shot from 3 ft (block by J. Teague)
3:51.0,,,44-46,,Offensive rebound by Team
3:51.0,,,44-46,,M. Williams enters the game for F. Kaminsky
3:46.0,,,44-46,,N. Batum misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by J. Teague,,44-46,,
3:31.0,J. Butler misses 2-pt shot from 17 ft,,44-46,,
3:28.0,,,44-46,,Defensive rebound by D. Howard
3:25.0,,,44-48,2,N. Batum makes 2-pt shot from 2 ft
3:12.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague),2,46-48,,
2:48.0,,,46-50,2,D. Howard makes 2-pt shot at rim (assist by M. Williams)
2:35.0,J. Butler makes 2-pt shot at rim (assist by T. Gibson),2,48-50,,
2:21.0,Minnesota full timeout,,48-50,,
2:13.0,,,48-52,2,D. Howard makes 2-pt shot from 2 ft
1:59.0,Offensive charge foul by T. Gibson (drawn by M. Kidd-Gilchrist),,48-52,,
1:59.0,Turnover by T. Gibson (offensive foul),,48-52,,
1:47.0,,,48-52,,Turnover by K. Walker (lost ball; steal by J. Teague)
1:41.0,J. Butler misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,48-52,,
1:37.0,Offensive rebound by A. Wiggins,,48-52,,
1:36.0,A. Wiggins makes 2-pt shot from 1 ft,2,50-52,,
1:30.0,,,50-55,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
1:07.0,A. Wiggins misses 3-pt shot from 25 ft,,50-55,,
1:03.0,,,50-55,,Defensive rebound by D. Howard
0:58.0,,,50-55,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
0:55.0,Defensive rebound by K. Towns,,50-55,,
0:42.0,J. Teague makes 2-pt shot from 14 ft,2,52-55,,
0:31.0,,,52-55,,M. Williams misses 3-pt shot from 28 ft
0:27.0,Defensive rebound by K. Towns,,52-55,,
0:03.0,J. Teague misses 2-pt shot from 13 ft,,52-55,,
0:01.0,,,52-55,,Defensive rebound by N. Batum
0:00.0,,,52-55,,D. Howard misses 3-pt shot from 31 ft
0:00.0,,,52-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Teague misses 2-pt shot from 9 ft,,52-55,,
11:34.0,Offensive rebound by Team,,52-55,,
11:24.0,J. Teague makes 3-pt shot from 28 ft,3,55-55,,
11:07.0,,,55-55,,N. Batum misses 2-pt shot from 14 ft
11:04.0,Defensive rebound by T. Gibson,,55-55,,
10:47.0,J. Butler makes 2-pt shot from 18 ft (assist by T. Gibson),2,57-55,,
10:35.0,,,57-58,3,K. Walker makes 3-pt shot from 25 ft
10:11.0,A. Wiggins makes 2-pt shot from 20 ft,2,59-58,,
9:49.0,,,59-58,,N. Batum misses 2-pt shot from 14 ft
9:43.0,Defensive rebound by T. Gibson,,59-58,,
9:33.0,J. Teague misses 2-pt shot from 7 ft,,59-58,,
9:31.0,,,59-58,,Defensive rebound by N. Batum
9:25.0,,,59-58,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft (block by K. Towns)
9:22.0,,,59-58,,Offensive rebound by D. Howard
9:22.0,,,59-58,,D. Howard misses 2-pt shot at rim
9:22.0,Defensive rebound by Team,,59-58,,
9:13.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Wiggins),,59-58,,
9:13.0,A. Wiggins makes free throw 1 of 2,1,60-58,,
9:13.0,,,60-58,,Charlotte full timeout
9:13.0,A. Wiggins misses free throw 2 of 2,,60-58,,
9:07.0,Offensive rebound by J. Butler,,60-58,,
8:54.0,J. Butler makes 2-pt shot from 17 ft (assist by A. Wiggins),2,62-58,,
8:39.0,,,62-58,,Technical foul by D. Howard (drawn by K. Towns)
8:39.0,,,62-58,,Turnover by D. Howard (turnover)
8:39.0,K. Towns makes flagrant free throw 2 of 2,1,63-58,,
8:39.0,K. Towns makes flagrant free throw 1 of 2,1,64-58,,
8:27.0,A. Wiggins misses 2-pt shot from 14 ft (block by M. Kidd-Gilchrist),,64-58,,
8:21.0,Offensive rebound by T. Gibson,,64-58,,
8:20.0,T. Gibson misses 2-pt shot from 15 ft,,64-58,,
8:20.0,,,64-58,,Defensive rebound by D. Howard
8:15.0,,,64-60,2,K. Walker makes 2-pt shot at rim
8:15.0,,,64-60,,Shooting foul by T. Gibson (drawn by K. Walker)
8:15.0,,,64-61,1,K. Walker makes free throw 1 of 1
8:03.0,J. Butler makes 2-pt shot from 19 ft (assist by J. Teague),2,66-61,,
7:51.0,,,66-61,,K. Walker misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by J. Butler,,66-61,,
7:45.0,J. Butler misses 3-pt shot from 26 ft,,66-61,,
7:41.0,,,66-61,,Defensive rebound by K. Walker
7:37.0,Personal foul by J. Butler (drawn by D. Howard),,66-61,,
7:34.0,,,66-64,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Williams)
7:26.0,,,66-64,,Personal foul by N. Batum (drawn by J. Teague)
7:10.0,J. Teague makes 2-pt shot from 4 ft,2,68-64,,
7:04.0,,,68-64,,Offensive foul by D. Howard (drawn by K. Towns)
7:04.0,,,68-64,,Turnover by D. Howard (offensive foul)
6:50.0,Turnover by T. Gibson (turnover),,68-64,,
6:37.0,,,68-64,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
6:31.0,,,68-64,,Offensive rebound by D. Howard
6:31.0,,,68-66,2,D. Howard makes 2-pt shot at rim
6:12.0,J. Teague misses 2-pt shot from 9 ft,,68-66,,
6:10.0,,,68-66,,Defensive rebound by D. Howard
6:09.0,,,68-68,2,K. Walker makes 2-pt shot from 1 ft
6:09.0,,,68-68,,Shooting foul by A. Wiggins (drawn by K. Walker)
6:09.0,,,68-69,1,K. Walker makes free throw 1 of 1
5:58.0,A. Wiggins misses 2-pt shot from 18 ft,,68-69,,
5:56.0,,,68-69,,Defensive rebound by Team
5:39.0,,,68-69,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft
5:36.0,Defensive rebound by J. Butler,,68-69,,
5:24.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Gibson),,68-69,,
5:24.0,T. Gibson misses free throw 1 of 2,,68-69,,
5:24.0,Offensive rebound by Team,,68-69,,
5:24.0,T. Gibson makes free throw 2 of 2,1,69-69,,
5:15.0,,,69-69,,N. Batum misses 3-pt shot from 25 ft
5:13.0,,,69-69,,Offensive rebound by D. Howard
5:13.0,,,69-69,,Shooting foul by T. Gibson (drawn by D. Howard)
5:13.0,,,69-70,1,D. Howard makes free throw 1 of 2
5:13.0,,,69-71,1,D. Howard makes free throw 2 of 2
4:50.0,A. Wiggins misses 2-pt shot from 17 ft,,69-71,,
4:47.0,,,69-71,,Defensive rebound by M. Kidd-Gilchrist
