time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Gasol (J. Martin gains possession),,,,Jump ball: C. Capela vs. M. Gasol (J. Martin gains possession)
11:41.0,M. Gasol makes 2-pt shot at rim (assist by J. Martin),2,2-0,,
11:19.0,,,2-2,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
11:06.0,Shooting foul by R. Anderson (drawn by J. Ennis),,2-2,,
11:06.0,J. Ennis makes free throw 1 of 2,1,3-2,,
11:06.0,J. Ennis makes free throw 2 of 2,1,4-2,,
10:46.0,,,4-4,2,R. Anderson makes 2-pt shot from 16 ft (assist by T. Ariza)
10:30.0,M. Gasol misses 3-pt shot from 25 ft,,4-4,,
10:25.0,,,4-4,,Defensive rebound by E. Gordon
10:22.0,,,4-4,,E. Gordon misses 3-pt shot from 29 ft
10:18.0,Defensive rebound by J. Martin,,4-4,,
10:03.0,M. Gasol makes 2-pt shot at rim,2,6-4,,
9:45.0,,,6-4,,J. Harden misses 2-pt shot from 6 ft
9:41.0,Defensive rebound by A. Harrison,,6-4,,
9:37.0,A. Harrison makes 2-pt shot at rim,2,8-4,,
9:23.0,,,8-6,2,E. Gordon makes 2-pt shot from 3 ft (assist by J. Harden)
8:57.0,M. Gasol misses 2-pt shot from 10 ft,,8-6,,
8:54.0,,,8-6,,Defensive rebound by C. Capela
8:47.0,,,8-6,,Shooting foul by M. Gasol (drawn by J. Harden)
8:47.0,,,8-7,1,J. Harden makes free throw 1 of 2
8:47.0,,,8-8,1,J. Harden makes free throw 2 of 2
8:37.0,M. Conley misses 2-pt shot from 2 ft (block by C. Capela),,8-8,,
8:31.0,,,8-8,,Defensive rebound by E. Gordon
8:28.0,,,8-11,3,J. Harden makes 3-pt shot from 25 ft (assist by E. Gordon)
8:16.0,J. Martin misses 2-pt shot from 22 ft,,8-11,,
8:12.0,,,8-11,,Defensive rebound by E. Gordon
8:08.0,,,8-13,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:41.0,Shooting foul by J. Harden (drawn by M. Gasol),,8-13,,
7:41.0,M. Gasol makes free throw 1 of 2,1,9-13,,
7:41.0,M. Gasol makes free throw 2 of 2,1,10-13,,
7:24.0,Jump ball: E. Gordon vs. J. Martin (T. Ariza gains possession),,,,Jump ball: E. Gordon vs. J. Martin (T. Ariza gains possession)
7:19.0,,,10-13,,T. Ariza misses 3-pt shot from 23 ft
7:16.0,,,10-13,,Offensive rebound by C. Capela
7:11.0,,,10-16,3,E. Gordon makes 3-pt shot from 27 ft (assist by R. Anderson)
6:52.0,M. Gasol misses 2-pt shot from 10 ft,,10-16,,
6:49.0,,,10-16,,Defensive rebound by T. Ariza
6:48.0,,,10-16,,Houston full timeout
6:39.0,,,10-16,,Shooting foul by A. Harrison (drawn by J. Harden)
6:39.0,,,10-16,,J. Harden misses free throw 1 of 2
6:39.0,,,10-16,,Offensive rebound by Team
6:39.0,,,10-16,,J. Harden misses free throw 2 of 2
6:36.0,Defensive rebound by M. Gasol,,10-16,,
6:16.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,12-16,,
6:04.0,,,12-18,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
5:36.0,J. Ennis misses 2-pt shot from 19 ft,,12-18,,
5:34.0,,,12-18,,Defensive rebound by C. Capela
5:27.0,,,12-18,,Offensive charge foul by J. Harden (drawn by J. Martin)
5:27.0,,,12-18,,Turnover by J. Harden (offensive foul)
5:27.0,,,12-18,,N. Hilario enters the game for R. Anderson
5:27.0,,,12-18,,P. Tucker enters the game for C. Capela
5:27.0,,,12-18,,L. Mbah a Moute enters the game for E. Gordon
5:27.0,T. Evans enters the game for J. Ennis,,12-18,,
5:27.0,M. Chalmers enters the game for A. Harrison,,12-18,,
5:27.0,D. Brooks enters the game for M. Conley,,12-18,,
5:01.0,J. Martin makes 2-pt shot from 4 ft (assist by M. Chalmers),2,14-18,,
4:49.0,,,14-18,,Offensive foul by P. Tucker (drawn by M. Chalmers)
4:49.0,,,14-18,,Turnover by P. Tucker (offensive foul)
4:41.0,M. Chalmers makes 2-pt shot from 1 ft,2,16-18,,
4:26.0,,,16-18,,Turnover by J. Harden (bad pass; steal by T. Evans)
4:17.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Chalmers),2,18-18,,
4:03.0,Personal foul by J. Martin (drawn by N. Hilario),,18-18,,
3:58.0,,,18-20,2,N. Hilario makes 2-pt shot at rim (assist by T. Ariza)
3:51.0,Turnover by M. Gasol (bad pass),,18-20,,
3:48.0,Personal foul by J. Martin (drawn by N. Hilario),,18-20,,
3:48.0,C. Parsons enters the game for J. Martin,,18-20,,
3:40.0,,,18-20,,J. Harden misses 2-pt shot from 15 ft
3:36.0,Defensive rebound by C. Parsons,,18-20,,
3:30.0,,,18-20,,Personal foul by N. Hilario (drawn by M. Gasol)
3:23.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol),2,20-20,,
3:02.0,,,20-20,,J. Harden misses 3-pt shot from 26 ft
3:02.0,,,20-20,,Offensive rebound by Team
3:02.0,,,20-20,,Shooting foul by D. Brooks (drawn by L. Mbah a Moute)
3:02.0,,,20-21,1,L. Mbah a Moute makes free throw 1 of 2
3:02.0,,,20-22,1,L. Mbah a Moute makes free throw 2 of 2
2:53.0,M. Chalmers misses 2-pt shot from 1 ft,,20-22,,
2:51.0,,,20-22,,Defensive rebound by P. Tucker
2:48.0,,,20-24,2,J. Harden makes 2-pt shot from 2 ft (assist by P. Tucker)
2:42.0,Memphis full timeout,,20-24,,
2:42.0,,,20-24,,D. Jackson enters the game for J. Harden
2:26.0,Turnover by C. Parsons (bad pass; steal by P. Tucker),,20-24,,
2:10.0,,,20-24,,N. Hilario misses 2-pt shot from 19 ft
2:08.0,Defensive rebound by T. Evans,,20-24,,
1:57.0,T. Evans misses 2-pt shot from 2 ft,,20-24,,
1:57.0,,,20-24,,Defensive rebound by T. Ariza
1:41.0,,,20-26,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by P. Tucker)
1:41.0,B. Wright enters the game for M. Gasol,,20-26,,
1:41.0,,,20-26,,E. Gordon enters the game for T. Ariza
1:41.0,,,20-26,,Shooting foul by M. Chalmers (drawn by L. Mbah a Moute)
1:41.0,,,20-26,,L. Mbah a Moute misses free throw 1 of 1
1:36.0,Defensive rebound by B. Wright,,20-26,,
1:16.0,Turnover by M. Chalmers (bad pass; steal by L. Mbah a Moute),,20-26,,
1:04.0,,,20-26,,N. Hilario misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by T. Evans,,20-26,,
1:00.0,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans),2,22-26,,
0:52.0,,,22-26,,Offensive foul by N. Hilario (drawn by D. Brooks)
0:52.0,,,22-26,,Turnover by N. Hilario (offensive foul)
0:42.0,,,22-26,,Personal foul by D. Jackson (drawn by M. Chalmers)
0:42.0,,,22-26,,Turnover by D. Jackson (turnover)
0:35.0,Shooting foul by D. Jackson (drawn by M. Chalmers),,22-26,,
0:35.0,M. Chalmers makes free throw 1 of 2,1,23-26,,
0:35.0,M. Chalmers makes free throw 2 of 2,1,24-26,,
0:23.0,,,24-26,,P. Tucker misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by C. Parsons,,24-26,,
0:00.0,C. Parsons misses 2-pt shot from 20 ft,,24-26,,
0:00.0,Offensive rebound by Team,,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,24-26,,Turnover by E. Gordon (bad pass; steal by M. Chalmers)
11:32.0,D. Brooks misses 3-pt shot from 25 ft,,24-26,,
11:32.0,,,24-26,,Defensive rebound by Team
