time,Memphis,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. D. Davis (J. Winslow gains possession),,,,Jump ball: H. Whiteside vs. D. Davis (J. Winslow gains possession)
11:46.0,Violation by J. Green (kicked ball),,0-0,,
11:32.0,,,0-0,,J. Richardson misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by D. Davis,,0-0,,
11:24.0,D. Davis misses 2-pt shot from 8 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by J. Winslow
11:19.0,,,0-0,,Shooting foul by D. Brooks (drawn by T. Johnson)
11:19.0,,,0-1,1,T. Johnson makes free throw 1 of 2
11:19.0,,,0-2,1,T. Johnson makes free throw 2 of 2
10:54.0,J. Green makes 2-pt shot from 12 ft,2,2-2,,
10:42.0,,,2-2,,H. Whiteside misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by J. Green,,2-2,,
10:27.0,Shooting foul by J. Richardson (drawn by D. Davis),,2-2,,
10:27.0,D. Davis makes free throw 1 of 2,1,3-2,,
10:27.0,D. Davis makes free throw 2 of 2,1,4-2,,
10:19.0,Personal foul by A. Harrison (drawn by T. Johnson),,4-2,,
10:12.0,,,4-2,,H. Whiteside misses 2-pt shot from 1 ft (block by J. Martin)
10:12.0,,,4-2,,Offensive rebound by Team
10:07.0,,,4-4,2,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic)
9:49.0,Turnover by A. Harrison (bad pass),,4-4,,
9:43.0,,,4-7,3,G. Dragic makes 3-pt shot from 24 ft
9:23.0,D. Davis makes 2-pt shot from 13 ft (assist by D. Brooks),2,6-7,,
9:09.0,,,6-9,2,G. Dragic makes 2-pt shot from 1 ft
8:52.0,D. Brooks misses 2-pt shot from 13 ft,,6-9,,
8:49.0,,,6-9,,Defensive rebound by G. Dragic
8:43.0,,,6-9,,H. Whiteside misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by J. Green,,6-9,,
8:33.0,A. Harrison misses 2-pt shot from 5 ft,,6-9,,
8:31.0,,,6-9,,Defensive rebound by H. Whiteside
8:25.0,,,6-9,,Shooting foul by D. Davis (drawn by T. Johnson)
8:25.0,,,6-10,1,T. Johnson makes free throw 1 of 2
8:25.0,,,6-11,1,T. Johnson makes free throw 2 of 2
8:13.0,A. Harrison makes 2-pt shot from 8 ft,2,8-11,,
8:00.0,,,8-14,3,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic)
7:48.0,D. Davis makes 2-pt shot from 14 ft (assist by D. Brooks),2,10-14,,
7:36.0,,,10-14,,G. Dragic misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by D. Davis,,10-14,,
7:29.0,A. Harrison makes 2-pt shot from 5 ft,2,12-14,,
7:29.0,Shooting foul by H. Whiteside (drawn by A. Harrison),,12-14,,
7:29.0,A. Harrison makes free throw 1 of 1,1,13-14,,
7:16.0,Jump ball: T. Johnson vs. D. Brooks (D. Davis gains possession),,,,Jump ball: T. Johnson vs. D. Brooks (D. Davis gains possession)
7:16.0,,,13-14,,Turnover by T. Johnson (turnover; steal by D. Brooks)
7:05.0,D. Davis misses 2-pt shot from 13 ft,,13-14,,
7:00.0,Offensive rebound by J. Green,,13-14,,
7:00.0,J. Green makes 2-pt shot from 1 ft,2,15-14,,
6:47.0,,,15-14,,Shooting foul by D. Davis (drawn by H. Whiteside)
6:47.0,,,15-14,,Miami full timeout
6:47.0,K. Simmons enters the game for J. Martin,,15-14,,
6:47.0,I. Rabb enters the game for D. Davis,,15-14,,
6:47.0,,,15-14,,H. Whiteside misses free throw 1 of 2
6:47.0,,,15-14,,Offensive rebound by Team
6:47.0,,,15-15,1,H. Whiteside makes free throw 2 of 2
6:24.0,K. Simmons makes 2-pt shot from 13 ft (assist by A. Harrison),2,17-15,,
6:04.0,,,17-17,2,J. Winslow makes 2-pt shot from 4 ft (assist by T. Johnson)
5:45.0,D. Brooks makes 2-pt shot from 9 ft,2,19-17,,
5:26.0,,,19-20,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
5:12.0,D. Brooks makes 2-pt shot from 20 ft,2,21-20,,
5:00.0,,,21-20,,Shooting foul by I. Rabb (drawn by T. Johnson)
5:00.0,,,21-21,1,T. Johnson makes free throw 1 of 2
5:00.0,,,21-21,,W. Ellington enters the game for J. Richardson
5:00.0,M. Chalmers enters the game for A. Harrison,,21-21,,
5:00.0,,,21-22,1,T. Johnson makes free throw 2 of 2
4:43.0,J. Green misses 3-pt shot from 23 ft,,21-22,,
4:39.0,,,21-22,,Defensive rebound by T. Johnson
4:39.0,Personal foul by M. Chalmers (drawn by J. Winslow),,21-22,,
4:39.0,,,21-23,1,J. Winslow makes free throw 1 of 2
4:39.0,,,21-23,,J. Winslow misses free throw 2 of 2
4:36.0,Defensive rebound by D. Brooks,,21-23,,
4:22.0,Turnover by J. Green (lost ball; steal by J. Winslow),,21-23,,
4:17.0,,,21-25,2,T. Johnson makes 2-pt shot from 1 ft
4:03.0,M. Chalmers makes 3-pt shot from 25 ft,3,24-25,,
3:46.0,,,24-25,,Turnover by H. Whiteside (lost ball; steal by M. Chalmers)
3:41.0,I. Rabb makes 2-pt shot at rim (assist by K. Simmons),2,26-25,,
3:23.0,,,26-25,,Turnover by G. Dragic (lost ball; steal by I. Rabb)
3:20.0,Turnover by I. Rabb (bad pass; steal by J. Winslow),,26-25,,
3:15.0,,,26-25,,T. Johnson misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by J. Green,,26-25,,
3:06.0,K. Simmons misses 2-pt shot at rim (block by J. Winslow),,26-25,,
3:02.0,,,26-25,,Defensive rebound by G. Dragic
2:59.0,,,26-25,,T. Johnson misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by Team,,26-25,,
2:57.0,,,26-25,,Loose ball foul by J. Winslow (drawn by K. Simmons)
2:57.0,Memphis full timeout,,26-25,,
2:57.0,,,26-25,,D. Wade enters the game for G. Dragic
2:57.0,,,26-25,,B. Adebayo enters the game for J. Winslow
2:57.0,,,26-25,,J. Johnson enters the game for H. Whiteside
2:57.0,J. Martin enters the game for J. Green,,26-25,,
2:57.0,B. McLemore enters the game for D. Brooks,,26-25,,
2:44.0,Turnover by J. Martin (bad pass; steal by T. Johnson),,26-25,,
2:30.0,,,26-28,3,W. Ellington makes 3-pt shot from 24 ft (assist by D. Wade)
2:16.0,M. Chalmers misses 2-pt shot from 8 ft (block by T. Johnson),,26-28,,
2:13.0,,,26-28,,Defensive rebound by W. Ellington
2:11.0,,,26-28,,W. Ellington misses 2-pt shot from 2 ft (block by J. Martin)
2:08.0,,,26-28,,Offensive rebound by D. Wade
2:06.0,,,26-30,2,B. Adebayo makes 2-pt shot from 1 ft (assist by D. Wade)
1:43.0,K. Simmons misses 2-pt shot from 22 ft,,26-30,,
1:41.0,,,26-30,,Defensive rebound by B. Adebayo
1:32.0,,,26-30,,D. Wade misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by J. Martin,,26-30,,
1:17.0,,,26-30,,Personal foul by D. Wade (drawn by J. Martin)
1:17.0,,,26-30,,J. Richardson enters the game for T. Johnson
1:04.0,I. Rabb makes 2-pt shot at rim (assist by K. Simmons),2,28-30,,
0:45.0,,,28-30,,Shooting foul by J. Martin (drawn by J. Richardson)
0:45.0,,,28-31,1,J. Richardson makes free throw 1 of 2
0:45.0,A. Harrison enters the game for K. Simmons,,28-31,,
0:45.0,,,28-32,1,J. Richardson makes free throw 2 of 2
0:33.0,B. McLemore makes 3-pt shot from 25 ft (assist by A. Harrison),3,31-32,,
0:23.0,,,31-34,2,J. Richardson makes 2-pt shot at rim (assist by J. Johnson)
0:00.0,A. Harrison misses 2-pt shot from 17 ft,,31-34,,
0:00.0,,,31-34,,Defensive rebound by J. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Davis makes 2-pt shot from 1 ft (assist by A. Harrison),2,33-34,,
