time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Johnson (T. Waller-Prince gains possession),,,,Jump ball: D. Dedmon vs. A. Johnson (T. Waller-Prince gains possession)
11:47.0,Personal foul by D. Saric (drawn by J. Collins),,0-0,,
11:47.0,E. Ilyasova enters the game for D. Saric,,0-0,,
11:41.0,Violation by A. Johnson (kicked ball),,0-0,,
11:33.0,,,0-0,,Turnover by T. Waller-Prince (lost ball; steal by B. Simmons)
11:29.0,B. Simmons makes 2-pt shot at rim (assist by R. Covington),2,2-0,,
11:11.0,,,2-2,2,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
11:00.0,E. Ilyasova misses 2-pt shot from 1 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by J. Collins
10:53.0,,,2-4,2,D. Bembry makes 2-pt shot from 1 ft
10:43.0,,,2-4,,Personal foul by D. Bembry (drawn by J. Redick)
10:37.0,J. Redick makes 3-pt shot from 24 ft,3,5-4,,
10:18.0,,,5-4,,Turnover by T. Waller-Prince (bad pass; steal by R. Covington)
10:11.0,Turnover by R. Covington (bad pass; steal by D. Bembry),,5-4,,
10:06.0,,,5-6,2,J. Collins makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
10:01.0,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick),2,7-6,,
9:50.0,,,7-9,3,T. Waller-Prince makes 3-pt shot from 27 ft (assist by D. Bembry)
9:35.0,Turnover by J. Redick (lost ball; steal by D. Bembry),,7-9,,
9:31.0,,,7-11,2,D. Bembry makes 2-pt shot from 2 ft
9:31.0,Philadelphia full timeout,,7-11,,
9:17.0,J. Redick misses 2-pt shot from 19 ft (block by D. Dedmon),,7-11,,
9:17.0,Offensive rebound by Team,,7-11,,
9:11.0,Turnover by B. Simmons (traveling),,7-11,,
8:49.0,,,7-11,,D. Bembry misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by B. Simmons,,7-11,,
8:43.0,Turnover by B. Simmons (bad pass),,7-11,,
8:29.0,,,7-14,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Bembry)
8:11.0,J. Redick misses 2-pt shot from 3 ft,,7-14,,
8:09.0,,,7-14,,Defensive rebound by D. Bembry
8:05.0,,,7-14,,D. Lee misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by J. Redick,,7-14,,
7:54.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons),3,10-14,,
7:44.0,,,10-14,,D. Lee misses 2-pt shot from 6 ft
7:41.0,Defensive rebound by A. Johnson,,10-14,,
7:37.0,J. Redick misses 3-pt shot from 25 ft,,10-14,,
7:33.0,,,10-14,,Defensive rebound by D. Lee
7:29.0,,,10-14,,D. Lee misses 2-pt shot from 1 ft (block by R. Covington)
7:25.0,Defensive rebound by E. Ilyasova,,10-14,,
7:24.0,Turnover by R. Covington (bad pass; steal by D. Bembry),,10-14,,
7:15.0,,,10-14,,T. Waller-Prince misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by B. Simmons,,10-14,,
7:07.0,B. Simmons misses 2-pt shot from 1 ft,,10-14,,
7:01.0,,,10-14,,Defensive rebound by D. Bembry
6:43.0,,,10-14,,T. Waller-Prince misses 2-pt shot from 3 ft
6:40.0,Defensive rebound by B. Simmons,,10-14,,
6:33.0,E. Ilyasova makes 2-pt shot from 21 ft,2,12-14,,
6:31.0,,,12-14,,Atlanta full timeout
6:31.0,,,12-14,,I. Taylor enters the game for D. Bembry
6:31.0,M. Belinelli enters the game for A. Johnson,,12-14,,
6:31.0,T. McConnell enters the game for J. Redick,,12-14,,
6:31.0,R. Holmes enters the game for R. Covington,,12-14,,
6:11.0,,,12-17,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins)
5:52.0,M. Belinelli misses 2-pt shot from 18 ft,,12-17,,
5:49.0,,,12-17,,Defensive rebound by D. Dedmon
5:32.0,,,12-19,2,D. Dedmon makes 2-pt shot from 3 ft (assist by T. Waller-Prince)
5:19.0,Shooting foul by J. Collins (drawn by B. Simmons),,12-19,,
5:19.0,B. Simmons makes free throw 1 of 2,1,13-19,,
5:19.0,,,13-19,,M. Plumlee enters the game for D. Dedmon
5:19.0,,,13-19,,M. Muscala enters the game for J. Collins
5:19.0,B. Simmons makes free throw 2 of 2,1,14-19,,
5:05.0,,,14-19,,T. Waller-Prince misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by M. Belinelli,,14-19,,
4:55.0,,,14-19,,T. Dorsey enters the game for D. Lee
