time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (S. Ibaka gains possession)
11:49.0,Shooting foul by M. Smart (drawn by K. Lowry),,0-0,,
11:49.0,K. Lowry makes free throw 1 of 3,1,1-0,,
11:49.0,K. Lowry makes free throw 2 of 3,1,2-0,,
11:49.0,K. Lowry makes free throw 3 of 3,1,3-0,,
11:43.0,Personal foul by S. Ibaka (drawn by M. Smart),,3-0,,
11:28.0,,,3-0,,J. Tatum misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by J. Valanciunas,,3-0,,
11:11.0,N. Powell misses 2-pt shot from 1 ft,,3-0,,
11:11.0,,,3-0,,Defensive rebound by A. Baynes
11:03.0,,,3-2,2,J. Brown makes 2-pt shot from 13 ft (assist by A. Horford)
10:47.0,Turnover by J. Valanciunas (traveling),,3-2,,
10:36.0,,,3-4,2,J. Brown makes 2-pt shot from 16 ft (assist by A. Baynes)
10:12.0,Turnover by K. Lowry (bad pass; steal by A. Horford),,3-4,,
10:08.0,,,3-6,2,J. Tatum makes 2-pt shot from 1 ft (assist by J. Brown)
9:55.0,Shooting foul by J. Tatum (drawn by K. Lowry),,3-6,,
9:55.0,K. Lowry makes free throw 1 of 2,1,4-6,,
9:55.0,K. Lowry makes free throw 2 of 2,1,5-6,,
9:44.0,Def 3 sec tech foul by S. Ibaka,,5-6,,
9:44.0,,,5-6,,A. Horford misses technical free throw
9:44.0,,,5-6,,Offensive rebound by Team
9:36.0,,,5-6,,Turnover by J. Brown (bad pass; steal by N. Powell)
9:25.0,,,5-6,,Violation by A. Horford (def goaltending)
9:25.0,D. DeRozan makes 2-pt shot from 1 ft,2,7-6,,
9:07.0,,,7-6,,J. Brown misses 2-pt shot from 1 ft (block by S. Ibaka)
8:58.0,,,7-6,,Offensive rebound by J. Brown
8:58.0,,,7-8,2,J. Brown makes 2-pt shot at rim
8:52.0,Turnover by D. DeRozan (bad pass; steal by J. Brown),,7-8,,
8:51.0,,,7-8,,Offensive charge foul by J. Tatum (drawn by K. Lowry)
8:51.0,,,7-8,,Turnover by J. Tatum (bad pass)
8:36.0,N. Powell misses 2-pt shot from 22 ft,,7-8,,
8:32.0,,,7-8,,Defensive rebound by A. Baynes
8:22.0,,,7-8,,J. Tatum misses 3-pt shot from 24 ft
