time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. Z. Pachulia (W. Barton gains possession),,,,Jump ball: N. Jokic vs. Z. Pachulia (W. Barton gains possession)
11:46.0,,,0-2,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
11:30.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,3-2,,
11:14.0,Personal foul by Z. Pachulia (drawn by J. Murray),,3-2,,
11:01.0,,,3-2,,J. Murray misses 2-pt shot from 8 ft
10:57.0,,,3-2,,Offensive rebound by N. Jokic
10:52.0,,,3-5,3,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris)
10:32.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,5-5,,
10:31.0,,,5-5,,Denver full timeout
10:31.0,,,5-5,,E. Mudiay enters the game for J. Murray
10:24.0,,,5-5,,G. Harris misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by Team,,5-5,,
10:08.0,K. Thompson misses 2-pt shot from 21 ft,,5-5,,
10:08.0,,,5-5,,Defensive rebound by E. Mudiay
9:54.0,,,5-7,2,W. Barton makes 2-pt shot from 19 ft (assist by N. Jokic)
9:41.0,K. Thompson makes 2-pt shot from 17 ft (assist by Z. Pachulia),2,7-7,,
9:28.0,,,7-9,2,W. Barton makes 2-pt shot from 5 ft
9:11.0,D. Green misses 3-pt shot from 24 ft,,7-9,,
9:08.0,,,7-9,,Defensive rebound by N. Jokic
9:00.0,,,7-12,3,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic)
8:45.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,10-12,,
8:32.0,,,10-12,,N. Jokic misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by Z. Pachulia,,10-12,,
8:28.0,Turnover by Z. Pachulia (bad pass; steal by W. Barton),,10-12,,
8:24.0,,,10-14,2,N. Jokic makes 2-pt shot from 4 ft (assist by W. Barton)
8:21.0,Turnover by K. Durant (lost ball; steal by E. Mudiay),,10-14,,
8:15.0,,,10-14,,W. Chandler misses 3-pt shot from 24 ft
8:08.0,,,10-14,,Offensive rebound by G. Harris
8:08.0,,,10-16,2,G. Harris makes 2-pt shot at rim
7:58.0,D. Green misses 2-pt shot from 7 ft,,10-16,,
7:55.0,Offensive rebound by Z. Pachulia,,10-16,,
7:53.0,Z. Pachulia makes 2-pt shot from 2 ft,2,12-16,,
7:39.0,,,12-16,,W. Chandler misses 2-pt shot from 2 ft
7:37.0,Defensive rebound by K. Thompson,,12-16,,
7:29.0,S. Curry makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,15-16,,
7:06.0,,,15-16,,W. Chandler misses 2-pt shot from 20 ft
7:05.0,Defensive rebound by Team,,15-16,,
6:56.0,S. Curry makes 2-pt shot from 3 ft,2,17-16,,
6:55.0,,,17-16,,Denver full timeout
6:55.0,,,17-16,,T. Craig enters the game for W. Chandler
6:32.0,,,17-16,,E. Mudiay misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by Z. Pachulia,,17-16,,
6:23.0,Turnover by S. Curry (lost ball; steal by N. Jokic),,17-16,,
6:12.0,,,17-16,,Turnover by G. Harris (lost ball; steal by S. Curry)
6:09.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,20-16,,
5:53.0,,,20-18,2,T. Craig makes 2-pt shot from 9 ft (assist by W. Barton)
5:37.0,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green),2,22-18,,
5:27.0,,,22-21,3,W. Barton makes 3-pt shot from 24 ft (assist by N. Jokic)
5:02.0,Offensive foul by D. Green (drawn by G. Harris),,22-21,,
5:02.0,Turnover by D. Green (offensive foul),,22-21,,
5:02.0,A. Iguodala enters the game for D. Green,,22-21,,
4:40.0,,,22-21,,W. Barton misses 3-pt shot from 24 ft
4:34.0,,,22-21,,Offensive rebound by N. Jokic
4:34.0,,,22-21,,T. Craig misses 2-pt shot from 1 ft (block by K. Durant)
4:30.0,Defensive rebound by Z. Pachulia,,22-21,,
4:30.0,K. Thompson makes 2-pt shot from 1 ft (assist by K. Durant),2,24-21,,
4:11.0,,,24-21,,N. Jokic misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by S. Curry,,24-21,,
4:02.0,K. Thompson misses 3-pt shot from 24 ft,,24-21,,
4:00.0,,,24-21,,Defensive rebound by N. Jokic
3:52.0,,,24-21,,E. Mudiay misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by Z. Pachulia,,24-21,,
3:41.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,26-21,,
3:23.0,,,26-24,3,T. Craig makes 3-pt shot from 22 ft (assist by G. Harris)
3:20.0,Golden State full timeout,,26-24,,
3:20.0,,,26-24,,J. Murray enters the game for W. Barton
3:20.0,J. McGee enters the game for K. Thompson,,26-24,,
3:20.0,D. Green enters the game for Z. Pachulia,,26-24,,
