time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. O'Quinn (M. Beasley gains possession),,,,Jump ball: J. Valanciunas vs. K. O'Quinn (M. Beasley gains possession)
11:38.0,M. Beasley makes 2-pt shot from 7 ft,2,2-0,,
11:20.0,,,2-3,3,J. Valanciunas makes 3-pt shot from 25 ft (assist by D. DeRozan)
11:05.0,K. O'Quinn misses 2-pt shot from 15 ft,,2-3,,
11:03.0,,,2-3,,Defensive rebound by D. DeRozan
10:55.0,,,2-3,,Shooting foul by J. Jack (drawn by J. Valanciunas)
10:55.0,,,2-3,,J. Valanciunas misses free throw 1 of 2
10:55.0,,,2-3,,Offensive rebound by Team
10:55.0,,,2-4,1,J. Valanciunas makes free throw 2 of 2
10:34.0,M. Beasley misses 2-pt shot from 1 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by D. DeRozan
10:24.0,,,2-6,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by S. Ibaka)
9:57.0,Turnover by M. Beasley (bad pass; steal by J. Valanciunas),,2-6,,
9:48.0,,,2-6,,O. Anunoby misses 3-pt shot from 22 ft
9:46.0,Defensive rebound by J. Jack,,2-6,,
9:38.0,Turnover by J. Jack (out of bounds lost ball),,2-6,,
9:22.0,Personal foul by K. O'Quinn (drawn by J. Valanciunas),,2-6,,
9:15.0,,,2-6,,J. Valanciunas misses 2-pt shot from 8 ft
9:14.0,Defensive rebound by Team,,2-6,,
9:02.0,C. Lee makes 2-pt shot from 18 ft,2,4-6,,
8:49.0,,,4-9,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan)
8:36.0,T. Hardaway makes 2-pt shot from 15 ft (assist by J. Jack),2,6-9,,
8:24.0,,,6-9,,D. DeRozan misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by T. Hardaway,,6-9,,
8:06.0,J. Jack makes 3-pt shot from 25 ft (assist by C. Lee),3,9-9,,
7:56.0,,,9-9,,Turnover by J. Valanciunas (bad pass)
7:33.0,M. Beasley misses 2-pt shot from 3 ft (block by D. DeRozan),,9-9,,
7:29.0,,,9-9,,Defensive rebound by D. DeRozan
7:26.0,,,9-9,,K. Lowry misses 3-pt shot from 25 ft
7:23.0,,,9-9,,Offensive rebound by J. Valanciunas
7:22.0,,,9-9,,J. Valanciunas misses 2-pt shot at rim
7:22.0,,,9-9,,Offensive rebound by J. Valanciunas
7:21.0,,,9-11,2,J. Valanciunas makes 2-pt shot at rim
7:01.0,K. O'Quinn misses 2-pt shot from 21 ft,,9-11,,
7:01.0,Offensive rebound by C. Lee,,9-11,,
6:48.0,Turnover by C. Lee (lost ball; steal by J. Valanciunas),,9-11,,
6:40.0,,,9-11,,D. DeRozan misses 3-pt shot from 22 ft
6:37.0,,,9-11,,Offensive rebound by S. Ibaka
6:35.0,,,9-11,,S. Ibaka misses 2-pt shot from 2 ft (block by K. O'Quinn)
6:35.0,Defensive rebound by K. O'Quinn,,9-11,,
6:29.0,C. Lee misses 3-pt shot from 24 ft,,9-11,,
6:29.0,,,9-11,,Defensive rebound by J. Valanciunas
6:21.0,,,9-11,,Toronto full timeout
6:16.0,,,9-11,,Shooting foul by M. Beasley (drawn by S. Ibaka)
6:16.0,,,9-12,1,S. Ibaka makes free throw 1 of 2
6:16.0,L. Thomas enters the game for C. Lee,,9-12,,
6:16.0,,,9-13,1,S. Ibaka makes free throw 2 of 2
6:06.0,J. Jack misses 2-pt shot from 16 ft,,9-13,,
6:04.0,,,9-13,,Defensive rebound by S. Ibaka
5:57.0,,,9-13,,O. Anunoby misses 3-pt shot from 22 ft
5:53.0,Defensive rebound by K. O'Quinn,,9-13,,
5:50.0,,,9-13,,Personal foul by S. Ibaka (drawn by M. Beasley)
5:45.0,T. Hardaway makes 2-pt shot from 12 ft (assist by J. Jack),2,11-13,,
5:22.0,,,11-13,,D. DeRozan misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by K. O'Quinn,,11-13,,
5:13.0,,,11-13,,Personal foul by O. Anunoby (drawn by J. Jack)
5:13.0,F. Ntilikina enters the game for J. Jack,,11-13,,
5:02.0,M. Beasley misses 2-pt shot from 11 ft,,11-13,,
5:00.0,,,11-13,,Defensive rebound by J. Valanciunas
4:44.0,,,11-16,3,O. Anunoby makes 3-pt shot from 22 ft (assist by S. Ibaka)
4:33.0,T. Hardaway misses 3-pt shot from 25 ft,,11-16,,
4:33.0,,,11-16,,Defensive rebound by K. Lowry
4:21.0,,,11-16,,S. Ibaka misses 3-pt shot from 22 ft
4:21.0,Defensive rebound by T. Hardaway,,11-16,,
4:11.0,M. Beasley misses 2-pt shot from 3 ft (block by S. Ibaka),,11-16,,
4:11.0,Offensive rebound by Team,,11-16,,
4:09.0,Turnover by F. Ntilikina (bad pass; steal by D. DeRozan),,11-16,,
3:59.0,,,11-16,,D. DeRozan misses 2-pt shot from 5 ft (block by K. O'Quinn)
3:58.0,,,11-16,,Offensive rebound by Team
3:58.0,L. Kornet enters the game for K. O'Quinn,,11-16,,
3:57.0,Personal foul by L. Thomas (drawn by D. DeRozan),,11-16,,
3:51.0,,,11-16,,D. DeRozan misses 2-pt shot from 16 ft
3:48.0,Defensive rebound by L. Kornet,,11-16,,
3:37.0,T. Hardaway misses 2-pt shot from 18 ft,,11-16,,
3:34.0,,,11-16,,Defensive rebound by S. Ibaka
3:28.0,,,11-16,,Shooting foul by T. Hardaway (drawn by K. Lowry)
3:28.0,,,11-16,,K. Lowry misses free throw 1 of 2
3:28.0,,,11-16,,Offensive rebound by Team
3:28.0,,,11-16,,J. Poeltl enters the game for O. Anunoby
3:28.0,,,11-16,,F. VanVleet enters the game for J. Valanciunas
3:28.0,,,11-17,1,K. Lowry makes free throw 2 of 2
3:16.0,M. Beasley makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,13-17,,
2:50.0,,,13-17,,S. Ibaka misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by L. Thomas,,13-17,,
2:47.0,,,13-17,,Personal foul by K. Lowry (drawn by L. Thomas)
2:47.0,New York full timeout,,13-17,,
2:47.0,,,13-17,,D. Wright enters the game for K. Lowry
2:47.0,,,13-17,,P. Siakam enters the game for S. Ibaka
2:35.0,L. Kornet makes 3-pt shot from 23 ft (assist by F. Ntilikina),3,16-17,,
2:08.0,,,16-17,,D. Wright misses 2-pt shot from 7 ft (block by L. Kornet)
2:04.0,Defensive rebound by T. Hardaway,,16-17,,
2:02.0,L. Thomas misses 3-pt shot from 22 ft,,16-17,,
1:59.0,,,16-17,,Defensive rebound by D. DeRozan
1:51.0,,,16-17,,Turnover by D. DeRozan (lost ball; steal by M. Beasley)
1:48.0,F. Ntilikina misses 2-pt shot from 1 ft,,16-17,,
1:46.0,,,16-17,,Defensive rebound by J. Poeltl
1:46.0,,,16-18,1,D. DeRozan makes technical free throw
1:46.0,I. Hicks enters the game for M. Beasley,,16-18,,
1:26.0,,,16-21,3,D. DeRozan makes 3-pt shot from 27 ft
1:04.0,F. Ntilikina makes 2-pt shot from 13 ft,2,18-21,,
0:53.0,,,18-23,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
0:30.0,I. Hicks misses 3-pt shot from 26 ft,,18-23,,
0:29.0,Offensive rebound by Team,,18-23,,
0:29.0,Turnover by Team (shot clock),,18-23,,
0:05.0,,,18-23,,Turnover by P. Siakam (step out of bounds)
0:03.0,,,18-23,,Personal take foul by D. Wright (drawn by T. Hardaway)
0:00.0,T. Hardaway misses 3-pt shot from 28 ft,,18-23,,
0:00.0,Offensive rebound by Team,,18-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,18-23,,Turnover by C. Miles (lost ball; steal by L. Thomas)
11:27.0,,,18-23,,Def 3 sec tech foul by C. Miles
11:27.0,C. Lee makes technical free throw,1,19-23,,
11:22.0,L. Kornet misses 3-pt shot from 25 ft,,19-23,,
11:19.0,,,19-23,,Defensive rebound by D. Wright
11:09.0,,,19-25,2,P. Siakam makes 2-pt shot from 1 ft (assist by J. Poeltl)
10:45.0,F. Ntilikina makes 2-pt shot from 18 ft,2,21-25,,
10:31.0,,,21-27,2,P. Siakam makes 2-pt shot from 10 ft (assist by F. VanVleet)
10:14.0,L. Kornet misses 3-pt shot from 22 ft,,21-27,,
10:12.0,,,21-27,,Defensive rebound by P. Siakam
10:04.0,,,21-27,,F. VanVleet misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by C. Lee,,21-27,,
9:51.0,,,21-27,,Personal foul by F. VanVleet (drawn by I. Hicks)
9:51.0,T. Burke enters the game for F. Ntilikina,,21-27,,
9:44.0,I. Hicks misses 2-pt shot from 8 ft,,21-27,,
9:41.0,,,21-27,,Defensive rebound by J. Poeltl
9:35.0,,,21-27,,F. VanVleet misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by L. Kornet,,21-27,,
9:28.0,T. Burke misses 2-pt shot from 1 ft (block by J. Poeltl),,21-27,,
9:25.0,,,21-27,,Defensive rebound by P. Siakam
9:24.0,,,21-29,2,F. VanVleet makes 2-pt shot from 1 ft (assist by D. Wright)
9:03.0,T. Burke misses 2-pt shot from 9 ft,,21-29,,
9:00.0,,,21-29,,Defensive rebound by J. Poeltl
8:57.0,,,21-29,,F. VanVleet misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by L. Kornet,,21-29,,
8:49.0,L. Kornet makes 3-pt shot from 25 ft (assist by L. Thomas),3,24-29,,
8:30.0,,,24-31,2,P. Siakam makes 2-pt shot from 4 ft
8:30.0,,,24-31,,Shooting foul by I. Hicks (drawn by P. Siakam)
8:30.0,K. O'Quinn enters the game for L. Kornet,,24-31,,
8:30.0,M. Beasley enters the game for I. Hicks,,24-31,,
8:30.0,,,24-32,1,P. Siakam makes free throw 1 of 1
8:11.0,T. Burke misses 2-pt shot from 13 ft,,24-32,,
8:07.0,,,24-32,,Defensive rebound by C. Miles
8:05.0,,,24-32,,Turnover by D. Wright (step out of bounds)
7:56.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by T. Burke),2,26-32,,
7:51.0,,,26-32,,Toronto full timeout
7:47.0,,,26-34,2,J. Poeltl makes 2-pt shot from 1 ft
7:47.0,,,26-34,,Shooting foul by K. O'Quinn (drawn by J. Poeltl)
7:47.0,,,26-35,1,J. Poeltl makes free throw 1 of 1
7:34.0,C. Lee misses 3-pt shot from 25 ft,,26-35,,
7:30.0,,,26-35,,Defensive rebound by P. Siakam
7:24.0,,,26-35,,C. Miles misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by K. O'Quinn,,26-35,,
7:15.0,Turnover by T. Burke (bad pass; steal by C. Miles),,26-35,,
7:11.0,,,26-37,2,D. Wright makes 2-pt shot from 2 ft (assist by C. Miles)
7:01.0,M. Beasley makes 2-pt shot from 10 ft,2,28-37,,
6:51.0,,,28-39,2,J. Poeltl makes 2-pt shot from 3 ft (assist by F. VanVleet)
6:34.0,K. O'Quinn misses 3-pt shot from 25 ft,,28-39,,
6:31.0,,,28-39,,Defensive rebound by J. Poeltl
