time,Atlanta,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs.,,,,Jump ball: S. Adams vs.
11:43.0,E. Ilyasova misses 3-pt shot from 22 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Roberson
11:21.0,,,0-0,,Shooting foul by T. Waller-Prince (drawn by S. Adams)
11:21.0,,,0-0,,S. Adams misses free throw 1 of 2
11:21.0,,,0-0,,Offensive rebound by Team
11:21.0,,,0-1,1,S. Adams makes free throw 2 of 2
11:09.0,M. Belinelli misses 3-pt shot from 24 ft,,0-1,,
11:07.0,,,0-1,,Defensive rebound by Team
10:52.0,Personal foul by E. Ilyasova (drawn by P. George),,0-1,,
10:45.0,,,0-1,,C. Anthony misses 2-pt shot from 16 ft
10:41.0,,,0-1,,Offensive rebound by A. Roberson
10:38.0,,,0-1,,A. Roberson misses 2-pt shot from 1 ft
10:35.0,,,0-1,,Offensive rebound by S. Adams
10:35.0,,,0-3,2,S. Adams makes 2-pt shot at rim
10:20.0,E. Ilyasova makes 2-pt shot at rim,2,2-3,,
10:20.0,,,2-3,,Violation by A. Roberson (def goaltending)
10:04.0,,,2-3,,P. George misses 2-pt shot from 5 ft
10:00.0,Defensive rebound by T. Waller-Prince,,2-3,,
9:55.0,M. Belinelli makes 3-pt shot from 24 ft (assist by K. Bazemore),3,5-3,,
9:42.0,,,5-3,,S. Adams misses 2-pt shot from 1 ft (block by M. Plumlee)
9:40.0,,,5-3,,Offensive rebound by S. Adams
9:38.0,,,5-3,,S. Adams misses 2-pt shot at rim
9:37.0,Defensive rebound by K. Bazemore,,5-3,,
9:27.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by M. Belinelli),3,8-3,,
9:13.0,,,8-3,,P. George misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by M. Belinelli,,8-3,,
9:02.0,M. Plumlee misses 2-pt shot at rim,,8-3,,
9:00.0,,,8-3,,Defensive rebound by S. Adams
8:56.0,,,8-5,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:36.0,E. Ilyasova misses 2-pt shot from 5 ft,,8-5,,
8:36.0,,,8-5,,Defensive rebound by P. George
8:25.0,,,8-5,,Shooting foul by E. Ilyasova (drawn by P. George)
8:25.0,,,8-6,1,P. George makes free throw 1 of 2
8:25.0,,,8-7,1,P. George makes free throw 2 of 2
8:10.0,Turnover by K. Bazemore (bad pass; steal by P. George),,8-7,,
8:07.0,,,8-7,,Turnover by P. George (bad pass; steal by K. Bazemore)
8:01.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by K. Bazemore),3,11-7,,
7:40.0,,,11-10,3,C. Anthony makes 3-pt shot from 23 ft (assist by R. Westbrook)
7:25.0,M. Belinelli makes 2-pt shot at rim (assist by K. Bazemore),2,13-10,,
7:08.0,,,13-12,2,P. George makes 2-pt shot from 19 ft (assist by S. Adams)
6:48.0,T. Waller-Prince misses 2-pt shot from 13 ft,,13-12,,
6:43.0,,,13-12,,Defensive rebound by R. Westbrook
6:40.0,,,13-15,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:31.0,Atlanta full timeout,,13-15,,
6:31.0,T. Cavanaugh enters the game for E. Ilyasova,,13-15,,
6:31.0,J. Collins enters the game for M. Plumlee,,13-15,,
6:25.0,T. Cavanaugh makes 2-pt shot from 7 ft (assist by K. Bazemore),2,15-15,,
6:07.0,,,15-15,,R. Westbrook misses 2-pt shot from 15 ft
6:06.0,Defensive rebound by T. Waller-Prince,,15-15,,
5:59.0,,,15-15,,Violation by S. Adams (kicked ball)
5:57.0,Turnover by M. Belinelli (bad pass; steal by R. Westbrook),,15-15,,
5:55.0,,,15-17,2,R. Westbrook makes 2-pt shot from 1 ft
5:42.0,Atlanta full timeout,,15-17,,
5:21.0,T. Waller-Prince misses 3-pt shot from 24 ft,,15-17,,
5:17.0,Offensive rebound by J. Collins,,15-17,,
5:10.0,Turnover by J. Collins (bad pass; steal by C. Anthony),,15-17,,
5:01.0,,,15-17,,C. Anthony misses 2-pt shot from 18 ft
5:00.0,,,15-17,,Offensive rebound by Team
5:00.0,Loose ball foul by T. Cavanaugh (drawn by S. Adams),,15-17,,
5:00.0,I. Taylor enters the game for K. Bazemore,,15-17,,
4:45.0,,,15-19,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:31.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Cavanaugh),3,18-19,,
4:16.0,,,18-19,,P. George misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by T. Cavanaugh,,18-19,,
3:57.0,T. Waller-Prince misses 3-pt shot from 24 ft,,18-19,,
3:56.0,,,18-19,,Defensive rebound by C. Anthony
3:48.0,,,18-21,2,R. Westbrook makes 2-pt shot from 21 ft (assist by C. Anthony)
3:29.0,,,18-21,,Personal foul by A. Roberson (drawn by M. Belinelli)
3:29.0,,,18-21,,J. Huestis enters the game for P. George
3:29.0,,,18-21,,A. Abrines enters the game for A. Roberson
3:29.0,M. Delaney enters the game for M. Belinelli,,18-21,,
3:29.0,D. Bembry enters the game for T. Waller-Prince,,18-21,,
3:18.0,I. Taylor misses 3-pt shot from 25 ft,,18-21,,
3:14.0,,,18-21,,Defensive rebound by S. Adams
3:03.0,,,18-21,,Turnover by A. Abrines (lost ball; steal by M. Delaney)
2:58.0,I. Taylor makes 2-pt shot at rim (assist by M. Delaney),2,20-21,,
2:52.0,,,20-21,,Offensive foul by S. Adams (drawn by D. Bembry)
2:52.0,,,20-21,,Turnover by S. Adams (offensive foul)
2:52.0,,,20-21,,R. Felton enters the game for R. Westbrook
2:52.0,,,20-21,,J. Grant enters the game for C. Anthony
2:41.0,Shooting foul by A. Abrines (drawn by M. Delaney),,20-21,,
2:41.0,M. Delaney makes free throw 1 of 2,1,21-21,,
2:41.0,M. Delaney makes free throw 2 of 2,1,22-21,,
2:19.0,,,22-24,3,J. Huestis makes 3-pt shot from 25 ft (assist by R. Felton)
2:02.0,J. Collins makes 2-pt shot at rim (assist by M. Delaney),2,24-24,,
1:47.0,,,24-26,2,J. Grant makes 2-pt shot at rim (assist by A. Abrines)
1:25.0,D. Bembry misses 2-pt shot from 10 ft (block by J. Huestis),,24-26,,
1:25.0,Offensive rebound by Team,,24-26,,
1:23.0,I. Taylor misses 3-pt shot from 27 ft,,24-26,,
1:21.0,,,24-26,,Defensive rebound by J. Huestis
1:14.0,,,24-26,,R. Felton misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by I. Taylor,,24-26,,
1:06.0,I. Taylor makes 2-pt shot from 1 ft,2,26-26,,
0:42.0,,,26-26,,Turnover by A. Abrines (lost ball; steal by I. Taylor)
0:39.0,Offensive foul by D. Bembry (drawn by J. Huestis),,26-26,,
0:39.0,Turnover by D. Bembry (offensive foul),,26-26,,
0:32.0,,,26-26,,S. Adams misses 2-pt shot from 5 ft
0:29.0,,,26-26,,Offensive rebound by S. Adams
0:27.0,,,26-26,,Turnover by S. Adams (lost ball; steal by T. Cavanaugh)
0:21.0,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney),2,28-26,,
0:02.0,,,28-28,2,R. Felton makes 2-pt shot from 16 ft
0:00.0,I. Taylor misses 3-pt shot from 44 ft,,28-28,,
0:00.0,Offensive rebound by Team,,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
