time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. A. Davis (R. Rondo gains possession),,,,Jump ball: L. Aldridge vs. A. Davis (R. Rondo gains possession)
11:42.0,A. Davis misses 2-pt shot from 2 ft (block by D. Bertans),,0-0,,
11:37.0,Offensive rebound by E. Okafor,,0-0,,
11:28.0,A. Davis misses 2-pt shot from 16 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by K. Anderson
11:15.0,,,0-3,3,D. Bertans makes 3-pt shot from 22 ft (assist by K. Anderson)
10:58.0,,,0-3,,Personal foul by D. Murray (drawn by J. Holiday)
10:50.0,J. Holiday misses 2-pt shot from 9 ft,,0-3,,
10:46.0,Offensive rebound by A. Davis,,0-3,,
10:46.0,A. Davis makes 2-pt shot from 2 ft,2,2-3,,
10:24.0,,,2-5,2,L. Aldridge makes 2-pt shot from 13 ft
10:18.0,E. Okafor misses 2-pt shot from 1 ft (block by P. Mills),,2-5,,
10:18.0,Offensive rebound by Team,,2-5,,
10:10.0,R. Rondo makes 3-pt shot from 25 ft,3,5-5,,
9:52.0,,,5-5,,D. Murray misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by J. Holiday,,5-5,,
9:41.0,R. Rondo misses 2-pt shot from 8 ft,,5-5,,
9:40.0,,,5-5,,Defensive rebound by Team
9:40.0,Loose ball foul by E. Moore (drawn by D. Murray),,5-5,,
9:25.0,,,5-7,2,L. Aldridge makes 2-pt shot from 12 ft
9:16.0,J. Holiday misses 3-pt shot from 24 ft,,5-7,,
9:13.0,,,5-7,,Defensive rebound by L. Aldridge
8:57.0,,,5-9,2,L. Aldridge makes 2-pt shot from 13 ft
8:44.0,J. Holiday misses 2-pt shot from 1 ft,,5-9,,
8:41.0,,,5-9,,Defensive rebound by P. Mills
8:37.0,,,5-9,,K. Anderson misses 2-pt shot from 9 ft
8:34.0,Defensive rebound by A. Davis,,5-9,,
8:26.0,J. Holiday misses 2-pt shot from 7 ft,,5-9,,
8:24.0,,,5-9,,Defensive rebound by K. Anderson
8:11.0,,,5-9,,L. Aldridge misses 2-pt shot from 15 ft
8:09.0,Defensive rebound by R. Rondo,,5-9,,
8:02.0,J. Holiday makes 2-pt shot from 1 ft,2,7-9,,
7:47.0,,,7-9,,Shooting foul by A. Davis (drawn by D. Bertans)
7:47.0,,,7-9,,D. Bertans misses free throw 1 of 3
7:47.0,,,7-9,,Offensive rebound by Team
7:47.0,,,7-10,1,D. Bertans makes free throw 2 of 3
7:47.0,,,7-10,,D. Green enters the game for K. Anderson
7:47.0,N. Mirotic enters the game for E. Okafor,,7-10,,
7:47.0,,,7-10,,D. Bertans misses free throw 3 of 3
7:45.0,Defensive rebound by Team,,7-10,,
7:36.0,E. Moore misses 2-pt shot from 1 ft,,7-10,,
