time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. K. Porzingis (S. Dinwiddie gains possession),,,,Jump ball: T. Zeller vs. K. Porzingis (S. Dinwiddie gains possession)
11:40.0,,,0-0,,A. Crabbe misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by E. Kanter,,0-0,,
11:21.0,J. Jack makes 2-pt shot from 8 ft,2,2-0,,
11:10.0,,,2-0,,Turnover by R. Hollis-Jefferson (step out of bounds)
11:00.0,K. Porzingis makes 2-pt shot from 21 ft (assist by E. Kanter),2,4-0,,
10:46.0,,,4-0,,A. Crabbe misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by E. Kanter,,4-0,,
10:33.0,E. Kanter misses 2-pt shot from 1 ft,,4-0,,
10:32.0,,,4-0,,Defensive rebound by R. Hollis-Jefferson
10:27.0,,,4-0,,T. Zeller misses 2-pt shot from 1 ft (block by C. Lee)
10:25.0,,,4-0,,Offensive rebound by T. Zeller
10:24.0,,,4-2,2,T. Zeller makes 2-pt shot from 1 ft
10:12.0,C. Lee misses 2-pt shot from 12 ft,,4-2,,
10:09.0,,,4-2,,Defensive rebound by T. Zeller
10:03.0,,,4-2,,S. Dinwiddie misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by L. Thomas,,4-2,,
9:46.0,E. Kanter misses 2-pt shot from 6 ft,,4-2,,
9:43.0,,,4-2,,Defensive rebound by D. Carroll
9:34.0,,,4-5,3,T. Zeller makes 3-pt shot from 22 ft (assist by D. Carroll)
9:16.0,L. Thomas makes 2-pt shot from 10 ft (assist by E. Kanter),2,6-5,,
8:58.0,,,6-5,,T. Zeller misses 2-pt shot from 8 ft
8:56.0,Defensive rebound by K. Porzingis,,6-5,,
8:48.0,J. Jack makes 2-pt shot from 6 ft,2,8-5,,
8:32.0,,,8-5,,D. Carroll misses 2-pt shot from 9 ft
8:30.0,,,8-5,,Offensive rebound by D. Carroll
8:28.0,,,8-7,2,D. Carroll makes 2-pt shot from 1 ft
8:19.0,E. Kanter makes 2-pt shot from 5 ft (assist by J. Jack),2,10-7,,
8:00.0,,,10-10,3,D. Carroll makes 3-pt shot from 26 ft (assist by A. Crabbe)
7:42.0,L. Thomas misses 2-pt shot from 21 ft,,10-10,,
7:40.0,,,10-10,,Defensive rebound by A. Crabbe
7:39.0,,,10-10,,Shooting foul by C. Lee (drawn by R. Hollis-Jefferson)
7:39.0,,,10-11,1,R. Hollis-Jefferson makes free throw 1 of 2
7:39.0,K. O'Quinn enters the game for E. Kanter,,10-11,,
7:39.0,,,10-11,,R. Hollis-Jefferson misses free throw 2 of 2
7:36.0,Defensive rebound by K. O'Quinn,,10-11,,
7:21.0,K. Porzingis misses 2-pt shot from 10 ft,,10-11,,
7:18.0,,,10-11,,Defensive rebound by D. Carroll
7:11.0,,,10-13,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
6:55.0,K. O'Quinn makes 2-pt shot from 7 ft,2,12-13,,
6:42.0,,,12-15,2,D. Carroll makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
6:26.0,K. Porzingis makes 2-pt shot from 17 ft (assist by J. Jack),2,14-15,,
6:25.0,,,14-15,,Brooklyn full timeout
6:25.0,M. Beasley enters the game for K. Porzingis,,14-15,,
6:04.0,,,14-15,,S. Dinwiddie misses 2-pt shot from 18 ft
