time,Orlando,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Vucevic (D. Cousins gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (D. Cousins gains possession)
11:43.0,,,0-0,,A. Davis misses 2-pt shot from 9 ft
11:37.0,Defensive rebound by A. Gordon,,0-0,,
11:28.0,Shooting foul by D. Cunningham (drawn by T. Ross),,0-0,,
11:28.0,T. Ross makes free throw 1 of 2,1,1-0,,
11:28.0,T. Ross misses free throw 2 of 2,,1-0,,
11:24.0,,,1-0,,Defensive rebound by D. Cousins
11:10.0,,,1-0,,Turnover by J. Holiday (traveling)
10:50.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier),2,3-0,,
10:40.0,,,3-0,,Turnover by J. Holiday (bad pass; steal by A. Gordon)
10:34.0,Turnover by A. Gordon (turnover),,3-0,,
10:34.0,Personal foul by A. Gordon (drawn by A. Davis),,3-0,,
10:27.0,,,3-0,,Turnover by D. Cousins (bad pass)
10:15.0,T. Ross makes 2-pt shot from 1 ft,2,5-0,,
10:02.0,,,5-0,,E. Moore misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by N. Vucevic,,5-0,,
9:52.0,E. Fournier makes 3-pt shot from 25 ft,3,8-0,,
9:40.0,,,8-2,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday)
9:32.0,N. Vucevic misses 2-pt shot from 4 ft (block by D. Cousins),,8-2,,
9:32.0,A. Gordon misses 2-pt shot at rim (block by A. Davis),,8-2,,
9:32.0,,,8-2,,Defensive rebound by J. Holiday
9:28.0,Defensive rebound by A. Gordon,,8-2,,
9:22.0,,,8-4,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
9:08.0,Turnover by E. Fournier (bad pass; steal by D. Cousins),,8-4,,
9:00.0,Personal foul by A. Gordon (drawn by A. Davis),,8-4,,
9:00.0,J. Isaac enters the game for A. Gordon,,8-4,,
8:49.0,,,8-6,2,E. Moore makes 2-pt shot from 6 ft (assist by D. Cousins)
8:34.0,E. Fournier misses 2-pt shot from 2 ft,,8-6,,
