time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: J. Henson vs. R. Lopez (N. Mirotic gains possession)
11:47.0,N. Mirotic misses 3-pt shot from 24 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by K. Middleton
11:34.0,,,0-2,2,J. Henson makes 2-pt shot from 3 ft (assist by K. Middleton)
11:19.0,K. Dunn misses 2-pt shot from 11 ft,,0-2,,
11:11.0,Offensive rebound by R. Lopez,,0-2,,
11:11.0,R. Lopez misses 2-pt shot at rim,,0-2,,
11:11.0,Offensive rebound by R. Lopez,,0-2,,
11:04.0,R. Lopez makes 2-pt shot from 1 ft,2,2-2,,
10:54.0,,,2-2,,Shooting foul by N. Mirotic (drawn by G. Antetokounmpo)
10:54.0,,,2-3,1,G. Antetokounmpo makes free throw 1 of 2
10:54.0,,,2-4,1,G. Antetokounmpo makes free throw 2 of 2
10:34.0,J. Holiday misses 2-pt shot from 3 ft (block by J. Henson),,2-4,,
10:31.0,,,2-4,,Defensive rebound by J. Henson
10:14.0,,,2-6,2,K. Middleton makes 2-pt shot from 19 ft
10:01.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Holiday),2,4-6,,
9:48.0,,,4-9,3,G. Payton makes 3-pt shot from 22 ft (assist by E. Bledsoe)
9:29.0,K. Dunn misses 2-pt shot from 3 ft,,4-9,,
9:27.0,,,4-9,,Defensive rebound by J. Henson
9:26.0,,,4-9,,Shooting foul by D. Valentine (drawn by E. Bledsoe)
9:26.0,,,4-9,,E. Bledsoe misses free throw 1 of 2
9:26.0,,,4-9,,Offensive rebound by Team
9:26.0,,,4-10,1,E. Bledsoe makes free throw 2 of 2
9:07.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Holiday),2,6-10,,
8:55.0,,,6-13,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by J. Henson)
8:44.0,N. Mirotic misses 2-pt shot from 17 ft,,6-13,,
8:42.0,,,6-13,,Defensive rebound by K. Middleton
8:30.0,,,6-13,,G. Antetokounmpo misses 2-pt shot from 14 ft
8:27.0,Defensive rebound by N. Mirotic,,6-13,,
8:15.0,N. Mirotic misses 3-pt shot from 26 ft,,6-13,,
8:11.0,,,6-13,,Defensive rebound by K. Middleton
8:04.0,,,6-13,,E. Bledsoe misses 2-pt shot from 1 ft
8:04.0,,,6-13,,Offensive rebound by Team
8:04.0,Personal foul by D. Valentine (drawn by J. Henson),,6-13,,
8:04.0,D. Nwaba enters the game for D. Valentine,,6-13,,
7:57.0,,,6-15,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
